DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-19,"Media Relations Manager - Remote","AMERICAN CANCER SOCIETY",cancer.org,"Nonprofit Organization Management","estimated $74.2k - $94k a year",Remote,,"Remote in Chicago",IL,"60601"
2022-11-19,"GES Internal Communications Specialist",Deloitte,deloitte.com,"Management Consulting","estimated $66.7k - $84.5k a year",Remote,,"Remote in Chicago",IL,"60606"
2022-11-19,"SOCIAL SERVICES CAREER TRAINEE (OPTION SPANISH SPEAKING)","State of Illinois",illinois.gov,"Government Administration","$3,856 - $5,404 a month",,"Archer Heights area)",Chicago,IL,"60623"
2022-11-18,"HUMAN RIGHTS INVESTIGATOR III, OPT. SPANISH SPEAKING","State of Illinois",illinois.gov,"Government Administration","$5,246 - $7,827 a month",,"West Loop Gate area)",Chicago,IL,"60661"
2022-11-19,"OFFICE ASSOCIATE (OPTION 2 Typing)","State of Illinois",illinois.gov,"Government Administration","$3,367 - $4,552 a month",,"The Loop area)",Chicago,IL,"60602"
2022-11-18,"OFFICE ASSOCIATE - Opt. 2 (Typing)","State of Illinois",illinois.gov,"Government Administration","$3,367 - $4,552 a month",,"Dunning area)",Chicago,IL,"60634"
2022-11-19,"HUMAN SERVICES CASEWORKER (UPWARD MOBILITY) (OPTION SPANISH SPEAKING)","State of Illinois",illinois.gov,"Government Administration","$4,525 - $6,622 a month",,"Archer Heights area)",Chicago,IL,"60623"
2022-11-18,"OFFICE ASSOCIATE (OPT 2: TYPING)","State of Illinois",illinois.gov,"Government Administration","$3,367 a month",,"Tri-Taylor area)",Chicago,IL,"60612"
2022-11-18,"Ramp Agent","Southwest Airlines",southwest.com,Airlines/Aviation,"$18 an hour",,"Clearing area)",Chicago,IL,"60638"
2022-11-19,"Health Coordinator Govt Prog - 743",HCSC,hcscapital.com,"Venture Capital & Private Equity","estimated $35.5k - $44.9k a year",Remote,,"Remote in Chicago",IL,""
2022-11-18,"SECURITY OFFICER (UPWARD MOBILITY)","State of Illinois",illinois.gov,"Government Administration","$3,992 - $5,502 a month",,"Dunning area)",Chicago,IL,"60634"
2022-11-19,"Campaign Fellow","Heartland Alliance",heartlandalliance.org,"Nonprofit Organization Management","estimated $48.6k - $61.5k a year",,"The Loop area)",Chicago,IL,"60604"
2022-11-19,"Personal Consultation Analyst (Private Investment)",Deloitte,deloitte.com,"Management Consulting","estimated $63.6k - $80.5k a year",,"The Loop area)",Chicago,IL,"60606"
2022-11-18,"Associate Data & Analytics Consultant (Entry Level)","Mikan Associates",,,"estimated $66.9k - $84.7k a year",,,Chicago,IL,""
2022-11-19,"OFFICE ASSOCIATE Opt. 2 CAPU (592188 & 592192)","State of Illinois",illinois.gov,"Government Administration","$3,367 a month",,"South Loop area)",Chicago,IL,"60616"
2022-11-18,"OFFICE ASSOCIATE (OPT 2: TYPING)","State of Illinois",illinois.gov,"Government Administration","$3,367 a month",,"Tri-Taylor area)",Chicago,IL,"60612"
2022-11-19,"Referral Coordinator - Full-Time / Chicago","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care","estimated $50.3k - $63.7k a year",,"Calumet Heights area)",Chicago,IL,"60617"
2022-11-19,"Data Analyst - Full-time","Rush University Medical Center",rush.edu,"Hospital & Health Care","estimated $60.5k - $76.6k a year",,"Illinois Medical District area)",Chicago,IL,"60612"
2022-11-18,"Technical Writer",Deloitte,deloitte.com,"Management Consulting",,,"The Loop area)",Chicago,IL,"60606"
2022-11-19,"Assistant Director","Youth Advocate Programs, Inc.",yapinc.org,"Nonprofit Organization Management","estimated $44.8k - $56.8k a year",,"Burnside area)",Chicago,IL,"60619"
2022-11-19,"HUMAN SERVICES CASEWORKER-(UPWARD MOBILITY) (BILINGUAL SPANISH SPEAKING)","State of Illinois",illinois.gov,"Government Administration","$4,525 - $6,622 a month",,"Gage Park area)",Chicago,IL,"60609"
2022-11-19,"Associate Manager- Audience Strategy & Activation",PepsiCo,pepsico.com,"Food & Beverages","$81,000 - $135,600 a year",,,Chicago,IL,""
2022-11-21,"Device Support Specialist - Chicago",Novocure,novocure.com,"Medical Devices","estimated $57.7k - $73.1k a year",Remote,,"Remote in Chicago",IL,"60612"
2022-11-18,"Registration Coordinator (6:30am-3pm and 3pm-11:30pm) Need to be able to work flexible hours.","Swedish Hospital, Part of NorthShore",swedishcovenant.org,"Hospital & Health Care",,,"Ravenswood area)",Chicago,IL,"60625"
2022-11-18,"FELLOWSHIP COORDINATOR","Loyola University Chicago",luc.edu,"Higher Education","estimated $48.5k - $61.5k a year",,"Rogers Park area)",Chicago,IL,"60660"
2022-11-19,"Onboarding Recruitment Specialist","RoadSafe Traffic Systems, Inc.",roadsafetraffic.com,Construction,"estimated $42.6k - $53.9k a year",,"O'Hare area)",Chicago,IL,"60631"
