DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-21,"Case Advocate","US Internal Revenue Service",irs.gov,"Government Administration","$36,118 - $64,655 a year",,,Chicago,IL,""
2022-03-21,"Social Media Analytics Consultant",Deloitte,deloitte.com,"Management Consulting",,,"The Loop area",Chicago,IL,"60606"
2022-03-19,"Assistant Underwriter - Retail",QBE,qbe.net,"Information Technology & Services",,,,Chicago,IL,""
2022-03-20,"Coordinator - Quality Assurance Customer Care (Remote)","United Airlines Inc.",united.com,Airlines/Aviation,"$32,850 - $48,180 a year",Remote,,"Remote in Chicago",IL,"60601"
2022-03-19,"Customer Service Agent","Southwest Airlines",southwest.com,Airlines/Aviation,"$17.54 an hour",,,Chicago,IL,"60666"
2022-03-19,"Associate Underwriter","Blue Cross Blue Shield of IL, MT, NM, OK & TX",bcbsil.com,"Financial Services",,,,Chicago,IL,""
2022-03-19,"Customer Service Agent","Southwest Airlines Co.",sammcelroy.co.uk,,"$17.54 an hour",,"O'Hare International Airport area",Chicago,IL,"60666"
2022-03-20,"Education Coordinator Psychiatric Administration, Full-Time,...","Northwestern Memorial Healthcare",,,,,"Streeterville area",Chicago,IL,"60611"
2022-03-19,"Training Specialist","U.S. District Court, Northern District of Illinois",,,"$53,574 - $95,700 a year",,"The Loop area",Chicago,IL,"60604"
2022-03-20,"Legal Operations Specialist","Avison Young",avisonyoung.com,"Real Estate",,,"The Loop area",Chicago,IL,"60606"
2022-03-19,"Customer Service Agent-Chicago Midway","Southwest Airlines Co.",sammcelroy.co.uk,,"$18.60 an hour",,"Chicago Midway Airport area",Chicago,IL,"60638"
2022-03-19,"Temporary Administrative & Events Specialist","The University of Chicago",,,,,"Woodlawn area",Chicago,IL,"60637"
2022-03-19,"Visitor Experience Coach",AMOpportunities,amopportunities.org,"Higher Education","$40,000 - $45,000 a year",,"Loop area",Chicago,IL,"60654"
2022-03-19,"Talent/Rights Manager - Production Operations","Leo Burnett",leoburnett.com,"Marketing & Advertising","$41.2K ? $52.2K a year",,"The Loop area",Chicago,IL,""
2022-03-21,"Health Technician (Monitor)","US Veterans Health Administration",va.gov,"Government Administration","$44,760 - $58,188 a year",Remote,,"Remote in Chicago",IL,"60612"
2022-03-20,"College Bursar Asst I","City Colleges of Chicago",ccc.edu,"Education Management","$39.4K ? $50K a year",,,Chicago,IL,""
2022-03-20,"Education Coordinator Psychiatric Administration","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-19,"Global Director and Head of Portfolio & Innovation Analytics",MARS,accessmars.withgoogle.com,,,,"Loop area",Chicago,IL,"60601"
2022-03-19,"Junior Derivatives Trader (European Hours)","Valkyrie Trading",valkyrietrading.com,"Capital Markets","$52.7K ? $66.7K a year",,"The Loop area",Chicago,IL,"60605"
2022-03-19,"Field Sales Representative","Monster Energy",monsterenergy.com,"Food & Beverages",,,"Near West Side area",Chicago,IL,"60612"
2022-03-19,"Campus Recruiting Coordinator, Corporate (Remote)","Huron Consulting Group Inc.",huronconsultinggroup.com,"Management Consulting","$58.9K ? $74.5K a year",Remote,,"Remote in Chicago",IL,"60607"
2022-03-19,"Office Administrative Assistant","Valkyrie Trading",valkyrietrading.com,"Capital Markets","$37.2K ? $47K a year",,"The Loop area",Chicago,IL,"60605"
2022-03-19,"Global Director and Head of Portfolio & Innovation Analytics",MARS,accessmars.withgoogle.com,,,,"Loop area",Chicago,IL,"60601"
2022-03-19,"Global Director and Head of Portfolio & Innovation Analytics",MARS,accessmars.withgoogle.com,,,,"Loop area",Chicago,IL,"60601"
2022-03-20,Scheduler-CS,"RSM US LLP",rsmus.com,Accounting,"$66.2K ? $83.8K a year",Remote,,"Remote in Chicago",IL,"60606"
2022-03-19,"Associate Scientist Product Development",MARS,accessmars.withgoogle.com,,,,"Loop area",Chicago,IL,"60601"
2022-03-20,"One Team Associate - Chicago",Deloitte,deloitte.com,"Management Consulting",,,"The Loop area",Chicago,IL,"60606"
2022-03-19,"Guest Service Representative","Marriott International, Inc",,,,,"The Loop area",Chicago,IL,"60603"
2022-03-19,"Full Time Sound Producer - WSCR 670 The SCORE","Audacy, Inc.",,,"$42.1K ? $53.3K a year",,"Loop area",Chicago,IL,"60601"
2022-03-19,"FT Overnight Crisis Counselor","Lutheran Social Services of Illinois",,,"$40.5K ? $51.3K a year",,,Chicago,IL,""
2022-03-19,"Program & Project Management",Accenture,cazoodle.com,"Computer Software","$25 - $45 an hour",,,Chicago,IL,""
2022-03-19,"ADMINISTRATIVE ANALYST III - CERMAK","Cook County Health & Hospitals System",cookcountyhealth.org,"Hospital & Health Care",,,,Chicago,IL,""
2022-03-19,"Litigation Data Analyst - 2nd Shift (Remote Opportunity)",KLDiscovery,kldiscovery.co.uk,"Information Technology & Services","$46.2K ? $58.6K a year",Remote,,"Remote in Chicago",IL,""
2022-03-19,"Event Coordinator","Loyola University Chicago",luc.edu,"Higher Education","$38.7K ? $48.9K a year",,"Rogers Park area",Chicago,IL,"60660"
2022-03-19,"Human Resources Coordinator / HR Rep","Community Care Center",communitycarectr.com,"Hospital & Health Care","$42.4K ? $53.6K a year",,"Bronzeville area",Chicago,IL,"60653"
2022-03-19,"Guest Service Representative","Marriott International, Inc",,,,,"Near North area",Chicago,IL,"60611"
2022-03-20,Recruiter,Jerry,getjerry.com,Internet,"$49.2K ? $62.2K a year",,"Old Irving Park area",Chicago,IL,"60641"
2022-03-19,"Population Health Assistant","Lawndale Christian Health Center",lawndale.org,"Health, Wellness & Fitness","$38.7K ? $48.9K a year",,"Archer Heights area",Chicago,IL,"60623"
2022-03-19,"IT Developer + Apprentice (ServiceNow)","New Apprenticeship",newapprenticeship.com,"Education Management","$35,000 - $45,000 a year",,,Chicago,IL,""
2022-03-21,"Open Rank Full Time Faculty - College of Law (22-23)","DePaul University",depaul.edu,"Higher Education","$47K ? $59.4K a year",,"The Loop area",Chicago,IL,"60604"
2022-03-19,"CPP/MyPACE Instructor (AO)","Aleut Federal",aleutmgt.com,"Defense & Space","$42.3K ? $53.5K a year",,"South Lawndale area",Chicago,IL,"60623"
2022-03-19,"Director of Operations - Navy Pier",Levy,levyrestaurants.com,"Food & Beverages",,,"Streeterville area",Chicago,IL,"60611"
2022-03-19,"2022 Graduates - Career Development Program",Jerry,getjerry.com,Internet,"$65.1K ? $82.5K a year",,"Old Irving Park area",Chicago,IL,"60641"
2022-03-21,"Underwriting Account Service Associate","Zurich Insurance",lafarge.com.ng,"Building Materials",,,,Chicago,IL,""
2022-03-19,"Talent Sourcer","Expedia Group",expediagroup.com,Internet,,,,Chicago,IL,""
2022-03-19,"Material Specialist - Chicago, IL (MDW)","Southwest Airlines",southwest.com,Airlines/Aviation,,,"Clearing area",Chicago,IL,"60638"
2022-03-19,"Vice President, Solutions Consulting, Marketing Solutions","Neustar, Inc.",home.neustar,"Information Technology & Services","$82.3K ? $104K a year",,"The Loop area",Chicago,IL,"60606"
2022-03-19,"Social Development Administrative Clerk (AO)","Aleut Federal",aleutmgt.com,"Defense & Space","$35.3K ? $44.7K a year",,"South Lawndale area",Chicago,IL,"60623"
2022-03-19,"Research Associate","Marquette Associates Inc",marquetteassociates.com,"Financial Services","$47.1K ? $59.7K a year",Remote,,"Hybrid remote in Chicago",IL,""
1970-01-01,"Graduate Academic Advisor","National Louis University",nl.edu,"Higher Education",,,"The Loop area",Chicago,IL,"60603"
