DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/26/2022,"House Cleaner/Housekeeper: Weekly pay","Best Maids",bestmaids.com,"Consumer Services","$600 - $850 a week",,,Chicago,IL,""
2/26/2022,"Education Specialist","US Justice, Bureau of Prisons/Federal Prison...",bop.gov,"Law Enforcement","$62,868 - $95,689 a year",,,Chicago,IL,""
2/25/2022,"CHILD SUPPORT SPECIALIST I","State of Illinois",illinois.gov,"Government Administration","$4,353 - $6,370 a month",,"The Loop area",Chicago,IL,"60603"
2/25/2022,"CHILD SUPPORT SPECIALIST II","State of Illinois",illinois.gov,"Government Administration","$4,558 - $6,699 a month",,"The Loop area",Chicago,IL,"60603"
2/25/2022,"Security Officer - Cicero Area - TWIC CARD REQUIRED",Securitas,securitasantias.com,"Security & Investigations",,,,Chicago,IL,""
2/25/2022,"CHILD SUPPORT SPECIALIST TRAINEE","State of Illinois",illinois.gov,"Government Administration","$3,709 - $5,199 a month",,"The Loop area",Chicago,IL,"60603"
2/26/2022,"Biomedical Equipment Support Specialist (Information Systems...","US Veterans Health Administration",va.gov,"Government Administration","$88,229 - $114,702 a year",,,Chicago,IL,""
2/25/2022,"CHILD SUPPORT SPECIALIST TRAINEE","State of Illinois",illinois.gov,"Government Administration","$3,709 - $5,199 a month",,"Englewood area",Chicago,IL,"60621"
2/25/2022,"ADMINISTRATIVE ASSISTANT I","State of Illinois",illinois.gov,"Government Administration","$4,558 a month",,"South Loop area",Chicago,IL,"60605"
2/25/2022,"HOUSEKEEPER (FULL-TIME & PART-TIME)","Compass Group Careers",,,,,"East Village area",Chicago,IL,"60622"
2/27/2022,"Entry-Level Associate (Class of 2022)",Jerry,getjerry.com,Internet,"$42.4K ? $53.8K a year",,"Old Irving Park area",Chicago,IL,"60641"
2/26/2022,"HOST - CINDY'S $19/HR, BENEFITS (INCLUDE MEDICAL) IN 30-DAYS...","Chicago Athletic Association",chicagoathletichotel.com,"Recreational Facilities & Services","$19 an hour",,,Chicago,IL,""
2/25/2022,"HOUSEKEEPER (FULL-TIME & PART-TIME)","Compass Group Careers",,,,,"Lake View East area",Chicago,IL,"60657"
2/25/2022,"DISHWASHER (FULL-TIME & PART-TIME)","Compass Group Careers",,,,,"Norwood Park West area",Chicago,IL,"60631"
2/25/2022,HOUSEKEEPER(FULL-TIME),"Compass Group Careers",,,,,"Park West area",Chicago,IL,"60614"
2/27/2022,"Junior Recruiter","Turn Technologies",turning.io,Internet,"$57.4K ? $72.6K a year",Remote,,"Remote in Chicago",IL,""
2/25/2022,"ADMINISTRATOR, OFFICE (FULL-TIME)","Compass Group Careers",,,,,"Lake View area",Chicago,IL,"60657"
2/25/2022,"CHILD SUPPORT SPECIALIST I (SPANISH SPEAKING)","State of Illinois",illinois.gov,"Government Administration","$4,353 - $6,370 a month",,"The Loop area",Chicago,IL,"60603"
2/26/2022,"STATION LABORER","City of Chicago",citychicago.org,,"$4,051 a month",,,Chicago,IL,""
2/26/2022,"FLIGHT ATTENDANT","Air Wisconsin Airlines",airwis.com,Airlines/Aviation,,,,Chicago,IL,""
2/25/2022,"DRIVER, HELPER (FULL-TIME)","Compass Group Careers",,,,,"Loop area",Chicago,IL,"60606"
2/25/2022,"Academic Advisor","Roosevelt University",roosevelt.edu,"Higher Education","$41.5K ? $52.5K a year",Remote,,"Hybrid remote in Chicago",IL,""
2/25/2022,"HOUSEKEEPER (FULL-TIME)","Compass Group Careers",,,,,,Chicago,IL,"60666"
2/25/2022,"JANITOR (FULL-TIME)","Compass Group Careers",,,,,,Chicago,IL,"60666"
2/27/2022,"ATTENDANT (M)","Chicago Park District",chicagoparkdistrict.com,"Government Administration","$46,478 a year",,"Marynook area",Chicago,IL,"60619"
2/25/2022,"OFFICE COORDINATOR, OPT 2","State of Illinois",illinois.gov,"Government Administration","$3,339 - $4,549 a month",,"The Loop area",Chicago,IL,"60603"
2/25/2022,"CHILD SUPPORT SPECIALIST I","State of Illinois",illinois.gov,"Government Administration","$4,353 - $6,370 a month",,"The Loop area",Chicago,IL,"60603"
2/26/2022,"Continuing Studies Student Advocate & COVID-19 Coordinator","The Art Institute of Chicago",artic.edu,"Museums & Institutions",,Remote,,"Remote in Chicago",IL,""
2/25/2022,"HOUSEKEEPER (FULL & PART-TIME)","Compass Group Careers",,,,,"Norwood Park West area",Chicago,IL,"60631"
2/25/2022,"BARISTA (FULL-TIME AND PART-TIME)","Compass Group Careers",,,,,"Hyde Park area",Chicago,IL,"60637"
