DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-20,"Patient Liaison","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-19,"Patient Services Coordinator - Remote",Novartis,,,,Remote,,"Remote in Chicago",IL,""
2022-03-20,"Program Specialist, Career Choice","Amazon.com Services LLC",amazon.com,Internet,,,,Chicago,IL,""
2022-03-19,"Residential Advisor (AO)","Aleut Federal",aleutmgt.com,"Defense & Space","$38.3K ? $48.5K a year",,"South Lawndale area",Chicago,IL,"60623"
2022-03-19,"ADMINISTRATIVE ASSISTANT III (HUMAN RESOURCES)","Cook County Offices Under the President",,,"$3,605 a month",,,Chicago,IL,""
2022-03-19,"Account Representative","Exelon Corporation",exelon.com,,,,"Avondale area",Chicago,IL,"60618"
2022-03-20,"Program Director","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-19,"Legal Secretary","State Farm",statefarm.com,Insurance,,,"Chicago Lawn area",Chicago,IL,"60629"
2022-03-19,"Legal Assistant","Hennessy & Roach, P.C.",,,"$38.1K ? $48.3K a year",,"The Loop area",Chicago,IL,"60603"
2022-03-19,"Resource Manager/People Operations Manager","APCO Worldwide",apcoworldwide.com,"Public Relations & Communications","$47.2K ? $59.8K a year",,"The Loop area",Chicago,IL,"60606"
2022-03-19,"Administrative Assistant","Metropolitan Family Services",metrofamily.org,"Individual & Family Services","$42.2K ? $53.4K a year",,"The Loop area",Chicago,IL,"60602"
2022-03-21,"Executive Administrative Assistant","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Chicago,IL,""
2022-03-19,"Assistant Director, Event Data Management","The University of Chicago",,,,,"Woodlawn area",Chicago,IL,"60637"
2022-03-19,"Medical Staff Coordinator, Full-Time, Days","Northwestern Memorial Healthcare",,,,,"Streeterville area",Chicago,IL,"60611"
2022-03-20,"Performance Trainer- Patient Service Center","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-19,"Workers Compensation Specialist","Origami Risk LLC",origamirisk.com,"Computer Software","$55.2K ? $70K a year",,"Loop area",Chicago,IL,"60601"
2022-03-19,"CPP & Counseling Manager (AO)","Aleut Federal",aleutmgt.com,"Defense & Space","$38.6K ? $48.8K a year",,"South Lawndale area",Chicago,IL,"60623"
2022-03-18,"Program Coordinator, Community Desk Chicago","The Chicago Community Trust",cct.org,Philanthropy,"$55.1K ? $69.7K a year",,"Loop area",Chicago,IL,"60601"
2022-03-20,"Specialist, Early Career",Abbvie,ssp.co.jp,Chemicals,,,,Chicago,IL,""
2022-03-19,"Engagement Consultant, Full-time, Days","Northwestern Memorial Healthcare",,,,,"Streeterville area",Chicago,IL,"60611"
2022-03-19,"Human Resource Manager","Delta Sonic Car Wash Systems, Inc.",deltasoniccarwash.com,"Consumer Services","$49.2K ? $62.2K a year",,,Chicago,IL,""
2022-03-19,"Human Resources Manager 2",Sodexo,sodexo.com,"Facilities Services",,,"Douglas Park area",Chicago,IL,"60608"
2022-03-19,"Design Operations Manager","The Art Institute of Chicago",artic.edu,"Museums & Institutions","$59.6K ? $75.4K a year",,"The Loop area",Chicago,IL,"60603"
2022-03-20,"Electronic Records Specialist","Sidley Austin LLP",sidley.com,"Law Practice","$57.6K ? $73K a year",,"The Loop area",Chicago,IL,"60603"
2022-03-19,"Education and Vocational Specialist","Heartland Alliance",heartlandalliance.org,"Nonprofit Organization Management","$41.6K ? $52.6K a year",,"The Loop area",Chicago,IL,"60604"
2022-03-19,"Program Manager, Operational Excellence (“OpEx???)",Uber,uber.com,Internet,,,"Near West Side area",Chicago,IL,"60607"
2022-03-19,"Medical Education Coordinator","The University of Chicago",,,,,"Woodlawn area",Chicago,IL,"60637"
2022-03-19,"Performance Trainer- Patient Service Center, Full time, Days","Northwestern Memorial Healthcare",,,,,"Streeterville area",Chicago,IL,"60611"
2022-03-19,"HR Business Partner",Foxtrot,foxtrotco.com,Internet,"$63.6K ? $80.6K a year",,,Chicago,IL,""
2022-03-19,"Underwriters Wanted All Levels","IFG Companies",ifgcompanies.com,Insurance,"$50.7K ? $64.1K a year",,"The Loop area",Chicago,IL,"60606"
2022-03-21,"Consultant - Compensation (Hybrid)","United Airlines Inc.",united.com,Airlines/Aviation,,,"Loop area",Chicago,IL,"60601"
2022-03-19,"Client Service Associate","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Chicago,IL,""
2022-03-19,"Security Manager","The Emily Hotel",,,"$38.8K ? $49.2K a year",,,Chicago,IL,""
2022-03-20,"Recruiting Specialist (Processor)",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Chicago",IL,"60661"
2022-03-19,"Clinical Trials Officer","The University of Chicago",,,,,"Woodlawn area",Chicago,IL,"60637"
2022-03-19,"Administrative Assistant","The University of Chicago",,,,,"Woodlawn area",Chicago,IL,"60637"
2022-03-19,"Management Liability Underwriter","Aon Corporation",aonhorizon.com,,"$90 a day",,"The Loop area",Chicago,IL,"60601"
2022-03-19,"Applications Analyst ? Clinical Systems","Humboldt Park Health",,,"$58.2K ? $73.8K a year",,"Humboldt Park area",Chicago,IL,"60622"
2022-03-19,"Derivatives Trader","Valkyrie Trading",valkyrietrading.com,"Capital Markets","$62.7K ? $79.5K a year",,"The Loop area",Chicago,IL,"60605"
2022-03-20,Recruiter-Ministry,"AMITA Health",amitahealth.org,"Hospital & Health Care",,Remote,,"Remote in Chicago",IL,"60661"
2022-03-19,"Undergraduate Educator Preparation - Field Experience Specia...","National Louis University",nl.edu,"Higher Education",,,"The Loop area",Chicago,IL,"60603"
2022-03-19,"Program Coordinator","The University of Chicago",,,,Remote,,"Hybrid remote in Chicago",IL,"60637"
2022-03-19,"Patient Access Specialist - Full time, Days","Northwestern Memorial Healthcare",,,,,"Streeterville area",Chicago,IL,"60611"
2022-03-19,"Nike Chicago - Head Coach (Store Manager) - Michigan Ave - C...",Nike,nike.com,"Sporting Goods",,,,Chicago,IL,""
2022-03-19,"Application Analyst - Diagnostic Services, Full-Time, Days","Northwestern Memorial Healthcare",,,,,"Streeterville area",Chicago,IL,"60611"
2022-03-20,"Engagement Consultant","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-19,"Information Security Investigator","Cook County Sheriff?s Office",,,"$86,136 - $97,091 a year",,,Chicago,IL,""
2022-03-19,"Account Executive - Online Division - Grand Canyon Universit...","Grand Canyon Education",gce.com,"Education Management","$65,000 a year",Remote,,"Remote in Chicago",IL,""
2022-03-20,"Nurse Clinician","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-20,"Associate Scientist, I",Abbvie,ssp.co.jp,Chemicals,,,,Chicago,IL,""
2022-03-19,"Volunteer Coordinator","The Salvation Army",salvationarmyfortwalton.org,Retail,,,"North Mayfair area",Chicago,IL,"60630"
2022-03-19,"Investigator II","City Colleges of Chicago",ccc.edu,"Education Management","$50.9K ? $64.5K a year",,,Chicago,IL,""
2022-03-19,"Associate Divisional Strategy Consultant","Blue Cross Blue Shield of IL, MT, NM, OK & TX",bcbsil.com,"Financial Services",,Remote,,"Hybrid remote in Chicago",IL,""
2022-03-19,"Adjunct Instructor","City Colleges of Chicago",ccc.edu,"Education Management","$69.1K ? $87.5K a year",,,Chicago,IL,""
2022-03-19,"AVP - Analyst","ZM Financial Systems",zmfs.com,"Financial Services","$71.5K ? $90.5K a year",,,Chicago,IL,""
2022-03-19,"Copywriter - J.P. Morgan / JPMorgan Chase","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Chicago,IL,""
2022-03-19,"Social Development Director (AO)","Aleut Federal",aleutmgt.com,"Defense & Space","$76.6K ? $97K a year",,"South Lawndale area",Chicago,IL,"60623"
2022-03-20,"Application Analyst","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-20,"Medical Staff Coordinator","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-20,"Solutions & Recovery Supervisor","United Airlines Inc.",united.com,Airlines/Aviation,,,"Loop area",Chicago,IL,"60601"
2022-03-19,"Student Success Advisor","National Louis University",nl.edu,"Higher Education",,,"The Loop area",Chicago,IL,"60603"
2022-03-21,"Manager - PRM","United Airlines Inc.",united.com,Airlines/Aviation,,,"Loop area",Chicago,IL,"60601"
2022-03-20,"Patient Access Specialist","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
2022-03-21,"Chicago Technology Center Manager","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Chicago,IL,""
2022-03-19,"Client Relationship Manager - USA","Jet Support Services, Inc.",jetsupport.com,"Aviation & Aerospace","$83.8K ? $106K a year",Remote,,"Remote in Chicago",IL,""
2022-03-20,"Talent Acquisition Sourcer","True Value",truevaluecompany.com,Retail,,,,Chicago,IL,""
2022-03-21,"Communication Specialist","La Rabida Children's Hospital",larabida.org,"Hospital & Health Care","$46.7K ? $59.1K a year",,"Woodlawn area",Chicago,IL,""
