DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
27-02-2022,"Executive Administrative Assistant","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
26-02-2022,"Office Service Representative II","Canon Business Process Services, Inc.",canon.com,"Consumer Electronics",,,"Loop area",Chicago,IL,"60602"
26-02-2022,"College Advisor","City Colleges of Chicago",ccc.edu,"Education Management","$43.9K ? $55.7K a year",,,Chicago,IL,""
27-02-2022,"Client Services Coordinator",CBRE,cbre.us,"Real Estate",,,"Near North area",Chicago,IL,""
26-02-2022,"Strategic Account Manager - Illinois",Onapsis,onapsis.com,"Computer & Network Security",,,,Chicago,IL,""
26-02-2022,"Performance Trainer- Patient Service Center, Full time, Days","Northwestern Memorial Healthcare",,,"$48K ? $60.8K a year",,"Streeterville area",Chicago,IL,"60611"
27-02-2022,"Business Development Representative","Origami Risk LLC",origamirisk.com,"Computer Software",,,"Loop area",Chicago,IL,"60601"
26-02-2022,"Assistant General Manager Trainee",Menards,menards.com,Retail,,,"The Loop area",Chicago,IL,"60601"
26-02-2022,"Client Service Analyst","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Chicago,IL,""
26-02-2022,"PATIENT FINANCIAL COUNSELOR","Gateway Foundation Inc",gatewayfoundation.org,"Hospital & Health Care",,,"Archer Heights area",Chicago,IL,"60624"
26-02-2022,"INVESTIGATOR I AEW (DEPARTMENT OF REVENUE) AFSCME 3696","Cook County Offices Under the President",,,"$27.58 an hour",,,Chicago,IL,""
26-02-2022,"Safety & Health Trainer",Cintas,cintas.com,"Facilities Services",,,"Clearing area",Chicago,IL,"60638"
26-02-2022,"Human Resources Coordinator","One Off Hospitality Group",,,"$43.9K ? $55.5K a year",,"West Town area",Chicago,IL,"60607"
27-02-2022,"002779 Financial Clearance Specialist, Chicago, Full-time, D...","Northwestern Medicine",nm.org,"Hospital & Health Care",,,"Near North Side area",Chicago,IL,"60611"
26-02-2022,"Assistant Director, Office of Academic Events","DePaul University",depaul.edu,"Higher Education","$50.5K ? $63.9K a year",,"Sheffield Neighbors area",Chicago,IL,"60614"
26-02-2022,"002779 Financial Clearance Specialist, Chicago, Full-time, D...","Northwestern Memorial Healthcare",,,"$32.1K ? $40.7K a year",,"Streeterville area",Chicago,IL,"60611"
26-02-2022,"Business Analyst - IT","United Airlines Inc.",united.com,Airlines/Aviation,,,"Loop area",Chicago,IL,"60601"
26-02-2022,"Director of Front Office and Club Lounge","The Langham",langhamhotels.com,"Leisure, Travel & Tourism","$43.8K ? $55.4K a year",,,Chicago,IL,""
27-02-2022,"Field Operations Advisor","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"The Loop area",Chicago,IL,"60601"
28-02-2022,"Lead Learning and Development Specialist-A&A Curriculum Deve...",Deloitte,deloitte.com,"Management Consulting",,,"The Loop area",Chicago,IL,"60606"
26-02-2022,"Billing Analyst","King & Spalding",kslaw.com,"Law Practice","$44.6K ? $56.4K a year",,"Loop area",Chicago,IL,"60606"
