DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-21,"Accounting Department Support (Part-time/Temporary)","Chicago Public Schools",cps.edu,"Education Management","$49.2K - $62.2K a year",,"The Loop area",Chicago,IL,"60602"
2022-05-21,"CUSTOMER AMBASSADOR (FULL & PART-TIME)",Eurest,eurest-usa.com,"Food & Beverages",,,"O'Hare International Airport area",Chicago,IL,"60666"
2022-05-22,"Receptionist - Part Time",Ascension,ascension.org,"Hospital & Health Care",,,"Lake View East area",Chicago,IL,"60657"
2022-05-22,"medical office assistant","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Uptown area",Chicago,IL,"60613"
2022-05-23,"Food Runner","Little Goat Diner",littlegoatchicago.com,,"$27.3K - $34.5K a year",,"West Town area",Chicago,IL,"60607"
2022-05-21,Merchandiser,"footprint Solutions",fprs.com,"Logistics & Supply Chain",,,,Chicago,IL,""
2022-05-22,"Patient Transporter IMMC","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Lake View area",Chicago,IL,"60657"
2022-05-22,"Part Time Emergency Room Registration Position","Advocate Aurora Health",advocateaurorahealth.org,"Hospital & Health Care",,,"Lake View area",Chicago,IL,"60657"
2022-05-21,"DISHWASHER (FULL & PART TIME)",Eurest,eurest-usa.com,"Food & Beverages",,,"O'Hare International Airport area",Chicago,IL,"60666"
2022-05-21,"Ramp Tower Control Coordinator - O'Hare International Airpor...","Menzies Aviation",menziesaviation.com,Airlines/Aviation,,,"O'Hare International Airport area",Chicago,IL,"60666"
2022-05-23,"Part-Time Faculty in Finance","DePaul University",depaul.edu,"Higher Education",,,"The Loop area",Chicago,IL,"60604"
2022-05-22,"PHYSICAL INSTRUCTOR (H)","Chicago Park District",chicagoparkdistrict.com,"Government Administration","$22.18 an hour",,"Bucktown area",Chicago,IL,"60647"
2022-05-21,"Housekeeping/House Cleaner (Flexible Schedule + Tips)","Cleanzen Cleaning Services",cleanzen.com,Hospitality,"$1,000 - $1,400 a week",,,Chicago,IL,""
2022-05-21,"Security Officer Hospitality","Allied Universal®",,,,,"Roseland area",Chicago,IL,"60628"
2022-05-23,"Part Time Faculty, Sustainable Urban Development Masters Pro...","DePaul University",depaul.edu,"Higher Education",,,"The Loop area",Chicago,IL,"60604"
2022-05-23,"Post Doc Associate","Ann & Robert H. Lurie Children’s Hospital of...",,,,,"Streeterville area",Chicago,IL,"60611"
2022-05-21,"Art Instructor- PT","City Colleges of Chicago",ccc.edu,"Education Management",,,"The Loop area",Chicago,IL,""
2022-05-21,"Delivery Driver","Delivery First",deliveryfirst.com,"Logistics & Supply Chain","$15 - $16 an hour",,"Roscoe Village area",Chicago,IL,"60613"
2022-05-21,"Automotive Inside Sales",LKQ,lkqcorp.com,Automotive,,,"South Lawndale area",Chicago,IL,"60623"
2022-05-21,"HQ Office Manager - Summer Camp","Bright Horizons Family Solutions",brighthorizons.com,"Education Management",,,"Avondale area",Chicago,IL,"60618"
2022-05-21,"Teaching Artist Assistant CS","Columbia College Chicago",colum.edu,"Higher Education",,,"South Loop area",Chicago,IL,"60605"
2022-05-21,"ATTENDANT, CATERING (FULL & PART-TIME)",Eurest,eurest-usa.com,"Food & Beverages",,,"O'Hare International Airport area",Chicago,IL,"60666"
2022-05-21,"ORIOLE PARK LIBRARY CLEANER","ABM Industries",marriott.com,"Computer Software",,,"Oriole Park area",Chicago,IL,"60656"
