DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-08-30,"Public Housing Administrator","City of Des Moines, IA",dsm.city,"Government Administration","$37.68 - $47.76 an hour",,,"Des Moines",IA,""
2022-09-01,"Communications and Public Relations Manager",Shazam.net,shazam.net,"Financial Services","estimated $64k - $81k a year",,,"Des Moines",IA,""
2022-08-30,"Civil Rights Specialist","State of Iowa Talent Gateway",,,"$49,254 - $74,277 a year",,,"Des Moines",IA,"50313"
2022-08-30,"Statewide Interoperability Communication (SWIC) Coordinator","State of Iowa Talent Gateway",,,"$63,482 - $98,197 a year",,,"Des Moines",IA,"50319"
2022-08-30,"Client Benefits Assistant","International Rescue Committee",rescue.org,"Nonprofit Organization Management",,,,"Des Moines",IA,""
2022-09-01,"Clerk Specialist","State of Iowa Talent Gateway",,,"$34,528 - $50,710 a year",,"Downtown area)","Des Moines",IA,"50309"
2022-08-31,"Financial Analyst I","Principal Financial Group",principalgroup.com,,"$46,600 - $63,700 a year",,"Downtown Des Moines area)","Des Moines",IA,"50392"
2022-09-01,"Front Desk Representative","Marriott International, Inc",,,,,"Downtown Des Moines area)","Des Moines",IA,""
2022-09-01,Photographer,"Hearst Media Services",hearstmediact.com,"Marketing & Advertising","estimated $38.6k - $48.8k a year",,"Downtown area)","Des Moines",IA,"50309"
2022-08-31,"Administrative Law Judge 2","State of Iowa Talent Gateway",,,"$90,563 - $128,960 a year",,,"Des Moines",IA,"50319"
2022-09-01,"Business Clerk","Teach Iowa",schoolspring.com,"Human Resources","estimated $27.5k - $34.9k a year",,,"Des Moines",IA,"50313"
2022-08-30,"Processing Administrator UCC Filing Specialist","DLL Group",dllgroup.com,"Financial Services","estimated $37.9k - $48.1k a year",,,"Des Moines",IA,""
2022-09-01,"Assistant Store Manager - Full Time - Bulldog Shop",16233.6,,,"estimated $25.2k - $32k a year",,"Waveland Park area)","Des Moines",IA,"50311"
2022-08-31,"Americare Sales Agent","American Enterprise",aei.org,"Think Tanks","$50,000 a year",,"Magnolia Park area)","Des Moines",IA,"50315"
2022-08-31,"Production Operator","Bridgestone Americas",bridgestoneamericas.com,Automotive,"from $30 an hour",,,"Des Moines",IA,"50313"
2022-08-31,"Secretary 2","State of Iowa Talent Gateway",,,"$37,981 - $55,598 a year",,"Magnolia Park area)","Des Moines",IA,"50315"
2022-08-31,"Typist Advanced","State of Iowa Talent Gateway",,,"$30,618 - $44,075 a year",,,"Des Moines",IA,"50313"
2022-09-01,"Associate Real Estate Agent (Independent Contractor) - Des M...",Redfin,redfin.com,"Real Estate","estimated $71.4k - $90.4k a year",,,"Des Moines",IA,""
2022-08-31,"Account Manager","Des Moines, IA",,,,,,,,""
2022-09-01,"Duty Driver - ARC23","The Salvation Army",salvationarmyfortwalton.org,Retail,,,"East Village area)","Des Moines",IA,"50309"
2022-09-01,"Sales Professional",Brilar,,,"estimated $53.6k - $67.8k a year",,"Gray's Woods area)","Des Moines",IA,"50317"
2022-09-01,"HUMAN RESOURCES GENERALIST","Berry Global, Inc",berryglobal.com,Plastics,,,"Southwestern Hills area)","Des Moines",IA,"50321"
2022-08-31,"Network Specialist I","Mediacom Communications Corporation",mccccorp.com,,"estimated $42.4k - $53.6k a year",,,"Des Moines",IA,"50322"
2022-08-31,"Americare Sales Agent","American Enterprise Services Company",americanenterprise.com,Insurance,"$50,000 a year",,"Magnolia Park area)","Des Moines",IA,"50315"
