DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/11/2022,"Information Technology Support Worker 4","State of Iowa Talent Gateway",,,"$39,208 - $57,637 a year",,"Downtown area","Des Moines",IA,"50309"
2/12/2022,"Education Program Consultant (USDA Child & Adult Care Food P...","Teach Iowa",schoolspring.com,"Human Resources","$26.1K ? $33.1K a year",,,"Des Moines",IA,"50319"
2/13/2022,"Asst Life & DI Claim Analyst","Principal Financial Group",principalgroup.com,,"$43,000 a year",Remote,,"Remote in Des Moines",IA,""
2/14/2022,"Bakery Designer","Hy-Vee, Inc.",,,"$22.6K ? $28.6K a year",,"Douglas Acres area","Des Moines",IA,"50317"
2/11/2022,"Insurance Customer Service Representative","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,Remote,,"Remote in Des Moines",IA,""
2/11/2022,"Administrative Assistant 2","State of Iowa Talent Gateway",,,"$45,136 - $66,373 a year",,,"Des Moines",IA,"50319"
2/12/2022,"Floral Designer","Hy-Vee, Inc.",,,,,"Watrous South area","Des Moines",IA,"50321"
2/12/2022,"Training Specialist","Heritage Group LLC",,,"$45,000 a year",,"Southwestern Hills area","Des Moines",IA,"50321"
2/12/2022,"FC Pharmacy Support-Packing","Hy-Vee, Inc.",,,"$29.6K ? $37.4K a year",,"Watrous South area","Des Moines",IA,"50321"
2/13/2022,"Special Education Associate","Des Moines Public Schools",dmschools.org,"Education Management","$24.6K ? $31.2K a year",,"Southwestern Hills area","Des Moines",IA,"50321"
2/12/2022,"Warehouse Specialist","Nebraska Furniture Mart",nfm.com,Retail,"$18.07 - $22.49 an hour",,,"Des Moines",IA,"50325"
2/13/2022,"Confidentiality & Privacy Analyst",Deloitte,deloitte.com,"Management Consulting","$53.6K ? $67.8K a year",,"Downtown Des Moines area","Des Moines",IA,"50309"
2/12/2022,"Builder Sales Assistant","Nebraska Furniture Mart",nfm.com,Retail,"$18.56 - $22.54 an hour",,,"Des Moines",IA,"50325"
2/12/2022,"Management Analyst 3","Teach Iowa",schoolspring.com,"Human Resources","$52K ? $65.8K a year",,,"Des Moines",IA,"50319"
2/14/2022,"Processing Technician","Octapharma Plasma, Inc.",octapharmaplasma.com,Pharmaceuticals,,,"Fairmont Park area","Des Moines",IA,"50317"
2/11/2022,"Rehabilitation Counselor","State of Iowa Talent Gateway",,,"$51,064 - $77,397 a year",,,"Des Moines",IA,"50313"
2/11/2022,"Retail Salesperson","Firestone Complete Auto Care",firestonecompleteautocare.com,Automotive,,,"Watrous South area","Des Moines",IA,"50321"
2/11/2022,"Market Grille Clerk","Hy-Vee, Inc.",,,"$33.8K ? $42.8K a year",,"Douglas Acres area","Des Moines",IA,"50317"
2/11/2022,"D5 - Court Reporter - Official Certified Shorthand Reporter...","State of Iowa Talent Gateway",,,"$55,307 - $85,758 a year",,"Downtown area","Des Moines",IA,"50309"
2/11/2022,"Street Outreach Youth Advocate",YSS,yss.org,"Individual & Family Services",,,"Downtown Des Moines area","Des Moines",IA,"50309"
2/11/2022,"AIRPORT PARKING CASHIER","ABM Industries",marriott.com,"Computer Software","$30.5K ? $38.7K a year",,"Des Moines International Airport area","Des Moines",IA,"50321"
2/14/2022,"Quality Assurance Technician","Octapharma Plasma, Inc.",octapharmaplasma.com,Pharmaceuticals,,,"Fairmont Park area","Des Moines",IA,"50317"
2/11/2022,"HEALTH NAVIGATOR - BI-LINGUAL","Polk County, IA",polkcountyjailministries.com,,"$44,369 - $57,866 a year",,,"Des Moines",IA,""
2/12/2022,"Associate Principal for Alternative Pathways","Des Moines Public Schools",dmschools.org,"Education Management",,,"Southwestern Hills area","Des Moines",IA,"50321"
2/11/2022,"Aircraft Maintenance Technician","Endeavor Air",endeavorair.com,Airlines/Aviation,"$24.25 - $34.03 an hour",,,"Des Moines",IA,""
2/11/2022,"NP/PA Cardiology Nights","MercyOne Des Moines Med Ctr",,,,,"King-Irving Park area","Des Moines",IA,"50314"
2/11/2022,"Teller I","First Interstate Bank",firstinterstatebank.com,Banking,"$23.2K ? $29.4K a year",,,"Des Moines",IA,""
2/11/2022,"Maintenance Worker 2","State of Iowa Talent Gateway",,,"$31,491 - $45,490 a year",,,"Des Moines",IA,"50313"
2/11/2022,"Customer Support Representative","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$13 - $14 an hour",Remote,,"Remote in Des Moines",IA,""
