DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-11,"HRST Digital Enablement Learning and Development Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown Des Moines area","Des Moines",IA,"50309"
2022-03-12,"Operations Enterprise Solutions Consultant",Venerable,venerable.com,"Financial Services","$80K – $101K a year",,"Downtown Des Moines area","Des Moines",IA,"50309"
2022-03-14,"Manager, Competitive Intelligence - US Strategy | Businesses...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown Des Moines area","Des Moines",IA,"50309"
2022-03-13,".NET Solution Architect-Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Downtown Des Moines area","Des Moines",IA,"50309"
2022-03-13,"Principal .NET Developer-Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Downtown Des Moines area","Des Moines",IA,"50309"
2022-03-11,"Travelling Superintendent","Lunacon Engineering Group",lunaconcorp.com,Construction,"Up to $100,000 a year",,"Magnolia Park area","Des Moines",IA,"50315"
2022-03-11,"MEP Project Manager","The Weitz Company / Contrack Watts, Inc.",weitz.com,Construction,"$85K – $108K a year",,"Downtown area","Des Moines",IA,"50309"
2022-03-11,"Contracts Manager (Hybrid/ Remote)","Collins Aerospace",collinsaerospace.com,"Aviation & Aerospace",,Remote,,"Remote in Cedar Rapids",IA,""
2022-03-12,"Cost Estimating Manager - Remote Option","Collins Aerospace",collinsaerospace.com,"Aviation & Aerospace",,Remote,,"Remote in Cedar Rapids",IA,""
2022-03-13,"Cost Estimating Manager - Remote Option","Collins Aerospace",collinsaerospace.com,"Aviation & Aerospace",,Remote,,"Remote in Cedar Rapids",IA,"52498"
2022-03-11,"Enterprise Engineering Process Lead - Remote","Collins Aerospace",collinsaerospace.com,"Aviation & Aerospace",,Remote,,"Remote in Cedar Rapids",IA,""
2022-03-11,"Enterprise Engineering Process Lead - Remote","Collins Aerospace",collinsaerospace.com,"Aviation & Aerospace",,Remote,,"Remote in Cedar Rapids",IA,"52498"
2022-03-11,"HRST Digital Enablement Learning and Development Manager",Deloitte,deloitte.com,"Management Consulting",,,,Davenport,IA,"52807"
2022-03-13,".NET Solution Architect-Location Open",Deloitte,deloitte.com,"Management Consulting",,,,Davenport,IA,"52807"
2022-03-13,"Principal .NET Developer-Location Open",Deloitte,deloitte.com,"Management Consulting",,,,Davenport,IA,"52807"
2022-03-11,"AVP, IT Vendor Management","QCR Holdings, Inc.",qcrh.com,"Financial Services","From $78,990 a year",,,Davenport,IA,"52806"
2022-03-12,"Project Manager","Shaw Electric Company Inc.",shawelectric.com,Construction,"$68.1K – $86.3K a year",,"Bridge Avenue area",Davenport,IA,"52803"
2022-03-14,"Director of Quality Assurance ( Skilled Nursing LTC )","Ivy Healthcare",ivyhealthcaregroup.com,"Hospital & Health Care","$89.3K – $113K a year",,,Davenport,IA,""
2022-03-12,"Global Critical Facilities Leader - Property Management Dire...","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,"West Des Moines",IA,"50265"
2022-03-13,"Real Estate Data Strategy & Governance Leader","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,"West Des Moines",IA,"50265"
