DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-31,Buyer/Expeditor,"Lampton Welding Supply",lampton.com,"Consumer Services","$36.8K ? $46.6K a year",,"Central area",Wichita,KS,"67214"
2022-03-30,"Softball Athlete Evaluator (67212)","Area Scouts?",,,"$25 - $100 an hour",Remote,,"Remote in Wichita",KS,""
2022-03-31,"Call Center Agent","Northern Tool + Equipment",northerntool.com,Retail,"$27.4K ? $34.8K a year",Remote,,"Remote in Wichita",KS,"67209"
2022-03-31,FSW-Adoption,"St. Francis Ministries",saintfrancisministries.org,"Individual & Family Services","$34.2K ? $43.4K a year",,"Grandview Heights area",Wichita,KS,"67218"
2022-03-31,"Member Consultant","Meritrust Credit Union",meritrustcu.org,Banking,"$32.7K ? $41.5K a year",,,Wichita,KS,"67208"
2022-03-29,"District Sales Manager","Spirit Halloween",,,,,,Wichita,KS,"67205"
2022-03-31,Assem/Installer,"Textron Aviation",textronaviation.com,"Aviation & Aerospace",,,,Wichita,KS,""
2022-03-31,Assem/Installer,"Textron Aviation",textronaviation.com,"Aviation & Aerospace",,,,Wichita,KS,""
2022-03-31,"Inventory Specialist",WALGREENS,walgreens.com,Retail,,,,Wichita,KS,"67206"
2022-03-31,"Construction Crewmember I","Cox Communications Inc",coxenterprises.com,Telecommunications,,,"Schweiter area",Wichita,KS,"67211"
2022-03-31,"Executive Admin Assistant","Textron Aviation",textronaviation.com,"Aviation & Aerospace",,,,Wichita,KS,""
2022-03-31,"Associate Technical Sourcer - Opportunity for Working Remote...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Wichita",KS,""
2022-03-31,"Flex Member Consultant","Meritrust Credit Union",meritrustcu.org,Banking,"$32.7K ? $41.5K a year",,,Wichita,KS,"67202"
2022-03-30,"Counter Sales Person","Elliott Electric Supply",elliotelectric.com,,"$32.9K ? $41.7K a year",,,Wichita,KS,"67209"
2022-03-31,"Produce Clerk",Dillons,thetopshop.com,Retail,,,"Benjamin Hills area",Wichita,KS,"67203"
2022-03-30,"Member Support Associate I","Meritrust Credit Union",meritrustcu.org,Banking,"$28.1K ? $35.5K a year",,,Wichita,KS,"67202"
2022-03-30,"Mill Room Tech I - 2nd shift","Textron Aviation",textronaviation.com,"Aviation & Aerospace",,,,Wichita,KS,""
2022-03-31,FSW-Reintegration,"St. Francis Ministries",saintfrancisministries.org,"Individual & Family Services","$24.8K ? $31.4K a year",,"Grandview Heights area",Wichita,KS,"67218"
2022-03-30,"Security Officer","Wichita Public Schools",usd259.org,"Primary/Secondary Education","$25.6K ? $32.4K a year",,"Historic Midtown area",Wichita,KS,"67203"
2022-03-29,"Hospital Reference Test Clerk",Labcorp,labcorp.com,"Hospital & Health Care",,,,Wichita,KS,"67226"
2022-03-29,"Hospital Reference Test Clerk",Labcorp,labcorp.com,"Hospital & Health Care",,,,Wichita,KS,"67226"
2022-03-30,"Store Manager","Mattress Firm",mattressfirmnewmexico.com,Retail,,,,Wichita,KS,""
2022-03-29,"Production I","Balco Inc.",,,"$28.8K ? $36.4K a year",,"Southwest Village area",Wichita,KS,"67217"
2022-03-31,"Security Officer - Multiple Shifts",Securitas,securitasantias.com,"Security & Investigations",,,,Wichita,KS,""
2022-03-29,"Kitchen Staff","Jason's Deli",jasonsdeli.com,Restaurants,,,,Wichita,KS,"67205"
2022-03-30,"Sales Executive",Fonemed,,,,,,Wichita,KS,""
2022-03-30,English,"Wichita Public Schools",usd259.org,"Primary/Secondary Education","$39.3K ? $49.7K a year",,"Mccormick area",Wichita,KS,"67213"
2022-03-30,"Material Handler - 136 - McConnell AFB","Training Rehabilitation and Development Institute",trdi.org,"Nonprofit Organization Management","$21.40 an hour",,,Wichita,KS,"67221"
2022-03-31,"Make Ready Technician - Parc at 21st & Rock","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Wichita,KS,""
2022-03-29,"Value Add Scheduler","Wesco Aircraft",,,"$19.68 an hour",,,Wichita,KS,"67226"
2022-03-31,"Furniture Builder I","Textron Aviation",textronaviation.com,"Aviation & Aerospace",,,,Wichita,KS,""
2022-03-31,"Contracts Associate","Textron Financial Corporation",textronfinancial.com,"Banking, Finance",,,,Wichita,KS,""
2022-03-30,"Hiring Morning Crew $12 an hour",McDonald?s,,,"$12 an hour",,"South area",Wichita,KS,"67216"
2022-03-29,"Digital Customer Success Associate - Opportunity for Working...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Wichita",KS,""
2022-03-29,Spanish,"Wichita Public Schools",usd259.org,"Primary/Secondary Education","$34.9K ? $44.3K a year",,"Southwest area",Wichita,KS,"67217"
2022-03-31,"Full Time Office Assistant(Entry Level) - Hutchinson, KS 1","APAC - Kansas - Shears",,,,,,Wichita,KS,"67217"
2022-03-29,"Grade 5 & 6 English Teacher - IMMEDIATE NEED","The Independent School",theindependentschool.com,"Primary/Secondary Education","$38.8K ? $49.2K a year",,"Chisholm Creek area",Wichita,KS,"67207"
2022-03-31,"Assistant Director of Staff Engagement","Wichita State University",wichita.edu,"Higher Education","$45,000 a year",,,Wichita,KS,""
2022-03-29,"Sales Representative - Facility Service",Cintas,cintas.com,"Facilities Services",,,,Wichita,KS,"67226"
2022-03-31,"Manufacturing Planner","LMI Aerospace",lmiaerospace.com,"Aviation & Aerospace","$36.6K ? $46.4K a year",,"Stanley-Aley area",Wichita,KS,"67213"
2022-03-31,"Bakery Department Manager Backup- Full Time Opportunities Av...",Dillons,thetopshop.com,Retail,,,"Chisholm Creek area",Wichita,KS,"67207"
2022-03-31,"Customer Service Associate",WALGREENS,walgreens.com,Retail,,,"La Placita Park area",Wichita,KS,"67203"
2022-03-30,"FOOD SERVICE WORKER, LEAD (FULL-TIME)",Eurest,eurest-usa.com,"Food & Beverages",,,,Wichita,KS,"67220"
2022-03-30,"Science - Biology/Forensic Science","Wichita Public Schools",usd259.org,"Primary/Secondary Education","$42.2K ? $53.4K a year",,"Southwest area",Wichita,KS,"67217"
2022-03-31,"Industrial Cleaning Technician","iSi Environmental",isienvironmental.com,"Environmental Services","$30.5K ? $38.7K a year",,,Wichita,KS,"67211"
