DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-12,"Fine Arts Admissions Counselor","Friends University",friends.edu,"Higher Education","$30.4K – $38.4K a year",,,Wichita,KS,""
2022-03-14,"Library Assistant","Friends University",friends.edu,"Higher Education","$29.1K – $36.9K a year",,,Wichita,KS,""
2022-03-14,"Library Assistant","Friends University",friends.edu,"Higher Education","$29.1K – $36.9K a year",,"Delano area",Wichita,KS,"67213"
2022-03-12,"Marketing Coordinator and Analyst","Friends University",friends.edu,"Higher Education","$35.3K – $44.7K a year",,,Wichita,KS,""
2022-03-14,"Supply Chain Supervisor",Ascension,ascension.org,"Hospital & Health Care",,,"Historic Midtown area",Wichita,KS,"66214"
2022-03-12,"Career Services Specialist","Friends University",friends.edu,"Higher Education","$33.2K – $42K a year",,,Wichita,KS,""
2022-03-12,"Assistant Controller","Waste Connections",wasteconnections.com,"Environmental Services",,,,Wichita,KS,""
2022-03-13,"Assistant Supervisor, School Nutrition Programs","Wichita Public Schools",usd259.org,"Primary/Secondary Education","$32.4K – $41K a year",,,Wichita,KS,"67219"
2022-03-12,Supervisor,"NORC at the University of Chicago",norc.org,Research,,,,Wichita,KS,""
2022-03-12,"IDP Research Grant Administrator","Wichita State University",wichita.edu,"Higher Education",,,,Wichita,KS,""
2022-03-12,"Real Estate Operations Specialist","Meritrust Credit Union",meritrustcu.org,Banking,"$28.9K – $36.5K a year",,,Wichita,KS,"67226"
2022-03-14,"Back End Developers","PredICT Interactive",predictinteractive.com,"Marketing & Advertising","$85.5K – $108K a year",,,Wichita,KS,"67202"
2022-03-12,"Strategic Sourcing Buyer","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Wichita,KS,""
2022-03-12,"SEO Manager TGW","The Golf Warehouse",tgw.com,Retail,"$80.8K – $102K a year",Remote,,"Remote in Wichita",KS,"67226"
2022-03-12,"Personal Banker II","UMB Financial Corporation",umb.com,"Financial Services","$28.2K – $35.8K a year",,,Wichita,KS,"67206"
