DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-05,"Manager, Early Career Recruiting",T-Mobile,interseguro.pe,Insurance,,,,"Overland Park",KS,"66251"
2022-03-04,"Metaverse Business Strategist",Accenture,cazoodle.com,"Computer Software",,,,"Overland Park",KS,"66210"
2022-03-07,"Director, Digital Product & Technology - App",T-Mobile,interseguro.pe,Insurance,,,,"Overland Park",KS,"66251"
2022-03-07,"Principal Computer System Validation Consultant","ProPharma Group",propharmagroup.com,Pharmaceuticals,"$103K – $130K a year",,,"Overland Park",KS,"66210"
2022-03-04,"General Manager","Bob Hamilton Plumbing, Heating, A/C, Rooter",bobhamiltonplumbing.com,"Consumer Services",,,,"Overland Park",KS,""
2022-03-04,"Principal Analyst, Enterprise Information Security",T-Mobile,interseguro.pe,Insurance,,,,"Overland Park",KS,"66213"
2022-03-06,"Principal Solutions Consultant","NAVEX Global",grhosp.on.ca,"Hospital & Health Care","$70.3K – $89.1K a year",,,"Overland Park",KS,"66211"
2022-03-04,"Integration Architect (Remote) – Advanced Technology Group","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,Remote,,"Remote in Overland Park",KS,""
2022-03-04,"Modern Change Principal Director",Accenture,cazoodle.com,"Computer Software",,,,"Overland Park",KS,"66210"
2022-03-04,"Vice President of Marketing","Bardavon Health Innovations",bardavon.com,"Health, Wellness & Fitness","$138K – $174K a year",,,"Overland Park",KS,"66202"
2022-03-05,"Director of Worship Arts","Christ Lutheran Church and Education Center",,,"$55,000 - $75,000 a year",,,"Overland Park",KS,"66210"
