DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-09,"National Corporate Relations Director","American Heart Association",heart.org,"Health, Wellness & Fitness",,,,Wichita,KS,"67202"
2022-03-09,"Global Client Director, Verizon - Opportunity for Working Re...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Wichita",KS,""
2022-03-09,"Integrated Campaign Strategist Manager-Deloitte’s Green Dot...",Deloitte,deloitte.com,"Management Consulting",,,,Wichita,KS,""
2022-03-11,Controller,"Central Consolidated, Inc.",centralconsolidated.net,Construction,"From $80,000 a year",,"McCormick area",Wichita,KS,"67213"
2022-03-09,"Client Marketing Manager, Employers","Rx Savings Solutions",rxsavingssolutions.com,"Computer Software",,Remote,,"Remote in Overland Park",KS,"66211"
2022-03-09,"Client Marketing Manager, Employers","RX Saving Solution",,,,Remote,,"Remote in Overland Park",KS,""
2022-03-09,"Client Marketing Manager, Health Plans","Rx Savings Solutions",rxsavingssolutions.com,"Computer Software",,Remote,,"Hybrid remote in Overland Park",KS,"66211"
2022-03-09,"Client Marketing Manager, Health Plans","RX Saving Solution",,,,Remote,,"Hybrid remote in Overland Park",KS,""
2022-03-11,"Data & AI Delivery Lead",Accenture,cazoodle.com,"Computer Software",,,,"Overland Park",KS,"66210"
2022-03-09,"Group Lead","Mesa Associates, Inc.",mesainc.com,Utilities,,,,"Overland Park",KS,"66211"
2022-03-11,"Dir-Field Sales-Yellow Logistics","Yellow Logistics",,,,,,"Overland Park",KS,"66211"
2022-03-09,"Program Manager - Transmission and Distribution Lines","Mesa Associates, Inc.",mesainc.com,Utilities,,,,"Overland Park",KS,"66211"
2022-03-08,"Principal Front-End Web Developer",Accenture,cazoodle.com,"Computer Software",,,,"Overland Park",KS,"66210"
2022-03-10,"Technology Delivery Lead Manager - CMT",Accenture,cazoodle.com,"Computer Software",,,,"Overland Park",KS,"66210"
2022-03-10,"Oracle Utilities Associate Director",Accenture,cazoodle.com,"Computer Software",,,,"Overland Park",KS,"66210"
2022-03-09,"Clinical Project Manager - REF9225Z","ProPharma Group",propharmagroup.com,Pharmaceuticals,,,,"Overland Park",KS,"66210"
2022-03-09,"Solar Project Manager","BioStar Renewables",biostarrenewables.com,"Energy, Utilities & Waste Treatment, Electricity, Oil & Gas","$64,632 - $130,580 a year",,,"Overland Park",KS,"66207"
2022-03-09,"Governance Risk and Compliance Analyst I","Terracon Consultants, Inc.",,,,,,Olathe,KS,"66061"
2022-03-11,"Technical Lead Incoming Inspector",Garmin,garmin.com,"Consumer Electronics",,,,Olathe,KS,""
2022-03-09,"Business Process Consultant - Hardware Asset Management (HAM...",CDW,cdw.com,"Information Technology & Services",,,,"Kansas City",KS,"66101"
2022-03-09,"Business Process Consultant - Hardware Asset Management (HAM...",CDW,cdw.com,"Information Technology & Services",,,,"Kansas City",KS,"66101"
2022-03-08,"Advisory Solution consultant, IT Operations Management (ITOM...",ServiceNow,servicenow.com,"Computer Software",,Remote,,"Remote in Kansas City",KS,""
