DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-01,"Online Admissions Representative - Remote","Galen College of Nursing",galencollege.edu,"Higher Education",,Remote,,"Remote in Louisville",KY,"40207"
2022-12-01,"Supervisor, Health Information Management - Release of Information, Evenings","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,Remote,,"Remote in Louisville",KY,"40202"
2022-11-30,"Roadie Support Representative - Part Time (Remote Optional)","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,"estimated $24.5k - $31k a year",Remote,,"Remote in Louisville",KY,"40205"
2022-11-30,"VP of Human Resources","Center For Women And Families Inc",thecenteronline.org,"Religious Institutions","$73,815 a year",,"Old Louisville area)",Louisville,KY,"40203"
2022-12-01,"Grievances and Appeals Representative",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,"40202"
2022-11-30,"Director of Individual Giving (I15)","Center For Women And Families Inc",thecenteronline.org,"Religious Institutions","$55,458 a year",,"Old Louisville area)",Louisville,KY,"40203"
2022-12-01,"Guest Services Associate, Information Desk, 5:30a-6p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","estimated $26.8k - $33.9k a year",,"Phoenix Hill area)",Louisville,KY,"40202"
2022-11-30,"HUB Student Success Coordinator","KCTCS Careers Site",,,"$36,000 - $42,000 a year",,,"Hybrid remote in Louisville",KY,""
2022-11-29,"Diagnostic Outpatient Imaging Manager","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-12-01,"Quality Outcomes Analyst, Risk Management, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","estimated $75.5k - $95.6k a year",,,Louisville,KY,"40207"
2022-11-30,"Full Time Substance Use Counselor","MedMark Treatment Centers",medmark.com,"Hospital & Health Care",,,,Louisville,KY,"40219"
2022-11-30,"Solution Adoption Enrollment Specialist, Strategic Accounts",Waystar,waystar.com,"Computer Software","estimated $54.6k - $69.1k a year",,,Louisville,KY,""
2022-12-01,"Data and Reporting Professional 2",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,"40202"
2022-11-30,"Solution Adoption Enrollment Specialist, Strategic Accounts",Waystar,waystar.com,"Computer Software","estimated $54.6k - $69.1k a year",,,Louisville,KY,""
2022-12-01,"Quality Outcomes Analyst, Risk Management, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","estimated $75.5k - $95.6k a year",,,Louisville,KY,""
2022-11-30,"Director of Sexual Assault Services","Center For Women And Families Inc",thecenteronline.org,"Religious Institutions","$55,458 a year",,"Old Louisville area)",Louisville,KY,"40203"
2022-12-01,"Transportation Assistant","US Veterans Health Administration",va.gov,"Government Administration","$40,262 - $52,341 a year",,"Brownsboro Zorn area)",Louisville,KY,"40206"
2022-12-01,"Online student Accounts Specialist","Galen College of Nursing",galencollege.edu,"Higher Education",,,,Louisville,KY,"40207"
2022-11-29,"Sterile Processing Tech","UofL Health",uoflhealth.org,"Hospital & Health Care",,,"Phoenix Hill area)",Louisville,KY,"40202"
2022-12-01,"Workers Compensation Claims Associate, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area)",Louisville,KY,"40202"
2022-11-30,"Supervisor, Health Information Management - Release of Information, Evenings","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-11-29,"Creative Content Producer","Soccer Holdings, LLC",,,"estimated $41.2k - $52.2k a year",,"Butchertown area)",Louisville,KY,"40206"
2022-11-30,"Patient Access Representative I- Patient Access","UofL Health",uoflhealth.org,"Hospital & Health Care","estimated $29.2k - $37k a year",,"Central Business District area)",Louisville,KY,"40202"
2022-11-29,"Ground Handling Administrative Assistant","Piedmont Airlines",piedmont-airlines.com,Airlines/Aviation,"estimated $34.8k - $44.1k a year",,,Louisville,KY,""
2022-11-29,"Benefits Administration Professional",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,"40202"
2022-12-01,"Pharmacy Tech, Certified, NCI Pharmacy, 8a-4:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,,Louisville,KY,"40207"
2022-12-01,"Pharmacy Tech, Certified, NCI Pharmacy, 8a-4:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area)",Louisville,KY,"40202"
2022-11-30,"Benefits Analyst",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,"40202"
2022-12-01,"Registration Representive, Guest Services, 10:30a-6:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","estimated $32.1k - $40.7k a year",,,Louisville,KY,"40241"
2022-12-01,"Workers Compensation Claims Associate, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-11-29,"IT Project Manager",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,"40202"
2022-12-01,"Principal – St. Raphael the Archangel School – Louisville, KY","Archdiocese of Cincinnati",catholiccincinnati.org,"Religious Institutions","estimated $49.4k - $62.5k a year",,,Louisville,KY,""
2022-11-29,"Youth Care Worker 2nd Shift NOW STARTING AT 16 PER HOUR","Bellewood & Brooklawn",bellewoodandbrooklawn.org,"Mental Health Care","estimated $28.7k - $36.3k a year",,,Louisville,KY,""
2022-12-01,"Environmental Associate, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","estimated $32.1k - $40.7k a year",,,Louisville,KY,"40207"
2022-12-01,"Medical Director- Addiction Medicine: N. Louisville, KY","Cleanslate Medical Group Of Kentucky Pllc",,,"$250,000 a year",,"Valley Station area)",Louisville,KY,"40272"
2022-11-30,"Defect Analyst",Waystar,waystar.com,"Computer Software","estimated $58.6k - $74.1k a year",,,Louisville,KY,""
2022-11-30,"Defect Analyst",Waystar,waystar.com,"Computer Software","estimated $58.6k - $74.1k a year",,,Louisville,KY,""
2022-12-01,"Coding Educator 2",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,"40202"
2022-11-30,"Probation and Parole Officer I","Kentucky Department Of Corrections",,,"$40,604 a year",,"Russell area)",Louisville,KY,"40203"
2022-12-01,"Coding Educator 2",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,"40202"
2022-11-29,"Peer Support Specialist - Addictions","Seven Counties Services",sevencounties.org,"Mental Health Care","estimated $30.5k - $38.6k a year",,,Louisville,KY,""
2022-11-30,"Custom Protection Officer - Hospital","Allied Universal®",,,"$24 an hour",,"Central Business District area)",Louisville,KY,"40202"
2022-11-30,"Data Analyst",After,mcwade.com,,"estimated $68.4k - $86.6k a year",,,"Hybrid remote in Louisville",KY,""
2022-12-01,"Customer Service Pharmacy Tech",Chewy,chewy.com,Retail,"up to $18 an hour",,,Louisville,KY,""
2022-12-01,"CL A Dedicated 100% Drop n Hook Starting Pay of 75CPM Dogs Allowed Day 1","Rudolph Transportation",,,"$90,000 - $95,000 a year",,,Louisville,KY,"40223"
2022-12-01,"Assessment Clinician I, Access Clinical, UofL Health- Peace Hospital, Full Time, First Shift","UofL Health",uoflhealth.org,"Hospital & Health Care","estimated $45.5k - $57.6k a year",,"Highlands Douglas area)",Louisville,KY,"40205"
2022-12-01,"Security Dispatch, 7a-7p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","estimated $33.5k - $42.4k a year",,,Louisville,KY,"40241"
2022-12-01,"LifeSet Specialist","Youth Villages",youthvillages.org,"Nonprofit Organization Management","$41,000 - $48,000 a year",,"Highlands Douglas area)",Louisville,KY,"40205"
2022-12-01,"Medical Director- Addiction Medicine: S. Louisville, KY","Cleanslate Medical Group Of Kentucky Pllc",,,"$250,000 a year",,,Louisville,KY,"40258"
2022-11-30,"Full-Time Visual Merchandiser",KOHLS,kohls.com,"Real Estate",,,,Louisville,KY,"40291"
2022-12-01,"Reimbursement UM Administration Coordinator - VSP",Humana,humana.com,"Health, Wellness & Fitness",,,"Central Business District area)",Louisville,KY,"40202"
2022-11-30,"W3-PITO KYNTP INVENTORY (23:00-07:30 Su-Thurs)","UNITED PARCEL SERVICE",ups.com,"Logistics & Supply Chain",,,,Louisville,KY,"40214"
