DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-02,"Operations Agent","Southwest Airlines",southwest.com,Airlines/Aviation,"$17.41 an hour",,"Louisville Muhammad Ali International Airport area",Louisville,KY,"40209"
2022-03-01,"Registration Representative, 8:30a-5p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,,Louisville,KY,"40207"
2022-03-02,"Water Meter Reader","Olameter Corporation",olameter.com,Utilities,"$20.60 an hour",,"Central Business District area",Louisville,KY,"40203"
2022-03-02,"Assistant Store Leader of Operations","Altar'd State",altardstate.com,Retail,,,,Louisville,KY,"40222"
2022-03-01,"Claims Adjuster- Medical Pay",Progressive,progressivepartnership.co.uk,"Market Research","$21.50 - $23.00 an hour",Remote,,"Remote in Louisville",KY,""
2022-03-01,"Receptionist, Norton Community Medical Associates - Fairdale...","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,,Louisville,KY,"40214"
2022-03-03,"EKG Technician-Cardiology-UofL Health Rudd Heart and Lung Ce...","UofL Health",uoflhealth.org,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-03-02,"Assistant Campus Registrar - Online","Galen College of Nursing",galencollege.edu,"Higher Education",,,,Louisville,KY,"40207"
2022-03-02,"Material Handler","Goodwill Industries Works, LLC",,,"$12 an hour",,,Louisville,KY,"40229"
2022-03-03,"Receptionist/HR Assistant","Bellewood & Brooklawn",bellewoodandbrooklawn.org,"Mental Health Care","$25.5K – $32.3K a year",,"Bashford Manor area",Louisville,KY,"40218"
2022-03-01,"Patient Care Associate, Cardiovascular ICU, 6:45a-7:15p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-03-03,"EHR Technician, Release of Information, 7a-3:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-03-03,"Customer Success Executive",Bloomerang,bloomerang.co,"Information Technology & Services",,Remote,,"Remote in Louisville",KY,""
2022-03-01,"Transportation Care Associate, 8p-5a","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-03-01,"Workers' Compensation Claims Examiner","Kentucky Employers' Mutual Insurance",kemi.com,Insurance,"$48.2K – $61K a year",Remote,,"Remote in Louisville",KY,""
2022-03-03,"EVENTS AND OPERATIONS ASSISTANT","Peake Media",,,"$34.4K – $43.6K a year",,,Louisville,KY,"40243"
2022-03-03,"Receptionist, Norton Medical Group Provider Float, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Bashford Manor area",Louisville,KY,"40218"
2022-03-02,"Operations Agent","Southwest Airlines Co.",sammcelroy.co.uk,,"$17.41 an hour",,"Louisville Muhammad Ali International Airport area",Louisville,KY,"40209"
2022-03-01,"Medical Scheduler","UofL Health",uoflhealth.org,"Hospital & Health Care","$27.1K – $34.3K a year",,"Hazelwood area",Louisville,KY,"40215"
2022-03-01,"Data Analytics Assistant","Commonwealth Pain Associates, PLLC",,,"$31.2K – $39.6K a year",,,Louisville,KY,"40207"
2022-03-03,"SRC Rep I",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Louisville,KY,""
2022-03-02,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,,Louisville,KY,"40272"
2022-03-01,"Registrar, Norton Cancer Institute, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-03-03,"Data Entry Clerk (BGS)","Brink's Incorporated",brinks.com,"Logistics & Supply Chain",,,"Louisville Muhammad Ali International Airport area",Louisville,KY,"40213"
