DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-16,"Biller, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,Remote,,"Remote in Louisville",KY,"40202"
2022-04-17,"Beneficiary Service Representative (BSR)",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,"40202"
2022-04-17,"Specialist: Full-Time, Part-Time, and Part-Time Temporary",Apple,apple.com,"Consumer Electronics",,,,Louisville,KY,"40222"
2022-04-16,"Virtual Bilingual Customer Advisor",Parallon,parallon.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-04-17,"Online student Accounts Specialist","Galen College of Nursing",galencollege.edu,"Higher Education",,,,Louisville,KY,"40207"
2022-04-17,"Transportation Services Coordinator, 6a-2:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-04-16,"Claim Clerk",CCMSI,ccmsi.com,Insurance,"$31.2K – $39.6K a year",Remote,,"Remote in Louisville",KY,"40223"
2022-04-16,"Registration Representative, 5:30a-2p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Poplar Level area",Louisville,KY,"40217"
2022-04-16,"Online Admissions Representative - Remote","Galen College of Nursing",galencollege.edu,"Higher Education",,Remote,,"Remote in Louisville",KY,"40207"
2022-04-16,"Customer Service Rep-Office Assistant","Decorative Mirror Mfg LLC",,,"$42,000 - $46,000 a year",,"Tyler Park area",Louisville,KY,"40204"
2022-04-18,"Hospital Security Officer","Allied Universal®",,,,,,Louisville,KY,"40229"
2022-04-16,"Virtual Trauma Data Abstractor",Parallon,parallon.com,"Hospital & Health Care",,Remote,,"Remote in Louisville",KY,""
2022-04-16,"Financial Consultant - Louisville, KY","Fidelity Investments",smcc.edu,"Higher Education",,,,Louisville,KY,"40222"
2022-04-16,"Security Officer","Allied Universal®",,,,,"Prestonia area",Louisville,KY,"40213"
2022-04-17,"Security Officer","Allied Universal®",,,,,,Louisville,KY,""
2022-04-17,"Technical Specialist",Apple,apple.com,"Consumer Electronics",,,,Louisville,KY,"40222"
2022-04-18,"AR Commercial Follow Up Specialist","UofL Health",uoflhealth.org,"Hospital & Health Care","$23.7K – $30.1K a year",,"Central Business District area",Louisville,KY,"40202"
2022-04-17,"Security Officer","Allied Universal®",,,,,,Louisville,KY,"40258"
2022-04-16,"Product Coach- California Region","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,"Direct Support Specialist - Addictions","Seven Counties Services",sevencounties.org,"Mental Health Care",,,,Louisville,KY,""
2022-04-16,"Accounts Receivable Clerk - within 50 miles of Louisville, K...",Optum,optuminc.com,,,,"Hikes Point area",Louisville,KY,"40220"
2022-04-16,"Customer Service Specialist",Parallon,parallon.com,"Hospital & Health Care",,,,Louisville,KY,"40299"
2022-04-16,"Pharmacy Technician / Pharm Tech Apprenticeship",WALGREENS,walgreens.com,Retail,,,"Southside area",Louisville,KY,"40214"
2022-04-18,"Ast Mgr Merchandise (Louisville, KY)",JCPenney,cjpenney.com,,,,,Louisville,KY,""
2022-04-16,"Leasing Consultant",MAA,maac.com,"Real Estate",,,,Louisville,KY,"40222"
2022-04-18,"Ast Mgr Merchandise (Louisville, KY)","J.C. Penney Corporation, Inc.",,,,,"Okolona area",Louisville,KY,"40219"
2022-04-16,"Entry Level Sales Representative","American Roofing & Metal Inc.",,,"$50,000 - $150,000 a year",,,Louisville,KY,"40218"
2022-04-16,"Jaggers Managing Partner",Jaggers,shopjaggers.com,Automotive,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,"Broker Service Rep I-II",Anthem,anthem.com,Insurance,"$16.40 - $20.50 an hour",,,Louisville,KY,"40201"
2022-04-16,"Program Support Assistant (OA)","US Veterans Health Administration",va.gov,"Government Administration","$40,262 - $52,341 a year",,"Brownsboro Zorn area",Louisville,KY,"40206"
2022-04-16,"Customer Service Representative, Full or Part Time","Circle K",circlek.com,Retail,,,"Fern Creek area",Louisville,KY,"40291"
2022-04-16,"EHR Technician, Release of Information, 2p-10:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-04-16,"Commercial Loan Servicer","Park Community Credit Union",parkcommunity.com,Banking,"$20 - $22 an hour",Remote,,"Hybrid remote in Louisville",KY,"40299"
2022-04-17,"FIELD SPECIALIST","Family Dollar",familydollar.com,Retail,,,"Parkland area",Louisville,KY,"40211"
2022-04-16,"Marketing Coach North/East-B33",Bubbas,,,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,"Customer Service Representative, Full or Part Time","Circle K",circlek.com,Retail,,,,Louisville,KY,"40219"
2022-04-16,"Accounts Receivable Representative","GE Appliances",geappliancesco.com,"Consumer Goods","$19.25 an hour",,,Louisville,KY,"40225"
2022-04-16,"Customer Service Representative, Full or Part Time","Circle K",circlek.com,Retail,,,"Valley Station area",Louisville,KY,"40272"
2022-04-16,"APPLICATION DEVELOPER",AAK,aak.com,,"$66.4K – $84K a year",,"Algonquin area",Louisville,KY,"40208"
2022-04-17,"STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40216"
2022-04-16,"Keyholder FT",Garage,shopgarageonline.com,"Apparel & Fashion","$25.3K – $32.1K a year",,,Louisville,KY,"40207"
2022-04-16,"MANAGEMENT TRAINEE PROGRAM","Stock Yards Bank and Trust",syb.com,Banking,"$48.5K – $61.5K a year",,"Central Business District area",Louisville,KY,"40202"
2022-04-16,"APPLICATION DEVELOPER","AAK USA K1",,,"$66.4K – $84K a year",,"Algonquin area",Louisville,KY,"40208"
2022-04-17,"Academic Records Associate","Galen College of Nursing",galencollege.edu,"Higher Education",,,,Louisville,KY,"40207"
2022-04-16,"Marketing Coach-Pittsburgh/NE Ohio Market","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,,Louisville,KY,"40243"
2022-04-16,"Training Manager","Malibu Jacks",,,"$36.7K – $46.5K a year",,"Hikes Point area",Louisville,KY,"40220"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,,Louisville,KY,"40299"
2022-04-16,"Utility Trainee- Drainage (subject to shift)","Louisville/Jefferson County Metropolitan Sewer...",louisvillemsd.org,Utilities,"$36,254 a year",,"Parkland area",Louisville,KY,"40211"
2022-04-16,"Registration Representative/ PCA, Sleep Disorder, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Poplar Level area",Louisville,KY,"40217"
2022-04-16,"Storeroom Clerk",Sodexo,sodexo.com,"Facilities Services",,,"Jacobs area",Louisville,KY,"40215"
2022-04-17,"Inventory Specialist",WALGREENS,walgreens.com,Retail,,,,Louisville,KY,"40241"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,,Louisville,KY,"40222"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,"Hikes Point area",Louisville,KY,"40220"
2022-04-16,"Patient Access Coordinator","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,,Louisville,KY,"40218"
2022-04-15,"Accounts Receivable Representative I, Central Business Offic...","UofL Health",uoflhealth.org,"Hospital & Health Care",,,"Central Business District area",Louisville,KY,"40202"
2022-04-17,"Security Guard","Allied Universal®",,,,,,Louisville,KY,"40216"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,"Edgewood area",Louisville,KY,"40213"
2022-04-16,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,,Louisville,KY,"40299"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,,Louisville,KY,"40216"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,,Louisville,KY,"40291"
2022-04-16,"Physical Therapy Tech","Commonwealth Pain Associates, PLLC",,,,,,Louisville,KY,"40207"
2022-04-16,"Customer Service Representative","Circle K",circlek.com,Retail,,,,Louisville,KY,"40299"
2022-04-16,"Stock Clerks- Stockroom, Warehouse, or Storage Yard","BLUEGRASS TOOL WAREHOUSE",,,"$32,000 - $38,000 a year",,,Louisville,KY,"40218"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,,Louisville,KY,"40229"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Clifton Heights area",Louisville,KY,"40206"
1970-01-01,Server,"Waffle House",wafflehouse.com,Restaurants,"$10 - $18 an hour",,"Valley Station area",Louisville,KY,"40272"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Hikes Point area",Louisville,KY,"40220"
2022-04-16,"Medical Lab Technician, Norton Cancer Institute, 8a-5p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,,Louisville,KY,"40207"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40214"
2022-04-18,"Vault Armed Custodian","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$17 an hour",,,Louisville,KY,"40299"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40218"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Saint Joseph area",Louisville,KY,"40217"
2022-04-16,"Administrative and Pricing Coordinator","Johnson Controls",ashburton.wa.gov.au,"Government Administration",,,,Louisville,KY,""
2022-04-16,"Texas Roadhouse Managing Partner","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,,Louisville,KY,"40223"
2022-04-16,"Pharmacy Tech - M-F 6:00am-2:30pm","Kroger General Office",thekrogerco.com,Retail,,,,Louisville,KY,"40228"
2022-04-16,"Client Project Specialist - Remote, USA",Intelerad,intelerad.com,"Medical Devices",,Remote,,"Remote in Louisville",KY,""
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"South Louisville area",Louisville,KY,"40208"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40219"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Tyler Park area",Louisville,KY,"40204"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Valley Station area",Louisville,KY,"40272"
2022-04-18,"FT-Head Cashier-Flexible",Lowe's,lowes.com,Retail,,,,Louisville,KY,"40222"
2022-04-16,"PCA/Unit Coordinator, NICU, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,,Louisville,KY,"40207"
2022-04-18,"HIM Continuum of Care Technician, Health Information Managem...","UofL Health",uoflhealth.org,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Jacobs area",Louisville,KY,"40215"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40258"
2022-04-16,"Texas Roadhouse Managing Partner","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,,Louisville,KY,"40207"
2022-04-16,"Texas Roadhouse Managing Partner","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Okolona area",Louisville,KY,"40219"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Parkland area",Louisville,KY,"40211"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40216"
2022-04-18,"Customer Service Associate",WALGREENS,walgreens.com,Retail,,,,Louisville,KY,"40222"
2022-04-15,"Certified Targeted Case Manager: Louisville, KY","CleanSlate Centers",cleanslatecenters.com,"Hospital & Health Care","$31.6K - $40K a year",,,Louisville,KY,"40258"
2022-04-16,"Night Auditor","Louisville Residence Inn",,,"$14 - $15 an hour",,,Louisville,KY,"40245"
2022-04-18,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Clifton Heights area",Louisville,KY,"40206"
2022-04-16,"Scheduler, Norton Heart Specialist-Springs, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,"Patient Access Coordinator","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-04-16,"Jaggers Manager",Jaggers,shopjaggers.com,Automotive,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40258"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Central Business District area",Louisville,KY,"40203"
2022-04-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40214"
2022-04-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Portland area",Louisville,KY,"40212"
2022-04-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Jacobs area",Louisville,KY,"40215"
2022-04-17,"Security Officer","Allied Universal®",,,,,,Louisville,KY,""
2022-04-17,"Security Officer","Allied Universal®",,,,,,Louisville,KY,""
2022-04-18,"FT-Sales Specialist - Flooring-Day",Lowe's,lowes.com,Retail,,,,Louisville,KY,"40218"
2022-04-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Portland area",Louisville,KY,"40212"
2022-04-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Valley Station area",Louisville,KY,"40272"
2022-04-17,"Security Officer","Allied Universal®",,,,,,Louisville,KY,"40229"
2022-04-16,"Diagnostic Sonographer, Norton OBGYN Associates, 8a-5p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-04-16,"Endo Tech - Full Time, Days","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-04-16,"Medical Assistant / LMR","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-04-16,"Marketing Coach- Chicago","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"South Louisville area",Louisville,KY,"40208"
2022-04-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Central Business District area",Louisville,KY,"40203"
2022-04-16,"Consulting Utility Forester (CUF)","CN Utility Consulting",cnutility.com,Utilities,"$35.6K - $45K a year",,,Louisville,KY,""
2022-04-16,"Breakfast Attendant","Drury Hotels",druryhotels.com,Hospitality,"$14.50 an hour",,,Louisville,KY,"40222"
2022-04-16,"Accounting Associate/ Accountant I (Grade 13/14)","Louisville/Jefferson County Metropolitan Sewer...",louisvillemsd.org,Utilities,"$43,846 - $69,992 a year",,"Central Business District area",Louisville,KY,"40203"
2022-04-16,"Care Manager, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Poplar Level area",Louisville,KY,"40217"
2022-04-16,"Product Coach-Indiana Region","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-18,"CL A Dedicatted Regional-Trainees OK-Home Wkly-Dog Day One","Predator Transport",,,"$55.2K - $70K a year",,,Louisville,KY,"40223"
2022-04-17,"Entry Level Recruiter/Sales Trainee",Aerotek,aerotek.com,"Staffing & Recruiting","$45,000 a year",,,Louisville,KY,"40223"
2022-04-16,"Product Coach-Michigan Region","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-17,"Bilingual Recruiter (English/Spanish)",Aerotek,aerotek.com,"Staffing & Recruiting","$45,000 a year",,,Louisville,KY,"40223"
2022-04-16,"Broker Service Rep I-II",Anthem,anthem.com,Insurance,"$16.40 - $20.50 an hour",,,Louisville,KY,"40201"
2022-04-16,"Retail Department Supervisor","Bed Bath & Beyond",bedbathandbeyond.com,Retail,,,,Louisville,KY,"40207"
2022-04-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Louisville,KY,"40219"
2022-04-16,"Customer Service Representative - UniFirst",UniFirst,unifirst.com,Textiles,,,,Louisville,KY,"40201"
2022-04-16,"Medical Assistant, Norton Heart Specialist-Springs, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,"To Go",Chilis,chilis.com,Restaurants,,,,Louisville,KY,"40218"
2022-04-16,"Surgical Services Assistant Main OR","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-04-16,"Marketing Coach- Florida Region","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,"Retail Store Supervisor","Burlington Stores",burlingtonstores.jobs,,,,"Valley Station area",Louisville,KY,"40258"
2022-04-16,"Freight Processing Lead","Big Lots",bigink.com,,,,"Hikes Point area",Louisville,KY,"40220"
2022-04-16,"Retail Store Supervisor","Burlington Stores",burlingtonstores.jobs,,,,,Louisville,KY,"40218"
2022-04-16,"To Go",Chilis,chilis.com,Restaurants,,,"Poplar Level area",Louisville,KY,"40217"
2022-04-18,"Maintenance Helper","AZZ Incorporated",azz.com,"Electrical/Electronic Manufacturing","$28K - $35.4K a year",,,Louisville,KY,""
2022-04-18,"Maintenance Helper","AZZ Incorporated",azz.com,"Electrical/Electronic Manufacturing","$28K - $35.4K a year",,,Louisville,KY,""
2022-04-16,"To Go",Chilis,chilis.com,Restaurants,,,,Louisville,KY,"40222"
2022-04-16,"Scheduling Coordinator","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-04-16,"Maintenance Custodian - M-F 5pm to 1:30am",GameStop,gamestop.com,Retail,,,,Louisville,KY,"40229"
2022-04-16,"To Go",Chilis,chilis.com,Restaurants,,,,Louisville,KY,"40241"
2022-04-16,"Teller Lead","PNC Financial Services Group",,,,,,Louisville,KY,"40222"
2022-04-16,"To Go",Chilis,chilis.com,Restaurants,,,,Louisville,KY,"40229"
2022-04-16,Bartender,Chilis,chilis.com,Restaurants,,,,Louisville,KY,"40229"
2022-04-16,"Marketing Coach- New England Region","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,"Probation and Parole Officer I","Kentucky Department Of Corrections",,,"$38,280 a year",,"Russell area",Louisville,KY,"40203"
2022-04-16,"Local Store Marketing Coach-Northeast","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-17,"FIELD SPECIALIST","Family Dollar",familydollar.com,Retail,,,"Parkland area",Louisville,KY,"40211"
2022-04-16,Bartender,Chilis,chilis.com,Restaurants,,,,Louisville,KY,"40222"
2022-04-17,"RN, Labor & Delivery, UofL Health-University Hospital, 7P-7A...","UofL Health",uoflhealth.org,"Hospital & Health Care","$94.3K – $119K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2022-04-16,"Respiratory Care Practitioner, Pulmonary Function Lab, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Poplar Level area",Louisville,KY,"40217"
2022-04-17,"Middle School Teacher",GetSelected.com,getselected.com,"Staffing & Recruiting","$41.7K – $52.7K a year",,,Louisville,KY,"40218"
2022-04-16,"Assistant Nurse Manager, ICU/OHU, Nights","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Poplar Level area",Louisville,KY,"40217"
2022-04-16,"Registered Nurse Radiology Triage","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-04-17,"Registered Nurse, Emergency Department, UofL Health, Mary &...","UofL Health",uoflhealth.org,"Hospital & Health Care","$57.9K – $73.3K a year",,"Hazelwood area",Louisville,KY,"40215"
2022-04-17,"Registered Nurse, Inpatient Detox Unit, UofL Health, Mary &...","UofL Health",uoflhealth.org,"Hospital & Health Care","$69.3K – $87.7K a year",,"Hazelwood area",Louisville,KY,"40215"
2022-04-17,"Registered Nurse, Inpatient Detox Unit, UofL Health, Mary &...","UofL Health",uoflhealth.org,"Hospital & Health Care","$69.3K – $87.7K a year",,"Hazelwood area",Louisville,KY,"40215"
2022-04-17,"Registered Nurse, Emergency Department, UofL Health, Mary &...","UofL Health",uoflhealth.org,"Hospital & Health Care","$60.9K – $77.1K a year",,"Hazelwood area",Louisville,KY,"40215"
2022-04-16,"Bubbas 33 Product Coach - Detroit","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,"Teller Retail Banker","Woodforest National Bank",woodforest.com,Banking,"$28.8K – $36.4K a year",,,Louisville,KY,"40229"
2022-04-16,"Bubbas 33 Product Coach - Indianapolis","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-04-16,Dishwasher,Chilis,chilis.com,Restaurants,,,,Louisville,KY,"40229"
