DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-05,"Specimen Accessioner (Laboratory Associate)",Labcorp,labcorp.com,"Hospital & Health Care",,,,Louisville,KY,"40229"
2022-03-07,"Teacher's Aide","Immaculata Classical Academy",,,"$22.7K – $28.7K a year",,"Clifton area",Louisville,KY,"40206"
2022-03-07,"Full Time Retail Supervisor",LEGO,lego.com,"Consumer Goods",,,,Louisville,KY,""
2022-03-05,"Customer Success Associate",Bloomerang,bloomerang.co,"Information Technology & Services",,Remote,,"Remote in Louisville",KY,""
2022-03-05,"Processing Clerk III","Exela Technologies Inc.",exelatech.com,"Information Technology & Services","$27.3K – $34.5K a year",,,Louisville,KY,""
2022-03-05,Dispatcher,"Louisville Water Company",louisvillewater.com,Utilities,"From $24.52 an hour",,"Southside area",Louisville,KY,"40214"
2022-03-05,"Canon Specialist","Best Buy",bestbuy.com,Retail,,,,Louisville,KY,"40207"
2022-03-07,"High School Medieval Humanities","Immaculata Classical Academy",,,"$29.5K – $37.3K a year",,"Clifton area",Louisville,KY,"40206"
2022-03-05,"Distribution Associate","Louisville Water Company",louisvillewater.com,Utilities,"From $20.26 an hour",,"Southside area",Louisville,KY,"40214"
2022-03-06,"Distribution Associate - Riverport Area – 1st Shift (6:30 AM...","Wolverine Worldwide",,,"$17.25 an hour",,,Louisville,KY,""
2022-03-05,"Remote Benefits Advocate",Benelynk,benelynk.com,"Hospital & Health Care","$18.50 - $20.50 an hour",Remote,,"Remote in Louisville",KY,""
2022-03-05,"Specimen Accessioner (Laboratory Associate)",Labcorp,labcorp.com,"Hospital & Health Care",,,,Louisville,KY,"40229"
2022-03-05,Cashier,"Goodwill Industries Works, LLC",,,"$11 an hour",,,Louisville,KY,"40222"
2022-03-05,"Restaurant Team Member - Crew (2096 - Springhurst)",Chipotle,,,,,,Louisville,KY,"40241"
2022-03-05,"Digital Marketing Analytics Professional",Humana,humana.com,"Health, Wellness & Fitness",,,"Central Business District area",Louisville,KY,"40202"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40229"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Highview area",Louisville,KY,"40228"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40219"
2022-03-05,"Guest Services Rep Full Time-104010","Extended Stay America",extendedstayamerica.com,Hospitality,,,,Louisville,KY,"40299"
2022-03-05,"Bearcat Den After School Assistant","Kentucky Country Day (KCD)",,,"$20 an hour",,,Louisville,KY,""
2022-03-05,"Guest Services Rep Full Time-104010","Extended Stay America",extendedstayamerica.com,Hospitality,,,"Highlands Douglas area",Louisville,KY,"40205"
2022-03-05,"Production Clerk","Goodwill Industries of Kentucky",goodwillky.org,"Consumer Services","$11 an hour",,,Louisville,KY,"40222"
2022-03-05,"Medical Scheduler, Cardiology, UofL Physicians-Medical Cente...","UofL Health",uoflhealth.org,"Hospital & Health Care","$29.1K – $36.9K a year",,,Louisville,KY,"40207"
2022-03-06,"Academic Records Associate","Galen College of Nursing",galencollege.edu,"Higher Education",,,,Louisville,KY,"40207"
2022-03-06,"ADVANCED MEDICAL SUPPORT ASSISTANT - Catheterization Lab & S...","US Veterans Health Administration",va.gov,"Government Administration","$40,262 - $52,341 a year",,"Brownsboro Zorn area",Louisville,KY,"40206"
2022-03-05,"Material Handler","Goodwill Industries Works, LLC",,,"$12 an hour",,,Louisville,KY,"40216"
2022-03-05,"Behavioral Science Research","Change Healthcare",changehealthcare.com,"Information Technology & Services",,Remote,,"Remote in Louisville",KY,""
2022-03-06,"PIT Operator - Riverport Area – 1st Shift (6:30 AM - 3:00 PM...","Wolverine Worldwide",,,"$18.75 an hour",,,Louisville,KY,""
2022-03-05,"Service Advisor","Mercedes-Benz of Louisville",mblouisville.com,Automotive,"$40,000 - $100,000 a year",,,Louisville,KY,""
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40207"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40242"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Saint Joseph area",Louisville,KY,"40213"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Fern Creek area",Louisville,KY,"40291"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Hikes Point area",Louisville,KY,"40220"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Poplar Level area",Louisville,KY,"40213"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40219"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Iroquois area",Louisville,KY,"40214"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Bon Air area",Louisville,KY,"40218"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40241"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40216"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40216"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Russell area",Louisville,KY,"40211"
2022-03-05,"Community Associate",Regus,,,"$27.5K – $34.9K a year",,,Louisville,KY,""
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,"Valley Station area",Louisville,KY,"40272"
2022-03-07,"MANAGER TRAINEE",AutoZone,autolinesorters.com,,,,,Louisville,KY,"40258"
2022-03-05,"Sales Associate / Design Consultant – Full Time","Arhaus Furniture",,,,,,Louisville,KY,""
2022-03-05,"Production Clerk","Goodwill Industries Works, LLC",,,"$11 an hour",,,Louisville,KY,"40222"
2022-03-05,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,,Louisville,KY,"40299"
2022-03-06,"Main Banker (2nd/3rd Shift)","Derby City Gaming",derbycitygaming.com,"Gambling & Casinos","$27K – $34.2K a year",,"Prestonia area",Louisville,KY,"40213"
2022-03-06,"Warehouse Associate","Schwan’s Home Delivery",,,"$18 an hour",,,Louisville,KY,"40229"
2022-03-05,"Temporary B-F Distillery Operations Finance",Brown-Forman,brown-forman.com,"Wine & Spirits",,,,Louisville,KY,""
2022-03-05,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,"Old Louisville area",Louisville,KY,"40208"
2022-03-05,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,,Louisville,KY,"40207"
2022-03-05,"Security Officer, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2022-03-05,"Customer Service Representative","Circle K",circlek.com,Retail,,,,Louisville,KY,"40207"
2022-03-05,"Customer Service Representative","Circle K",circlek.com,Retail,,,,Louisville,KY,"40299"
2022-03-05,"Assistant General Manager NE","Old Navy",gap.com,Retail,,,,Louisville,KY,"40241"
2022-03-05,"Sales Associate / Design Consultant – Full Time","Arhaus LLC",arhaus.com,Retail,,,,Louisville,KY,""
2022-03-05,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,,Louisville,KY,"40216"
2022-03-07,"Replenishment Manager",Michaels,michaels.com.au,Photography,,,,Louisville,KY,"40241"
