DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/17/2022,"Call Center Guest Services Agent (Seasonal)","Churchill Downs Racetrack LLC",churchilldowns.com,Sports,,,"Algonquin area",Louisville,KY,"40208"
2/17/2022,"Investigative Analyst","U.S. Marshals Service",usmarshals.gov,"Law Enforcement","$54,727 - $71,146 a year",,"Central Business District area",Louisville,KY,"40202"
2/17/2022,"Lead Transportation Security Officer","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$48,703 - $73,135 a year",,,Louisville,KY,""
2/17/2022,"FT-Sales Associate - Outside Lawn And Garden-Day",Lowe's,lowes.com,Retail,,,,Louisville,KY,"40218"
2/17/2022,"Morning Barista","Schulte Companies",schultehotels.com,Hospitality,"$16 - $18 an hour",,"Central Business District area",Louisville,KY,"40202"
2/17/2022,"WLKY - Weekend Assignment Editor","Hearst Media Services",hearstmediact.com,"Marketing & Advertising",,,"Clifton area",Louisville,KY,"40206"
2/16/2022,"Advocacy Host",Bacardi,bacardilimited.com,"Wine & Spirits","$32.7K ? $41.3K a year",,,Louisville,KY,""
2/16/2022,"Receptionist, NOS - Brownsboro, 8:30a-5p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$23.1K ? $29.3K a year",,,Louisville,KY,"40241"
2/16/2022,"Server (2142)","Cheddar's Scratch Kitchen",cheddars.com,Restaurants,"$12 - $22 an hour",,"Okolona area",Louisville,KY,"40219"
2/15/2022,"Sterile Processing Assistant, UofL Health-University Hospita...","UofL Health",uoflhealth.org,"Hospital & Health Care","$27K ? $34.2K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2/15/2022,"Medical Support Assistant (Call Center)","US Veterans Health Administration",va.gov,"Government Administration","$36,118 - $46,953 a year",,"Brownsboro Zorn area",Louisville,KY,"40206"
2/16/2022,"Sales Manager","Milan Laser Hair Removal",milanlaser.com,"Health, Wellness & Fitness","$90,000 - $120,000 a year",,,Louisville,KY,"40243"
2/16/2022,"Registration Representative, 8a-4:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$25.2K ? $32K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2/17/2022,"On Air Talent","Alpha media",alphamediausa.com,"Marketing & Advertising",,,"Central Business District area",Louisville,KY,"40202"
2/17/2022,"Department Secretary, Radiology Department, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$24.3K ? $30.7K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2/16/2022,"Health Technician","US Veterans Health Administration",va.gov,"Government Administration","$36,118 - $46,953 a year",,,Louisville,KY,""
2/17/2022,"SERVICE ASSOCIATE I - Summer Help/Seasonal","Stock Yards Bank and Trust",syb.com,Banking,"$22.7K ? $28.7K a year",,"Irish Hill area",Louisville,KY,"40206"
2/16/2022,"Cashier - Food Services, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$20.2K ? $25.6K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2/16/2022,"ER Tech/Unit Coordinator, Emergency Room, Nights","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2/16/2022,Dispatch,"Willis Klein Showrooms",,,"$29.7K ? $37.5K a year",,,Louisville,KY,""
2/17/2022,"Retail Sales Consultant",AT&T,att.com,Telecommunications,"$55,965 a year",,,Louisville,KY,""
2/16/2022,"UPS Corporate Agent","Internova Travel Group",travelleadersgroup.com,"Leisure, Travel & Tourism","$28.9K ? $36.7K a year",,,Louisville,KY,""
2/17/2022,"Retail Team Leader","Gordon Food Service",gfs.com,"Food & Beverages","From $16 an hour",,,Louisville,KY,"40258"
2/15/2022,"Scheduler, Neurosurgical Institute KY-Gray St, 8a-4:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$28.4K ? $36K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2/15/2022,"Supervisor, Environmental Services, Evenings","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$32.7K ? $41.3K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2/17/2022,"Dental Receptionist","Mortenson Family Dental",mortensonfamilydental.com,"Medical Practice","$27.1K ? $34.3K a year",,,Louisville,KY,"40299"
2/17/2022,"Coordinator, Norton Medical Group, Access Center, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$29.1K ? $36.9K a year",,"Bashford Manor area",Louisville,KY,"40218"
2/16/2022,"Quality Coordinator - Off Shift","Conagra Brands",conagrabrands.com,"Food & Beverages","$31.4K ? $39.8K a year",,,Louisville,KY,""
2/17/2022,"TopWorx Co-Op Program 2022",Emerson,emerson.com,"Mechanical Or Industrial Engineering","$56K ? $71K a year",,,Louisville,KY,""
2/15/2022,"Dental Receptionist","Kid's Dentistree",kidsdentistree.com,"Health, Wellness & Fitness","$31.1K ? $39.3K a year",,"Okolona area",Louisville,KY,"40219"
2/16/2022,"Pre-Access Specialist","UofL Health",uoflhealth.org,"Hospital & Health Care","$26.6K ? $33.6K a year",,"Central Business District area",Louisville,KY,"40202"
2/16/2022,"Registration Representative, 7a-3:30p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$25.2K ? $32K a year",,"Poplar Level area",Louisville,KY,"40217"
2/15/2022,"Patient Access Coordinator","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2/17/2022,"Charge Entry Specialist, Central Business Office, UofL Physi...","UofL Health",uoflhealth.org,"Hospital & Health Care",,Remote,,"Remote in Louisville",KY,""
2/16/2022,"ER Tech/Unit Coordinator, Emergency Services, 7p-7a","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Poplar Level area",Louisville,KY,"40217"
2/16/2022,"Communications Field Technician I","Pike Electric, Inc",pike.com,Construction,"$26.7K ? $33.9K a year",,,Louisville,KY,"40223"
2/16/2022,"IT Support Specialist",Zappos.com,,,"$38.3K ? $48.5K a year",,,Louisville,KY,""
2/16/2022,"Environmental Associate, Evenings","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$32.1K ? $40.7K a year",,,Louisville,KY,"40241"
2/16/2022,"Practice Supervisor, Advocates for Womens Health, 8:30a-5p","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$39K ? $49.4K a year",,,Louisville,KY,"40241"
2/17/2022,"Specialty Department Team Trainer (Beer, Wine, Cheese & Choc...","Whole Foods Market",wholefoodsmarket.com,Supermarkets,"$25.9K ? $32.9K a year",,,Louisville,KY,"40207"
2/17/2022,"Patient Access Coordinator","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2/15/2022,"Sustainability Project Coordinator","Schneider Electric",se.com,"Electrical/Electronic Manufacturing","$41.5K ? $52.5K a year",Remote,,"Remote in Louisville",KY,""
2/15/2022,"Portfolio Management Specialist","US Assistant Secretary for Public and Indian...",,,"$66,214 - $122,683 a year",,,Louisville,KY,""
2/15/2022,"Customer Experience Specialist (Advisor)","Best Buy",bestbuy.com,Retail,,,,Louisville,KY,"40207"
,"Engineer Assistant","Belle of Louisville Riverboats",,,"Up to $15 an hour",,"Central Business District area",Louisville,KY,"40202"
2/16/2022,"Office Coordinator, Norton Urogynecology, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$25.9K ? $32.9K a year",,,Louisville,KY,"40207"
2/17/2022,"Warehouse Clerk","Polar Service Centers",polarservicecenters.com,Transportation/Trucking/Railroad,"$18 - $20 an hour",,"Parkland area",Louisville,KY,"40211"
2/16/2022,"Environmental Associate, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$33.1K ? $41.9K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2/16/2022,"Cluster Human Resources Coordinator","White Lodging - Hotel Distil Downtown",,,"$37.1K ? $46.9K a year",,"Central Business District area",Louisville,KY,"40202"
2/17/2022,"Maintenance Planner","Keurig Dr Pepper",drpeppersnapplegroup.com,"Food & Beverages","$47K ? $59.4K a year",,"Soutland Park area",Louisville,KY,"40214"
2/16/2022,"Collector, Revenue Recovery, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$36.6K ? $46.4K a year",,"Bashford Manor area",Louisville,KY,"40218"
2/16/2022,"Lab Associate/Processor, Total Woman, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,,Louisville,KY,"40207"
2/16/2022,"Receptionist, Louisville Arm and Hand, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care","$23K ? $29.2K a year",,"Phoenix Hill area",Louisville,KY,"40202"
2/15/2022,"Overnight Guest Service Representative (GSR)","MainStay Suites Louisville/Jeffersontown",,,"$22.3K ? $28.3K a year",,,Louisville,KY,"40299"
2/16/2022,"EHR Technician, Health Information Management, Days","Norton Healthcare",nortonhealthcare.com,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
2/16/2022,"TRACTOR TRAILER OPERATOR ""CAREER JOB W/ BENEFITS""","United States Postal Service",usps.com,"Government Administration","$24.70 an hour",,"Prestonia area",Louisville,KY,"40213"
2/17/2022,"Warehouse Clerk","Polar Service Centers",polarservicecenters.com,Transportation/Trucking/Railroad,"$18 - $20 an hour",,"Parkland area",Louisville,KY,"40211"
2/17/2022,"Material Supply Coordinator (Warerhouse)","American Red Cross",redcross.org,"Nonprofit Organization Management","$22K ? $27.8K a year",,,Louisville,KY,"40201"
2/16/2022,"Security Product Support Associate II",Resideo,resideo.com,"Consumer Electronics",,,,Louisville,KY,""
2/16/2022,"Blood Collection Staff - Entry Level","American Red Cross",redcross.org,"Nonprofit Organization Management","$28.4K ? $36K a year",,,Louisville,KY,"40201"
2/15/2022,"Patient Access Coordinator","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2/15/2022,"Marketing Coordinator","Transit Authority of River City",ridetarc.org,Transportation/Trucking/Railroad,"$37K ? $46.8K a year",,,Louisville,KY,""
