DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
02-03-2022,"Full-Time Store Manager Trainee",ALDI,aldi.pl,Retail,"$23 an hour",,,Louisville,KY,""
03-03-2022,"Full-Time Assistant Store Manager",ALDI,aldi.pl,Retail,"$21 an hour",,,Louisville,KY,""
03-03-2022,"Front Desk Supervisor",Hyatt,hyatt.com,Hospitality,,,"Central Business District area",Louisville,KY,"40202"
02-03-2022,"Systems Ops Training Coach","Texas Roadhouse",nextbposolutions.com,Outsourcing/Offshoring,,,"Highlands Douglas area",Louisville,KY,"40205"
02-03-2022,"HR Coordinator","Galen College of Nursing",galencollege.edu,"Higher Education",,,,Louisville,KY,"40207"
01-03-2022,"Community Arts Manager","Kentucky Performing Arts",kentuckyperformingarts.org,"Performing Arts","$49,000 a year",,"Central Business District area",Louisville,KY,"40202"
02-03-2022,"Manager-Practice, Primary Care, UofL Physicians, Outpatient...","UofL Health",uoflhealth.org,"Hospital & Health Care",,,"Phoenix Hill area",Louisville,KY,"40202"
03-03-2022,"Event Manager","ASM Global",asmglobal.com,Entertainment,,,"Clifton area",Louisville,KY,"40206"
03-03-2022,"Supervisor, Medical Office, Ophthalmology, UofL Physicians,...","UofL Health",uoflhealth.org,"Hospital & Health Care",,,"Central Business District area",Louisville,KY,"40202"
01-03-2022,"Full Time Analytics Opportunities",Humana,humana.com,"Health, Wellness & Fitness",,,"Central Business District area",Louisville,KY,"40202"
03-03-2022,"Professional 2, Creative Development",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Louisville",KY,""
03-03-2022,"Account Manager",Verizon,verizon.co.in,,,,,Louisville,KY,"40299"
03-03-2022,"Corporate Strategist",Humana,humana.com,"Health, Wellness & Fitness",,,"Central Business District area",Louisville,KY,"40202"
01-03-2022,"Procurement Specialist",sgsco,sgsco.com,"Marketing & Advertising",,Remote,,"Remote in Louisville",KY,""
03-03-2022,"Compliance Manager Medicaid",Anthem,anthem.com,Insurance,,,,Louisville,KY,"40201"
03-03-2022,"Content Manager","Hogan Lovells",hoganlovells.com,"Law Practice",,,,Louisville,KY,"40222"
01-03-2022,"District Property Manager (Central Kentucky Market)","HILLS Properties",hillsproperties.com,"Real Estate",,,,Louisville,KY,"40222"
03-03-2022,"Director Housekeeping",Hyatt,hyatt.com,Hospitality,,,"Central Business District area",Louisville,KY,"40202"
