DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-31,"Resident Project Representative (RPR)",Jacobs,jacobs.com,"Civil Engineering",,,"Central Business District area",Louisville,KY,"40202"
2022-03-31,"Manager - Temporary Talent Workforce, Learning and Developme...",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area",Louisville,KY,"40202"
2022-03-29,"Group Product Manager - Opportunity for Working Remotely Lou...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Louisville",KY,""
2022-03-31,"Project Executive","The Ravin Group",ravingroup.com,"Renewables & Environment","$120,000 - $160,000 a year",,"Shelby Park area",Louisville,KY,"40203"
2022-03-30,"Human Resource Director","Hanna Resource Group",hannaresource.com,"Human Resources","$133K ? $169K a year",,,Louisville,KY,""
2022-03-30,"VP Information Technology","Synchrony Health Services",synchronyhs.com,"Hospital & Health Care","$101K ? $128K a year",,,Louisville,KY,"40299"
2022-03-29,"HashiCorp consultant",TechOkaya,,,"$111K ? $140K a year",,,Louisville,KY,""
2022-03-29,"SFDC Lead Developer",TechOkaya,,,"$98.1K ? $124K a year",,,Louisville,KY,""
2022-03-31,"Healthy Kentucky Initiatives Mgr/UKHC","University of Kentucky",uky.edu,"Higher Education","$81,328 - $156,062 a year",,"University of Kentucky area",Lexington,KY,"40508"
2022-03-30,"Director Surgical Services","CHI Saint Joseph East",,,,,,Lexington,KY,"40509"
2022-03-30,Controller,"Hanna Resource Group",hannaresource.com,"Human Resources","$79.5K ? $101K a year",,,Lexington,KY,"40509"
