DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-29,"Food Service Worker","US Veterans Health Administration",va.gov,"Government Administration","$16.59 - $19.33 an hour",Remote,,"Temporarily Remote in Louisville",KY,"40206"
2022-04-29,"SDF AES PT Night Processor (M-F) 8pm - 2am","UNITED PARCEL SERVICE",ups.com,"Logistics & Supply Chain",,,,Louisville,KY,"40218"
2022-04-30,"Outpatient Recovery - Nursing Support Tech - Full Time, Days","Baptist Health System KY & IN",baptisthealth.com,"Hospital & Health Care",,,,Louisville,KY,""
2022-04-30,"Assistant Nurse Manager (Inpatient)","US Veterans Health Administration",va.gov,"Government Administration","$67,855 - $128,104 a year",,,Louisville,KY,""
2022-05-02,Dishwasher,"Beef 'O' Brady's",beefobradys.com,Restaurants,"$20.7K - $26.1K a year",,,Louisville,KY,"40229"
2022-04-30,"Bit502 Program Member","GE Appliances",geappliancesco.com,"Consumer Goods",,,,Louisville,KY,"40225"
2022-05-02,"Server / Waitstaff","Belmont Village Senior Living",belmontvillage.com,"Hospital & Health Care","$14 an hour",,,Louisville,KY,"40207"
2022-04-29,Server,"Waffle House",wafflehouse.com,Restaurants,,,,Louisville,KY,""
2022-04-29,"Horticultural Park Wrkr I","Louisville Metro Government",louisvilleky.gov,"Government Administration","$17.29 an hour",,"Central Business District area",Louisville,KY,"40202"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,"Central Business District area",Louisville,KY,"40202"
2022-05-02,"Field Technician - $20/hr. Starting Pay",Humanity,,,"$20 an hour",,,Louisville,KY,""
2022-04-30,"Room Attendant","Gulf Coast Hotel Management Inc",,,"$27.9K - $35.3K a year",,,Louisville,KY,"40299"
2022-04-29,"Full-time and Part-time Floaters","Sacred Heart Schools",shschicago.org,"Education Management","$23.3K - $29.5K a year",,"Crescent Hill area",Louisville,KY,"40206"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,"Edgewood area",Louisville,KY,"40213"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,,Louisville,KY,"40241"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,,Louisville,KY,"40214"
2022-04-29,"Voc Rehab Program Instructor I","Kentucky Department Of Corrections",,,"$2,427 - $3,884 a month",,,Louisville,KY,"40242"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,"Hikes Point area",Louisville,KY,"40220"
2022-05-02,"Mobile Event Expert",T-Mobile,interseguro.pe,Insurance,,,,Louisville,KY,"40299"
2022-04-29,"Recreation Supvsr","Louisville Metro Government",louisvilleky.gov,"Government Administration","$16.80 an hour",,"Central Business District area",Louisville,KY,"40202"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,"Okolona area",Louisville,KY,"40219"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,,Louisville,KY,"40243"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,"Algonquin area",Louisville,KY,"40208"
2022-04-30,"Maintenance Support","Gulf Coast Hotel Management Inc",,,"$28.7K - $36.3K a year",,,Louisville,KY,"40299"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$15 an hour",,"Rock Creek Lexington Road area",Louisville,KY,"40207"
2022-05-02,"Busser/Food Runner","Beef 'O' Brady's",beefobradys.com,Restaurants,"$19.7K - $24.9K a year",,,Louisville,KY,"40229"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,,Louisville,KY,"40218"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,"Merriwether area",Louisville,KY,"40217"
2022-04-29,"Registered Nurse (FFTL)","Kentucky Department Of Corrections",,,"$44,759 a year",,"Clifton area",Louisville,KY,"40206"
2022-04-29,"Parking Ambassador (pre-collect)","The Car Park, LLC",thecarpark.com,"Facilities Services","$29.7K - $37.7K a year",,,Louisville,KY,"40018"
2022-05-01,"Team Member","White Castle",whitecastle.com,Restaurants,"$13.50 an hour",,,Louisville,KY,"40291"
2022-04-30,"Design Consultant","Floor & Decor",flooranddecor.com,Retail,"$15 an hour",,"Audubon area",Louisville,KY,"40213"
2022-04-30,"Warehouse Order Selector",Sysco,sysco.com,"Food & Beverages","Up to $77,000 a year",,,Louisville,KY,"40201"
2022-04-29,"Customer Service Delivery Driver","Kroger Logistics",,,,,,Louisville,KY,"40218"
2022-04-29,"Driver's Test Administrator","Kentucky Department Of Corrections",,,"$21,887 a year",,"Bowman area",Louisville,KY,"40205"
2022-04-29,"Registered Nurse - Float Pool Inpatient","US Veterans Health Administration",va.gov,"Government Administration","$63,366 - $117,331 a year",,,Louisville,KY,""
2022-04-29,"Corporate Badge Analyst","Allied Universal®",,,,,"Central Business District area",Louisville,KY,"40202"
2022-04-30,"Care Facilitator",ChenMed,chenmed.com,"Medical Practice","$34.5K - $43.7K a year",,,Louisville,KY,"40258"
2022-05-01,"Crew Manager","White Castle",whitecastle.com,Restaurants,"$17 an hour",,"Jacobs area",Louisville,KY,"40216"
