DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-08-31,"FT-Sales Associate - Tools-Closing",Lowe's,lowes.com,Retail,,,,Lafayette,LA,"70507"
2022-08-31,"Teller Full-Time","Hancock Whitney",hancockwhitney.com,Banking,"estimated $25.9k - $32.9k a year",,,Lafayette,LA,""
2022-08-30,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,,Lafayette,LA,"70508"
2022-09-01,Expeditor,"PHI, Inc.",phihelico.com,Airlines/Aviation,"estimated $36.9k - $46.7k a year",,,Lafayette,LA,"70508"
2022-08-30,"Patient Access Rep","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,Lafayette,LA,""
2022-08-30,"Financial service representative for 703","World Finance",loansbyworld.com,"Financial Services","$15 an hour",,,Lafayette,LA,""
2022-08-31,"FT-Sales Associate - Electrical And Lighting-Closing",Lowe's,lowes.com,Retail,,,,Lafayette,LA,"70507"
2022-09-01,"Charge Entry Inpatient/Outpatient","Cardiology Specialists of Acadiana",cardioacadiana.com,"Hospital & Health Care","estimated $28.9k - $36.7k a year",,,Lafayette,LA,"70508"
2022-08-30,"Member Service Representative II","Advancial Federal Credit Union",advancial.org,"Financial Services","estimated $28.7k - $36.3k a year",,,Lafayette,LA,"70506"
2022-08-30,"Business Development Associate",Bandalier,bandalier.co,"Marketing & Advertising","from $30,000 a year",Remote,,"Remote in Lafayette",LA,"70506"
2022-09-01,Dishwasher,Chuy's,chuys.com,Restaurants,,,,Lafayette,LA,"70508"
2022-09-01,"Cardiovascular Medical Clinical Assistant (CMCA) Scholarship...","Cardiovascular Institute of the South",cardio.com,"Medical Practice","estimated $26.3k - $33.3k a year",,,Lafayette,LA,"70508"
2022-09-01,"Associate Real Estate Agent (Independent Contractor) - Lafay...",Redfin,redfin.com,"Real Estate","estimated $71k - $89.8k a year",,,Lafayette,LA,""
2022-09-01,"Demographics Eligibility Specialist","Curana Health",,,"estimated $31.5k - $39.9k a year",,,Lafayette,LA,""
2022-09-01,"Special Services Coord - OLGMC Case Management - Full Time","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,Lafayette,LA,""
2022-08-30,"Account Executive (Remote)",insightsoftware,insightsoftware.com,"Computer Software",,Remote,,"Remote in Lafayette",LA,""
2022-08-30,"Patient Access Rep","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,Lafayette,LA,""
2022-08-31,Porter,"Gerber Collision & Glass",gerberngs.com,,"$11 - $15 an hour",,,Lafayette,LA,""
2022-09-01,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70503"
2022-09-01,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70503"
2022-09-01,Busser,Chuy's,chuys.com,Restaurants,,,,Lafayette,LA,"70508"
2022-09-01,"Togo Peak",Chuy's,chuys.com,Restaurants,,,,Lafayette,LA,"70508"
2022-09-01,"Outside Sales Representative - Lafayette, Louisiana.",Sysco,sysco.com,"Food & Beverages",,,,Lafayette,LA,"70507"
2022-09-01,"Lab Assistant - OLGMC Lab - Full Time Nights","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,Lafayette,LA,""
