DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-26,"Sales Support Representative - Lafayette, LA",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Lafayette",LA,"70506"
2022-03-26,"Entry Level Sales Executive","Genesis Biotechnology Group",genesisbiotechgroup.com,Biotechnology,"$46K ? $58.2K a year",,,Lafayette,LA,"70503"
2022-03-26,"Outside Fuel Sales Representative - Lafayette, LA","Great Lakes Petroleum Co",greatlakespetroleum.com,"Oil & Energy","$61.3K ? $77.7K a year",,,Lafayette,LA,""
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70507"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70501"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70508"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70506"
2022-03-26,"Stone Setting Expeditor","Stuller, Inc.",stuller.com,"Luxury Goods & Jewelry","$35.2K ? $44.6K a year",,,Lafayette,LA,"70508"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70503"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70583"
2022-03-26,"Intake Specialist","Cardiology Specialists of Acadiana",cardioacadiana.com,"Hospital & Health Care","$25.4K ? $32.2K a year",,,Lafayette,LA,"70508"
2022-03-28,"Casting Dev/Investor","Stuller, Inc.",stuller.com,"Luxury Goods & Jewelry","$26.7K ? $33.7K a year",,,Lafayette,LA,"70508"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70501"
2022-03-28,Optometrist,"Doctor's Exchange of Louisiana PC",,,,,,Lafayette,LA,"70503"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70507"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70507"
2022-03-26,Custodian,McDonald's,mcdonalds.com,Restaurants,,,,Lafayette,LA,"70503"
2022-03-26,"Loader Operator","IAA, Inc.",iaai.com,Automotive,,,,Lafayette,LA,"70507"
2022-03-28,"LPN- OLGMC Med Surg- Full Time","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,Lafayette,LA,""
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70508"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70508"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70506"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70506"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70503"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70506"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70503"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70503"
2022-03-25,"Team Member","Circle K",circlek.com,Retail,,,,Lafayette,LA,"70503"
2022-03-26,Bookkeeper,"General Office Supply",,,"$12 - $16 an hour",,,Lafayette,LA,"70508"
2022-03-26,"Entry Level Advertising Account Manager Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",,,Lafayette,LA,""
2022-03-26,"Account Manager","Louisiana Benefits Solutions",,,"$2,000 - $6,000 a month",,,Lafayette,LA,"70506"
2022-03-28,"Receptionist/Office Assistant",SDC,sdc.dk,"Information Technology & Services","$13 - $16 an hour",,,Lafayette,LA,"70501"
2022-03-26,"Office Account Coordinator","All American Transfer & Storage",allamericantransfer.com,Transportation/Trucking/Railroad,"$14 - $16 an hour",,,Lafayette,LA,"70507"
2022-03-27,"Management Opportunities","Sonic Drive-In",sonicdrivein.com,Restaurants,"$10 - $16 an hour",,,Lafayette,LA,"70508"
2022-03-26,Server,"DeanO's South",deanospizza.com,"Food & Beverages","$26.3K ? $33.3K a year",,,Lafayette,LA,"70508"
2022-03-26,"FedEx Ground Manager/Business Contact","TLL Baton Rouge",smallbusinessdb.com,"Real Estate","$150 - $160 a day",,,Lafayette,LA,""
2022-03-28,"Cashier/Customer Service",Chevron,,,,,,Lafayette,LA,"70503"
2022-03-26,"TDP Subsidized","Gerber Collision & Glass",gerberngs.com,,,,,Lafayette,LA,"70503"
2022-03-26,Caregiver,"Right at Home",,,"$18.9K ? $23.9K a year",,,Lafayette,LA,"70508"
2022-03-26,"Bank Teller","The Cottonport Bank",cottonportbank.com,Banking,"From $11 an hour",,,Lafayette,LA,"70506"
2022-03-26,Merchandiser,"Cycle Gear",cyclegear.com,Retail,"$11 - $15 an hour",,,Lafayette,LA,"70503"
2022-03-27,"Hotel Front Desk Associate","Holiday Inn Express Lafayette ? Lafayette, LA",,,"$9 - $10 an hour",,,Lafayette,LA,"70501"
2022-03-27,"Sales Consultant","The Good Feet Store IRG Investments Group",,,"$50,000 - $65,000 a year",,,Lafayette,LA,"70508"
2022-03-26,Housekeeper,"Quality Inn & Suites",,,"$8 - $10 an hour",,,Lafayette,LA,"70501"
2022-03-26,"Right at Home Wants You!","Right at Home",,,"$19.6K ? $24.8K a year",,,Lafayette,LA,"70508"
2022-03-26,"Contracts Administrator","LHC Group Inc Home Office",,,,,,Lafayette,LA,"70508"
2022-03-26,"Supervisor, ROI , Medical Records",MRO,mrocorp.com,"Hospital & Health Care",,,,Lafayette,LA,"70503"
2022-03-26,"Insurance Sales Agent Trainee ? College Students Encourage t...","Freeway Insurance",freewayinsurance.com,Insurance,"$34.7K ? $43.9K a year",,,Lafayette,LA,""
2022-03-27,"Hospice RN On-Call | 5 days on & 4 days off | Lafayette, LA","Amedisys, Inc.",,,,,,Lafayette,LA,""
2022-03-26,Caregivers,"A First Name Basis",afirstnamebasis.com,"Hospital & Health Care","$8 - $10 an hour",,,Lafayette,LA,"70506"
2022-03-26,"Preschool Teacher","Kids Only Preschool",,,"$8.50 - $9.00 an hour",,,Lafayette,LA,"70508"
2022-03-26,"Leasing Specialist","Westminster Management",wmapts.com,"Real Estate","$26K ? $33K a year",,,Lafayette,LA,"70503"
2022-03-26,"Registered Nurse (RN)","Healogics, Inc",healogics.com,"Hospital & Health Care",,,,Lafayette,LA,"70508"
