DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-06,"Customer Care Quality Analyst","Stuller, Inc.",stuller.com,"Luxury Goods & Jewelry",,,,Lafayette,LA,"70508"
2022-03-05,"Patient Services Rep","Aspen Dental",aspendent.com,"Health, Wellness & Fitness",,,,Lafayette,LA,"70503"
2022-03-06,"Digital Sales Strategist","Cumulus Media",cumulusmedia.com,"Broadcast Media",,,,Lafayette,LA,""
2022-03-05,"Mechanical Assembler",Halliburton,halliburton.com,"Oil & Energy",,,,Lafayette,LA,"70507"
2022-03-05,"Director of Nursing (RN)","Vermilion Behavioral Health Systems",acadiavermilion.com,"Individual & Family Services",,,,Lafayette,LA,"70507"
2022-03-06,"Human Resource Specialist",PCMS,pcmstech.com,"Information Technology & Services","$40.4K – $51.2K a year",,,Lafayette,LA,"70501"
2022-03-05,"General Maintenance Worker","Inspection Experts, Inc.",,,"$33,000 - $42,000 a year",,,Lafayette,LA,"70506"
2022-03-05,"Director of Software Products",VieMed,viemed.com,"Health, Wellness & Fitness","$123K – $155K a year",,,Lafayette,LA,"70508"
2022-03-05,"Assistant Office Manager","Aspen Dental",aspendent.com,"Health, Wellness & Fitness",,,"Fairwood area","Baton Rouge",LA,"70816"
2022-03-05,"Online Recruitment Coordinator Team Manager","Louisiana State University",lsu.edu,"Higher Education","$49.7K – $62.9K a year",,"LSU area","Baton Rouge",LA,"70808"
2022-03-05,"Advertising Campaign Coordinator","Lamar Advertising Company",lamar.com,"Marketing & Advertising","$20 - $22 an hour",,"Kleinpeter area","Baton Rouge",LA,"70810"
2022-03-05,"Project Manager","EMERGENT METHOD",emergentmethod.com,"Management Consulting","$57.8K – $73.2K a year",,"Downtown area","Baton Rouge",LA,"70801"
2022-03-05,"Business Analyst","EMERGENT METHOD",emergentmethod.com,"Management Consulting","$74.3K – $94.1K a year",Remote,,"Remote in Baton Rouge",LA,""
2022-03-06,"Security Technician","Acadian Total Security",acadiantotalsecurity.com,"Security & Investigations","$41.2K – $52.2K a year",,,"Baton Rouge",LA,"70801"
2022-03-05,"DIRECTOR OF MARKETING","Hollywood Casino Baton Rouge",hollywoodbr.com,Entertainment,"$65.7K – $83.3K a year",,"Downtown area","Baton Rouge",LA,"70802"
2022-03-05,"Field Service Technician","Sunshine Quality Solutions",sunequip.com,Machinery,"$39.4K – $50K a year",,,"Baton Rouge",LA,"70817"
2022-03-05,"Strategic Sourcing Specialist TEMP Position",Amedisys,amedisys.com,"Hospital & Health Care",,,"Jones Creek area","Baton Rouge",LA,"70816"
2022-03-05,"Product Business Manager - Level + Pressure","Endress+Hauser Inc.",,,,,,"Baton Rouge",LA,"70801"
2022-03-06,"Auto Glass Technician - Driven Glass","Auto Glass Now",autoglassnow.com,Automotive,"$33.5K – $42.5K a year",,"Goodwood Homesites area","Baton Rouge",LA,"70806"
2022-03-05,"LSU FACULTY CLUB & CATERING CHEF - LSU - Baton Rouge, LA","Compass Group Careers",,,,,,"Baton Rouge",LA,"70803"
2022-03-05,"Civil CADD / MicroStation Technician",Stantec,tdg.co.nz,"Civil Engineering",,,"Old South Baton Rouge area","Baton Rouge",LA,"70802"
2022-03-05,"Leadman - Scaffold Builder","The Brock Group",thebrockgroupllc.com,"Marketing & Advertising","$38.6K – $48.8K a year",,,"Baton Rouge",LA,""
