DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/7/2022,"PSL Material Coordinator III - 133360",Halliburton,halliburton.com,"Oil & Energy","$34.2K ? $43.2K a year",,,Lafayette,LA,"70507"
2/7/2022,"Facilities Area Manager","South Louisiana Community College",solacc.edu,"Higher Education","$49,978 - $67,861 a year",,,Lafayette,LA,"70506"
2/6/2022,"Customer Care Manager","Biomat USA, Inc.",grifolsplasma.com,Pharmaceuticals,,,,Lafayette,LA,"70593"
2/5/2022,"Temporary Asst. Property Manager - Shreveport","HRI Lodging",hriproperties.com,Hospitality,"$45.5K ? $57.7K a year",,,Lafayette,LA,""
2/5/2022,"Patient Services Rep","Aspen Dental",aspendent.com,"Health, Wellness & Fitness","$26.2K ? $33.2K a year",,,Lafayette,LA,"70503"
2/5/2022,"Programmer/Analyst I","Cherokee Federal",cherokee-federal.com,"Government Relations","$52.8K ? $66.8K a year",Remote,,"Remote in Lafayette",LA,""
2/7/2022,"Information Technology Manager",Fenstermaker,fenstermaker.com,"Oil & Energy",,,,Lafayette,LA,""
2/5/2022,"Financial Analyst II","First Horizon Bank",iberiabank.com,"Financial Services",,,,Lafayette,LA,"70501"
2/5/2022,"Programmer/Analyst I","Cherokee Federal",cherokee-federal.com,"Government Relations","$52.8K ? $66.8K a year",Remote,,"Remote in Lafayette",LA,""
2/5/2022,"Business Support Specialist VI","Cherokee Federal",cherokee-federal.com,"Government Relations","$36.6K ? $46.4K a year",,,Lafayette,LA,"70506"
2/7/2022,"Mechanical Assembler - 132725",Halliburton,halliburton.com,"Oil & Energy","$32K ? $40.6K a year",,,Lafayette,LA,"70507"
2/7/2022,"Deepwater Operator A",Danos,danos.com,"Oil & Energy","$56K ? $71K a year",,,Lafayette,LA,"70503"
2/6/2022,"Shelf - Operator A",Danos,danos.com,"Oil & Energy","$34.3K ? $43.5K a year",,,Lafayette,LA,"70503"
2/5/2022,"Machine Operator",Halliburton,halliburton.com,"Oil & Energy","$32.7K ? $41.5K a year",,,Lafayette,LA,"70507"
2/5/2022,"Bilingual Attorney","Gordon McKernan Injury Attorneys LLC",getgordon.com,"Law Practice",,,,Lafayette,LA,"70508"
2/5/2022,"AWS Cloud Developer","CGI Group, Inc.",cgi.com,"Information Technology & Services",,,,Lafayette,LA,""
