DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-22,"Executive Assistant","Tides Medical",tidesmedical.com,Biotechnology,"$44K ? $55.8K a year",,,Lafayette,LA,"70508"
2022-03-24,"HR Business Partner","PHI, Inc.",phihelico.com,Airlines/Aviation,"$65.3K ? $82.7K a year",,,Lafayette,LA,"70508"
2022-03-24,"Principal Human Resources Business Partner, Strategic Workfo...","KinderCare Education",kcecareers.com,"Education Management",,Remote,,"Remote in Lafayette",LA,""
2022-03-23,"Academy Technical Trainer","CGI Group, Inc.",cgi.com,"Information Technology & Services",,,,Lafayette,LA,""
2022-03-24,"API Specialist","Dupre' Logistics",duprelogistics.com,"Logistics & Supply Chain","$45.7K ? $57.9K a year",Remote,,"Remote in Lafayette",LA,"70508"
2022-03-23,"Utilization Review Specialist- LPN or Social Worker","Vermilion Behavioral Health Systems",acadiavermilion.com,"Individual & Family Services",,,,Lafayette,LA,"70507"
2022-03-24,"Manager, Business Banking","Hancock Whitney",hancockwhitney.com,Banking,"$68K ? $86K a year",,,Lafayette,LA,""
2022-03-24,"Strategic Workforce Planning Manager","KinderCare Education",kcecareers.com,"Education Management",,,,Lafayette,LA,""
2022-03-24,"Workforce strategy and solutions","KinderCare Education",kcecareers.com,"Education Management",,,,Lafayette,LA,""
2022-03-23,"Information Technology Manager",Fenstermaker,fenstermaker.com,"Oil & Energy","$85.1K ? $108K a year",,,Lafayette,LA,""
2022-03-24,"Workforce Strategy Planning Manager","KinderCare Education",kcecareers.com,"Education Management",,,,Lafayette,LA,""
2022-03-22,"Operations Manager","Republic Services Inc",republicserivces.com,,,,,Lafayette,LA,""
2022-03-24,"Strategic Staffing Leader","KinderCare Education",kcecareers.com,"Education Management",,,,Lafayette,LA,""
2022-03-23,"Operations Manager","Republic Services",republicservices.com,"Environmental Services",,,,Lafayette,LA,"70507"
2022-03-22,"Night Operations Department Supervisor",Lowe's,lowes.com,Retail,,,,Lafayette,LA,"70507"
2022-03-23,".NET Developer","Cherokee Federal",cherokee-federal.com,"Government Relations","$60,000 - $70,000 a year",Remote,,"Remote in Lafayette",LA,"70506"
2022-03-23,".NET Developer","Cherokee Federal",cherokee-federal.com,"Government Relations","$60,000 - $70,000 a year",Remote,,"Remote in Lafayette",LA,"70506"
2022-03-23,"Supervisor - Operations","Wesco International",wesco.com,"Logistics & Supply Chain",,,,Lafayette,LA,"70507"
2022-03-24,"Strategic Capability Planning Manager","KinderCare Education",kcecareers.com,"Education Management",,,,Lafayette,LA,""
2022-03-24,"UX / UI Designer","CGI Group, Inc.",cgi.com,"Information Technology & Services",,,,Lafayette,LA,""
2022-03-24,"Spa Coordinator/Manager","The Skin Loft Med Spa",,,"$13.50 - $18.50 an hour",,,Lafayette,LA,"70508"
2022-03-24,"Community Education Specialist","SWLA Center for Health Services",swlahealth.org,"Health, Wellness & Fitness","$62.1K ? $78.7K a year",,,Lafayette,LA,"70501"
2022-03-24,"University Advancement: Director of Advancement Digital Serv...","University of Louisiana at Lafayette Foundation",,,"$64.1K ? $81.1K a year",,,Lafayette,LA,"70503"
2022-03-24,"Pneumatic Technician/Helper","Quality Companies, LLC",qualitycompanies.com,"Oil & Energy","$28.2K ? $35.8K a year",,,Lafayette,LA,""
2022-03-23,"Mobile Market Coordinator","Second Harvest Food Bank",,,"$40,000 - $42,000 a year",,,Lafayette,LA,"70501"
2022-03-24,"Business Analyst Manager - Remote/Days","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services","$55.1K ? $69.7K a year",Remote,,"Remote in Lafayette",LA,"70501"
2022-03-23,"Property Manager","Wilhoit Properties, Inc",,,"$15 - $17 an hour",,,Lafayette,LA,"70506"
2022-03-24,"Case Manager, Home Care","Leading Home Care",,,"$16 - $18 an hour",,,Lafayette,LA,"70508"
2022-03-22,"Plant Production Manager","Vigna Inc",vignasolutions.com,"Information Technology & Services","$64,683 - $149,484 a year",,,Lafayette,LA,""
2022-03-24,"A Technician","Dave's Car Care Center",,,"$22.50 - $40.00 an hour",,,Lafayette,LA,"70503"
2022-03-22,"Pizza Hut In-house Hvacr Facilities Maintenance technician","ADT Pizza Hut LLC",,,"$25 - $32 an hour",,,Lafayette,LA,""
2022-03-24,"Commercial Building Estimator","FLEXFORCE EMPLOYMENT PROFESSIONALS, INC.",,,,,,Lafayette,LA,"70506"
2022-03-24,"Commercial Estimator","The Lemoine Company",1lemoine.com,Construction,"$74.5K ? $94.3K a year",,,Lafayette,LA,"70506"
2022-03-23,"Plumbing Manager","Roto-Rooter Plumbing & Water Cleanup",,,"$50,000 - $70,000 a year",,,Lafayette,LA,"70506"
2022-03-23,"Crane Technician- Lafayette/Shreveport, LA Area","LSE Crane and Transportation",lsecrane.com,"Oil & Energy","$47K ? $59.4K a year",,,Lafayette,LA,""
2022-03-22,"Operations Supervisor, Acadiana","Eckerd Connects",eckerd.org,"Nonprofit Organization Management","$44.4K ? $56.2K a year",,,Lafayette,LA,"70501"
2022-03-24,"Spa Coordinator/Manager","The Skin Loft Med Spa",,,"$13.50 - $18.50 an hour",,,Lafayette,LA,"70508"
2022-03-23,"Part-Time Leasing Agent","River Oaks Apartments",,,"$16 - $22 an hour",,,Lafayette,LA,"70503"
2022-03-24,"Pneumatic Technician/Helper","Quality Companies, LLC",qualitycompanies.com,"Oil & Energy","$28.2K ? $35.8K a year",,,Lafayette,LA,""
2022-03-24,"Patient Portal Systems Specialist - Health Information Manag...","Womans Hospital",,,"$42.9K ? $54.3K a year",,"Jefferson area","Baton Rouge",LA,"70817"
2022-03-24,"Patient Portal Systems Specialist - Health Information Manag...","Woman's Hospital",womans.org,"Hospital & Health Care","$42.9K ? $54.3K a year",,"Jefferson area","Baton Rouge",LA,"70817"
2022-03-23,"Event Coordinator","ASM Global",asmglobal.com,Entertainment,,,,"Baton Rouge",LA,"70802"
2022-03-24,"HR Data Analyst","LAMAR TEXAS LIMITED PTRSHP",,,"$56.5K ? $71.5K a year",,,"Baton Rouge",LA,"70808"
2022-03-24,"Museum Registrar - LSU Museum of Art","Louisiana State University",lsu.edu,"Higher Education",,,"LSU area","Baton Rouge",LA,"70808"
2022-03-24,"Patient Access Training Specialist","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,"Bocage area","Baton Rouge",LA,"70808"
2022-03-24,"Service Desk Analyst 1","Louisiana State University",lsu.edu,"Higher Education",,,"LSU area","Baton Rouge",LA,"70808"
2022-03-24,"National Advertising Campaign Specialist","LAMAR TEXAS LIMITED PTRSHP",,,"$19 - $24 an hour",,,"Baton Rouge",LA,"70808"
2022-03-24,"Consulting Manager- Association Services","Postlethwaite & Netterville",pncpa.com,Accounting,"$56.3K ? $71.3K a year",,"Westminster area","Baton Rouge",LA,"70809"
2022-03-22,"Inside Sales","Southern Vehicle Accessories",,,,,"Park Forest-Oakcrest area","Baton Rouge",LA,"70814"
2022-03-24,"Community Manager",Regus,,,,,"Downtown area","Baton Rouge",LA,"70801"
2022-03-22,"Principal - IDEA Innovation College Prep (22-23)","IDEA Public Schools",ideapublicschools.org,"Education Management","$69K ? $87.4K a year",,"South Burbank area","Baton Rouge",LA,"70820"
2022-03-23,"Project Manager",Worley,worley.com,"Oil & Energy",,,,"Baton Rouge",LA,""
2022-03-24,"Experienced Workday Package Consultant",IBM,bionovo.com.cn,"Computer Software",,,,"Baton Rouge",LA,"70801"
2022-03-22,"Assistant Community Manager","LEDIC Realty Company",,,"$26K ? $33K a year",,,"Baton Rouge",LA,"70805"
2022-03-23,"Boost Mobile Account Executive",DISH,vgernet.net,"Consumer Services","$50,000 a year",,,"Baton Rouge",LA,""
2022-03-22,"Financial Analyst","Neuromedical Center",,,"$48.7K ? $61.7K a year",,"Highland-Perkins area","Baton Rouge",LA,"70810"
2022-03-23,"Assistant Store Manager - Baton Rouge",Starbucks,starbucks.com,Retail,,,,"Baton Rouge",LA,""
2022-03-24,"Principal Human Resources Business Partner, Strategic Workfo...","KinderCare Education",kcecareers.com,"Education Management",,Remote,,"Remote in Baton Rouge",LA,"70873"
2022-03-22,"Assistant Community Manager","Envolve Community Management, LLC",envolvecommunities.com,,"$26K ? $33K a year",,,"Baton Rouge",LA,"70805"
2022-03-24,"Strategic Workforce Planning Manager","KinderCare Education",kcecareers.com,"Education Management",,,,"Baton Rouge",LA,"70873"
2022-03-23,"Compliance Manager",Anthem,anthem.com,Insurance,,,"Highland-Perkins area","Baton Rouge",LA,"70810"
2022-03-24,"Director Clinical Pastoral Education - OLOL Pastoral Care, D...","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,"Bocage area","Baton Rouge",LA,"70808"
2022-03-22,"Maintenance Tech II - Facilities Management- All Shifts","Woman's Hospital",womans.org,"Hospital & Health Care","$42.6K ? $54K a year",,"Jefferson area","Baton Rouge",LA,"70817"
2022-03-24,"Solution Design Consultant - Cox Business","Cox Communications Inc",coxenterprises.com,Telecommunications,,,"Smiley Heights area","Baton Rouge",LA,"70806"
2022-03-22,"Environmental Permitting Specialist/Project Manager",Stantec,tdg.co.nz,"Civil Engineering",,,"Old South Baton Rouge area","Baton Rouge",LA,"70802"
2022-03-22,"Portfolio Manager",BankPlus,bankplus.net,Banking,"$53.7K ? $68.1K a year",,,"Baton Rouge",LA,""
2022-03-22,"Project & Program Manager","Louisiana State University",lsu.edu,"Higher Education",,,"LSU area","Baton Rouge",LA,"70808"
2022-03-24,"Workforce strategy and solutions","KinderCare Education",kcecareers.com,"Education Management",,,,"Baton Rouge",LA,"70873"
2022-03-23,"PPMO Budget Specialist","University of New Orleans",uno.edu,"Higher Education","$53.8K ? $68.2K a year",,"Downtown area","Baton Rouge",LA,"70802"
2022-03-22,"Maintenance Tech II - Facilities Management- All Shifts","Woman's Hospital",womans.org,"Hospital & Health Care","$42.4K ? $53.6K a year",,"Jefferson area","Baton Rouge",LA,"70817"
2022-03-22,"Technician - Rubber Applicators","US FUSION & Specialty Construction",,,"$28.8K ? $36.4K a year",,,"Baton Rouge",LA,""
2022-03-24,"Video Editor/ Motion Graphic Artist","LAMAR TEXAS LIMITED PTRSHP",,,"$19.23 - $22.12 an hour",,,"Baton Rouge",LA,"70808"
2022-03-24,"Compensation Specialist","LAMAR TEXAS LIMITED PTRSHP",,,"$53.7K ? $67.9K a year",Remote,,"Hybrid remote in Baton Rouge",LA,"70808"
2022-03-22,"Inside Sales","Southern Vehicle Accessories",,,,,"Park Forest-Oakcrest area","Baton Rouge",LA,"70814"
2022-03-24,"Workforce Strategy Planning Manager","KinderCare Education",kcecareers.com,"Education Management",,,,"Baton Rouge",LA,"70873"
2022-03-24,"Strategic Capability Planning Manager","KinderCare Education",kcecareers.com,"Education Management",,,,"Baton Rouge",LA,"70873"
2022-03-24,"Director of Human Resource Management","Louisiana State University",lsu.edu,"Higher Education",,,"LSU area","Baton Rouge",LA,"70808"
2022-03-24,"Strategic Staffing Leader","KinderCare Education",kcecareers.com,"Education Management",,,,"Baton Rouge",LA,"70873"
2022-03-24,"Native IOS Developer",IBM,bionovo.com.cn,"Computer Software",,,,"Baton Rouge",LA,"70801"
2022-03-24,"Director of Digital Marketing and Web Development","LAMAR TEXAS LIMITED PTRSHP",,,"$53.3K ? $67.5K a year",,,"Baton Rouge",LA,"70808"
2022-03-23,"Director of Medical Service Area","Louisiana State University",lsu.edu,"Higher Education",,,"LSU area","Baton Rouge",LA,"70808"
2022-03-22,"SAP BODS Consultant",IBM,bionovo.com.cn,"Computer Software",,,,"Baton Rouge",LA,"70801"
2022-03-23,"District Sales Manager ? Renal Metabolic Specialty Team - Ne...",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,"Baton Rouge",LA,"70898"
2022-03-23,"Instrumentation and Controls Technician","EthosEnergy Group",ethosenergygroup.com,"Oil & Energy","$49.4K ? $62.6K a year",,,"Baton Rouge",LA,""
2022-03-23,"Care Coordinator RN - Telecommute in Baton Rouge, LA","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,Remote,,"Remote in Baton Rouge",LA,"70802"
2022-03-23,"Technician Level II","Acadian Total Security",acadiantotalsecurity.com,"Security & Investigations","$33.6K ? $42.6K a year",,,"Baton Rouge",LA,"70801"
2022-03-23,"NOC Manager",iboss,iboss.com,"Computer & Network Security","$68.5K ? $86.7K a year",,,"Baton Rouge",LA,""
2022-03-23,"Web Developer (Spring Boot) - Remote",iboss,iboss.com,"Computer & Network Security","$77.4K ? $98K a year",Remote,,"Remote in Baton Rouge",LA,""
2022-03-23,"NOC Technician- 1st Shift",iboss,iboss.com,"Computer & Network Security","$44.6K ? $56.4K a year",,,"Baton Rouge",LA,""
2022-03-24,"Project Environmental Scientist",Arcadis,arcadis.com,"Civil Engineering",,,"Jones Creek area","Baton Rouge",LA,"70816"
2022-03-23,"NOC Lead (3rd Shift)",iboss,iboss.com,"Computer & Network Security","$61.2K ? $77.6K a year",,,"Baton Rouge",LA,""
2022-03-23,"NOC Lead (2nd Shift)",iboss,iboss.com,"Computer & Network Security","$61.2K ? $77.6K a year",,,"Baton Rouge",LA,""
2022-03-23,"NOC Lead (1st Shift)",iboss,iboss.com,"Computer & Network Security","$61.2K ? $77.6K a year",,,"Baton Rouge",LA,""
2022-03-23,"NOC Technician- 3rd Shift",iboss,iboss.com,"Computer & Network Security","$44.6K ? $56.4K a year",,,"Baton Rouge",LA,""
2022-03-23,"Cloud Platform Operations Technician",iboss,iboss.com,"Computer & Network Security","$38.7K ? $48.9K a year",,,"Baton Rouge",LA,""
2022-03-23,"NOC Technician- 2nd Shift",iboss,iboss.com,"Computer & Network Security","$44.6K ? $56.4K a year",,,"Baton Rouge",LA,""
2022-03-23,"Cloud Platform Operations Technician (3rd Shift)",iboss,iboss.com,"Computer & Network Security","$37.3K ? $47.3K a year",,,"Baton Rouge",LA,""
2022-03-23,"Cloud Platform Operations Technician (2nd Shift)",iboss,iboss.com,"Computer & Network Security","$37.3K ? $47.3K a year",,,"Baton Rouge",LA,""
2022-03-24,"Director of Member Dining","Country Club of Louisiana",,,"$70,000 - $85,000 a year",,"Nicholson area","Baton Rouge",LA,"70810"
2022-03-24,"Clinical Informatics Analyst","Baton Rouge General",brgeneral.org,"Hospital & Health Care","$55.7K ? $70.5K a year",,,"Baton Rouge",LA,""
2022-03-24,"Program Manager (Disaster Services)","The Lemoine Company",1lemoine.com,Construction,"$59.5K ? $75.3K a year",,"Old South Baton Rouge area","Baton Rouge",LA,"70802"
2022-03-22,"Event Coordinator","ASM Global",asmglobal.com,Entertainment,,,,"Baton Rouge",LA,"70802"
2022-03-24,"Training Specialist","Innovative Emergency Mgmt",,,"$66.3K ? $83.9K a year",Remote,,"Remote in Baton Rouge",LA,"70809"
2022-03-24,"Front Desk for Orthodontic practice","Porter Orthodontics",porterbraces.com,"Medical Practice","$13 - $18 an hour",,"Inniswold area","Baton Rouge",LA,"70809"
2022-03-24,"Grants Management Specialist","DCMC Partners",,,"$44.2K ? $56K a year",Remote,,"Remote in Baton Rouge",LA,""
2022-03-22,"Supervisor of Health Information Management (HIM)","Neuromedical Center Rehabilitation Hospital",,,"$54.6K ? $69.2K a year",,,"Baton Rouge",LA,""
2022-03-23,"Account Manager","Park7 Management LLC",park7group.com,"Real Estate","$35,000 - $45,000 a year",,,"Baton Rouge",LA,"70808"
2022-03-24,"Marketing Communications Coordinator","Moffatt and Nichol",,,"$36.6K ? $46.4K a year",,,"Baton Rouge",LA,"70825"
2022-03-23,"Production Payroll Manager","Cast & Crew Entertainment Services, LLC",,,"$52.7K ? $66.7K a year",Remote,,"Remote in Baton Rouge",LA,"70809"
2022-03-22,Manager/Supervisor,"Lawn Doctor of Zachary-Denham Springs",,,"$40,000 - $45,000 a year",,,"Baton Rouge",LA,"70810"
2022-03-24,"Asst Superintendent","NRK Construction, LLC",,,"$55,000 - $60,000 a year",,"Drusilla area","Baton Rouge",LA,"70809"
2022-03-22,"Outside Sales Rep","Vivid Imprint",vividimprinting.com,,"$32,000 - $36,000 a year",,"Tara area","Baton Rouge",LA,"70806"
2022-03-23,"General Manager","Juicy Seafood Baton Rouge",,,"$50,000 - $75,000 a year",,"Valley Park area","Baton Rouge",LA,"70808"
