DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
26-02-2022,"Service Advisor","Sunshine Quality Solutions",sunequip.com,Machinery,,,,Lafayette,LA,"70507"
26-02-2022,"Kafka Administrator","CGI Group, Inc.",cgi.com,"Information Technology & Services",,,,Lafayette,LA,""
26-02-2022,"Performance Improvement Specialist 2 - Our Lady of Lourdes","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,,Lafayette,LA,"70508"
26-02-2022,"VISUAL PRESENTATION MANAGER","Ashley HomeStore",,,,,,Lafayette,LA,"70506"
26-02-2022,"Deli/Bakery Merchandiser","Associated Grocers, Inc.",agbr.com,Wholesale,,,,Lafayette,LA,"70503"
27-02-2022,"Employee Benefits & Leave Specialist","Acadian Ambulance",acadianambulance.com,"Hospital & Health Care","$41.5K ? $52.5K a year",,,Lafayette,LA,"70509"
26-02-2022,"Corporate Recruiter","Stratagraph, Inc.",,,"$35,000 - $70,000 a year",,,Lafayette,LA,""
26-02-2022,"Service Advisor","Sunshine Quality Solutions, Llc",,,,,,Lafayette,LA,"70507"
28-02-2022,"Offshore Superintendent","Quality Construction & Production, LLC",,,"$68.7K ? $86.9K a year",,,Lafayette,LA,""
28-02-2022,"Assistant Manager","AmeriShine Carwash",edan.io,Retail,"Up to $14 an hour",,,Lafayette,LA,"70503"
26-02-2022,"RETAIL VISUAL PRESENTATION MANAGER","Ashley HomeStore by Dufresne Spencer Group, LLC",,,"From $36,000 a year",,,Lafayette,LA,"70506"
26-02-2022,"Oracle Developer","LHC Group Inc Home Office",,,,,,Lafayette,LA,"70508"
26-02-2022,"Corporate Quality Manager","The Wright Group",wrightgroupusa.com,"Marketing & Advertising","Up to $125,000 a year",,,Lafayette,LA,"70508"
26-02-2022,"Foundations & Philanthropy Coordinator","LHC Group Inc Home Office",,,,,,Lafayette,LA,"70508"
27-02-2022,"Financial Services Professional (management fast track- MBA...","New York Life",experiencehfs.com,,,,,Lafayette,LA,""
26-02-2022,"Revenue Cycle Supervisor (Facility Billing)","Acadian Ambulance",acadianambulance.com,"Hospital & Health Care",,,,Lafayette,LA,"70509"
26-02-2022,"Revenue Cycle Supervisor (Coding)","Acadian Ambulance",acadianambulance.com,"Hospital & Health Care",,,,Lafayette,LA,"70509"
26-02-2022,"Governmental Audit Reviewer","LHC Group Inc Home Office",,,,,,Lafayette,LA,"70508"
26-02-2022,"Regional Clinical & Quality Manager FB Division","LHC Group Inc Home Office",,,,,,Lafayette,LA,"70508"
26-02-2022,"Cyber Security Analyst","LHC Group Inc Home Office",,,,,,Lafayette,LA,"70508"
28-02-2022,"Offshore Superintendent","Quality Construction & Production, LLC",,,"$68.7K ? $86.9K a year",,,Lafayette,LA,""
26-02-2022,Coordinator,"Louisiana State University",lsu.edu,"Higher Education","$33.5K ? $42.5K a year",,"LSU area","Baton Rouge",LA,"70808"
26-02-2022,"Custodian Supervisor 3","Louisiana State University",lsu.edu,"Higher Education","$25.5K ? $32.3K a year",,"LSU area","Baton Rouge",LA,"70808"
26-02-2022,"Conference Services Coordinator","LSU Alumni Association",lsualumni.org,"Higher Education","$34.7K ? $43.9K a year",,,"Baton Rouge",LA,"70808"
26-02-2022,"Help Desk Operator","Gainwell Technologies LLC",,,,,"Westminster area","Baton Rouge",LA,"70809"
26-02-2022,"Nurse Analyst - Baton Rouge, LA","Gainwell Technologies LLC",,,,,"Westminster area","Baton Rouge",LA,"70809"
26-02-2022,"Professional Project Management","Gainwell Technologies LLC",,,,,"Westminster area","Baton Rouge",LA,"70809"
26-02-2022,"Technical Support Analyst 2","Louisiana State University",lsu.edu,"Higher Education","$60.9K ? $77.1K a year",,"LSU area","Baton Rouge",LA,"70808"
26-02-2022,"Business Development Manager",Securitas,securitasantias.com,"Security & Investigations",,,,"Baton Rouge",LA,""
26-02-2022,"DINING SERVICES DIRECTOR - LSU - Baton Rouge, LA","Compass Group Careers",,,,,,"Baton Rouge",LA,"70803"
26-02-2022,"Application Developer: .net Intermediate",IBM,bionovo.com.cn,"Computer Software",,,,"Baton Rouge",LA,"70801"
27-02-2022,"Project Manager (Scrum Master)",IBM,bionovo.com.cn,"Computer Software",,,,"Baton Rouge",LA,"70801"
26-02-2022,"Full-Time Assistant Manager ( 12694 Perkins Road Baton Rouge...","Tuesday Morning",ultipro.com,Retail,,,,"Baton Rouge",LA,""
26-02-2022,"Technical Services / Information Systems Technician","ASM Global",asmglobal.com,Entertainment,,,,"Baton Rouge",LA,"70802"
26-02-2022,"Full Time Assistant Store Manager (3735 Perkins Road - Store...","Tuesday Morning",ultipro.com,Retail,,,,"Baton Rouge",LA,""
26-02-2022,"Nurse Analyst - Baton Rouge, LA","Gainwell Technologies LLC",,,,,"Westminster area","Baton Rouge",LA,"70809"
26-02-2022,"Integration Developer 1, 2, or 3","Louisiana State University",lsu.edu,"Higher Education","$67.6K ? $85.6K a year",,"LSU area","Baton Rouge",LA,"70808"
25-02-2022,"Private Bank - PB Professional Associate - Baton Rouge, LA","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,"Baton Rouge",LA,""
25-02-2022,"SLOT TECH MANAGER","Hollywood Casino",,,"$50.5K ? $63.9K a year",,"Downtown area","Baton Rouge",LA,"70802"
27-02-2022,"Technical Business Analyst",IBM,bionovo.com.cn,"Computer Software",,,,"Baton Rouge",LA,"70801"
28-02-2022,"Full Stack .Net Developer","SETPOINT INTEGRATED",setpointis.com,"Oil & Energy","$79.9K ? $101K a year",,"Kleinpeter area","Baton Rouge",LA,"70809"
26-02-2022,"Informatica Developer - Baton Rouge, LA",IBM,bionovo.com.cn,"Computer Software",,Remote,,"Temporarily Remote in Baton Rouge",LA,""
26-02-2022,"Software QA Analyst 2","Louisiana State University",lsu.edu,"Higher Education",,,"LSU area","Baton Rouge",LA,"70808"
26-02-2022,"Manager - Digital Marketing - Woman's Hospital","Womans Hospital",,,"$53.1K ? $67.3K a year",,"Jefferson area","Baton Rouge",LA,"70817"
26-02-2022,"Manager - Digital Marketing - Woman's Hospital","Woman's Hospital",womans.org,"Hospital & Health Care","$53.3K ? $67.5K a year",,"Jefferson area","Baton Rouge",LA,"70817"
26-02-2022,"Police Sergeant-A","Louisiana State University",lsu.edu,"Higher Education","$47.8K ? $60.6K a year",,"LSU area","Baton Rouge",LA,"70808"
26-02-2022,"Full Time Assistant Store Manager (3735 Perkins Road - Store...","Tuesday Morning",ultipro.com,Retail,,,,"Baton Rouge",LA,""
27-02-2022,"Technical Project Manager",IBM,bionovo.com.cn,"Computer Software",,Remote,,"Temporarily Remote in Baton Rouge",LA,""
26-02-2022,"Supervisor of Clinical Services - Rheumatology Clinic","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,"Baton Rouge",LA,""
26-02-2022,"Full-Time Assistant Manager ( 12694 Perkins Road Baton Rouge...","Tuesday Morning",ultipro.com,Retail,,,,"Baton Rouge",LA,""
26-02-2022,"Cloud Microservices Developer - Baton Rouge, LA and Monroe,...",IBM,bionovo.com.cn,"Computer Software",,,,"Baton Rouge",LA,"70801"
26-02-2022,"Back End Developer",IBM,bionovo.com.cn,"Computer Software",,Remote,,"Temporarily Remote in Baton Rouge",LA,""
26-02-2022,"Program Manager","Southeast Louisiana AHEC",selahec.org,"Higher Education","$50,000 - $70,000 a year",,,"Baton Rouge",LA,""
26-02-2022,"Training Specialist","Republic Finance",republicfinance.com,"Financial Services","$47.3K ? $59.9K a year",,"Bocage area","Baton Rouge",LA,"70809"
26-02-2022,"Territory Sales Representative-Baton Rouge, LA","MILOS TEA COMPANY INC",drinkmilos.com,"Food & Beverages","$60,000 - $62,000 a year",,,"Baton Rouge",LA,""
26-02-2022,"Corporate Recruiter","Baker & Associates",bakerrentals.net,"Real Estate","$70,000 - $75,000 a year",,"Westminster area","Baton Rouge",LA,"70809"
26-02-2022,"Store Supervisor (Auto Parts Store)","XL Parts",xlparts.com,Automotive,"$40,000 - $50,000 a year",,,"Baton Rouge",LA,"70809"
28-02-2022,"Lean Six-Sigma -LSS- Project Manager",Agilify,agilifyautomation.com,"Information Technology & Services","From $80,000 a year",Remote,,"Temporarily Remote in Baton Rouge",LA,""
