DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Lafayette",LA,""
24-02-2022,"LICENSING CONSULTANT (Complaints Management)","State of Louisiana",louisiana.gov,"Government Administration","$3,890 - $7,658 a month",,,"Baton Rouge",LA,""
23-02-2022,"HR Business Partner","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,"Jones Creek area","Baton Rouge",LA,"70816"
22-02-2022,"Director, Business Development - Energy, Chemicals and Resou...",Worley,worley.com,"Oil & Energy",,,,"Baton Rouge",LA,""
22-02-2022,"Consulting Associate Director- Business Valuation, Forensic...","Postlethwaite & Netterville",pncpa.com,Accounting,,,"Westminster area","Baton Rouge",LA,"70809"
23-02-2022,"Commercial Real Estate Associate","Kean Miller LLP",keanmiller.com,"Law Practice",,,,"Baton Rouge",LA,""
23-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Baton Rouge",LA,""
24-02-2022,"LICENSING CONSULTANT (Complaints Management)","State of Louisiana",louisiana.gov,"Government Administration","$3,890 - $7,658 a month",,,"Baton Rouge",LA,""
22-02-2022,"Manager - Clinic Operations - Orthopedics","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,"New Orleans",LA,""
24-02-2022,"ServiceNow Architect - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in New Orleans",LA,""
24-02-2022,"Strategic Communications Manager- Government & Public Servic...",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area","New Orleans",LA,"70139"
23-02-2022,"Recovery Acceleration Fund (RAF) Director of Construction",SBP,sbpusa.org,Philanthropy,,,"Treme' Lafitte area","New Orleans",LA,"70119"
24-02-2022,"Functional Analyst",CACI,caci.com,"Information Technology & Services",,,"Behrman area","New Orleans",LA,"70114"
22-02-2022,"Lab Service Line - Strategic Project Manager - New Orleans","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,"New Orleans",LA,""
23-02-2022,"Director of Finance",Sonesta,sonesta.com,Hospitality,,,,"New Orleans",LA,""
24-02-2022,"Lead Architect - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in New Orleans",LA,""
23-02-2022,"Director of Operations","CARE ELEVEN HEALTH",careeleven.com,"Hospital & Health Care","$100,000 - $125,000 a year",,,"New Orleans",LA,""
23-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in New Orleans",LA,""
22-02-2022,"Supply Chain Standards & Processes Lead - Procurement",Entergy,entergy.com,Utilities,,,,"New Orleans",LA,""
24-02-2022,"Bank Security Officer","Citizens National Bank, N.A.",,,"$40,000 - $60,000 a year",,"Downtown Riverfront area",Shreveport,LA,"71101"
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Shreveport",LA,""
24-02-2022,"Residential Construction Superintendent (8-10 Yrs Exp.)","Investment Holdings, LLC.",,,,,,Metairie,LA,""
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Lake Charles",LA,""
24-02-2022,"Program Manager","CCI Systems, Inc.",ccisystems.com,"Information Technology & Services",,Remote,,"Remote in Monroe",LA,""
