DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-19,"Primary Care Professional Sales Specialist - Manchester, NH",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,"Stroudwater area)",Portland,ME,"4124"
2022-11-19,"Operating Room Assistant","Maine Medical Center",mainehealth.org,"Hospital & Health Care","$20/hour - full-time with benefits - not seasonal - call center rep",,"Rosemont area)",Portland,ME,"4102"
2022-11-19,"$20/hour - Full-time with Benefits - NOT SEASONAL - Call Center Rep",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,"North Deering area)",Portland,ME,"4103"
2022-11-19,"Entry Level Customer Training Specialist – Traveling","Reynolds and Reynolds",reyrey.com,"Computer Software","$48,000 - $50,000 a year",,"West Bayside area)",Portland,ME,"4101"
2022-11-21,"Business Broker","Magnusson Balfour Commercial",,,"estimated $73.2k - $92.7k a year",,"East Bayside-India Street area)",Portland,ME,"4101"
2022-11-21,"Event Services Manager","Westin Portland Harborview",,,,,,Portland,ME,"4101"
2022-11-19,"Field Technician",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management","$20/hour - full-time - benefit eligible - free spectrum* - call center rep",,,Portland,ME,""
2022-11-19,"$20/hour - Full-time - Benefit eligible - Free Spectrum* - Call Center Rep",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,"North Deering area)",Portland,ME,"4103"
2022-11-21,"Group Sales Manager","Westin Portland Harborview",,,,,,Portland,ME,"4101"
2022-11-19,"Full-time Nabisco Sales Service Representative/Merchandiser Order Writer","Mondel?z International",,,,,,Portland,ME,""
2022-11-21,"Laundry Attendant","Westin Portland Harborview",,,,,,Portland,ME,"4101"
2022-11-21,"Bar Manager (Top of the East)","Westin Portland Harborview",,,,,,Portland,ME,"4101"
2022-11-21,"Executive Kitchen Steward","Westin Portland Harborview",,,,,,Portland,ME,"4101"
2022-11-19,"Security Officer Airport","Allied Universal®",,,"up to $19 an hour",,"Rosemont area)",Portland,ME,"4102"
2022-11-19,"$20/hr - Free Spectrum Services* - Full-time - Call Center Rep",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,"North Deering area)",Portland,ME,"4103"
2022-11-21,Housekeeper,"Westin Portland Harborview",,,"$20 an hour",,,Portland,ME,"4101"
2022-11-21,"House Person (Part-Time)","Westin Portland Harborview",,,"$16 an hour",,,Portland,ME,"4101"
2022-11-21,"Lead Restaurant Server - AM","Westin Portland Harborview",,,"$14 an hour",,,Portland,ME,"4101"
2022-11-21,Dishwasher,"Westin Portland Harborview",,,"$15 an hour",,,Portland,ME,"4101"
2022-11-21,"In-Room Dining Attendant","Westin Portland Harborview",,,"$13 an hour",,,Portland,ME,"4101"
2022-11-21,"Banquets Captain","Westin Portland Harborview",,,,,,Portland,ME,"4101"
2022-11-21,"Corporate Sales Manager","Westin Portland Harborview",,,,,,Portland,ME,"4101"
2022-11-21,"Catering Sales Manager","Westin Portland Harborview",,,,,,Portland,ME,"4101"
