DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/16/2022,"store manager - Greater Portland, ME",Starbucks,starbucks.com,Retail,,,,Portland,ME,""
2/15/2022,"Area Manager","Rarebreed Veterinary Partners",rarebreedvet.com,Veterinary,,,"West Bayside area",Portland,ME,"04101"
2/15/2022,"Labor & Employee Relations Manager","Planned Parenthood Northern New England",,,"$72,000 a year",Remote,,"Remote in Portland",ME,""
2/16/2022,"Assistant Registrar","University of New England",une.edu,"Higher Education",,,,Portland,ME,""
2/15/2022,"Administrative Assistant, Counseling Services","University of New England",une.edu,"Higher Education",,,,Portland,ME,""
2/16/2022,"HRIS Specialist","Rarebreed Veterinary Partners",rarebreedvet.com,Veterinary,,,"West Bayside area",Portland,ME,"04101"
2/17/2022,"PSM Coordinator - Full-Time - Portland, ME 04102","Tyson Foods, Inc.",tysonfoods.com,"Food Production",,,,Portland,ME,""
2/16/2022,"Client Solutions Executive, SLED (Northeast)) - Opportunity...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Portland",ME,""
2/17/2022,"Technical Implementation Manager","Rarebreed Veterinary Partners",rarebreedvet.com,Veterinary,,,"West Bayside area",Portland,ME,"04101"
2/16/2022,"Nursing Academic Support Services Coordinator","University of Southern Maine",maine.edu,"Higher Education","Up to $42,500 a year",,"Oakdale area",Portland,ME,"04103"
2/17/2022,"Pastoral Communications Coordinator","Portland Peninsula and Island Parishess",,,,,"East Bayside-India Street area",Portland,ME,"04101"
2/15/2022,"Administrative Assistant, Dental Hygiene","University of New England",une.edu,"Higher Education",,,,Portland,ME,""
2/15/2022,"Administrative Assistant, Graduate Admissions","University of New England",une.edu,"Higher Education",,,,Portland,ME,""
2/17/2022,"Multimedia Journalist (MMJ)","Sinclair Broadcast Group",sbgi.net,"Broadcast Media",,,"North Deering area",Portland,ME,"04103"
2/16/2022,"Assistant Director of Student Life","University of New England",une.edu,"Higher Education",,,,Portland,ME,""
2/16/2022,"Assistant Director, Public Health Integrated Learning Experi...","University of New England",une.edu,"Higher Education",,,,Portland,ME,""
2/16/2022,"Administrative Specialist III-PCS Administration","Maine Medical Center",mainehealth.org,"Hospital & Health Care",,,"Rosemont area",Portland,ME,"04102"
2/17/2022,"Manager of Operations - Center for Outcomes Research and Eva...",MaineHealth,,,,,"Rosemont area",Portland,ME,"04102"
2/16/2022,"Employment Specialist IV","Maine Medical Center",mainehealth.org,"Hospital & Health Care",,,"Rosemont area",Portland,ME,"04102"
2/16/2022,"Assistant Vice President for Corporate and Foundation Relati...","University of New England",une.edu,"Higher Education","Develop and implement a strategic fundraising plan to solicit gifts of $25,000 and more from foundat",,,Portland,ME,""
2/17/2022,"Section Manager - Substation (Multiple Locations)","Burns & McDonnell",burnsmcd.com,Construction,,,,Portland,ME,""
2/17/2022,"VP, CRA Invest Asset Manager III - Community Capital Group","TD Bank",yesbank.com,Banking,,,"Downtown area",Portland,ME,"04101"
2/17/2022,"Store Manager I (US) - Portland, Maine","TD Bank",yesbank.com,Banking,,,"Libbytown area",Portland,ME,"04102"
2/17/2022,"Sales Pro - 5961","Advance Auto Parts",advanceautoparts.com,Retail,,,"Libbytown area",Portland,ME,"04102"
