DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-10,"Security Officer Corporate Setting","Allied Universal®",,,,,"West Bayside area",Portland,ME,"4101"
2022-04-09,"Supervisor - Patient Transport",MaineHealth,,,,,"Rosemont area",Portland,ME,"4102"
2022-04-09,"Security Officer Medical Manufacturing Site","Allied Universal®",,,"From $20 an hour",,,Portland,ME,""
2022-04-09,"Registered Client Service Associate","Morgan Stanley",morganstanleybranch.com,"Financial Services",,,,Portland,ME,""
2022-04-09,"Procurement Assistant","MaineHealth - Corporate",,,,,"Rosemont area",Portland,ME,"4102"
2022-04-09,"Housekeeper / Guest Room Attendant / Room Attendant",Hyatt,hyatt.com,Hospitality,,,"Downtown area",Portland,ME,"4101"
2022-04-10,"Client Project Specialist - Remote, USA",Intelerad,intelerad.com,"Medical Devices",,Remote,,"Remote in Portland",ME,""
2022-04-09,"Laundry Attendant (3pm-11pm)",Hyatt,hyatt.com,Hospitality,,,"Downtown area",Portland,ME,"4101"
2022-04-09,"Sub Coordinator/Main Office Assistant","Cheverus High School",cheverus.org,"Education Management","$29.4K - $37.2K a year",,"Ocean Avenue area",Portland,ME,"4103"
2022-04-09,"Student Associate - EPIC","EPIC RPS",epicrps.com,"Financial Services","$39K - $49.4K a year",,,Portland,ME,""
2022-04-09,"Research Associate- COVID-19 Health Equity Study","Maine Medical Center",mainehealth.org,"Hospital & Health Care",,,"Rosemont area",Portland,ME,"4102"
2022-04-09,"Store Manager","Loyal Companion",loyalcompanion.com,Retail,,,,Portland,ME,""
2022-04-11,"Recovery Clerk 6a-2p Freezer/Dairy","BJ's Wholesale Club, Inc.",bjs.com,Retail,,,"Riverton area",Portland,ME,"4103"
2022-04-10,MERCHANDISING,"Home Depot",,,,,"Riverton area",Portland,ME,"4103"
2022-04-10,"Vehicle Delivery Technician","Enterprise Holdings",enterpriseholdings.com,"Leisure, Travel & Tourism","$18 an hour",,,Portland,ME,""
2022-04-09,"Aides and Floaters - Cumberland County, ME","The Opportunity Alliance",opportunityalliance.org,"Mental Health Care","$26.8K - $34K a year",,"West Bayside area",Portland,ME,"4101"
2022-04-10,"Flex Security Officer","Securitas Security Services",securitasinc.com,"Security & Investigations","From $18 an hour",,"East Bayside-India Street area",Portland,ME,"4101"
2022-04-09,"Laboratory Technician III","Ensign-Bickford Industries, Inc.",ensign-bickfordind.com,"Mechanical Or Industrial Engineering",,,"Riverton area",Portland,ME,"4103"
2022-04-09,"FT - 2nd Shift - Campus Security",Securitas,securitasantias.com,"Security & Investigations",,,,Portland,ME,""
2022-04-09,"Medical Secretary","Spectrum Healthcare Partners",spectrumhcp.com,"Hospital & Health Care","$30.8K - $39K a year",,"North Deering area",Portland,ME,"4103"
2022-04-09,"PROJECT SPECIALIST",Graybar,graybar.com,Wholesale,,,,Portland,ME,"4122"
2022-04-10,"College Campus Security Officer - Portland 3rd shift","Securitas Security Services",securitasinc.com,"Security & Investigations","From $16 an hour",,"West Bayside area",Portland,ME,"4101"
2022-04-09,"Procurement Assistant","MaineHealth - Corporate",,,,,"Rosemont area",Portland,ME,"4102"
2022-04-09,"Special Education Educational Technician III Talbot Elementa...","Portland Public Schools",pps.net,"Primary/Secondary Education",,,"West Bayside area",Portland,ME,"4101"
2022-04-09,"HEAD CUSTODIAN-BC III Lyseth Elementary School","Portland Public Schools",pps.net,"Primary/Secondary Education",,,"West Bayside area",Portland,ME,"4101"
2022-04-10,"College Campus Security Officer - Portland 2nd shift","Securitas Security Services",securitasinc.com,"Security & Investigations","From $16 an hour",,"West Bayside area",Portland,ME,"4101"
2022-04-10,"Utility Clerk- FT","BJ's Wholesale Club, Inc.",bjs.com,Retail,,,"Riverton area",Portland,ME,"4103"
2022-04-11,"Cold & warm leads cash discount","BPS Worldwide LLC",bpsworldwide.com,"Financial Services","Up to $10,000 a month",,,Portland,ME,""
2022-04-10,"Executive Assistant","City of Portland, Maine",portlandmaine.gov,"Government Administration","$41,886 - $58,012 a year",,"Downtown area",Portland,ME,"4101"
2022-04-11,"Tea Shop hiring Tea Enthusiasts","Dobra Tea",,,"Up to $19 an hour",,"Downtown area",Portland,ME,"4101"
2022-04-10,"Principal Financial Officer","City of Portland, Maine",portlandmaine.gov,"Government Administration","$67,288 - $82,746 a year",,"Downtown area",Portland,ME,"4101"
2022-04-11,"Foundation Specialist","Catholic Foundation of Maine",,,"$37,000 - $45,000 a year",,"West Bayside area",Portland,ME,"4104"
2022-04-11,"Food and Beverage Manager","Cumberland Club",,,"$60,000 - $70,000 a year",,"West End area",Portland,ME,"4101"
2022-04-10,"Food and Beverage Operations Manager","The Press Hotel / UNION",thepresshotel.com,Hospitality,"$44.7K - $56.7K a year",,"Downtown area",Portland,ME,"4101"
2022-04-09,"Human Resources Business Partner",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,Remote,,"Temporarily Remote in Portland",ME,"4102"
2022-04-09,"Property Administrative Assistant","Preservation Management, Inc.",preservationmanagement.com,"Real Estate","$29.5K - $37.3K a year",,,Portland,ME,""
2022-04-11,Assistant,PrintingMaine.com,,,"$19 an hour",,"West Bayside area",Portland,ME,"4101"
2022-04-11,"Hotel Operations Supervisor","The Embassy Suites Portland",,,"$18 an hour",,"Portland International Jetport area",Portland,ME,"4102"
2022-04-10,"Guest Services Concierge","Total Aviation Staffing, LLC",casmworldwide.com,"Aviation & Aerospace","$15 - $20 an hour",,"Rosemont area",Portland,ME,"4102"
2022-04-09,"Cashier/Customer Service","Rusty Lantern Markets",rustylanternmarkets.com,Retail,"$16 - $18 an hour",,"Stroudwater area",Portland,ME,"4102"
2022-04-10,"Housekeeping Room Attendant","The Press Hotel / UNION",thepresshotel.com,Hospitality,"From $18.23 an hour",,"Downtown area",Portland,ME,"4101"
2022-04-10,Cleaner.,"Holiday Inn By The Bay",innbythebay.com,Hospitality,,,"Downtown area",Portland,ME,"4101"
2022-04-11,Server/Retail,"The Maker's Galley",,,"$25.9K - $32.7K a year",,"East Bayside-India Street area",Portland,ME,"4101"
2022-04-11,"Retail Sales Associate","Portland Smoke and Vape inc",portsmouthsmokeandvape.com,Retail,"$18 - $25 an hour",,,Portland,ME,""
2022-04-11,"Sales Representative","DAS Companies, Inc.",dasinc.com,Warehousing,,,,Portland,ME,""
2022-04-10,"Public Area Attendant","Holiday Inn By The Bay",innbythebay.com,Hospitality,,,"Downtown area",Portland,ME,"4101"
2022-04-09,"Laundry Attendant 3pm-11pm ($17hr)","Hyatt Place Portland Old Port",,,,,"Downtown area",Portland,ME,"4101"
2022-04-09,"PHARMACY TECHNICIAN",PharMerica,pharmerica.com,Pharmaceuticals,,,"West Bayside area",Portland,ME,"4101"
2022-04-11,"Wastewater Maintenance Operator - Portland Water District","Portland Water District",pwd.org,Utilities,"From $23.54 an hour",,"East End area",Portland,ME,"4101"
2022-04-09,"Sales Counselor","HarborChase of South Portland",,,"From $55,000 a year",,,Portland,ME,"4106"
2022-04-09,"Rental Sales Associate","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,,Portland,ME,""
2022-04-09,"Pharmacy Technician","CVS Health Retail",cvshealth.com,"Health, Wellness & Fitness","From $16 an hour",,"Oakdale area",Portland,ME,"4101"
2022-04-10,"AM/ PM Housekeeping Houseperson","The Press Hotel / UNION",thepresshotel.com,Hospitality,"From $18.23 an hour",,"Downtown area",Portland,ME,"4101"
2022-04-09,"Junior Sales Associate",Cloudmersive,,,"$20 - $30 an hour",,,Portland,ME,""
2022-04-10,"Retail Associate","Bow Street Beverage",bowstreetbeverage.com,,"$15.50 an hour",,"Oakdale area",Portland,ME,"4101"
