DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-12,"Administrative Assistant",BerryDunn,,,"$34.9K - $44.3K a year",,"Stroudwater area",Portland,ME,"4102"
2022-06-11,Scheduler,"Northern Light Health",northernlighthealth.org,"Hospital & Health Care",,,"Libbytown area",Portland,ME,"4102"
2022-06-11,"Assistant Clerk (#349)","State of Maine Judicial Branch",,,"$27.7K - $35.1K a year",,,Portland,ME,""
2022-06-11,"Tobacco Treatment Specialist","MaineHealth - Corporate",,,,,"West Bayside area",Portland,ME,"4101"
2022-06-11,"Court Fine Screener (#653)","State of Maine Judicial Branch",,,"$31.2K - $39.4K a year",,,Portland,ME,""
2022-06-11,"Project Accountant 2","Woodard & Curran",woodardcurran.com,"Environmental Services","$57.2K - $72.4K a year",,"Stroudwater area",Portland,ME,"4102"
2022-06-11,"Peer Support Specialist","Northern Light Health",northernlighthealth.org,"Hospital & Health Care",,,"West End area",Portland,ME,"4102"
2022-06-12,"Special Education Resource Room Educational Technician (full...","Portland Public Schools",pps.net,"Primary/Secondary Education",,,"West Bayside area",Portland,ME,"4101"
2022-06-11,"Official Court Reporter","U.S. Courts",uscourts.gov,Judiciary,"$94,752 - $108,965 a year",,"Downtown area",Portland,ME,""
2022-06-11,"Patient Service Representative","Northern Light Health",northernlighthealth.org,"Hospital & Health Care",,,"West End area",Portland,ME,"4102"
2022-06-11,"Pharmaceutical Education Representative","Ashfield Engage",,,,,,Portland,ME,""
2022-06-12,"Operations Supervisor","CVS Health Retail",cvshealth.com,"Health, Wellness & Fitness",,,,Portland,ME,""
2022-06-13,Producer,TEGNA,tegna.com,"Broadcast Media",,,,Portland,ME,""
2022-06-11,"Housekeeping Supervisor","Hampton Inn by Hilton Portland Downtown Waterfront",,,"$16 an hour",,"East Bayside-India Street area",Portland,ME,"4101"
2022-06-11,"Admissions Representative","Encompass Health",encompasshealth.com,"Hospital & Health Care",,,,Portland,ME,"4102"
2022-06-13,"Digital Sales Assistant",TEGNA,tegna.com,"Broadcast Media",,,,Portland,ME,""
2022-06-11,"Speech Language Pathologist","Maine Medical Center",mainehealth.org,"Hospital & Health Care",,,"Rosemont area",Portland,ME,"4102"
