DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-19,"Patient Service Representative - Call Center",Ascension,ascension.org,"Hospital & Health Care",,,"Violetville area)",Baltimore,MD,"21229"
2022-11-19,"Patient Service Representative - Call Center",Ascension,ascension.org,"Hospital & Health Care",,,"Violetville area)",Baltimore,MD,"21229"
2022-11-20,"Medical Transport Specialist / Driver","Quest Diagnostics",questdiagnostics.com,"Hospital & Health Care","estimated $31k - $39.2k a year",,,Baltimore,MD,"21227"
2022-11-19,"Personal Consultation Analyst (Private Investment)",Deloitte,deloitte.com,"Management Consulting","estimated $62.7k - $79.4k a year",,"Inner Harbor area)",Baltimore,MD,"20201"
2022-11-19,"Telephone Operator","US Veterans Health Administration",va.gov,"Government Administration","$36,542 - $47,503 a year",,"University of Maryland area)",Baltimore,MD,"21201"
2022-11-20,"Materials Handler","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,,Baltimore,MD,"21237"
2022-11-19,"GES Internal Communications Specialist",Deloitte,deloitte.com,"Management Consulting","estimated $65.6k - $83.1k a year",Remote,,"Remote in Baltimore",MD,"20201"
2022-11-19,"Administrative Assistant",Ascension,ascension.org,"Hospital & Health Care",,,"Violetville area)",Baltimore,MD,"21229"
2022-11-19,"HIM Doc Imaging Tech","University of Maryland Medical System",umms.org,"Hospital & Health Care",,,"University of Maryland area)",Baltimore,MD,"21201"
2022-11-19,"Patient Care Coordinator","Chesapeake Mobile Health Care",cheshealth.com,"Medical Practice","$18 an hour",,,"Hybrid remote in Baltimore",MD,""
2022-11-21,"Environmental Project Manager","Federated Environmental Associates",,,"up to $1,500 a month",,,Baltimore,MD,"21208"
2022-11-19,"Pediatric Nurse Practitioner, Telemedicine","MedStar Medical Group",,,,Remote,,"Remote in Baltimore",MD,"21220"
2022-11-19,"HEALTH POLICY ANALYST II","State of Maryland",maryland.gov,"Government Administration","$57,467 - $74,705 a year",,"Reisterstown Station area)",Baltimore,MD,"21215"
2022-11-20,"Columbia Front Desk Receptionist","Johns Hopkins University",thompsonadvising.com,"Education Management","estimated $30.5k - $38.7k a year",,"Johns Hopkins Homewood area)",Baltimore,MD,"21218"
2022-11-19,"District Manager","Valet Living",valetliving.com,"Real Estate","$60 an hour",,,Baltimore,MD,""
2022-11-19,"Entry Level Customer Training Specialist – Traveling","Reynolds and Reynolds",reyrey.com,"Computer Software","$48,000 - $50,000 a year",,"Downtown area)",Baltimore,MD,"21201"
2022-11-19,"Med Tech, Medical Lab Scientist, Microbiology Lab","University of Maryland Medical Center",,,"$10k sign on bonus now being offered! new grads or experienced encouraged to apply! med tech, medica",,"Downtown area)",Baltimore,MD,"21201"
2022-11-21,"Unit Secretary","University of Maryland Medical Center",,,"estimated $31.8k - $40.2k a year",,"Downtown area)",Baltimore,MD,"21201"
2022-11-19,"Patient Account Representative III","Baltimore, MD 21207",,,,,,,,""
2022-11-19,"Patient Account Representative II","Faculty Physicians Inc.",umfpi.org,"Hospital & Health Care",,,"Dickeyville area)",Baltimore,MD,"21207"
2022-11-19,"Medical Technician","US Veterans Health Administration",va.gov,"Government Administration","$36,542 - $47,503 a year",,"University of Maryland area)",Baltimore,MD,"21201"
2022-11-20,"Unit Secretary Medical ICU","Johns Hopkins University",thompsonadvising.com,"Education Management","estimated $32.5k - $41.2k a year",,"Johns Hopkins Homewood area)",Baltimore,MD,"21218"
2022-11-19,"Respiratory Therapy Equipment Technician","University of Maryland Medical Center",,,,,"Downtown area)",Baltimore,MD,"21201"
2022-11-20,"Group Lead, Route Svc Rep","Quest Diagnostics",questdiagnostics.com,"Hospital & Health Care","estimated $35.1k - $44.4k a year",,,Baltimore,MD,"21227"
2022-11-19,"Medical Secretary","GBMC HealthCare",gbmc.org,"Hospital & Health Care","estimated $31.7k - $40.1k a year",,,Baltimore,MD,"21204"
2022-11-19,"Patient Care Tech 6 Surgery","Johns Hopkins Bayview Medical Center",bayviewjobs.org,"Hospital & Health Care",,,"Downtown area)",Baltimore,MD,"21201"
2022-11-21,"Corrections RRC - Administrative Assistant","VOLUNTEERS OF AMERICA CHESAPEAKE AND CAROLINAS,...",,,"estimated $31.7k - $40.1k a year",,,Baltimore,MD,""
2022-11-19,"Entry Level Advertising Account Manager Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",Remote,,"Remote in Baltimore",MD,"21201"
2022-11-19,"MG Community Health Wkr","UMMC Midtown Campus",,,"estimated $30.3k - $38.4k a year",,"Downtown area)",Baltimore,MD,"21201"
2022-11-20,"Unit Secretary","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,,Baltimore,MD,"21237"
2022-11-19,"Administrative Assistant II (OMHC)","Baltimore, MD",,,,,,,,""
2022-11-20,"Office Coord","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Charles Village area)",Baltimore,MD,"21218"
2022-11-21,"Clinical Neuropsychologist - Outpatient Neuropsychology","UM Rehabilitation & Orthopaedic Institute",,,"estimated $86.3k - $109k a year",,,Baltimore,MD,"21207"
2022-11-19,"Patient Account Representative II","University of Maryland Faculty Physicians",,,,,"Dickeyville area)",Baltimore,MD,"21207"
2022-11-19,Host/Hostess,"MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Charles Village area)",Baltimore,MD,"21218"
2022-11-21,"Facility Admissions Coordinator","University of Maryland Medical Center",,,"estimated $34.6k - $43.8k a year",,"Downtown area)",Baltimore,MD,"21201"
2022-11-20,"Pharmacy Technician II (Investigational Drug)","University of Maryland Medical Center",,,,,"Downtown area)",Baltimore,MD,"21201"
2022-11-19,"Unit Associate","Johns Hopkins University",thompsonadvising.com,"Education Management","estimated $30.4k - $38.5k a year",,"Johns Hopkins Homewood area)",Baltimore,MD,"21218"
2022-11-21,"Associate Veterinarian Job J183139","Global Talent Partners",,,"$100,000 - $200,000 a year",,,Baltimore,MD,""
