DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-02-23,"Grants & Contracts Specialist","Johns Hopkins University",thompsonadvising.com,"Education Management","$43,970 - $60,390 a year",Remote,,"Hybrid remote in Baltimore",MD,"21205"
2022-02-24,"Report Writer","Eurofins USA Consumer Product Testing",,,"$39.8K ? $50.4K a year",,,Baltimore,MD,""
2022-02-24,"Family Nanny","WeeCare, Inc.",,,"$10 - $33 an hour",,,Baltimore,MD,""
2022-02-23,"Teacher, Religion","The Archdiocese of Baltimore",,,"$41.6K ? $52.6K a year",,"Downtown area",Baltimore,MD,"21201"
2022-02-23,Storekeeper,"Johns Hopkins Bayview Medical Center",bayviewjobs.org,"Hospital & Health Care",,,"Downtown area",Baltimore,MD,"21201"
2022-02-24,"MEDS FOR HOME COORDINATOR","Johns Hopkins Home Care Group",,,,,"Bayview area",Baltimore,MD,"21224"
2022-02-24,"Outside Sales Representative","JES Foundation Repair",jeswork.com,Construction,"Up to $150,000 a year",,,Baltimore,MD,""
2022-02-23,"Reading Interventionist","KIPP Baltimore",kippbaltimore.org,"Education Management","$75.7K ? $95.9K a year",,,Baltimore,MD,""
2022-02-24,"NO FULL-TIME LISTINGS AT THIS TIME.","Everyman Theatre",everymantheatre.org,"Performing Arts","$37.9K ? $47.9K a year",,"Downtown area",Baltimore,MD,"21201"
2022-02-23,Storekeeper,"Johns Hopkins Bayview Medical Center",bayviewjobs.org,"Hospital & Health Care",,,"Downtown area",Baltimore,MD,"21201"
2022-02-24,"Guidance Counselor (pt) 2022-2023","The Archdiocese of Baltimore",,,"$41.7K ? $52.9K a year",,"Downtown area",Baltimore,MD,"21201"
2022-02-24,"Talent Acquisition Specialist II","Johns Hopkins Hospital",,,,,"Downtown area",Baltimore,MD,"21201"
2022-02-24,"Code Enforcement Investigator I - Department of Housing & Co...","City of Baltimore, MD",,,"$44,263 - $53,504 a year",,,Baltimore,MD,""
2022-02-23,"Street Team Representative - Full Time","Monster Energy",monsterenergy.com,"Food & Beverages",,,"Pimlico area",Baltimore,MD,"21215"
2022-02-24,"Medical Records Administrator - Chief Health Information Man...","US Veterans Health Administration",va.gov,"Government Administration","$106,823 - $138,868 a year",Remote,,"Temporarily Remote in Baltimore",MD,"21201"
2022-02-24,"Teacher, Computer 2022-2023","The Archdiocese of Baltimore",,,"$36.6K ? $46.4K a year",,"Downtown area",Baltimore,MD,"21201"
2022-02-24,"Home Study and Post Release Case Manager",ENDEAVORS,endeavors.org,"Civic & Social Organization","$50.3K ? $63.7K a year",,"Downtown area",Baltimore,MD,"21201"
2022-02-24,"EVS Area Cleaner (6:30am - 3pm, Wknd work Req'd)","Johns Hopkins Bayview Medical Center",bayviewjobs.org,"Hospital & Health Care",,,"Downtown area",Baltimore,MD,"21201"
2022-02-23,"Human Resources Associate I","University of Maryland, Baltimore",umaryland.edu,"Higher Education",,,,Baltimore,MD,""
2022-02-24,"Research Specialist","Johns Hopkins University",thompsonadvising.com,"Education Management",,,"Dunbar-Broadway area",Baltimore,MD,"21287"
2022-02-24,"Student Brand Ambassador, John Hopkins University",GoPuff,gopuff.com,Internet,,Remote,,"Remote in Baltimore",MD,""
2022-02-24,"Research Assistant","Johns Hopkins University",thompsonadvising.com,"Education Management","$16.42 - $22.57 an hour",,"Dunbar-Broadway area",Baltimore,MD,"21287"
2022-02-24,"Teacher, High School Spanish","The Archdiocese of Baltimore",,,"$32.9K ? $41.7K a year",,"Downtown area",Baltimore,MD,"21201"
2022-02-24,"Family Babysitter","WeeCare, Inc.",,,"$10 - $33 an hour",,,Baltimore,MD,""
2022-02-24,"Field Service Representative",Metrie,metrie.com,"Building Materials",,,,Baltimore,MD,"21234"
2022-02-24,"Medical Front Desk Associate","Baltimore Eye Physicians",bepeye.com,"Health, Wellness & Fitness","$38.9K ? $49.3K a year",,"Chinquapin Park-Belvedere area",Baltimore,MD,"21212"
2022-02-24,"Reading Interventionist (Middle School)","KIPP Baltimore",kippbaltimore.org,"Education Management","$73K ? $92.4K a year",,,Baltimore,MD,""
2022-02-23,"Talent Acquisition Coordinator","OneMain Financial",onemainfinancial.com,"Financial Services",,,,Baltimore,MD,"21236"
2022-02-24,"Community Health Worker","UMMC Midtown Campus",,,,,"Downtown area",Baltimore,MD,"21201"
2022-02-22,"Deconstruction work","Goel Services, Inc.",,,"$15 an hour",,"Reisterstown Station area",Baltimore,MD,"21215"
2022-02-24,"Teacher, Art Pre-K-grade 8","The Archdiocese of Baltimore",,,"$41.4K ? $52.4K a year",,"Downtown area",Baltimore,MD,"21201"
2022-02-23,"Environmental Service Associate","GBMC HealthCare",gbmc.org,"Hospital & Health Care","$26.2K ? $33.2K a year",,,Baltimore,MD,"21204"
2022-02-24,"Embedded Counselor - Athletic Department","Morgan State University",morgan.edu,"Higher Education","$54.5K ? $68.9K a year",,"Morgan State University area",Baltimore,MD,"21251"
2022-02-24,"Social Worker I","University of Maryland Medical Center",,,,,"Downtown area",Baltimore,MD,"21201"
