DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
26-02-2022,"Account Executive - SkinCeuticals (Maryland North)",L'Oreal,loreal.sg,,,,,Baltimore,MD,""
25-02-2022,"Account Executive - SkinCeuticals (Maryland North)",L'Oreal,loreal.sg,,,,,Baltimore,MD,""
28-02-2022,"Scheduling & Preauthorization Coordinator","University of Maryland Medical Center",,,,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Lockbox Processor III","M&T Bank",mtb.co,,,,,Baltimore,MD,""
26-02-2022,"Building Operations Supervisor - Department of Recreation an...","City of Baltimore, MD",,,"$39,651 - $47,323 a year",,,Baltimore,MD,""
28-02-2022,"Website Producer","TOP Agency",topagency.com,"Marketing & Advertising",,,,Baltimore,MD,""
26-02-2022,"Animal Facility Manager","Morgan State University",morgan.edu,"Higher Education","$60,000 a year",,"Morgan State University area",Baltimore,MD,"21251"
26-02-2022,"Peer Recovery Coach","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Middle Branch - Reedbird Parks area",Baltimore,MD,"21225"
27-02-2022,"HR Coordinator","University of Maryland Medical System",umms.org,"Hospital & Health Care",,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Web Developer","Johns Hopkins University",thompsonadvising.com,"Education Management",,,"Johns Hopkins Homewood area",Baltimore,MD,"21218"
26-02-2022,"Human Resources Specialist","Johns Hopkins Hospital",,,,,"Downtown area",Baltimore,MD,"21201"
27-02-2022,"Administrative Coordinator","Johns Hopkins University",thompsonadvising.com,"Education Management","$17.59 - $24.80 an hour",,"Dunbar-Broadway area",Baltimore,MD,"21287"
26-02-2022,"Production Scheduler",Catalent,,,"$39.4K ? $49.8K a year",,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Assistant Director for the University Counseling Center","Morgan State University",morgan.edu,"Higher Education","$31.9K ? $40.5K a year",,"Morgan State University area",Baltimore,MD,"21251"
26-02-2022,"HR Coordinator","University of Maryland Medical System",umms.org,"Hospital & Health Care",,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,Multimedia/Editor,"Johns Hopkins Health System",,,,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Plant Operator","Synagro Technologies",synagro.com,"Environmental Services","$38.9K ? $49.3K a year",,,Baltimore,MD,"21226"
26-02-2022,"Case Manager II","Johns Hopkins Hospital Nursing",,,,,"Downtown area",Baltimore,MD,"21201"
27-02-2022,"Multimedia Producer/Video Producer","Johns Hopkins University",thompsonadvising.com,"Education Management","$51,210 - $70,480 a year",Remote,,"Hybrid remote in Baltimore",MD,""
26-02-2022,"Exec Admin Coordinator","Exelon Corporation",exelon.com,,"$37.7K ? $47.7K a year",,"Downtown area",Baltimore,MD,"21201"
28-02-2022,"Building Services Manager","CBS Television Stations",,,,,"Hampden-Woodberry-Remington area",Baltimore,MD,"21211"
28-02-2022,"Influencer Marketing Manager","TOP Agency",topagency.com,"Marketing & Advertising","$62.1K ? $78.7K a year",,,Baltimore,MD,""
25-02-2022,"Recruiter, AWS R4HR","Amazon.com Services LLC",amazon.com,Internet,,,,Baltimore,MD,""
26-02-2022,"Plant Operator","Synagro WWT, Inc.",,,"$38.9K ? $49.3K a year",,,Baltimore,MD,"21226"
27-02-2022,"Brand Strategist","TOP Agency",topagency.com,"Marketing & Advertising","$63.3K ? $80.1K a year",,,Baltimore,MD,""
27-02-2022,"EJD Territory Manager- MD, DC, PA, DE","ACE Hardware",acehardware.af,Retail,,Remote,,"Hybrid remote in Baltimore",MD,""
26-02-2022,"Recruiter-University and Program","Exelon Corporation",exelon.com,,"$50.9K ? $64.5K a year",,"Fells Point area",Baltimore,MD,"21231"
27-02-2022,"Art Director- Deloitte?s Green Dot Agency",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,"Patient Service Manager","Johns Hopkins Medical Management Corporation",,,"$51.8K ? $65.6K a year",,"Dunbar-Broadway area",Baltimore,MD,"21287"
26-02-2022,"Janitorial Supervisor","The Arc Baltimore",thearcbaltimore.org,"Nonprofit Organization Management","$16.50 an hour",,"Chinquapin Park-Belvedere area",Baltimore,MD,"21212"
26-02-2022,"Exec Admin Coordinator","Exelon Corporation",exelon.com,,"$37.7K ? $47.7K a year",,"Howard Park area",Baltimore,MD,"21244"
26-02-2022,"Medical Project Management / AV Customer Service - Baltimore...","KARL STORZ",karlstorz.com,"Medical Devices","$47.5K ? $60.1K a year",,,Baltimore,MD,""
26-02-2022,"Talent Manager","Synagro WWT, Inc.",,,"$75.6K ? $95.8K a year",,,Baltimore,MD,"21220"
26-02-2022,"Talent Manager","Synagro Technologies",synagro.com,"Environmental Services","$75.6K ? $95.8K a year",,,Baltimore,MD,"21220"
26-02-2022,"Core Service Trainer","Johns Hopkins Health System",,,,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"TRANSPLANT FINANCIAL REVIEWER","University of Maryland Medical Center",,,,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Plant Technician- Control Room Operator","Talen Energy",talenenergy.com,"Oil & Energy",,,,Baltimore,MD,""
27-02-2022,"Buyer II","Johns Hopkins University",thompsonadvising.com,"Education Management","$17.59 - $24.80 an hour",,"Hampden area",Baltimore,MD,"21211"
26-02-2022,"Research Program Manager","Johns Hopkins University",thompsonadvising.com,"Education Management","$53,020 - $72,930 a year",Remote,,"Hybrid remote in Baltimore",MD,""
26-02-2022,"Convention Services Manager | Renaissance Baltimore Harborpl...","PM Hotel Group",pmhotelgroup.com,Hospitality,"$44.7K ? $56.5K a year",,"Inner Harbor area",Baltimore,MD,"21202"
26-02-2022,"Financial Project Manager","Johns Hopkins Hospital",,,,,"Dunbar-Broadway area",Baltimore,MD,"21205"
26-02-2022,"Safety Support Specialist","Sheppard Pratt - Towson",sheppardpratt.org,"Mental Health Care",,,,Baltimore,MD,""
26-02-2022,"Web Developer",ICF,icf.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"21202"
26-02-2022,"Case Manager-Youth","Master St Vincent De Paul Of Baltim",,,,,"Park Circle area",Baltimore,MD,"21215"
26-02-2022,"Credit Manager","Four Seasons",fourseasons.com,Hospitality,"$56.7K ? $71.7K a year",,,Baltimore,MD,""
27-02-2022,"Supervisor, Core Lab","University of Maryland Medical Center",,,,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Ultrasound Specialist",Hologic,hologi.com,,"$67.3K ? $85.3K a year",,,Baltimore,MD,""
26-02-2022,"Pharmacy Analyst (340B)","UM Rehabilitation & Orthopaedic Institute",,,,,,Baltimore,MD,"21207"
26-02-2022,"Foreman (Dredge) (11521)","Kokosing Industrial",kokosingindustrial.com,Construction,"$44.3K ? $56.1K a year",,,Baltimore,MD,""
26-02-2022,"Talent Manager - Baltimore","Robert Half",roberthalf.com,"Staffing & Recruiting",,,,Baltimore,MD,""
26-02-2022,"Financial Center Manager - Putty Hill Plaza Financial Center...","Bank of America",appianrx.com,"Hospital & Health Care",,,,Baltimore,MD,"21236"
26-02-2022,"ISG Americas Compliance Governance and Training","Morgan Stanley",morganstanleybranch.com,"Financial Services",,,,Baltimore,MD,""
26-02-2022,"Educational Specialist II - Accelerated Learning & Tutoring","Baltimore City Public Schools",baltimorecityschools.org,"Education Management","$78,447 a year",,"Barclay area",Baltimore,MD,"21202"
28-02-2022,"Lead Learning and Development Specialist-A&A Curriculum Deve...",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
28-02-2022,"Marketing Strategist","TOP Agency",topagency.com,"Marketing & Advertising","$57.7K ? $73.1K a year",,,Baltimore,MD,""
26-02-2022,"Levering Chef Manager","Johns Hopkins University",thompsonadvising.com,"Education Management",,,"Johns Hopkins Homewood area",Baltimore,MD,"21218"
26-02-2022,"Territory Manager - Medical Equipment (Virginia, DC and Dela...","GF Health Products, Inc.",basicamerican.com,,,,,Baltimore,MD,""
26-02-2022,"Administrator - Procurement Contracts","Baltimore City Public Schools",baltimorecityschools.org,"Education Management","$73,418 a year",,"Barclay area",Baltimore,MD,"21202"
26-02-2022,"CLINICAL LIAISON, POST-ACUTE SERVICES","LifeBridge Health",lifebridgehealth.org,"Hospital & Health Care",,,"Pimlico area",Baltimore,MD,"21215"
25-02-2022,"Manager, Merchandise Execution",Macy?s,,,,,"Howard Park area",Baltimore,MD,"21244"
26-02-2022,"Assistant Director, Email Marketing and Website Communicatio...","Johns Hopkins University",thompsonadvising.com,"Education Management",,,"Johns Hopkins Homewood area",Baltimore,MD,"21218"
27-02-2022,"Digital Strategist","TOP Agency",topagency.com,"Marketing & Advertising","$64.2K ? $81.2K a year",,,Baltimore,MD,""
27-02-2022,"Cyber SAP Security & Business Access Control Manager",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,"Workday Student Integrations Manager",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
27-02-2022,"Experienced Registered Nurse (RN) - Shock Trauma Center ECMO...","University of Maryland Medical Center",,,,,"Downtown area",Baltimore,MD,"21201"
28-02-2022,"Lead Business Analyst - DAS Consulting",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
27-02-2022,"Experienced Registered Nurse (RN) - Shock Trauma Center Trau...","University of Maryland Medical Center",,,,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Climate Resilience Engineering & Planning Specialist",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
27-02-2022,"IAM Manager","OneMain Financial",onemainfinancial.com,"Financial Services","$112K ? $142K a year",,,Baltimore,MD,"21236"
26-02-2022,"Digital Project Manager",Orases,orases.com,"Information Technology & Services","$80,000 - $105,000 a year",,,Baltimore,MD,""
27-02-2022,"Equity Trading Operations Team Manager, Vice President","Morgan Stanley",morganstanleybranch.com,"Financial Services",,,,Baltimore,MD,""
26-02-2022,"Manager Clinical Program CRNP or PA-C","University of Maryland Medical Center",,,,,"Downtown area",Baltimore,MD,"21201"
25-02-2022,"Principal VMWare Developer","PSI Pax",psipax.com,"Information Technology & Services","$106K ? $134K a year",,"Downtown area",Baltimore,MD,"21201"
28-02-2022,"Blockchain & Digital Assets Manager",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,"Journey Level Marine Technician (Remote)","Pacific Power Group",pacificpowergroup.com,Machinery,"$54K ? $68.4K a year",,,Baltimore,MD,""
27-02-2022,"Principal Data Scientist, NLP (Remote) - Baltimore, MD area...","Fidelity Investments",smcc.edu,"Higher Education",,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Manager, Strategy & Operations - Opportunity for Working Rem...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Baltimore",MD,""
28-02-2022,"Lead Business Systems Analyst - DAS HXM",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,"RN CTO Lead Care Manager","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,"Loch Raven area",Baltimore,MD,"21239"
26-02-2022,"HRIS Manager (Remote - Must be willing to work Eastern Stand...","New Story",newstorycharity.org,"Nonprofit Organization Management","$74.3K ? $94.1K a year",Remote,,"Remote in Baltimore",MD,""
26-02-2022,"Branch Manager",LKQ,lkqcorp.com,Automotive,,,"Morrell Park area",Baltimore,MD,"21230"
26-02-2022,"Manager, Corporate Finance","World Relief Corporation",,,"$65,000 - $70,000 a year",,"Downtown area",Baltimore,MD,"21202"
27-02-2022,"Growth Marketing Manager",Paradox,paradox.ai,"Computer Software","$69.1K ? $87.5K a year",,"Bayview area",Baltimore,MD,"21224"
27-02-2022,"Transportation Lab Manager",Leidos,opera.org.au,"Performing Arts",,,"Howard Park area",Baltimore,MD,"21244"
26-02-2022,"Transportation Lab Manager",Leidos,opera.org.au,"Performing Arts",,,"Howard Park area",Baltimore,MD,"21244"
26-02-2022,Architect,Actalent,actalentagency.com,,,,,Baltimore,MD,""
26-02-2022,"Financial Administrator/Director- Emergency Medicine","University of Maryland Faculty Physicians",,,,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Environmental Health & Safety Consultant","Triumvirate Environmental",triumvirate.com,"Environmental Services","$70.1K ? $88.7K a year",,,Baltimore,MD,"21226"
25-02-2022,"Associate Product Marketing Manager ? Growth (Remote-friendl...","New Relic",newrelic.com,"Computer Software","$57K ? $72.2K a year",Remote,,"Remote in Baltimore",MD,""
26-02-2022,"SAP BPC Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,"Research Scientist I, Tech Transfer - Temporary","Exact Sciences Corporation",exactsciences.com,Biotechnology,"$53.7K ? $68.1K a year",,"Middle East area",Baltimore,MD,"21205"
26-02-2022,"SUBSTANCE ABUSE COURT ASSESSOR-GRANT-CRIMINAL JUSTICE-GRACE...","LifeBridge Health",lifebridgehealth.org,"Hospital & Health Care",,,"Penrose-Fayette Street Outreach area",Baltimore,MD,"21223"
26-02-2022,"Safety Support Specialist","Sheppard Pratt",,,"$39.4K ? $49.8K a year",,,Baltimore,MD,"21204"
26-02-2022,"IT Ops Manager",Thread,threadhouston.blogspot.com,Retail,,,"Greater Rosemont area",Baltimore,MD,"21216"
26-02-2022,"Financial Administrator/Director- Emergency Medicine","Faculty Physicians Inc.",umfpi.org,"Hospital & Health Care",,,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Program Director, Physician Assistant Program","University of Maryland, Baltimore",umaryland.edu,"Higher Education",,,,Baltimore,MD,""
26-02-2022,"Vice President of Finance",Thread,threadhouston.blogspot.com,Retail,,,"Greater Rosemont area",Baltimore,MD,"21216"
26-02-2022,"Director of Psychiatric Services (RN)","University of Maryland Medical Center",,,,,"Downtown area",Baltimore,MD,"21201"
27-02-2022,"Rehabilitation Nursing Educator - Med Surg","UM Rehabilitation & Orthopaedic Institute",,,,,,Baltimore,MD,"21207"
26-02-2022,"Networking & Security Solutions Specialist Healthcare ( Mid...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Baltimore",MD,""
27-02-2022,"Mgr, Technology Ops- PMO",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,"Nurse Practitioner","Btst Services Llc",btstservices.com,"Mental Health Care",,,"Charles North area",Baltimore,MD,"21218"
26-02-2022,"Digital Content Specialist","University of Baltimore",ubalt.edu,"Higher Education","$46.1K ? $58.3K a year",,,Baltimore,MD,""
26-02-2022,"Payer Credentialing Specialist","Sheppard Pratt - Towson",sheppardpratt.org,"Mental Health Care",,,,Baltimore,MD,""
27-02-2022,"Regulatory Specialist II","Johns Hopkins University",thompsonadvising.com,"Education Management","$39,310 - $54,060 a year",,"Middle East area",Baltimore,MD,"21231"
26-02-2022,"Provider Informaticist (Ambulatory): EHR, EMR, Cerner, Train...","MEDSTAR HEALTH",medstarhealth.org,"Hospital & Health Care",,,,Baltimore,MD,"21237"
26-02-2022,"Financial Manager","Johns Hopkins University",thompsonadvising.com,"Education Management","$69,830 - $95,960 a year",,"Dunbar-Broadway area",Baltimore,MD,"21205"
26-02-2022,"IT Manager","Johns Hopkins University",thompsonadvising.com,"Education Management","$81,470 - $111,990 a year",Remote,,"Hybrid remote in Baltimore",MD,""
26-02-2022,"Field AV Installation Technician - Baltimore, MD","KARL STORZ",karlstorz.com,"Medical Devices","$42.2K ? $53.4K a year",,,Baltimore,MD,""
26-02-2022,"Payer Credentialing Specialist","Sheppard Pratt",,,,,,Baltimore,MD,"21204"
26-02-2022,"MATERIALS MANAGER","Berry Global, Inc",berryglobal.com,Plastics,,,"Holabird Industrial Park area",Baltimore,MD,"21224"
26-02-2022,"Division Sales Manager - Baltimore, MD - Vaccines","Sanofi US",,,,,,Baltimore,MD,""
26-02-2022,"Assistant Principal, KIPP Ujima Village Academy","KIPP Foundation",kipp.org,"Education Management",,,,Baltimore,MD,""
26-02-2022,"Performance Improvement Manager",FutureCare,futurecare.com,"Hospital & Health Care","$75.9K ? $96.1K a year",,"Canton area",Baltimore,MD,"21224"
26-02-2022,"M365 Power Platform Developer","CSAA Insurance Group",,,,,,Baltimore,MD,""
26-02-2022,"Behavioral Services Clinical Director",Sevita,sevita.com,"Food Production",,,"Pimlico area",Baltimore,MD,"21215"
26-02-2022,"Retail Parts Pro","Advance Auto Parts",advanceautoparts.com,Retail,,,"Mill Hill area",Baltimore,MD,"21223"
26-02-2022,"Penetration Tester - Red Team (Remote Southeast US)",Mandiant,mandiant.com,"Information Technology & Services","$97.7K ? $124K a year",Remote,,"Remote in Baltimore",MD,""
26-02-2022,"Building Operations Supervisor - Department of Recreation an...","City of Baltimore",baltimorecity.gov,"Government Administration","$41.8K ? $53K a year",,"Penn-Fallsway area",Baltimore,MD,"21202"
26-02-2022,"Core Service Trainer","Johns Hopkins Health System",,,,,"Downtown area",Baltimore,MD,"21201"
25-02-2022,"Scan & Score Coordinator",Prometric,prometric.com,"Information Technology & Services","$34.6K ? $43.8K a year",,,Baltimore,MD,""
26-02-2022,"Territory Sales Specialist (FT)",BentoBox,getbento.com,Internet,"From $60,000 a year",Remote,,"Remote in Baltimore",MD,""
26-02-2022,"Training Manager","Up2Us Sports",up2us.org,Sports,"$45,000 - $50,000 a year",Remote,,"Hybrid remote in Baltimore",MD,""
27-02-2022,"Administrative Coordinator","House of Ruth Maryland, Inc.",hruth.org,"Nonprofit Organization Management","$34.8K ? $44K a year",,"Montebello area",Baltimore,MD,"21218"
26-02-2022,"Junior Loan Processor","ClearOne Advantange",clearoneadvantage.com,"Financial Services",,Remote,,"Remote in Baltimore",MD,""
28-02-2022,"Settlement Coordinator (Real Estate-Remote)","House Buyers of America",housebuyersofamerica.com,"Real Estate","$40.3K ? $51.1K a year",Remote,,"Remote in Baltimore",MD,""
26-02-2022,"Project Manager","Gardenia Victoria, llc",,,"From $75,000 a year",,"West Baltimore area",Baltimore,MD,"21230"
26-02-2022,"Executive Director","Dundalk Renaissance Corporation",,,"$70,000 - $85,000 a year",Remote,,"Hybrid remote in Baltimore",MD,""
28-02-2022,"Logistics Operator III","Coca-Cola Consolidated, Inc.",,,,,,Baltimore,MD,""
26-02-2022,"OCME DBA","Triwave solutions Inc",triwavesolutions.com,"Information Technology & Services","$87.5K ? $111K a year",,,Baltimore,MD,""
26-02-2022,"Administrative Supervisor, Job Req ID: 78218","Johns Hopkins University",thompsonadvising.com,"Education Management","$41,638 - $57,221 a year",,"Middle East area",Baltimore,MD,"21287"
28-02-2022,"Physical Therapy Office Manager","LeMoine Physical Therapy",lemoinephysicaltherapy.com,"Medical Practice","$24 - $29 an hour",,,Baltimore,MD,""
26-02-2022,"Account Executive/Outside Sales","Bitcoin of America",bitcoinofamerica.org,"Financial Services","$85,000 - $120,000 a year",,,Baltimore,MD,""
26-02-2022,"Assistant Community Manager","Acento Real Estate Partners",acentopartners.com,"Real Estate","$38K ? $48.2K a year",,,Baltimore,MD,"21207"
25-02-2022,"Scan & Score Coordinator",Prometric,prometric.com,"Information Technology & Services","$34.6K ? $43.8K a year",,,Baltimore,MD,""
26-02-2022,"Program Supervisor",Itineris,itineris.net,"Information Technology & Services","$34,112 - $51,168 a year",,"Woodberry area",Baltimore,MD,"21211"
26-02-2022,"Referral Coordinator","BALTIMORE MEDICAL SYSTEM, INC.",bmsi.org,"Hospital & Health Care","$32.7K ? $41.5K a year",,"Brewers Hill area",Baltimore,MD,"21224"
26-02-2022,"MEOC Counselor","Delta Sigma Theta Sorority, Inc.",deltasigmatheta.org,"Nonprofit Organization Management","Up to $61,000 a year",,"Charles Village area",Baltimore,MD,"21218"
26-02-2022,"Landscape Foreman","Fall Green Lawn Services",,,"From $19 an hour",,,Baltimore,MD,""
26-02-2022,"HR Generalist (MD)","Steep Hill New Jersey",,,"$30 - $35 an hour",,,Baltimore,MD,""
26-02-2022,"Restaurant Server","La Food Marketa",lafoodmarketa.com,,,,,Baltimore,MD,"21208"
26-02-2022,"Care Manager","CareFirst BlueCross BlueShield",carefirst.com,Insurance,,,"Bayview area",Baltimore,MD,"21224"
26-02-2022,"Account Manager II","CareFirst BlueCross BlueShield",carefirst.com,Insurance,,,"Bayview area",Baltimore,MD,"21224"
26-02-2022,"General Manager","Medisavant Inc",,,"$40,392 - $65,000 a year",,,Baltimore,MD,""
26-02-2022,"Medical Director","CareFirst BlueCross BlueShield",carefirst.com,Insurance,,,"Bayview area",Baltimore,MD,"21224"
28-02-2022,"Marketing Insurance Sales Representative","Trust Risk Management Services",trustrms.com,Insurance,,,,Baltimore,MD,""
26-02-2022,"Crane Operator","Allan Myers, Inc",allanmyers.com,Construction,"$35.3K ? $44.7K a year",,,Baltimore,MD,""
26-02-2022,"Director of Human Resources","Park West Health Systems Inc",parkwestmed.org,"Medical Practice","$85,000 a year",,"Pimlico area",Baltimore,MD,"21215"
26-02-2022,"Field Technician-Healthcare Renovation","KR Wolfe",krwolfe.com,Construction,"$20 - $25 an hour",,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"District Manager","Laundry Capital",cleanritecenter.com,Retail,"$49K ? $62K a year",,,Baltimore,MD,""
26-02-2022,"Program Supervisor",Itineris,itineris.net,"Information Technology & Services","$34,112 - $51,168 a year",,"Woodberry area",Baltimore,MD,"21211"
