DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-17,"Derivative Post Trade Operations Vice President","Morgan Stanley",morganstanleybranch.com,"Financial Services",,,,Baltimore,MD,""
2022-03-15,"Global Security Director",Jhpiego,jhpiego.org,"Nonprofit Organization Management","$111K – $141K a year",,"Fells Point area",Baltimore,MD,"21231"
2022-03-16,"North American Strategic Pursuit Manager","RSM US LLP",rsmus.com,Accounting,"$65.7K – $83.3K a year",Remote,,"Remote in Baltimore",MD,"21202"
2022-03-15,"Retirement Associate Partner","Aon Corporation",aonhorizon.com,,"$135,000 - $225,000 a year",,"Inner Harbor area",Baltimore,MD,"21202"
2022-03-16,"Chief Architect - Opportunity for Working Remotely Baltimore...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Baltimore",MD,""
2022-03-16,"Retirement Associate Partner",Aon,aon.com,"Financial Services","$135,000 - $225,000 a year",,"Inner Harbor area",Baltimore,MD,"21202"
2022-03-17,"Prin IT Architect","Exelon Corporation",exelon.com,,"$113K – $143K a year",,"Downtown area",Baltimore,MD,"21201"
2022-03-16,"Global Accounts Territory Ecosystem Lead (TEL) - Opportunity...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Baltimore",MD,""
2022-03-17,"Mgr Regional Capacity Planning","Exelon Corporation",exelon.com,,"$110K – $140K a year",,"Howard Park area",Baltimore,MD,"21244"
2022-03-17,"Mgr Regional Capacity Planning","Exelon Corporation",exelon.com,,"$110K – $140K a year",,"Downtown area",Baltimore,MD,"21201"
2022-03-17,"Manager IT - BSC","Exelon Corporation",exelon.com,,"$103K – $130K a year",,"Downtown area",Baltimore,MD,"21201"
2022-03-15,"Manager, Information Security","Jason Pharmaceuticals, Inc.",,,"$131K – $165K a year",,"Old Town area",Baltimore,MD,"21202"
2022-03-16,"Automation Tester - Ref. SSSI.74.C3","Scientific Systems and Software International...",sssi.net,"Information Technology & Services","$77.3K – $97.9K a year",,,Baltimore,MD,""
2022-03-17,"Mgr Facilities Operations","Exelon Corporation",exelon.com,,"$81.5K – $103K a year",,"Old Town area",Baltimore,MD,"21202"
2022-03-16,"Computer Systems Security Analyst (Splunk) - Ref. SSSI.57.NS","Scientific Systems and Software International...",sssi.net,"Information Technology & Services","$78.6K – $99.6K a year",,,Baltimore,MD,""
2022-03-16,"Director of Finance & Operations","Johns Hopkins University",thompsonadvising.com,"Education Management",,,"Inner Harbor area",Baltimore,MD,"21202"
2022-03-16,"Non-IT Project Manager",Vision,visionps.com,"Marketing & Advertising","Up to $72 an hour",,"Old Town area",Baltimore,MD,"21202"
2022-03-17,"Big Data Architect/ Administrator","TAYS INC",taysinc.com,"Information Technology & Services","$105K – $133K a year",,,Baltimore,MD,"21235"
2022-03-17,"Project Manager, Stream Restoration",RK&K,rkk.com,"Civil Engineering",,,"Old Town area",Baltimore,MD,"21202"
2022-03-15,"Director, Enterprise Architecture","CareFirst BlueCross BlueShield",carefirst.com,Insurance,"$121K – $153K a year",,"Bayview area",Baltimore,MD,"21224"
2022-03-16,"Non-IT Project Manager",Vision,visionps.com,"Marketing & Advertising","Up to $72 an hour",,"Old Town area",Baltimore,MD,"21202"
2022-03-17,"Team Lead, Digital Project Management","Palladian Partners",,,"$66.7K – $84.5K a year",,,"Silver Spring",MD,"20910"
2022-03-17,"Project Manager","Dovel Technologies, LLC",doveltech.com,"Information Technology & Services","$100,000 - $125,000 a year",Remote,,"Remote in Rockville",MD,"20852"
2022-03-17,"Workforce Development Manager","Frederick National Laboratory",nih.gov,Research,,,,Rockville,MD,"20850"
2022-03-17,"Health Research Monitoring Eval Principal Associate - Matern...","Abt JTA",,,"$114K – $144K a year",,,Rockville,MD,""
2022-03-16,"Federal Business Development Director","USP (U.S. Pharmacopeial Convention)",usp.org,Pharmaceuticals,"$107K – $135K a year",,,Rockville,MD,""
2022-03-17,"Health Research Monitoring Eval Principal Associate - Matern...","Abt Associates",abtassociates.com,Research,"$114K – $144K a year",,,Rockville,MD,"20852"
2022-03-15,"Director, Core & Cross Bureau","USP (U.S. Pharmacopeial Convention)",usp.org,Pharmaceuticals,"$96K – $122K a year",,,Rockville,MD,""
2022-03-17,"Director, Regulatory Operations",MacroGenics,macrogenics.com,Biotechnology,"$92K – $117K a year",,,Rockville,MD,"20850"
2022-03-15,"FedRAMP Cloud Security Assessor","Digital Global Connectors, LLC",,,"$106K – $135K a year",,,Rockville,MD,"20852"
2022-03-17,"Grants Review Manager","LCG Inc",,,"From $100,000 a year",,,Rockville,MD,"20852"
2022-03-17,"Internal GovCon Contracts Manager","Chevo Consulting",chevoconsulting.com,"Management Consulting","$114K – $144K a year",,,Rockville,MD,"20850"
2022-03-17,CONTROLLER,"Origene Technologies Inc",origene.com,Biotechnology,"$100K – $127K a year",,,Rockville,MD,"20850"
2022-03-17,"Director, Clinical Data Management","Technical Resources International, Inc.",tech-res.com,Pharmaceuticals,"$45.5K – $57.7K a year",,,Bethesda,MD,"20817"
2022-03-17,"Project Manager","Chenega Corporation",chenega.com,"Information Technology & Services",,,,Bethesda,MD,"20889"
2022-03-15,"SVP, Property Operations","Berkshire Residential Investments",,,"$77.2K – $97.8K a year",,"Bethesda Center area",Bethesda,MD,"20814"
2022-03-16,"SrMgr-Continent Technology-Program and Property Deployments","Marriott International, Inc",,,,,,Bethesda,MD,"20817"
2022-03-17,"Clinical Trial Manager","Technical Resources International, Inc.",tech-res.com,Pharmaceuticals,"$108K – $137K a year",,,Bethesda,MD,"20817"
