DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
28-02-2022,"Government Public Services - Client Account Management, Mana...",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
28-02-2022,"Lead Learning and Development Manager - A&A Curriculum Devel...",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,"SAP Implementation Specialist Leader",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
28-02-2022,"HBCU Program and Strategy Recruiting Leader",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,Architect,Softrams,softrams.com,"Computer Software","$139K ? $176K a year",,,Baltimore,MD,""
27-02-2022,"Application Development Architect","OneMain Financial",onemainfinancial.com,"Financial Services","$137K ? $174K a year",,,Baltimore,MD,"21236"
26-02-2022,"Rolling Stock/Transit System Group Leader",Jacobs,jacobs.com,"Civil Engineering",,,,Baltimore,MD,"21240"
27-02-2022,"Full Stack Developer/Product Manager",Deloitte,deloitte.com,"Management Consulting",,,"Inner Harbor area",Baltimore,MD,"20201"
26-02-2022,"Identity and Access Management Specialist",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Baltimore",MD,""
26-02-2022,"Member of Technical Staff - Opportunity for Working Remotely...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Baltimore",MD,""
26-02-2022,"Graphic Design Manager","Pandora Jewelry",pandoragroup.com,"Luxury Goods & Jewelry",,,"Inner Harbor area",Baltimore,MD,"21202"
28-02-2022,"Project Manager","Vision Solution LLC",,,"$50,000 - $129,761 a year",,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"CICS Systems Programmer","Tuknik Government Services",,,"$91.8K ? $116K a year",,,Baltimore,MD,"21207"
28-02-2022,"Project Manager","Vision Solution LLC",,,"$50,000 - $129,761 a year",,"Downtown area",Baltimore,MD,"21201"
26-02-2022,"Identity and Access Management Specialist",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Silver Spring",MD,""
26-02-2022,"IT Risk Analyst V","Computer World Services",cwsc.com,"Information Technology & Services","$71.8K ? $91K a year",Remote,,"Hybrid remote in Silver Spring",MD,""
28-02-2022,"Biosurveillance Epidemiologist (Technical Lead)","Cherokee Federal",cherokee-federal.com,"Government Relations","$95.7K ? $121K a year",,,"Silver Spring",MD,"20910"
26-02-2022,"Climate Change and Air Quality Associate (Remote Flexibility...","Abt JTA",,,"$94.3K ? $119K a year",Remote,,"Remote in Rockville",MD,""
26-02-2022,"Climate Change and Air Quality Associate (Remote Flexibility...","Abt Associates",abtassociates.com,Research,"$94.3K ? $119K a year",Remote,,"Remote in Rockville",MD,""
26-02-2022,"Identity and Access Management Specialist",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Rockville",MD,""
26-02-2022,"Methane Emissions Reduction Associate (Remote Flexibility)","Abt JTA",,,"$103K ? $130K a year",Remote,,"Remote in Rockville",MD,""
26-02-2022,"Methane Emissions Reduction Associate (Remote Flexibility)","Abt Associates",abtassociates.com,Research,"$103K ? $130K a year",Remote,,"Remote in Rockville",MD,""
28-02-2022,"Lead Learning and Development Manager - A&A Curriculum Devel...",Deloitte,deloitte.com,"Management Consulting",,,,Rockville,MD,""
27-02-2022,"Full Stack Developer/Product Manager",Deloitte,deloitte.com,"Management Consulting",,,,Rockville,MD,""
26-02-2022,"Facilities Project Manager","Xometry Inc",xometry.com,Internet,"$75.7K ? $95.9K a year",,,Rockville,MD,""
27-02-2022,"Program Director","Advanced Bioscience Laboratories",ablinc.com,Biotechnology,"$47.4K ? $60K a year",,,Rockville,MD,"20850"
27-02-2022,"Principal Scientist-Downstream-Process Development","Advanced Bioscience Laboratories",ablinc.com,Biotechnology,"$120K ? $152K a year",,,Rockville,MD,"20850"
27-02-2022,"Facilities Manager","Advanced Bioscience Laboratories",ablinc.com,Biotechnology,"$58.5K ? $74.1K a year",,,Rockville,MD,"20850"
26-02-2022,"Contracts and Financial Analyst","Bioqual Inc",bioqual.com,Research,,,,Rockville,MD,"20850"
28-02-2022,"Director, Clinical Data Management","Technical Resources International, Inc.",tech-res.com,Pharmaceuticals,"$45.5K ? $57.7K a year",,,Bethesda,MD,"20817"
