DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-16,"Visitor Experience Assistant, Undergraduate Admission","Simmons University",simmons.edu,"Higher Education",,,"Fenway-Kenmore area",Boston,MA,"02115"
2022-03-17,"Site Leader, Boston, #681",GoPuff,gopuff.com,Internet,,Remote,,"Remote in Boston",MA,""
2022-03-16,"Client Analyst","Wellington Management",wellingtonmgt.com,"Commercial Real Estate",,Remote,,"Hybrid remote in Boston",MA,""
2022-03-17,"Partner/Counsel Secretary","Skadden, Arps, Slate, Meagher & Flom LLP &...",skadden.com,"Law Practice",,,"Back Bay area",Boston,MA,"02116"
2022-03-17,"Recruiting Coordinator, Strategic Recruiting","Amazon.com Services LLC",amazon.com,Internet,,,,Boston,MA,""
2022-03-16,"Customer Account Manager","Nestlé USA",butterfinger.com,,,,,Boston,MA,""
2022-03-17,"Medical Consultant - REMOTE US",MassMutual,,,,Remote,,"Remote in Boston",MA,"02124"
2022-03-15,"Deputy Press Secretary","Dept of Environmental Protect",floridastateparks.org,"Hospital & Health Care","$41,017 - $123,041 a year",Remote,,"Hybrid remote in Boston",MA,"02122"
2022-03-16,"Marketing Associate, CRM",Uber,uber.com,Internet,,,"Back Bay-Beacon Hill area",Boston,MA,"02114"
2022-03-17,"Recruiting Specialist","Northeastern University",northeastern.edu,"Higher Education",,,,Boston,MA,""
2022-03-16,"CATERING DIRECTOR- BOSTON, MA","Compass Group TA - Corporate",byrd@compass-usa.com,Retail,"$70,000 - $75,000 a year",,"South Boston area",Boston,MA,"02210"
2022-03-16,"Assistant Director of Admission","Suffolk University",suffolk.edu,"Higher Education",,,"Beacon Hill area",Boston,MA,"02108"
2022-03-16,"Public Relations Content Strategist","UKG (Ultimate Kronos Group)",ukg.com,"Computer Software",,Remote,,"Remote in Boston",MA,""
2022-03-17,"Student Affairs Administrative Coordinator","Suffolk University",suffolk.edu,"Higher Education",,,"Beacon Hill area",Boston,MA,"02108"
