DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/12/2022,"Digital Workplace Content Manager - DAS Unity & Collaboratio...",Deloitte,deloitte.com,"Management Consulting","$76.7K ? $97.1K a year",,"Back Bay area",Boston,MA,"02116"
2/12/2022,"Data Engineering Lead (Remote)",Labcorp,labcorp.com,"Hospital & Health Care","$123K ? $155K a year",Remote,,"Remote in Boston",MA,""
2/11/2022,"Executive Director, Pharmacy - Pharmacy","New England Eye Center",,,"$117K ? $148K a year",,,Boston,MA,""
2/14/2022,"Data Warehousing/ ETL Consultant",Deloitte,deloitte.com,"Management Consulting","$98.8K ? $125K a year",,"Back Bay area",Boston,MA,"02116"
2/11/2022,"Administrative Director - New England Eye Center","New England Eye Center",,,"$88.5K ? $112K a year",,,Boston,MA,""
2/13/2022,"Company Lead, Revixia (f/m/d)",atai,atai.life,Biotechnology,,Remote,,"Remote in Boston",MA,""
2/11/2022,"Vice President, Cardiovascular Center and Medicine","New England Eye Center",,,"$123K ? $156K a year",,,Boston,MA,""
2/12/2022,"Director, Early and Emerging talent","Vertex Pharmaceuticals",vrtx.com,Biotechnology,"$78.8K ? $99.8K a year",,"Downtown Crossing area",Boston,MA,"02110"
2/12/2022,"Head of Manager Research",MassMutual,,,"$87.1K ? $110K a year",,"South Dorchester area",Boston,MA,"02124"
2/12/2022,"Global Marketing Associate Director","Vertex Pharmaceuticals",vrtx.com,Biotechnology,"$75.5K ? $95.5K a year",,"Downtown Crossing area",Boston,MA,"02110"
2/12/2022,"Director, Channel Partnerships - Advisory",HYPERPROOF,hyperproof.io,"Computer Software","$121K ? $153K a year",Remote,,"Remote in Boston",MA,""
2/11/2022,"Dir Ambulatory Operations - Ambulatory Admin - Med Ops","New England Eye Center",,,"$108K ? $137K a year",,,Boston,MA,""
2/12/2022,"Application Development / Maintenance, VP","State Street",statestreet.com,"Financial Services",,,"Central area",Boston,MA,"02111"
2/13/2022,"CWM Program Manager",AECOM,aecom.com,"Civil Engineering","$96.2K ? $122K a year",Remote,,"Remote in Boston",MA,""
2/12/2022,"Financial Crimes Compliance Officer","Natixis Investment Managers",natixis.com,"Financial Services","$93.5K ? $118K a year",,"South End area",Boston,MA,"02116"
2/11/2022,"Project Manager","IA Interior Architects",interiorarchitects.com,Design,"$81.2K ? $103K a year",,,Boston,MA,""
2/12/2022,"Head of Product Intelligence and Innovation",MassMutual,,,"$87.6K ? $111K a year",,"South Dorchester area",Boston,MA,"02124"
2/12/2022,"Adobe Experience Platform",Accenture,cazoodle.com,"Computer Software","$98.5K ? $125K a year",,,Boston,MA,""
2/13/2022,"User Experience Design Expert",SAP,sap.com,"Information Technology & Services",,Remote,,"Hybrid remote in Boston",MA,""
2/12/2022,"Associate Director, Strategic Alliances",Merck,merck.ch,"Medical Practice",,,,Boston,MA,""
2/12/2022,"Adobe Experience Manager (AEM) Application Architect",Accenture,cazoodle.com,"Computer Software","$138K ? $174K a year",,,Boston,MA,""
2/13/2022,"Pega Developer/Architect - Location Open",Deloitte,deloitte.com,"Management Consulting","$113K ? $143K a year",,"Back Bay area",Boston,MA,"02116"
2/12/2022,"Compliance Officer, CUSO","Natixis Investment Managers",natixis.com,"Financial Services","$87.5K ? $111K a year",,"South End area",Boston,MA,"02116"
2/11/2022,"Human Resource Business Partner - PO","New England Eye Center",,,"$94.6K ? $120K a year",,,Boston,MA,""
2/12/2022,"Technical Solution Architect","Duck Creek Technologies",duckcreek.com,"Computer Software","$129K ? $163K a year",Remote,,"Hybrid remote in Boston",MA,""
2/12/2022,"Associate Director Global Regulatory Affairs CMC - Hybrid","Takeda Pharmaceutical",takedajobs.com,Pharmaceuticals,,,,Boston,MA,""
2/12/2022,"Principal Medical Writer, Oncology (Remote)",Merck,merck.ch,"Medical Practice",,Remote,,"Remote in Boston",MA,""
2/12/2022,"Industry BDM - Healthcare and Life Sciences, AWS Cloud Econo...","Amazon Web Services, Inc.",,,,,,Boston,MA,""
2/12/2022,"Domain Architect","Fidelity Investments",smcc.edu,"Higher Education","$117K ? $148K a year",,"South Boston area",Boston,MA,"02210"
2/12/2022,"Associate General Counsel, Technology and Product",NielsenIQ,,,,,,Boston,MA,""
2/12/2022,"Industry BDM - Manufacturing, AWS Cloud Economics","Amazon Web Services, Inc.",,,,,,Boston,MA,""
2/12/2022,"Private Equity Finance Analyst",Siemens,siemens.com,"Industrial Automation",,,"Central area",Boston,MA,"02110"
2/12/2022,"Communications Manager, Climate Change and Sustainability",Deloitte,deloitte.com,"Management Consulting","$83.2K ? $105K a year",Remote,,"Hybrid remote in Boston",MA,""
2/12/2022,"Vice President, Americas Marketing - Opportunity for Working...",VMware,thebrunswicknews.com,Newspapers,"$112K ? $142K a year",Remote,,"Remote in Boston",MA,""
2/12/2022,"Executive Vice President - Security Engineering and Operatio...",Salesforce,covidi.com,"Computer Software",,Remote,,"Remote in Boston",MA,""
2/11/2022,"Director Pharmacy - Pharmacy","New England Eye Center",,,,,,Boston,MA,""
2/12/2022,"Managing Director - Cyber Investigations, Intelligence and R...","StoneTurn Group",stoneturn.com,"Management Consulting","$135K ? $172K a year",,"Central area",Boston,MA,"02109"
2/12/2022,"Director, Compensation and Benefits","Geode Capital Management",geodecapital.com,"Investment Management","$126K ? $159K a year",,"Central area",Boston,MA,"02110"
2/12/2022,"Enablement Director",Akeneo,akeneo.com,"Computer Software","$82.5K ? $104K a year",,,Boston,MA,""
2/12/2022,"Transportation Project Manager","Bloom Companies, LLC",bloomcos.com,"Civil Engineering","$86K ? $109K a year",,,Boston,MA,""
2/12/2022,"Movable Bridge Practice Leader","Bloom Companies, LLC",bloomcos.com,"Civil Engineering","$102K ? $130K a year",,,Boston,MA,""
2/14/2022,"Partner - Valuation and Economic Damages","StoneTurn Group",stoneturn.com,"Management Consulting",,,,Boston,MA,""
2/13/2022,"Managing Director ? Pharmaceutical & Life Sciences (Boston)","StoneTurn Group",stoneturn.com,"Management Consulting","$115K ? $145K a year",,,Boston,MA,"02130"
2/12/2022,"Architect, Practice Lead - Science & Technology","IBI Group",ibigroup.com,Design,,Remote,,"Remote in Boston",MA,""
2/12/2022,"Director, Facilities & Engineering (BioTechnology)","EyePoint Pharmaceuticals",,,"$78.2K ? $99K a year",,,Boston,MA,""
2/12/2022,"Business Analyst (Capital Markets or Global Treasury Busines...","VISIONET SYSTEMS INC",visionet.com,"Information Technology & Services","$60 - $65 an hour",,,Boston,MA,""
2/12/2022,"Executive Director, New England Chapter","Blue Star Families, Inc",,,"$107K ? $135K a year",,"Back Bay-Beacon Hill area",Boston,MA,"02108"
2/12/2022,"Executive Assistant","Jones Street Residential",jonesstreetip.com,"Real Estate","$59.7K ? $75.5K a year",,"Downtown area",Boston,MA,"02110"
2/12/2022,"Executive Director, New England Chapter","Blue Star Families, Inc",,,"$107K ? $135K a year",,"Back Bay-Beacon Hill area",Boston,MA,"02108"
2/12/2022,"Business Analyst (Capital Markets or Global Treasury Busines...","VISIONET SYSTEMS INC",visionet.com,"Information Technology & Services","$60 - $65 an hour",,,Boston,MA,""
2/14/2022,"General Manager","The Lexington",livethelexingtonlife.com,"Real Estate","$53.8K ? $68.2K a year",,,Cambridge,MA,""
2/12/2022,"Director, Strategic Corporate Projects","Sarepta Therapeutics",sarepta.com,Biotechnology,"$137K ? $173K a year",,"Kendall Square area",Cambridge,MA,"02142"
2/12/2022,"Associate Director, IT Head of End User Services","Sarepta Therapeutics",sarepta.com,Biotechnology,,,"Kendall Square area",Cambridge,MA,"02142"
2/13/2022,"Associate Director, Clinical Partnership Liaison",EQRX,eqrx.com,Biotechnology,"$82K ? $104K a year",,,Cambridge,MA,""
2/13/2022,"Director, Statistical Programming (Clinical Trial Data Scien...",EQRX,eqrx.com,Biotechnology,,,,Cambridge,MA,""
2/13/2022,"Associate Scientific Director/Principal Scientist, Medicinal...","Takeda Pharmaceutical",takedajobs.com,Pharmaceuticals,,Remote,,"Hybrid remote in Cambridge",MA,""
2/13/2022,"Head of Global Marketing ? Asthma",Sanofi,focusfinancial.com,"Financial Services","$132K ? $168K a year",,,Cambridge,MA,""
2/12/2022,"Director of Education and Scientific Outreach, Harvard Quant...","Harvard University",,,,Remote,,"Hybrid remote in Cambridge",MA,""
2/12/2022,"Project Controls Specialist - Remote","DPS Group TSO",,,"$87.4K ? $111K a year",Remote,,"Remote in Cambridge",MA,""
2/12/2022,"Head of Program and Portfolio Management","Werewolf Therapeutics",,,,,"Riverside area",Cambridge,MA,"02138"
2/13/2022,"Executive Director, Analytics","Verve Therapeutics",vervetx.com,Biotechnology,"$74.9K ? $94.9K a year",,"Area IV area",Cambridge,MA,"02139"
