DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2023-01-13,"Program Manager - Acrisure Innovation Team",Acrisure,,,"estimated $68.1k - $86.2k a year",,"Heartside area)","Grand Rapids",MI,"49503"
2023-01-14,"Emergency Preparedness Program Specialist","Grand Rapids, MI (Norteast Citizens Action area)",,,"estimated $49.9k - $63.1k a year",,,,,""
2023-01-13,"Provider Services Representative (Virtual)","Spectrum Health",spectrumhealth.org,"Hospital & Health Care","$18.50 an hour",,"Norteast Citizens Action area)","Grand Rapids",MI,""
2023-01-14,"Administrative Assistant","Amigo Mobility International, Inc.",myamigo.com,"Medical Devices","estimated $31.5k - $39.9k a year",,,"Grand Rapids",MI,"49525"
2023-01-14,"Corrections Officer","Grand Rapids, MI (Norteast Citizens Action area)",,,"$28.31 an hour",,,,,""
2023-01-14,"Area Coordinator: Residence Halls","Calvin University",calvin.edu,"Higher Education","$31 an hour",,,"Grand Rapids",MI,"49546"
2023-01-14,"Private Investigator","Allied Universal® Compliance and Investigations",,,"$17 - $22 an hour",,"Heritage Hill area)","Grand Rapids",MI,"49503"
2023-01-14,"Processing Clerk","Grand Rapids, MI (Norteast Citizens Action area)",,,"$20.47 an hour",,,,,""
2023-01-14,"Housekeeper/House Cleaner - Full Time - Weekly Pay","Sparkle & Shine Cleaning Services of West MI, LLC",,,"up to $800 a week",,,"Grand Rapids",MI,""
2023-01-13,"Accounting Associate I",Acrisure,,,"estimated $43.5k - $55.1k a year",,,"Hybrid remote in Grand Rapids",MI,"49503"
2023-01-14,"Entry Level Environmental Geologist",AECOM,aecom.com,"Civil Engineering",,,,"Grand Rapids",MI,"49512"
2023-01-16,"Residential House Cleaner - Weekly Pay + Tips","Blue Lavender Cleaning",bluelavendercleaning.com,,"$20 - $25 an hour",,,"Grand Rapids",MI,""
2023-01-14,"Driver Helper Afternoons - Grand Rapids",Core-Mark,core-mark.com,Wholesale,,,,"Grand Rapids",MI,"49528"
2023-01-13,FT-Receiver/Stocker-Overnight,Lowe's,lowes.com,Retail,,,,"Grand Rapids",MI,"49525"
2023-01-15,"Warehouse Associate","FedEx Express",fedex.com,"Logistics & Supply Chain",,,,"Grand Rapids",MI,""
2023-01-13,"Junior Reinsurance Technical Analyst (Acrisure Re)",Acrisure,,,"estimated $50k - $63.3k a year",,"Heartside area)","Grand Rapids",MI,"49503"
