DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-10-25,"Delivery Station Team Member","Amazon Warehouse",,,"$18.40 an hour",,,"Grand Rapids",MI,"49508"
2022-10-27,"Housekeeper/House Cleaner - Full Time - Weekly Pay","Sparkle & Shine Cleaning Services of West MI, LLC",,,"up to $800 a week",,,"Grand Rapids",MI,""
2022-10-25,"Middle School Receptionist / Attendance Secretary","Forest Hills Public Schools",,,"estimated $28k - $35.4k a year",,,"Grand Rapids",MI,"49546"
2022-10-25,"Key Holder","The Vitamin Shoppe",vitaminshoppe.com,Retail,,,,"Grand Rapids",MI,"49512"
2022-10-25,"Fuf Packer- 1st Shift","Comfort Research, LLC.",,,"estimated $26.8k - $34k a year",,"Westside Connection area)","Grand Rapids",MI,"49504"
2022-10-25,"Executive Assistant to the Superintendent","Kent Consortium",,,"$61,470 - $69,821 a year",,"Norteast Citizens Action area)","Grand Rapids",MI,"49525"
2022-10-25,"Delivery Station Liaison - Full Time (40 Hours) - DGR6 - Gra...","Amazon.com Services LLC",amazon.com,Internet,"$18.40 an hour",,,"Grand Rapids",MI,""
2022-10-23,"TRACTOR TRAILER OPERATOR","United States Postal Service",usps.com,"Government Administration","$29.97 an hour",,,"Grand Rapids",MI,"49512"
2022-10-25,"Admissions Coordinator","SKLD Leonard",,,"estimated $47.4k - $60k a year",,"Creston area)","Grand Rapids",MI,"49505"
2022-10-25,"Executive Assistant to the Superintendent","Kent ISD",kentisd.org,"Education Management","$61,470 - $69,821 a year",,,"Grand Rapids",MI,"49525"
2022-10-25,"Medical Office Assistant- Full Time","Cancer & Hematology Centers of Western Michigan",chcwm.com,"Hospital & Health Care","estimated $28.1k - $35.5k a year",,,"Grand Rapids",MI,"49546"
2022-10-25,"Quality Assurance Technician - RCCB","Reyes Coca-Cola Bottling",reyescocacola.com,"Food & Beverages","$24.62 an hour",,"Westside Connection area)","Grand Rapids",MI,"49504"
2022-10-23,"Route Sales Representative","Schwan’s Home Delivery",,,"$52,000 - $57,000 a year",,,"Grand Rapids",MI,"49506"
2022-10-27,"Outpatient Psychotherapist - LLMSW / LLPC / TLLP","Great Lakes Psychology Group",greatlakespsychologygroup.com,"Mental Health Care","estimated $93.2k - $118k a year",Remote,,"Remote in Grand Rapids",MI,"49544"
