DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
24-02-2022,"Training Specialist - Clinical/Medical Simulation","US Veterans Health Administration",va.gov,"Government Administration","$49,230 - $78,285 a year",,,Detroit,MI,""
22-02-2022,"Patient Access Rep","KCC10-Karmanos Cancer Center",,,,,,Detroit,MI,""
24-02-2022,"Customer Onboarding Coordinator","Reynolds and Reynolds",reyrey.com,"Computer Software",,,"Midtown area",Detroit,MI,"48201"
22-02-2022,"Records Management Assistant","US Executive Office for U.S. Attorneys and the...",,,"$49,230 - $63,994 a year",,"Downtown area",Detroit,MI,"48226"
24-02-2022,"Patient Access Representative II Days FT","DMC Rehabilitation Institute of Michigan",rimrehab.org,"Hospital & Health Care",,,"Medical Center area",Detroit,MI,"48201"
22-02-2022,"Account Executive, Client Services","Detroit Tigers",tigers.com,Sports,,,"Downtown area",Detroit,MI,"48201"
24-02-2022,"Promotional Agent (Trainee - 9-P11)","State of Michigan",michigan.gov,"Government Administration","$22.09 - $37.39 an hour",,,Detroit,MI,""
22-02-2022,"Health Screener","Barbara Ann Karmanos Cancer Cn",,,,,,Detroit,MI,"48201"
24-02-2022,"Sales Associate with Keys","Great Lakes Ace Hardware",,,,,"Morningside area",Detroit,MI,"48224"
24-02-2022,"Bilingual Spanish Collector","Credit Acceptance",creditacceptance.com,"Financial Services","$18.50 an hour",,"Oakman Blvd Community area",Detroit,MI,"48238"
24-02-2022,"Patient Care Technician","American Renal Management LLC",americanrenal.com,"Hospital & Health Care",,,"Bagley area",Detroit,MI,"48221"
24-02-2022,Bookkeeper,"Archdiocese of Detroit",aod.org,"Religious Institutions","$32K ? $40.6K a year",,"Downtown area",Detroit,MI,"48226"
24-02-2022,"Call Center Advisor Days FT Fully Remote Position","Detroit Medical Center Shared Services",,,,Remote,,"Remote in Detroit",MI,""
24-02-2022,Bookkeeper,"Archdiocese of Detroit",aod.org,"Religious Institutions","$32.3K ? $40.9K a year",,"Downtown area",Detroit,MI,"48226"
23-02-2022,"Store Manager in Training","Rite Aid",riteaid.com,Retail,,,"Oakman Blvd Community area",Detroit,MI,"48238"
24-02-2022,"Patient Access Representative II","Conifer Health Solutions",coniferhealth.com,"Hospital & Health Care",,,,Detroit,MI,""
24-02-2022,Sales,"Miles Technologies",4miles.com,,,Remote,,"Remote in Detroit",MI,""
23-02-2022,"Cashier - Service Associate FT","Rite Aid",riteaid.com,Retail,,,"Fox Creek area",Detroit,MI,"48215"
24-02-2022,"Sales Associate","Great Lakes Ace Hardware",,,,,"Morningside area",Detroit,MI,"48224"
23-02-2022,"Store Manager in Training","Rite Aid",riteaid.com,Retail,,,"Midtown area",Detroit,MI,"48201"
22-02-2022,"Jr Accountant","Blue Cross Blue Shield of Michigan",bcbsm.com,Insurance,"$40.2K ? $50.8K a year",,,Detroit,MI,""
22-02-2022,"Assistant Property Manager FT - Oak Village","Volunteers of America Michigan",voami.org,"Civic & Social Organization","$30.1K ? $38.1K a year",,"Midtown area",Detroit,MI,"48201"
23-02-2022,Consultant,"Roland Berger",rolandberger.com,"Management Consulting","$61.6K ? $78K a year",,,Detroit,MI,""
24-02-2022,"Research Assistant","Wayne State University",wayne.edu,"Higher Education","$31.9K ? $40.3K a year",,,Detroit,MI,""
23-02-2022,"Administrative Assistant I","Wayne State University",wayne.edu,"Higher Education","$29.8K ? $37.8K a year",,,Detroit,MI,""
24-02-2022,"Financial Aid Technician I","National University",nu.edu,"Higher Education","$37.3K ? $47.3K a year",,,Detroit,MI,""
23-02-2022,"Admissions Coordinator - rotation shift 7am to 3:30pm and 11...","StoneCrest Center",stonecrestcenter.com,"Hospital & Health Care",,,"Regent Park area",Detroit,MI,"48205"
24-02-2022,"Full-Time Store Associate",ALDI,aldi.pl,Retail,"$16 an hour",,,Detroit,MI,""
24-02-2022,"Optical Service Representative-Detroit Campus- Full Time","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,,Detroit,MI,""
24-02-2022,"Surgical Reprocessing Assistant--Afternoon/MIDNIGHTS- Full-t...","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,,Detroit,MI,""
23-02-2022,"Assistant Store Manager","Rite Aid",riteaid.com,Retail,,,"Butler area",Detroit,MI,"48234"
24-02-2022,"Program Coordinator - Holley Institute",Ascension,ascension.org,"Hospital & Health Care",,,"Cornerstone Village area",Detroit,MI,"48236"
23-02-2022,"Creative Service/Marketing Photographer","The E.W. Scripps Company",scripps.com,"Media Production",,,,Detroit,MI,""
24-02-2022,"Oncology Care Associate II","KCC10-Karmanos Cancer Center",,,,,,Detroit,MI,""
24-02-2022,Server,"Red Robin - Ansara Restaurant Group LLC",,,,,,Detroit,MI,"48228"
24-02-2022,"Accounts Receivable Specialist","Reynolds and Reynolds",reyrey.com,"Computer Software",,,"Midtown area",Detroit,MI,"48201"
