DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-17,"Operations Manager","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$55.4K – $70.2K a year",,,Detroit,MI,"48203"
2022-03-15,"Digital Product Analyst","Ally Financial",ally.com,"Financial Services",,,"Downtown area",Detroit,MI,""
2022-03-16,"Cash Operations Specialist / Fulltime / Days - Detroit","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,,Detroit,MI,""
2022-03-17,"Warehouse Manager","Advance Plumbing & Heating Supply Company",,,"$20 - $25 an hour",,"Midtown area",Detroit,MI,"48201"
2022-03-17,"Client Success Specialist",Ansira,ansira.com,"Marketing & Advertising","$46K – $58.2K a year",Remote,,"Remote in Detroit",MI,""
2022-03-15,"Analyst - Service Training and Operational Readiness","Blue Cross Blue Shield of Michigan",bcbsm.com,Insurance,"$47.8K – $60.6K a year",,,Detroit,MI,""
2022-03-16,"Development Director","Michigan League of Conservation Voters",michiganlcv.org,"Political Organization","$75,000 - $91,000 a year",,"Tech Town area",Detroit,MI,"48202"
2022-03-15,"Production Worker - RW","M&M Manufacturing",,,"$28.2K – $35.8K a year",,,Detroit,MI,""
2022-03-17,"Creative Services Variable Data Programmer Full Time Detroit","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,,Detroit,MI,""
2022-03-17,"Project Coordinator (*Spring / Summer 2022 Graduates*)",Merkle,merkleinc.com,"Marketing & Advertising","$36.2K – $45.8K a year",,,Detroit,MI,""
2022-03-17,"Field Service Representative II","Canon Business Process Services, Inc.",canon.com,"Consumer Electronics",,,"Downtown area",Detroit,MI,"48226"
2022-03-15,"Fraud Investigator-Corporate and Financial Investigations","Emergent Holdings",emergentholdingsinc.com,"Information Technology & Services","$47.8K – $60.6K a year",,,Detroit,MI,""
2022-03-17,"Estate Planning Secretary","McDonald Hopkins",,,"$42.8K – $54.2K a year",,,Detroit,MI,""
2022-03-15,"Administrative Assistant","Blue Cross Blue Shield of Michigan",bcbsm.com,Insurance,"$28.4K – $36K a year",,,Detroit,MI,""
2022-03-17,"Store Manager (Full-time) University Detroit Mercy Bookstore","Barnes & Noble Education, Inc.",,,"$44.4K – $56.2K a year",,"Bagley area",Detroit,MI,"48221"
2022-03-17,"Director Brand Partnerships, Auto","Dotdash Meredith",,,"$57.2K – $72.4K a year",,"Downtown area",Detroit,MI,"48226"
2022-03-17,"IT PROJECT COORDINATOR","ESP Global Services",,,"$45,000 a year",,,Detroit,MI,""
2022-03-16,"Pricing Desk Analyst","Rocket Mortgage",rocketmortgage.com,"Financial Services","$58.9K – $74.5K a year",,"Downtown area",Detroit,MI,"48226"
2022-03-17,"Online Learning and Instructional Support Advisor","National University",nu.edu,"Higher Education","$39.4K – $50K a year",,,Detroit,MI,""
2022-03-16,"Development Manager, Administrative Systems","National University",nu.edu,"Higher Education","$68.7K – $86.9K a year",,,Detroit,MI,""
2022-03-16,"Administrative Assistant","Emergent Holdings",emergentholdingsinc.com,"Information Technology & Services","$28.4K – $36K a year",,"Downtown area",Detroit,MI,"48226"
2022-03-17,"Store Manager (Full-time) University Detroit Mercy Bookstore","Barnes & Noble Education, Inc.",,,"$44.4K – $56.2K a year",,"Bagley area",Detroit,MI,"48221"
2022-03-16,"Manager of Client Marketing","Franklin Energy",franklinenergy.com,"Renewables & Environment","$55K – $69.6K a year",,,Detroit,MI,"48238"
2022-03-15,"Executive Assistant & Operations Manager",Autonomic,,,"$44.4K – $56.2K a year",,"Downtown area",Detroit,MI,"48226"
2022-03-16,"Supervisor Food Service (Production) / Fulltime / Days - Det...","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,,Detroit,MI,""
2022-03-17,Manager-Sales,"Blue Cross Blue Shield of Michigan",bcbsm.com,Insurance,"$82.3K – $104K a year",,,Detroit,MI,""
2022-03-17,"Lead Customer Service Representative / Teller - Detroit East...","Fifth Third Bank",53.com,"Financial Services",,,,Detroit,MI,""
2022-03-16,"Product Marketing Manager","National University",nu.edu,"Higher Education","$63.3K – $80.1K a year",,,Detroit,MI,""
2022-03-15,"Marketing Analyst I Daimler Truck North America LLC","Daimler Truck AG",,,"$80.1K – $101K a year",,,Detroit,MI,""
2022-03-14,"Fire Protection Specialist","General Motors",sterlingmccallbgmc.com,,,,,Detroit,MI,""
2022-03-16,"Supervisor, Theatre Promotions and Outreach","Wayne State University",wayne.edu,"Higher Education","$43.4K – $55K a year",,,Detroit,MI,""
2022-03-15,"Sales Copywriter",Infostretch,,,"$57.3K – $72.5K a year",,,Detroit,MI,""
2022-03-17,"Supervisor - Environmental Services & Patient Transportation...","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,,Detroit,MI,""
2022-03-17,"Systems Analyst III-Wellness & Care Management","Blue Cross Blue Shield of Michigan",bcbsm.com,Insurance,"$85.5K – $108K a year",,,Detroit,MI,""
2022-03-16,"Analyst - Service Training and Operational Readiness","Emergent Holdings",emergentholdingsinc.com,"Information Technology & Services","$47.8K – $60.6K a year",,,Detroit,MI,""
2022-03-17,"Entry Level Implementation Specialist","Reynolds and Reynolds",reyrey.com,"Computer Software",,,"Midtown area",Detroit,MI,"48201"
2022-03-17,"Production Supervisor - TSDF","Clean Earth",cleanearthinc.com,"Environmental Services",,,"Conner Creek Industrial area",Detroit,MI,"48214"
2022-03-17,"Maintenance Tech","Mobis Technical Center of North America",,,"$45.1K – $57.1K a year",,"Southwest area",Detroit,MI,"48209"
2022-03-16,"Rooms Operations Manager","Marriott International, Inc",,,,,"Downtown area",Detroit,MI,"48226"
2022-03-16,"Client Operations Manager - Sales","Blue Cross Blue Shield of Michigan",bcbsm.com,Insurance,"$71.3K – $90.3K a year",,,Detroit,MI,""
2022-03-15,"Supv- Laboratory Services (Support Service) - Full Time - Pl...","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,,Detroit,MI,""
2022-03-17,"Account Manager",UNFI,unfi.com,"Food & Beverages",,Remote,,"Remote in Detroit",MI,""
2022-03-15,"Regional Manager","SBM Management",sbmmanagement.com,"Facilities Services",,,,Detroit,MI,"48228"
2022-03-16,"Educational Content Development Manager","National University",nu.edu,"Higher Education","$63.5K – $80.3K a year",,,Detroit,MI,""
2022-03-17,"Residency Program Coordinator, Emergency Medicine","Wayne State University",wayne.edu,"Higher Education","$50.5K – $63.9K a year",,,Detroit,MI,""
2022-03-17,"Clinical Sales Specialist, POC - Ohio","Siemens Healthineers",siemens-healthineers.com,"Hospital & Health Care",,,,Detroit,MI,""
2022-03-17,"Manager, Structures Engineering","Spirit Airlines",spirit.com,Airlines/Aviation,"$86.4K – $109K a year",,"Detroit Metropolitan Wayne County Airport area",Detroit,MI,"48242"
2022-03-17,"Gordon Biersch - General Manager","Gordon Biersch, DTW Airport Location",,,"$43.8K – $55.4K a year",,,Detroit,MI,"48242"
2022-03-16,"Energy / V2X - Platform Analyst (remote)","General Motors",sterlingmccallbgmc.com,,,Remote,,"Remote in Detroit",MI,""
2022-03-16,"Incident Support Security Analyst","General Motors",sterlingmccallbgmc.com,,,,,Detroit,MI,""
2022-03-16,"Manager, Operations (NUTON Chatbot)","National University",nu.edu,"Higher Education","$52.4K – $66.4K a year",,,Detroit,MI,""
2022-03-17,"Digital Campaign Specialist","Crain Communications",crain.com,Publishing,"$51.6K – $65.4K a year",,,Detroit,MI,""
2022-03-16,"Enterprise Implementations Manager",Paradox,paradox.ai,"Computer Software","$68.9K – $87.3K a year",Remote,,"Remote in Detroit",MI,"48226"
2022-03-17,"Industry Advisor - Public Sector, Federal Government",Splunk,splunk.com,"Computer Software","$79.2K – $100K a year",,,Detroit,MI,"48206"
2022-03-15,"Screening Solutions Specialist - Detroit, MI","Exact Sciences Corporation",exactsciences.com,Biotechnology,"$41K – $52K a year",,,Detroit,MI,""
2022-03-16,"Center Manager in Training-Relocation Required","Biolife Plasma Services",biolifeplasma.com,Pharmaceuticals,,,,Detroit,MI,""
2022-03-16,"Client Project Manager - Remote USA",Intelerad,intelerad.com,"Medical Devices","$90.5K – $115K a year",Remote,,"Remote in Detroit",MI,""
2022-03-17,"Manager, Customer Success Management",Benefitfocus,benefitfocus.com,"Computer Software","$69.5K – $87.9K a year",,,Detroit,MI,"48127"
2022-03-16,"Assistant Dean - Prelicensure Clinical Partnerships","University of Detroit Mercy",udmercy.edu,"Higher Education","$50.1K – $63.5K a year",,"Martin Park area",Detroit,MI,"48221"
2022-03-16,Technician-Endoscopic,Ascension,ascension.org,"Hospital & Health Care",,,"Cornerstone Village area",Detroit,MI,"48236"
2022-03-15,"Project Manager","Xometry Inc",xometry.com,Internet,"$65.2K – $82.6K a year",,,Detroit,MI,""
2022-03-16,"Enrollment Ops Analyst - Salesforce Adminstrator","National University",nu.edu,"Higher Education","$43.4K – $55K a year",,,Detroit,MI,""
2022-03-15,"Early Childhood Education-Manager-Online/Remote Position","Ancora Education",ancoraeducation.com,"Education Management","$62.1K – $78.7K a year",Remote,,"Remote in Detroit",MI,"48226"
2022-03-16,"Metaverse Strategy Consultant - Responsible Innovation",Accenture,cazoodle.com,"Computer Software",,,"Downtown area",Detroit,MI,"48226"
2022-03-17,"PMO Specialist",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Detroit,MI,"48243"
2022-03-16,"Manufacturing Project and Program Management Analyst II Detr...","Daimler Truck AG",,,"$71.4K – $90.4K a year",,,Detroit,MI,""
2022-03-15,"Key Account Manager, Epilepsy",LivaNova,livanova.com,"Medical Devices",,,,Detroit,MI,""
2022-03-17,"National Account Manager","Altra Industrial Motion Corp.",altramotion.com,"Electrical/Electronic Manufacturing","$77.8K – $98.4K a year",Remote,,"Remote in Detroit",MI,""
2022-03-16,"Automation/ Performance Tester Specialist",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Detroit,MI,"48243"
2022-03-17,"Patient Service Representative Supervisor","Wayne Health",waynehealthcares.org,"Hospital & Health Care","$34.9K – $44.3K a year",,,Detroit,MI,""
2022-03-17,"Client Operations Manager - Sales","Emergent Holdings",emergentholdingsinc.com,"Information Technology & Services","$71.3K – $90.3K a year",,"Downtown area",Detroit,MI,"48243"
2022-03-17,"Maintenance Planner","Detroit Salt Company L C",detroitsalt.com,"Mining & Metals","$53.2K – $67.4K a year",,"Boynton area",Detroit,MI,"48217"
2022-03-16,"Product Owner - Solar","Rock Central",rockcentraldetroit.com,"Information Technology & Services",,,"Downtown area",Detroit,MI,"48226"
2022-03-16,"Manager, Global Compensation",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Detroit,MI,"48243"
2022-03-15,"Assistant Facility Manager","Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate",,,"Downtown area",Detroit,MI,"48226"
2022-03-17,"Authorization Coordinator Lead Days FT","Detroit Medical Center Shared Services",,,,,"Medical Center area",Detroit,MI,"48201"
2022-03-17,"Oracle RMS Functional Manager",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Detroit,MI,"48243"
2022-03-16,"Webservice /API Tester- 4214591",Accenture,cazoodle.com,"Computer Software","$30 - $50 an hour",,"Downtown area",Detroit,MI,"48226"
2022-03-16,"Retail, Footwear and Apparel (RFA) Product Development and P...",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Detroit,MI,"48243"
2022-03-15,"District Sales Manager- Respiratory Specialty - Detroit MI",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Detroit,MI,"48288"
2022-03-17,"QE Automation Tester Specialist - Location Open",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Detroit,MI,"48243"
2022-03-15,"Surgical Scheduler",Ascension,ascension.org,"Hospital & Health Care",,,"Cornerstone Village area",Detroit,MI,"48236"
2022-03-16,"Programmatic Account Manager, Automotive",Google,google.com,Internet,,,"Midtown area",Detroit,MI,""
2022-03-16,"Salesforce Administrator - Solar","Rock Central",rockcentraldetroit.com,"Information Technology & Services",,,"Downtown area",Detroit,MI,"48226"
2022-03-15,"Salesforce Application Developer- 4220314",Accenture,cazoodle.com,"Computer Software","$50 - $70 an hour",Remote,,"Remote in Detroit",MI,"48226"
2022-03-17,"Financial Coordinator-Technical Accounting","Blue Cross Blue Shield of Michigan",bcbsm.com,Insurance,"$81.9K – $104K a year",,,Detroit,MI,""
2022-03-16,"CRM Growth Manager, Audit",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Detroit,MI,"48243"
2022-03-16,"Digital Analytics and Experience Designer","General Motors",sterlingmccallbgmc.com,,,,,Detroit,MI,""
2022-03-15,"HR Field Manager","SBM Management",sbmmanagement.com,"Facilities Services",,,,Detroit,MI,"48228"
2022-03-16,"Maintenance Supervisor- Bowin Place","Rose Companies Employer LLC",rosecompanies.com,"Real Estate","$45.6K – $57.8K a year",,,Detroit,MI,"48235"
2022-03-15,"Account Director","SBM Management",sbmmanagement.com,"Facilities Services",,,,Detroit,MI,"48228"
2022-03-15,"Site Manager","SBM Management",sbmmanagement.com,"Facilities Services",,,,Detroit,MI,"48228"
2022-03-17,"Supervisor Transmission and Axle (L5) Detroit Diesel Corpora...","Daimler Truck AG",,,"$86K – $109K a year",,,Detroit,MI,""
2022-03-16,"C-Suite Designer-Deloitte’s Green Dot Agency",Deloitte,deloitte.com,"Management Consulting",,,"Downtown area",Detroit,MI,"48243"
2022-03-17,"Manager, Product Management - Opportunity for Working Remote...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Detroit",MI,""
2022-03-15,"Regional Sustainability Manager","SBM Management",sbmmanagement.com,"Facilities Services",,,,Detroit,MI,"48228"
2022-03-16,"IT Product Manager","National University",nu.edu,"Higher Education","$74.8K – $94.8K a year",,,Detroit,MI,""
2022-03-17,"Inside Sales Representative","Reynolds and Reynolds",reyrey.com,"Computer Software",,,"Midtown area",Detroit,MI,"48201"
2022-03-16,"Blue Yonder Techno Functional Architect",Accenture,cazoodle.com,"Computer Software",,,"Downtown area",Detroit,MI,"48226"
2022-03-17,"Electrical Technician","Detroit Salt Company L C",detroitsalt.com,"Mining & Metals","$70,000 a year",,"Boynton area",Detroit,MI,"48217"
2022-03-17,"Commercial Bank- Middle Market Banking & Specialized Industr...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Detroit,MI,""
