DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-11,"Mobile Billboard Driver","do it outdoors media",doitoutdoors.com,"Marketing & Advertising","$14 - $15 an hour",,,Detroit,MI,""
2022-04-09,"Registered Nurse - Psych Unit",Ascension,ascension.org,"Hospital & Health Care",,,"Cornerstone Village area",Detroit,MI,"48236"
2022-04-09,"ELECTIONS POLL WORKER","City of Detroit",detroitmi.gov,"Government Administration",,,"Downtown area",Detroit,MI,"48226"
2022-04-09,"ELECTIONS POLL WORKER","City of Detroit",detroitmi.gov,"Government Administration",,,"Downtown area",Detroit,MI,"48226"
2022-04-09,"MGR, OPERATIONS II","Crothall Healthcare",crothall.com,"Hospital & Health Care",,,"Midtown area",Detroit,MI,"48201"
2022-04-10,"RN Observation Days FT","DMC Harper University/Hutzel Women's Hospital",,,,,"Medical Center area",Detroit,MI,"48201"
2022-04-09,"RN- Research Coordinator - Infectious Disease - Detroit - 40...","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,,Detroit,MI,""
2022-04-11,"Academic Advisor I","Wayne State University",wayne.edu,"Higher Education","$33.9K – $42.9K a year",,,Detroit,MI,""
2022-04-09,"RN PICU Rotating Shift FT","DMC Children's Hospital of Michigan",childrensdmc.org,"Hospital & Health Care",,,"Medical Center area",Detroit,MI,"48201"
2022-04-09,Custodian,"Wayne State University",wayne.edu,"Higher Education","$25.4K – $32.2K a year",,,Detroit,MI,""
2022-04-09,"Regional Deployment Installer II",Pomeroy,pomeroy.com,"Information Technology & Services",,,"Evergreen-Outer Drive area",Detroit,MI,"48219"
2022-04-09,"Aircraft Maintenance Technician",Delta,deltacompanies.com,,,,,Detroit,MI,""
2022-04-09,"Bartender - Lunch Shift","Buddy's Pizza",buddyspizza.com,Restaurants,"$28K – $35.4K a year",,,Detroit,MI,"48212"
2022-04-10,"Client Project Specialist - Remote, USA",Intelerad,intelerad.com,"Medical Devices",,Remote,,"Remote in Detroit",MI,""
2022-04-08,"Experienced Phlebotomist",Labcorp,labcorp.com,"Hospital & Health Care",,,,Detroit,MI,"48212"
2022-04-09,"Associate Counsel","Rock Central",rockcentraldetroit.com,"Information Technology & Services",,,"Downtown area",Detroit,MI,"48226"
2022-04-09,"ADMINISTRATOR, BOOKKEEPER - HOURLY (FULL-TIME)",Eurest,eurest-usa.com,"Food & Beverages",,,"Downtown area",Detroit,MI,"48226"
2022-04-09,"Retail Counter Sales","O'Reilly Auto Parts",oreillyauto.com,Retail,,,"Harmony Village area",Detroit,MI,"48235"
2022-04-10,"RN LD Nights FT","DMC Harper University/Hutzel Women's Hospital",,,,,"Medical Center area",Detroit,MI,"48201"
2022-04-10,Driver,"HR Elife",,,"From $650 a day",,,Detroit,MI,"48127"
2022-04-09,"Real Estate Agent","Marcus & Millichap",marcusmillichap.com,"Commercial Real Estate","$75,000 - $100,000 a year",,,Detroit,MI,""
2022-04-09,Driver,"Ur Way Transportation",,,"$300 - $600 a week",,,Detroit,MI,""
2022-04-10,"Tour Driver","HR Elife",,,"From $650 a day",,,Detroit,MI,"48127"
2022-04-10,Host,"Selden Standard",seldenstandard.com,Restaurants,"$14 - $18 an hour",,"Midtown area",Detroit,MI,"48201"
2022-04-09,"Delivery Associate","Amazon DSP",,,"$17 - $19 an hour",,,Detroit,MI,""
2022-04-11,Server,"Basement Burger Bar",basementburgerbar.com,Restaurants,"$35K – $44.4K a year",,"Downtown area",Detroit,MI,"48226"
2022-04-09,"Commercial Real Estate Agent","Austin Lopez Home Team Brokered By EXP",,,"$92.3K – $117K a year",,,Detroit,MI,""
2022-04-09,Physician,"Skilled Physicians Group",skilledphysiciansgroup.com,"Medical Practice","$243K – $308K a year",,,Detroit,MI,""
2022-04-10,"Fleet Driver","HR Elife",,,"From $650 a day",,,Detroit,MI,"48127"
2022-04-11,"Triage Nurse","Covenant Community Care",covenantcommunitycare.org,"Hospital & Health Care","$50.6K – $64K a year",,"Millenium Village area",Detroit,MI,"48216"
2022-04-09,"LVN or LPN","Sono Bello",sonobello.com,"Medical Practice","$47K – $59.4K a year",,,Detroit,MI,""
2022-04-09,"Team Member 102","Captain Jay's",captainjays.net,"Food & Beverages","$10 - $15 an hour",,,Detroit,MI,"48228"
2022-04-09,"Cable Technician","Koscom Cable, Inc.",,,"$4,600 - $8,000 a month",,"Elmwood Park area",Detroit,MI,"48207"
2022-04-09,"Private Duty Nurse (RN & LPN) - Wayne County","First Day Homecare",firstdayhomecare.com,"Hospital & Health Care","$24 - $28 an hour",,,Detroit,MI,""
2022-04-10,"Child Care Teacher","Chapel Child Daycare Learning Center",,,"$12 - $13 an hour",,"Pulaski area",Detroit,MI,"48234"
2022-04-09,"Anesthesia Technician","Henry Ford Health System",henryford.com,"Hospital & Health Care",,,"Henry Ford area",Detroit,MI,"48202"
