DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-01-22,"Researcher 1","University of Minnesota",,,,,,Minneapolis,MN,""
2022-01-22,"Store Operations Specialist","AM Retail Group",amretailgroup.com,Retail,,,,Minneapolis,MN,"55428"
2022-01-23,"Team Support","Truist Financial",truist.com,"Financial Services",,Remote,"Downtown West area",Minneapolis,MN,"55402"
2022-01-22,"Client Development Coordinator","Faegre Drinker",faegredrinker.com,"Law Practice",,Remote,,Minneapolis,MN,""
2022-01-22,"Stadium Cleaning Supervisors ($20-$22 per hour)",Marsden,marsdengroup.com,"Staffing & Recruiting","$20 - $22 an hour",,,Minneapolis,MN,""
2022-01-22,"Performance Analyst - Telecommute","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,Remote,,Minneapolis,MN,"55421"
2022-01-22,"Sales Account Executive","UNITED PARCEL SERVICE",ups.com,"Logistics & Supply Chain",,,,Minneapolis,MN,"55413"
2022-01-24,"Control Guard","Walker Art Center",walkerart.org,"Museums & Institutions","$17 an hour",,,Minneapolis,MN,""
2022-01-22,"Coffee Roastery Production Tech","Caribou Coffee",caribou-coffee.com,Restaurants,,,,Minneapolis,MN,"55429"
2022-01-22,"Search Engine Marketing Specialist","InterActive Circle",,,"$35,000 - $40,000 a year",,"Logan Park area",Minneapolis,MN,"55413"
2022-01-22,"Personal Care Assistants (1/21)","All Homecaring - Minnesota",allhomecaring.com,"Hospital & Health Care",,,"Audubon Park area",Minneapolis,MN,"55418"
2022-01-22,"Membership Representative I",Anthem,anthem.com,Insurance,,,,Minneapolis,MN,"55416"
2022-01-23,"Insurance Client Service Agent","Truist Financial",truist.com,"Financial Services",,Remote,"Downtown West area",Minneapolis,MN,"55402"
2022-01-22,"Customer Account Specialist",Syngenta,syngenta.com,Farming,,Remote,,Minneapolis,MN,""
2022-01-22,"Scholastic Services Associate","University of Minnesota",,,"$43,500 - $45,500 a year",,,Minneapolis,MN,""
2022-01-24,"Research Analyst - Technical Ops",Comcast,comcast.com,Telecommunications,,Remote,,Minneapolis,MN,"55439"
2022-01-24,"Accounts Payable Associate","Walker Art Center",walkerart.org,"Museums & Institutions",,,,Minneapolis,MN,""
2022-01-22,"Customer Service Clerk II","Estes Express Lines",estes-express.com,Transportation/Trucking/Railroad,"$21 - $24 an hour",,,Minneapolis,MN,""
2022-01-22,"Homemaker (1/21)","All Homecaring - Minnesota",allhomecaring.com,"Hospital & Health Care",,,"Audubon Park area",Minneapolis,MN,"55418"
2022-01-23,"Specialist, Marketing",Deloitte,deloitte.com,"Management Consulting",,,"Downtown West area",Minneapolis,MN,"55402"
2022-01-22,"Post-Doctoral Associate","University of Minnesota",,,,,,Minneapolis,MN,""
2022-01-22,"Supply Chain Materials Specialist","University of Minnesota",,,"$45,000 - $55,000 a year",,,Minneapolis,MN,""
2022-01-22,"Security Officer","Fairview Health Services",fairview.org,"Hospital & Health Care",,,"Cedar-Riverside area",Minneapolis,MN,"55454"
2022-01-22,"Van Driver at Minneapolis Startup! ($22/hr)",Ridwell,ridwell.com,"Consumer Services","$22 an hour",,,Minneapolis,MN,"55420"
2022-01-22,"Food Safety Specialist","Rentokil Initial",rentokil-initial.com,"Environmental Services",,,,Minneapolis,MN,""
2022-01-22,"Front Desk Receptionist (Part-Time)","Jones-Harrison Residence",,,"From $15 an hour",,"Cedar-Isles-Dean area",Minneapolis,MN,"55416"
2022-01-22,"Housekeeper (Full-Time/Part-Time)","Jones-Harrison Residence",,,,,"Cedar-Isles-Dean area",Minneapolis,MN,"55416"
2022-01-22,"Lab Assistant, Support Services",Bio-techne,bio-techne.com,Biotechnology,,,"Southeast Como area",Minneapolis,MN,"55413"
2022-01-23,"Graduate Landscape Architect","Alliant Engineering, Inc.",alliant-inc.com,"Civil Engineering",,,"Downtown West area",Minneapolis,MN,"55402"
2022-01-22,"Environmental Services Worker (Casual)","Hennepin Healthcare",hennepinhealthcare.org,"Hospital & Health Care",,,"Elliot Park area",Minneapolis,MN,"55415"
2022-01-22,"Staff Nurse (RN) - Whittier Clinic","Hennepin Healthcare",hennepinhealthcare.org,"Hospital & Health Care",,,"Elliot Park area",Minneapolis,MN,"55415"
2022-01-22,"Associate, Marketing Project Management (Digital Marketing C...","Bain & Company",,,,,,Minneapolis,MN,""
2022-01-22,"Stadium Cleaning Supervisors ($20-$22 per hour)",Marsden,marsdengroup.com,"Staffing & Recruiting","$20 - $22 an hour",,"North Loop area",Minneapolis,MN,"55403"
2022-01-22,"Full Time Security Lead Officer",Securitas,securitasantias.com,"Security & Investigations",,,,Minneapolis,MN,""
2022-01-22,"General Helper",Ryerson,ryerson.com,"Mining & Metals",,,,Minneapolis,MN,"55447"
2022-01-22,"MSP FT Ramp Agent","Sun Country, Inc.",,,"$17 an hour",,,Minneapolis,MN,"55450"
2022-01-22,"Account Representative, Corporate",Code42,code42.com,"Computer & Network Security",,,"Downtown West area",Minneapolis,MN,"55401"
2022-01-22,"Sales Specialist","Quotient Technology Inc.",quotient.com,"Marketing & Advertising",,,"North Loop area",Minneapolis,MN,"55401"
2022-01-22,"Inbound Contact Rep 2 -Bilingual- Spanish",Humana,humana.com,"Health, Wellness & Fitness",,,,Minneapolis,MN,"55428"
2022-01-22,"Mental Health Practitioner- Huss Center for Recovery","People Incorporated Mental Health Services",peopleincorporated.org,"Mental Health Care","$18.51 - $22.91 an hour",,"Ventura Village area",Minneapolis,MN,"55404"
2022-01-24,"FOOD SERVICE UTILITY (FULL-TIME)","FLIK Hospitality Group",flik-usa.com,"Food & Beverages","$15 an hour",,,Minneapolis,MN,"55422"
2022-01-22,"Semi Skilled Technician - Audi Minneapolis","Carousel Motor Group",carouselmotorgroup.com,Automotive,,,,Minneapolis,MN,"55426"
2022-01-22,"Nursing Station Technician Pediatric Med/Surg IMC","Fairview Health Services",fairview.org,"Hospital & Health Care",,,"Cedar-Riverside area",Minneapolis,MN,"55454"
2022-01-22,"Faculty Physician – Movement Disorders Division Director","University of Minnesota Physicians",mphysicians.org,"Hospital & Health Care",,,,Minneapolis,MN,""
2022-01-22,"Ready Mix Driver (M)","LafargeHolcim in the US",lafargeholcim.us,"Computer Software",,,"Marshall Terrace area",Minneapolis,MN,"55418"
2022-01-22,"Research Associate, Cell Culture Operations",Bio-techne,bio-techne.com,Biotechnology,,,"Southeast Como area",Minneapolis,MN,"55413"
2022-01-22,"Wells Fargo Advisors Regional Supervisor","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Minneapolis,MN,""
2022-01-22,"Ready Mix Driver (M)","Aggregate Industries Management, Inc.",,,,,,Minneapolis,MN,""
