DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-10,"Investigative Program Specialist (Polygraph Examiner)","US Customs and Border Protection",cbp.gov,"Government Administration","$94,373 - $122,683 a year",,,Minneapolis,MN,""
2022-03-08,"Server Assistant","Four Seasons",fourseasons.com,Hospitality,"$25.2K – $31.8K a year",,,Minneapolis,MN,""
2022-03-08,"Development Communications & Event Assistant","Archdiocese of Saint Paul Minneapolis",archspm.org,"Religious Institutions",,,"Loring Park area",Minneapolis,MN,"55403"
2022-03-10,"Institutional Review Board (IRB) Specialist Associate - Remo...","Allina Health System",allinahealth.org,"Hospital & Health Care","$46.8K – $59.2K a year",Remote,,"Remote in Minneapolis",MN,""
2022-03-08,"Client Care Associate - Minneapolis, MN","Louis Vuitton",louisvuitton.com,"Luxury Goods & Jewelry",,,,Minneapolis,MN,""
2022-03-09,"Human Resources Assistant","Atmosphere Commercial Interiors",atmosphereci.com,Furniture,"$36.9K – $46.7K a year",,"Downtown West area",Minneapolis,MN,"55402"
2022-03-09,"Human Resources Assistant","Atmosphere Commercial Interiors",atmosphereci.com,Furniture,"$40.5K – $51.3K a year",,"Near North area",Minneapolis,MN,"55411"
2022-03-09,"ARDL Lab Assistant","University of Minnesota",,,,,,Minneapolis,MN,""
2022-03-09,"Personal Monitoring Associate Analyst (Representations)",Deloitte,deloitte.com,"Management Consulting",,,"Downtown West area",Minneapolis,MN,"55402"
2022-03-08,"Production Analyst","Colliers International",firstservicepgp.com,"Real Estate",,,"West Calhoun area",Minneapolis,MN,"55416"
2022-03-10,"Technology Operations Associate","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Minneapolis,MN,""
2022-03-10,"Claims Assistant",Sedgwick,sedgwick.com,Insurance,,,,Minneapolis,MN,""
2022-03-09,"Client Advisor Hybrid, Visual Merchandising, Minneapolis, MN","Louis Vuitton",louisvuitton.com,"Luxury Goods & Jewelry",,,,Minneapolis,MN,""
2022-03-10,"Office & Admin Specialist Int","State of Minnesota",mn.gov,"Government Administration","$18.10 - $24.00 an hour",,,Minneapolis,MN,"55445"
2022-03-09,"Assistant Property Manager Full or part time","Metes & Bounds Management Company",metesbounds.com,"Real Estate","$32.1K – $40.7K a year",,,Minneapolis,MN,""
2022-03-10,"Patient Service Coordinator","Children's Minnesota",childrensmn.org,"Hospital & Health Care",,,,Minneapolis,MN,"55435"
2022-03-10,"Event Coordinator","University of Minnesota",,,,,,Minneapolis,MN,""
2022-03-10,"Researcher 1","University of Minnesota",,,,,,Minneapolis,MN,""
2022-03-09,"Receptionist / Personnel Services Assistant","Open Access Technology International (OATI)",,,"$28.5K – $36.1K a year",,"Columbia Park area",Minneapolis,MN,"55418"
2022-03-08,"Associate Data Scientist","Xcel Energy",xcelenergy.com,Utilities,"$77,000 - $109,666 a year",,"North Loop area",Minneapolis,MN,"55401"
2022-03-08,"Assistant Analyst (one-year temporary appointment)","University of Minnesota",,,,,,Minneapolis,MN,""
2022-03-10,"Natural Resources Industry Consultant",Accenture,cazoodle.com,"Computer Software",,,,Minneapolis,MN,""
