DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-22,"FT Seasonal Porter","UNITED PARCEL SERVICE",ups.com,"Logistics & Supply Chain",,,,Minneapolis,MN,"55413"
2022-05-22,"Customer Experience Specialist (Hybrid)","Room & Board",roomandboard.com,Retail,"$48,000 a year",Remote,,"Hybrid remote in Minneapolis",MN,"55422"
2022-05-23,"Assistant Director","Supportive Living Solutions",gosupportive.com,"Mental Health Care","$45,000 - $50,000 a year",,"Whittier area",Minneapolis,MN,"55404"
2022-05-21,"Visitor Experience Specialist","Walker Art Center",walkerart.org,"Museums & Institutions","$42,000 a year",,,Minneapolis,MN,""
2022-05-21,"NeuroHealth Research Assistant","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,,Minneapolis,MN,"55421"
2022-05-21,"Residential Coordinator","People Incorporated Mental Health Services",peopleincorporated.org,"Mental Health Care","$19.70 - $21.05 an hour",,"Loring Park area",Minneapolis,MN,"55403"
2022-05-23,"Building and Grounds Worker - Recreation and Wellness North...","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-21,"Entry Level Surveillance Investigator","DigiStream Investigations, Inc.",,,"$19 an hour",,,Minneapolis,MN,""
2022-05-21,"Family Resource Rep Casual","Children's Minnesota",childrensmn.org,"Hospital & Health Care",,,,Minneapolis,MN,"55435"
2022-05-22,"Sales Associate/Beauty Advisor","Sally Beauty Supply LLC",,,,,"Longfellow area",Minneapolis,MN,"55406"
2022-05-21,"Employment Consultant Level 1","Rise, Inc.",,,"$17.50 an hour",,"Holland area",Minneapolis,MN,"55418"
2022-05-21,"Service Agent","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,"Minneapolis - St. Paul International Airport area",Minneapolis,MN,"55450"
2022-05-21,"Clinical Specialist, CPT - Minneapolis","Abbott Laboratories",abbottnutrition.com,Research,,,,Minneapolis,MN,""
2022-05-22,"Family Services Coordinator","Project for Pride in Living",ppl-inc.org,"Nonprofit Organization Management","$20.50 - $21.85 an hour",,"Ventura Village area",Minneapolis,MN,"55404"
2022-05-21,"Nursing Assistant-Operating Room","Fairview Health Services",fairview.org,"Hospital & Health Care",,,"University District area",Minneapolis,MN,"55414"
2022-05-22,"Retail Analyst",NielsenIQ,,,,Remote,,"Remote in Minneapolis",MN,""
2022-05-22,"Grocery Associate","Reef Technology",reeftechnology.com,"Commercial Real Estate","$19 an hour",,"Downtown West area",Minneapolis,MN,"55404"
2022-05-22,"Sales Trainee",Graybar,graybar.com,Wholesale,"From $24.04 an hour",,,Minneapolis,MN,""
2022-05-22,"Office Clerk","AZZ Incorporated",azz.com,"Electrical/Electronic Manufacturing","$30.4K - $38.6K a year",,"Columbia Park area",Minneapolis,MN,"55418"
2022-05-21,"Family Worker","The Family Partnership",thefamilypartnership.org,"Individual & Family Services","From $16 an hour",,"Near North area",Minneapolis,MN,"55411"
2022-05-21,"Medical Scheduler","MNGI Digestive Health",mngi.com,"Medical Practice","$20 an hour",,,Minneapolis,MN,"55413"
2022-05-21,"Account Executive (K-12/Higher Ed)","Meteor Education",meteoreducation.com,"Education Management",,,"Ventura Village area",Minneapolis,MN,"55404"
2022-05-21,"Associate Director of Institutional Relations","University of Minnesota",,,"Up to $54,246 a year",Remote,,"Remote in Minneapolis",MN,""
2022-05-20,"Eligibility Technician","Minneapolis Public Housing Authority",mphaonline.org,"Government Administration","$20.99 an hour",,"North Loop area",Minneapolis,MN,"55401"
2022-05-22,"Merch Planner - Functional Storage",TARGET,target.com,Retail,,,"Downtown West area",Minneapolis,MN,"55403"
2022-05-21,"HC Pro 1-Clinical Lab Science","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-22,"Warehouse Associate/Driver","Reef Technology",reeftechnology.com,"Commercial Real Estate","From $21 an hour",,,Minneapolis,MN,""
2022-05-22,"Security Guard US BANK Stadium","Allied Universal®",,,,,"Downtown West area",Minneapolis,MN,"55415"
2022-05-23,"MN Landscape Arboretum 9-Month Assistant Gardener","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-21,"Researcher 1","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-21,"Service Specialist FAST","Epiq Systems, Inc.",epiqglobal.com,"Legal Services",,,,Minneapolis,MN,""
2022-05-21,"Sales Coordinator, Analytics","SPS COMMERCE",spscommerce.com,"Information Technology & Services",,,"Downtown West area",Minneapolis,MN,"55402"
2022-05-21,"Microbiome Researcher 1","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-21,"Court Operations Associate, Hennepin County, Juvenile Divisi...","Minnesota Judicial Branch",mncourts.gov,,"$37,981 - $63,997 a year",Remote,,"Remote in Minneapolis",MN,"55415"
2022-05-21,"Supply Chain Operations Handler","Allina Health System",allinahealth.org,"Hospital & Health Care",,,,Minneapolis,MN,""
2022-05-21,"Area Asset Protection Manager - Crystal Court Rack","Nordstrom Inc",nordstrom.com,Retail,,,"Downtown West area",Minneapolis,MN,"55402"
2022-05-23,"Assistant Director","Supportive Living Solutions",gosupportive.com,"Mental Health Care","$45,000 - $50,000 a year",,"Whittier area",Minneapolis,MN,"55404"
2022-05-22,"Design Consultant- Interior Design/Sales Consultant","Ethan Allen",ethanallen.com,Retail,,,,Minneapolis,MN,"55435"
2022-05-21,"Researcher 1","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-22,PDM-Analyst,Deloitte,deloitte.com,"Management Consulting",,,"Downtown West area",Minneapolis,MN,"55402"
2022-05-21,"Laboratory Assistant Associate","Allina Health System",allinahealth.org,"Hospital & Health Care",,,,Minneapolis,MN,""
2022-05-21,"Mental Health Practitioner - Deaf/Blind/Hard of Hearing prog...","People Incorporated Mental Health Services",peopleincorporated.org,"Mental Health Care","$19.70 - $21.05 an hour",,,Minneapolis,MN,"55413"
2022-05-22,"Store Coordinator Natural Living","Fresh Thyme Market",freshthyme.com,Supermarkets,,,"Downtown West area",Minneapolis,MN,"55415"
2022-05-21,"Externship Graduate - Entry Level Analyst - Midwest",Accenture,cazoodle.com,"Computer Software",,,,Minneapolis,MN,""
2022-05-20,"Production Associate - Product Counter - 2nd Shift",Cintas,cintas.com,"Facilities Services",,,"Bryn Mawr area",Minneapolis,MN,"55405"
2022-05-21,"Team Member - Now Hiring","Holiday Stationstores",holidaystationstores.com,Retail,,,"Near North area",Minneapolis,MN,"55411"
2022-05-22,"Field Medicare Sales Representative - Greater Minneapolis ar...",Humana,humana.com,"Health, Wellness & Fitness",,,,Minneapolis,MN,"55428"
2022-05-22,"Produce Clerk-1","Fresh Thyme Market",freshthyme.com,Supermarkets,,,"Downtown West area",Minneapolis,MN,"55415"
2022-05-21,"Consumer Banker 1","Bremer Bank",bremer.com,Banking,"$33K - $41.8K a year",,,Minneapolis,MN,""
2022-05-21,"Barista-Ten01 Market, Hilton Minneapolis",Hilton,hiltonmyersadv.com,"Advertising & Marketing, Business Services, Human Resources & Staffing, Â ... Lodging & Resorts, Hos",,,"Loring Park area",Minneapolis,MN,"55403"
2022-05-21,"Air Quality Specialist 1",HDR,hdrinc.com,Design,,,,Minneapolis,MN,""
2022-05-21,"Newscast Producer/Content Producer","CBS Television Stations",,,,,"Loring Park area",Minneapolis,MN,"55403"
2022-05-22,"Security Officer Wells Fargo","Allied Universal®",,,"$20 an hour",,"Calhoun area",Minneapolis,MN,"55408"
2022-05-21,"Production Associate - Mat Roller - 2nd Shift - Temporary",Cintas,cintas.com,"Facilities Services",,,"Hawthorne area",Minneapolis,MN,"55411"
2022-05-23,"Technology Specialist",TEGNA,tegna.com,"Broadcast Media","$41.5K - $52.5K a year",,,Minneapolis,MN,""
2022-05-21,"Tech Bus Services Associate","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Minneapolis,MN,""
2022-05-21,"Court Operations Associate, Hennepin County, Juvenile Divisi...","Minnesota Judicial Branch",mncourts.gov,,"$21 an hour",Remote,,"Remote in Minneapolis",MN,"55415"
2022-05-21,"CRE Administrator","Bremer Bank",bremer.com,Banking,"$31.9K - $40.5K a year",,,Minneapolis,MN,""
2022-05-22,"LPN Home Care- Southeast Metro","Allina Health System",allinahealth.org,"Hospital & Health Care",,,,Minneapolis,MN,""
2022-05-23,"Inside Sales Support",Graybar,graybar.com,Wholesale,,,,Minneapolis,MN,""
2022-05-21,"Tracking and Trading Associate Compliance Analyst",Deloitte,deloitte.com,"Management Consulting",,,"Downtown West area",Minneapolis,MN,"55402"
2022-05-21,"Stationary Equipment Technician","Republic Services",republicservices.com,"Environmental Services",,,"Webber-Camden area",Minneapolis,MN,"55412"
2022-05-21,"Registered Nurse - Northern Communities Float","Walker ElderCare Services, Inc",,,"$67.2K - $85.2K a year",,"Kingfield area",Minneapolis,MN,"55409"
2022-05-21,"Personal Care Assistant / PCA","Home Health Care, Inc.",hhcare.net,"Hospital & Health Care","$14.25 an hour",,,Minneapolis,MN,""
2022-05-21,"In Home Caregiver / HHA","Home Health Care, Inc.",hhcare.net,"Hospital & Health Care","$17 - $18 an hour",,,Minneapolis,MN,""
2022-05-21,"Post-Doctoral Associate (Genomics & Population Genetics)","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-22,"Post-Doctoral Associate","University of Minnesota",,,,,,Minneapolis,MN,""
2022-05-21,"Service Representative Off-Site",Graybar,graybar.com,Wholesale,"$20 an hour",,,Minneapolis,MN,""
2022-05-21,"EVENT SERVICES SUPERVISOR (BANQUET CAPTAIN) - FULL-TIME","Hyatt Regency Minneapolis",,,,,"Loring Park area",Minneapolis,MN,"55403"
2022-05-21,"Clinical Reintegration Specialist $57,500",Sevita,sevita.com,"Food Production",,,,Minneapolis,MN,""
2022-05-22,"Production Supervisor","AZZ Incorporated",azz.com,"Electrical/Electronic Manufacturing","$45.2K - $57.2K a year",,"Columbia Park area",Minneapolis,MN,"55418"
2022-05-21,"Ready Mix Plant Operator/Batcher","LafargeHolcim in the US",lafargeholcim.us,"Computer Software",,,"Windom area",Minneapolis,MN,"55419"
