DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-10-08,"Maintenance Work-order Specialist (Computer Clerical)",Veolia,veolia.com,"Environmental Services",,,"Sunkist area)",Jackson,MS,"39212"
2022-10-09,"Mental Health Worker II-Behavioral Health-FT","Merit Health Central",merithealthcentral.com,"Hospital & Health Care",,,"West Central Jackson area)",Jackson,MS,"39204"
2022-10-08,"Telephone Operator- Scheduling","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,"Fondren North area)",Jackson,MS,"39216"
2022-10-08,"Business Law Fellow","Trustmark National Bank",trustmark.com,Banking,,,"State Capitol area)",Jackson,MS,"39201"
2022-10-08,"Delivery Driver - Full-Time","NAPA Auto Parts",douglasnapa.com,,,,"West Central Jackson area)",Jackson,MS,"39204"
2022-10-08,"Route Trainee - UniFirst",UniFirst,unifirst.com,Textiles,,,"Bullard Hill area)",Jackson,MS,"39209"
2022-10-08,"Development Associate, Mortgage","Trustmark National Bank",trustmark.com,Banking,,,"Fondren North area)",Jackson,MS,"39216"
2022-10-09,"Medical Screener - Reception Technician (Customer Service)","CSL Plasma",cslplasma.com,Pharmaceuticals,,,,Jackson,MS,""
2022-10-08,"Social Svcs Lead- Behavioral Health-FT","Merit Health Central",merithealthcentral.com,"Hospital & Health Care",,,"West Central Jackson area)",Jackson,MS,"39204"
2022-10-09,"Customer Service - Donor Support Technician","CSL Plasma",cslplasma.com,Pharmaceuticals,,,,Jackson,MS,""
2022-10-08,"Financial Relationship Associate - Cash Line Banker (Fondren...",Regions,regions.com,Banking,,,"Fondren North area)",Jackson,MS,"39216"
2022-10-08,"Boring OP-UG -Jackson, MS","Chain Electric",chainelectric.com,Construction,,,,Jackson,MS,""
2022-10-10,"CL A Drivers 100% No Touch-Rider & Pet Policy - Home Every O...",Rudolph,,,"$73,000 - $95,000 a year",,"Mid City Business Association area)",Jackson,MS,"39203"
2022-10-09,"Medical Screener - Reception Technician (Customer Service)","CSL Plasma",cslplasma.com,Pharmaceuticals,,,,Jackson,MS,""
2022-10-09,"Medical Screener - Reception Technician (Customer Service)","CSL Plasma",cslplasma.com,Pharmaceuticals,,,,Jackson,MS,""
2022-10-09,"Medical Screener - Reception Technician (Customer Service)","CSL Plasma",cslplasma.com,Pharmaceuticals,,,,Jackson,MS,""
2022-10-07,"Program Specialist II","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area)",Jackson,MS,"39201"
2022-10-09,"Crew Member Cashier",McDonald’s,,,"$9.25 an hour",,"Greater Belhaven area)",Jackson,MS,"39202"
2022-10-08,"Physician (Urologist)","US Veterans Health Administration",va.gov,"Government Administration","$250,000 - $400,000 a year",,"Fondren North area)",Jackson,MS,"39216"
