DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-24,"Rep, Customer Experience - Remote in MS","Molina Healthcare",molinahealthcare.com,"Hospital & Health Care","$12.32 - $24.02 an hour",Remote,,"Remote in Jackson",MS,"39201"
2022-12-23,"Driver Assistant - Jackson","McLane Company",mclaneco.com,"Logistics & Supply Chain","$17.50 an hour",,,Jackson,MS,""
2022-12-23,"Armed Driver Guard","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$17.50 an hour",,"Washington Addition area)",Jackson,MS,"39204"
2022-12-25,"Entry Level Advertising Account Manager Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",Remote,,"Remote in Jackson",MS,"39201"
2022-12-23,"Pre-Service Coordinator","Youth Villages",youthvillages.org,"Nonprofit Organization Management","$48,000 - $51,000 a year",,,Jackson,MS,""
2022-12-23,"Physician Scheduler I - Ophthalmology","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Sewing Machine Operator","Mississippi Industries for the Blind (MIB)",,,"estimated $26k - $33k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Administrative Assistant II - Orthopedic Surgery","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $31.1k - $39.4k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Retail Supervisor, Product Operations","Old Navy",gap.com,Retail,,,,Jackson,MS,"39211"
2022-12-23,"DRIVER - Jackson","McLane Company",mclaneco.com,"Logistics & Supply Chain","up to $75,000 a year",,,Jackson,MS,""
2022-12-23,"Administrative Assistant III - Neurology","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $31.4k - $39.8k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Dental Dispensary Assistant-School of Dentistry","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $28.9k - $36.6k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Courier II - Finance","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $29.2k - $37k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Data Analyst II","State of Mississippi",ms.gov,"Government Administration","estimated $63k - $79.8k a year",,"State Capitol area)",Jackson,MS,"39201"
2022-12-23,"Admin Support Assistant IV","State of Mississippi",ms.gov,"Government Administration","estimated $25.7k - $32.5k a year",,"State Capitol area)",Jackson,MS,"39201"
2022-12-23,"Accountant II","State of Mississippi",ms.gov,"Government Administration","estimated $42.8k - $54.2k a year",,"State Capitol area)",Jackson,MS,"39201"
2022-12-24,"FT-Sales Specialist - Cabinets-Day",Lowe's,lowes.com,Retail,,,"Maddox Road area)",Jackson,MS,""
2022-12-23,"Auto Parts Delivery Driver (Full Time) # 233","Replacement Parts Inc.",replacementpartsinc.com,,"estimated $21k - $26.6k a year",,"Gallatin Street Area area)",Jackson,MS,"39201"
2022-12-23,"Instructor - Orthopedic Surgery Fellow","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $47.5k - $60.1k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-25,Bartender,Chili's,chilisjobs.com,,,,"Northbrook area)",Jackson,MS,"39206"
2022-12-23,"Medical Office Assistant - Child Development Clinic","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $29.4k - $37.2k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Medical Operations Supervisor (Nurse Supervisor)","CSL Plasma",cslplasma.com,Pharmaceuticals,"estimated $47.5k - $60.2k a year",,,Jackson,MS,""
2022-12-26,Server,Chili's,chilisjobs.com,,"estimated $31k - $39.3k a year",,"Northbrook area)",Jackson,MS,"39206"
2022-12-23,"Admin Support Assistant I","State of Mississippi",ms.gov,"Government Administration","estimated $23.6k - $29.9k a year",,"State Capitol area)",Jackson,MS,"39201"
2022-12-23,"Retail Supervisor, Merchandising","Old Navy",gap.com,Retail,,,,Jackson,MS,"39211"
2022-12-23,"Program Administrator - SOM - Medicine Infectious Disease","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $44.3k - $56.1k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Patient Financial Services Coordinator- HBC Front End","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $26.3k - $33.3k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Social Worker III (LCSW) - Medicine","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $50k - $63.3k a year",,"Fondren North area)",Jackson,MS,"39216"
2022-12-23,"Unit Secretary - UH","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","estimated $27.6k - $35k a year",,"Fondren North area)",Jackson,MS,"39216"
