DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-14,"Premium Auditor","NEIS Inc.",neis1.com,,"$41,000 - $65,000 a year",,,Jackson,MS,""
2022-03-12,"General Manager",Books-A-Million,booksamillion.com,Retail,,,,Jackson,MS,"39211"
2022-03-13,"Supervisory Medical Support Assistant","US Veterans Health Administration",va.gov,"Government Administration","$49,549 - $64,410 a year",,,Jackson,MS,""
2022-03-12,"Credit Analyst II","Trustmark National Bank",trustmark.com,Banking,"$54.3K – $68.7K a year",,"State Capitol area",Jackson,MS,"39201"
2022-03-12,VALET,"ABM Industries",marriott.com,"Computer Software","$24.4K – $31K a year",,"Greater Belhaven area",Jackson,MS,"39202"
2022-03-13,"Sales Executive Acquisition 2",AT&T,att.com,Telecommunications,,,,Jackson,MS,"39209"
2022-03-12,"Revenue Specialist I","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2022-03-13,"Care Review Processor","Molina Healthcare",molinahealthcare.com,"Hospital & Health Care",,,"State Capitol area",Jackson,MS,"39201"
2022-03-11,"Team Manager - Work from Home Virtual In Office/Proximity -...","State Farm",statefarm.com,Insurance,,Remote,,"Remote in Jackson",MS,"39201"
2022-03-14,"Entry Level Outside Sales Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",,"Gallatin Street area",Jackson,MS,"39201"
2022-03-12,"Rehabilitation Associate I","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2022-03-12,"Administrative Assistant II - Transplant - Kidney","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care","$29.8K – $37.8K a year",,,Jackson,MS,""
2022-03-12,"Custodian I","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2022-03-12,"Accountant I","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2022-03-12,"CATERING ATTENDANT (FULL and PART TIME)","Morrison Healthcare",morrisonhealthcare.com,"Food & Beverages",,,"Fondren North area",Jackson,MS,"39216"
2022-03-12,"DEFENSE COUNSEL","Indigent Defense System",,,"$72.5K – $91.9K a year",,,Jackson,MS,""
