DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/17/2022,"Insurance Representative","Mississippi Sports Medicine & Orthopaedic Center",,,"$16 - $21 an hour",,"Greater Belhaven area",Jackson,MS,"39202"
2/17/2022,"Inside Sales Representative - 100% Remote/Work From Home",Frontdoor,frontdoorhome.com,"Consumer Services",,Remote,,"Remote in Jackson",MS,""
2/17/2022,"Jackson Billing/Collections/Credentialing","Physicians Quality Care",physiciansqualitycare.com,"Medical Practice",,,,Jackson,MS,""
2/15/2022,"Assistant Manager, Hope Lodge","AMERICAN CANCER SOCIETY",cancer.org,"Nonprofit Organization Management",,,"Coalition of Homeowners Association area",Jackson,MS,"39213"
2/15/2022,"Customer Service I/Appliance Representative - 100% Remote",Frontdoor,frontdoorhome.com,"Consumer Services",,Remote,,"Remote in Jackson",MS,""
2/17/2022,"FOOD SERVICE, FAST FOOD (FULL-TIME)","Morrison Healthcare",morrisonhealthcare.com,"Food & Beverages",,,"Greater Belhaven area",Jackson,MS,"39202"
2/16/2022,"Customer Service Authorizer Work from Home",Frontdoor,frontdoorhome.com,"Consumer Services",,Remote,,"Remote in Jackson",MS,""
2/15/2022,"Account Service Assistant","Southern Farm Bureau Casualty Insurance",sfbcic.com,Insurance,,,,Jackson,MS,"39211"
2/17/2022,"Customer Service Representative II / Authorizer",Frontdoor,frontdoorhome.com,"Consumer Services",,,"Mid City Business Association area",Jackson,MS,"39203"
2/17/2022,"Eligibility Rep/ Insurance Verification Specialist - Jackson...","Merit Health Central",merithealthcentral.com,"Hospital & Health Care",,,"West Central Jackson area",Jackson,MS,"39204"
2/17/2022,"Counter Sales Representative","Irby Electric Supply",irby.com,Wholesale,,,,Jackson,MS,""
2/15/2022,"Medical Technician - Pathology and Laboratory Medicine Servi...","US Veterans Health Administration",va.gov,"Government Administration","$33,221 - $41,967 a year",,,Jackson,MS,""
2/17/2022,"Inside Sales Representative (Outbound Renewals) - 100% Remot...",Frontdoor,frontdoorhome.com,"Consumer Services",,Remote,,"Remote in Jackson",MS,""
2/16/2022,"Warehouse Associate (Full-Time)","NAPA Auto Parts",douglasnapa.com,,,,"West Central Jackson area",Jackson,MS,"39204"
2/17/2022,"INSURANCE REPRESENTATIVE","U.S. Orthopaedic Partners",us-orthopartners.com,"Investment Management",,,"Greater Belhaven area",Jackson,MS,"39202"
2/16/2022,"Pharmacy Technician / Pharm Tech Apprenticeship",WALGREENS,walgreens.com,Retail,,,"Northlake area",Jackson,MS,"39211"
2/16/2022,"DMS Site Leader","RJ Young Company",rjyoung.com,"Business Supplies & Equipment",,,"Skyline Dr area",Jackson,MS,"39213"
2/15/2022,"Assistant Property Manager","Oakland Management Corp",beztak.com,"Real Estate",,,,Jackson,MS,"39209"
2/15/2022,"Supervisory Control Associate - Field Support Governance","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Jackson,MS,""
2/15/2022,"Nursing Assistant - CSR (Neuro ICU)","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,"Fondren North area",Jackson,MS,"39216"
2/15/2022,"ACH Specialist I","Trustmark National Bank",trustmark.com,Banking,,,"State Capitol area",Jackson,MS,"39201"
2/16/2022,"Division Chief - SOM - Medicine","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
2/16/2022,"Supply Tech I-Shipping and Receiving","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
2/14/2022,"Admin Support Assistant II","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2/16/2022,"LPN- Operating Room-FT","Merit Health Central",merithealthcentral.com,"Hospital & Health Care",,,"West Central Jackson area",Jackson,MS,"39204"
2/17/2022,"Field Technician I","MasTec Network Solutions",,,,,"Gallatin Street area",Jackson,MS,"39201"
2/17/2022,"Support Services Assistant (UR)","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,,Jackson,MS,""
2/17/2022,"Social Services Program Coordinator","The Salvation Army",salvationarmyfortwalton.org,Retail,,,"Tougaloo Community area",Jackson,MS,"39206"
2/17/2022,"Field Technician II","MasTec Network Solutions",,,,,"Gallatin Street area",Jackson,MS,"39201"
2/16/2022,"SPD Tech-Central Sterile-FT","Jackson HMA LLC",,,,,"Cheswood Park area",Jackson,MS,"39204"
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Jackson,MS,"39209"
2/15/2022,Nurse-Clinic,"Baptist Memorial Health Care Corporation",baptistonline.org,"Hospital & Health Care",,,,Jackson,MS,""
2/15/2022,"LPN - JS Venous Access Support MBMC","Baptist Memorial Health Care Corporation",baptistonline.org,"Hospital & Health Care",,,,Jackson,MS,""
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Sunkist area",Jackson,MS,"39212"
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Skyline Dr area",Jackson,MS,"39213"
2/16/2022,"Technician-Non Invasive Cardiovascular - JS Telemetry Servic...","Baptist Memorial Health Care Corporation",baptistonline.org,"Hospital & Health Care",,,,Jackson,MS,""
2/16/2022,"Quality Specialist (Bilingual)","CSL Behring",cslbehring.com,Biotechnology,,,,Jackson,MS,""
2/15/2022,"Graduate Nurse (RN1) May 2022","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,"Fondren North area",Jackson,MS,"39216"
2/16/2022,"Discharge Coordinator 1 - LPN","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,,Jackson,MS,""
2/17/2022,"Tower Technician I","MasTec Network Solutions",,,,,"Gallatin Street area",Jackson,MS,"39201"
2/16/2022,"Customer Service Representative, Full or Part Time","Circle K",circlek.com,Retail,,,"Greater Belhaven area",Jackson,MS,"39202"
2/15/2022,"Environmental/Natural Resources Specialist III","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2/15/2022,"Program Specialist III","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2/15/2022,"Program Specialist III","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2/17/2022,GREETER,"Family Dollar",familydollar.com,Retail,,,"Hanging Moss East area",Jackson,MS,"39206"
2/16/2022,Phlebotomist-Laboratory-FT,"Merit Health Central",merithealthcentral.com,"Hospital & Health Care",,,"West Central Jackson area",Jackson,MS,"39204"
2/17/2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Hanging Moss East area",Jackson,MS,"39206"
2/17/2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Jackson,MS,"39211"
2/17/2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Sunkist area",Jackson,MS,"39212"
2/17/2022,"Field Technician III","MasTec Network Solutions",,,,,"Gallatin Street area",Jackson,MS,"39201"
2/16/2022,"Cultural Resources Specialist II","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2/16/2022,"Environmental/Natural Resources Specialist I","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2/17/2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Skyline Dr area",Jackson,MS,"39213"
2/17/2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Jackson,MS,"39209"
2/15/2022,"Accounting Team Lead","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2/17/2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Cheswood Park area",Jackson,MS,"39204"
2/15/2022,"Coordinator-Health Unit - JS MedSurg 4D MBMC","Baptist Memorial Health Care Corporation",baptistonline.org,"Hospital & Health Care",,,,Jackson,MS,""
2/15/2022,"RN I-Inpatient- Adult Emergency Room-Full Time","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
2/15/2022,"Attorney II","State of Mississippi",ms.gov,"Government Administration",,,"State Capitol area",Jackson,MS,"39201"
2/15/2022,"Assistant-Patient Care II - JS MedSurg 5S MBMC","Baptist Memorial Health Care Corporation",baptistonline.org,"Hospital & Health Care",,,,Jackson,MS,""
2/17/2022,"STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Skyline Dr area",Jackson,MS,"39213"
2/17/2022,"STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Hanging Moss East area",Jackson,MS,"39206"
2/16/2022,"Physician Assistant-Clinical Trials-Patient Management-Cance...","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
2/15/2022,"RN-Nurse Practitioner - Rotating - BMG JS Administration-Cli...","Baptist Memorial Health Care Corporation",baptistonline.org,"Hospital & Health Care",,,,Jackson,MS,""
2/15/2022,"Supervisory Control Associate - Field Support Governance","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Jackson,MS,""
2/14/2022,Bartender,Chilis,chilis.com,Restaurants,,,"Northbrook area",Jackson,MS,"39206"
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Hanging Moss East area",Jackson,MS,"39206"
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Hanging Moss East area",Jackson,MS,"39206"
2/17/2022,Biostatistician,"The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Skyline Dr area",Jackson,MS,"39213"
2/17/2022,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Skyline Dr area",Jackson,MS,"39213"
