DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
02-03-2022,"HIM EHR Deficiency Analyst - HIM Clinical Documentation","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
03-03-2022,"Researcher III- Digestive Disease","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
01-03-2022,"Education Administrator - SOM - Pathology","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
01-03-2022,"Sterile Processing Educator - Perioperative Services","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
03-03-2022,"Interface Analyst/Programmer - Inter - DIS","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
01-03-2022,"Project Manager I -Office of Well-being","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
03-03-2022,"AutoCAD Electrical Drafter / Designer",Leidos,opera.org.au,"Performing Arts",,Remote,,"Remote in Jackson",MS,""
01-03-2022,"Supervisor Case Management - RN","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,"Fondren North area",Jackson,MS,"39216"
03-03-2022,"Supervisor Medical Laboratory","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,"Fondren North area",Jackson,MS,"39216"
01-03-2022,"Project Manager III - Office of Well-being","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
03-03-2022,"RN II - Acute Care","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
03-03-2022,"Manager Sterile Processing - Children's Periop","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
03-03-2022,"AutoCAD Electrical Drafter / Designer",Leidos,opera.org.au,"Performing Arts",,Remote,,"Remote in Jackson",MS,""
01-03-2022,"Director III, Sports","Nexstar Broadcasting",binghamtonhomepage.com,,,,,Jackson,MS,""
02-03-2022,"Customer Success Manager - Opportunity for Working Remotely...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Jackson",MS,""
01-03-2022,"Retail Fishing Manager","The Orvis Company",orvis.com,Retail,,,,Jackson,MS,""
02-03-2022,"Professional Coding Educator- Revenue Cycle","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
01-03-2022,Expeditor,EATON,eaton.eu,,,,"Northbrook area",Jackson,MS,"39206"
01-03-2022,"Financial Business Analyst",Leidos,opera.org.au,"Performing Arts",,,"Skyline Dr area",Jackson,MS,"39213"
01-03-2022,"Digital Marketing Specialist II","Irby Electric Supply",irby.com,Wholesale,,,,Jackson,MS,""
01-03-2022,"Financial Business Analyst",Leidos,opera.org.au,"Performing Arts",,,"Skyline Dr area",Jackson,MS,"39213"
03-03-2022,"Assistant Community Lending Manager CRA & Fair Lending","Trustmark National Bank",trustmark.com,Banking,,,"State Capitol area",Jackson,MS,"39202"
01-03-2022,"RN II - Adult Orthopedics","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
01-03-2022,"Equipment Maintenance Technician","Deployed Resources LLC",deployedresources.com,Military,,,,Jackson,MS,"39209"
03-03-2022,"VMC on AWS Sales Specialist Global Accounts Financial Servic...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Jackson",MS,""
01-03-2022,"Project Manager","Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate",,,"Skyline Dr area",Jackson,MS,"39213"
02-03-2022,"Diesel Technician","Amerit Fleet Solutions",ameritfleetsolutions.com,Automotive,,,"West Central Jackson area",Jackson,MS,"39209"
03-03-2022,"Account Manager","Allied Universal",aus.com,"Security & Investigations",,,"Alta Woods area",Jackson,MS,"39210"
03-03-2022,"Health Equity Project Manager","CDC Foundation",,,"$70,000 - $80,000 a year",Remote,,"Hybrid remote in Jackson",MS,""
02-03-2022,"FEMA Risk Map Geographic Information Systems (GIS) Technical...","Waggoner Engineering",waggonereng.com,"Civil Engineering",,,,Jackson,MS,"39211"
02-03-2022,Accountant,"Magnolia FCU",,,,,"Northbrook area",Jackson,MS,"39206"
01-03-2022,"Digital Marketing Specialist II",Irby,,,,,,Jackson,MS,""
01-03-2022,"Director of Marketing and Recruiting","Forman Watkins & Krutz Llp",,,,,"State Capitol area",Jackson,MS,"39201"
03-03-2022,"Construction Superintendent","Castle Black Construction",,,"$60,000 - $70,000 a year",,,Jackson,MS,""
02-03-2022,"Assistant Manager","1788 Chicken DBA Zaxby's",,,,,,Jackson,MS,""
03-03-2022,"MEC - Training Support Specialist","Mississippi Electronic Courts - Supreme Court of...",,,"$45,000 - $48,000 a year",,"Gallatin Street area",Jackson,MS,"39201"
