DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
23-02-2022,"Housekeeper- up to $880 Paid Weekly (Full Time)","Green Angel Cleaning Services",greenangelcleaning.com,"Individual & Family Services","$700 - $880 a week",,,"St. Louis",MO,""
23-02-2022,"Customer Service Representative - Full Time","United Airlines Inc.",united.com,Airlines/Aviation,"$15.30 an hour",,"Near North Riverfront area","St. Louis",MO,"63102"
24-02-2022,"Customer Service Representative (Onboarding) - Intermediate",Equifax,equifax.com,"Information Technology & Services","From $21 an hour",,,"St. Louis",MO,""
22-02-2022,"Unemployment Insurance Consultant",Equifax,equifax.com,"Information Technology & Services",,,,"St. Louis",MO,""
24-02-2022,"Cemetery Representative (OA)","US National Cemetery Administration",,,"$41,007 - $53,310 a year",Remote,,"Temporarily Remote in St. Louis",MO,""
22-02-2022,Transporter,"SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"St. Louis",MO,"63117"
22-02-2022,"Health Aid (Transporter)","US Veterans Health Administration",va.gov,"Government Administration","$29,290 - $38,078 a year",,,"St. Louis",MO,"63123"
24-02-2022,"Business Development Representative",Square,squareup.com,Internet,,,,"St. Louis",MO,""
24-02-2022,"Clinic Contact Center - Patient Service Agent, Full Time",Mercy,mercy.net,"Hospital & Health Care",,,,"St. Louis",MO,"63141"
23-02-2022,"Enterprise Operations Analyst",Tierpoint,tierpoint.com,"Information Technology & Services",,,"Downtown area","St. Louis",MO,"63101"
24-02-2022,"Upper School Math:","Visitation Academy",visitationacademy.org,"Primary/Secondary Education",,,,"St. Louis",MO,"63131"
24-02-2022,"Anheuser-Busch Ambassador/ Tour Guide",Anheuser-Busch,anheuser-busch.com,"Food & Beverages",,,,"St. Louis",MO,""
24-02-2022,"Customer Service Representative","ORS Nasco",orsnasco.com,Wholesale,,,"Saint Louis Place area","St. Louis",MO,"63106"
23-02-2022,"Construction Project Assistant","Color Art",color-art.com,Furniture,,,,"St. Louis",MO,"63132"
22-02-2022,"Accounting Coordinator - Student Union","Washington University in St Louis",,,"$19.56 - $30.35 an hour",,,"St. Louis",MO,"63130"
23-02-2022,"Customer Service Representative (BSC)",Equifax,equifax.com,"Information Technology & Services",,,,"St. Louis",MO,"63146"
22-02-2022,"Field Investigator","United Recovery and Remarketing",unitedautorecovery.com,Automotive,,,,"St. Louis",MO,""
