DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-05,"Staff Scientist (Entry Level)","ERM Group",erm.com,"Environmental Services","$46.9K – $59.3K a year",,,"St. Louis",MO,""
2022-03-05,"Strategic Planning Director- Meridian Subrogation Team",Anthem,anthem.com,Insurance,"$69.5K – $88.1K a year",,,"St. Louis",MO,"63103"
2022-03-05,"Grant Specialist I - OHIDS Research Administration","Washington University in St Louis",,,"$21.60 - $33.45 an hour",,"Botanical Heights area","St. Louis",MO,"63110"
2022-03-05,"Portfolio Director",Anthem,anthem.com,Insurance,"$80.4K – $102K a year",,,"St. Louis",MO,"63103"
2022-03-05,"Lead Photographer","Ukpeagvik Iñupiat Corporation/Bowhead Family of...",,,"$46.1K – $58.3K a year",,,"St. Louis",MO,""
2022-03-06,"Director, Business Enablement","Edward Jones",bahrainairport.bh,Airlines/Aviation,,,,"St. Louis",MO,""
2022-03-05,"Director, Learning Enablement, HR","Edward Jones",bahrainairport.bh,Airlines/Aviation,,,,"St. Louis",MO,""
2022-03-05,Director,"Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate",,,,"St. Louis",MO,"63141"
2022-03-05,"Director - Total Rewards","Peabody Energy",peabodyenergy.com,"Mining & Metals","$111K – $141K a year",,"Downtown area","St. Louis",MO,"63101"
2022-03-07,"ENGINEERING MANAGER II, PROCESS","Zachry Group",zachrygroup.com,Construction,"$94.4K – $120K a year",,,"St. Louis",MO,"63146"
2022-03-05,"Graphic Design Lead","Ukpeagvik Iñupiat Corporation/Bowhead Family of...",,,"$52.5K – $66.5K a year",,,"St. Louis",MO,""
2022-03-07,"Director of Finance Transformation - St. Louis, MO","Watlow Electric Manufacturing, Inc.",watlow.com,"Electrical/Electronic Manufacturing",,,,"St. Louis",MO,"63146"
2022-03-05,"Director, Demand Planning","8th Ave Food & Provisions",8ave.com,"Food Production","$63.2K – $80K a year",,,"St. Louis",MO,""
2022-03-05,"Human Resources Director","Brown & Crouppen",brownandcrouppen.com,"Legal Services","$90K – $114K a year",Remote,,"Temporarily Remote in St. Louis",MO,""
2022-03-05,"UX Architect (Expert) - Domain & Architecture Mgmt - I",Bayer,bayer.com,Chemicals,,Remote,,"Remote in St. Louis",MO,""
2022-03-05,"Associate Director-R&D",bioMérieux,,,"$110K – $139K a year",,,"St. Louis",MO,""
2022-03-05,"Director of Strategic Accounts","Netrality Data Centers",netrality.com,Telecommunications,,,"CBD Downtown area","Kansas City",MO,"64106"
2022-03-05,"Manager, Quality Assurance",CRB,,,"$83.2K – $105K a year",,"Briarcliff West area","Kansas City",MO,"64116"
2022-03-05,"Director of Finance","The American Theatre Guild",americantheatreguild.com,"Performing Arts","$90,000 - $130,000 a year",,"Western Hills area","Kansas City",MO,"64114"
2022-03-06,"Associate Vice President of Human Resources and Diversity","Noble Health Callaway Community Hospital",,,"$90,000 - $150,000 a year",,,"Kansas City",MO,"64102"
2022-03-05,"Construction Manager-Kansas City, MO.","Landmark Realty",landmarksf.com,"Real Estate","$75,000 - $100,000 a year",,"Willow Creek area","Kansas City",MO,"64114"
2022-03-05,"Study Director III - ADMET","Eurofins USA BioPharma Services",,,"$87.5K – $111K a year",,,"Saint Charles",MO,""
2022-03-05,"Director of Machine Learning Operations",Mercy,mercy.net,"Hospital & Health Care",,Remote,,"Hybrid remote in Chesterfield",MO,""
2022-03-05,"Import/Export Logistics Manager","MiTek Inc.",mii.com,Construction,"$76K – $96.2K a year",,,Chesterfield,MO,"63017"
2022-03-05,"VP & Actuary, Enterprise Risk Analytics",RGA,segurosrga.es,Insurance,"$149,250 - $227,635 a year",,,Chesterfield,MO,"63017"
