DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/12/2022,"Retail Security Officer",Securitas,securitasantias.com,"Security & Investigations","$25.4K ? $32.2K a year",,,Billings,MT,""
2/12/2022,"Outside Sales Representative","KB Commercial Products via Job Jupiter",,,"$45,000 a year",,,Billings,MT,""
2/12/2022,"Customer Service Representative","TDS Telecom",tdstelecom.com,Telecommunications,"$19.35 an hour",,"Heights area",Billings,MT,"59105"
2/12/2022,"Director of Operations","KB Commercial Products via Job Jupiter",,,"$49,500 a year",,,Billings,MT,""
2/12/2022,"Claim Specialist I (Remote Work Possible)","Billings Clinic",billingsclinic.com,"Hospital & Health Care","$27.9K ? $35.3K a year",Remote,,"Remote in Billings",MT,""
2/12/2022,"Claims Adjuster Trainee",Progressive,progressivepartnership.co.uk,"Market Research","$50,000 a year",,,Billings,MT,""
2/12/2022,"Retail Counter Sales","O'Reilly Auto Parts",oreillyauto.com,Retail,,,"North Park area",Billings,MT,"59101"
2/14/2022,"Outside Sales Representative - Billings, MT.",Sysco,sysco.com,"Food & Beverages",,,,Billings,MT,"59107"
2/13/2022,"Sales Trainee",Graybar,graybar.com,Wholesale,,,,Billings,MT,"59107"
2/13/2022,"Night Guest Laundry Attend-FT-102010","Extended Stay America",extendedstayamerica.com,Hospitality,"$23.1K ? $29.3K a year",,"Southwest Corridor area",Billings,MT,"59101"
2/12/2022,"Medical Assistant Gastroenterology","SCL Health Medical Group - Billings",,,"$16.50 - $24.88 an hour",,,Billings,MT,"59101"
2/12/2022,"Administrative Service Coordinator- HIV Services","RiverStone Health",riverstonehealth.org,"Health, Wellness & Fitness","$14.50 - $24.00 an hour",,,Billings,MT,"59101"
2/13/2022,"Registered Dietitian 1",Sodexo,sodexo.com,"Facilities Services","$55.5K ? $70.3K a year",,,Billings,MT,"59101"
2/13/2022,"Guest Services Rep Full Time-104010","Extended Stay America",extendedstayamerica.com,Hospitality,"$22.8K ? $28.8K a year",,"Southwest Corridor area",Billings,MT,"59101"
2/12/2022,"FULL TIME OIL REFINERY JANITOR","ABM Industries",marriott.com,"Computer Software","$24.2K ? $30.6K a year",,,Billings,MT,"59101"
2/12/2022,"Security Officer - Weekly Pay",Securitas,securitasantias.com,"Security & Investigations","$24.4K ? $31K a year",,,Billings,MT,""
2/12/2022,"LPN, Hospital - ICU (0.9)","Billings Clinic",billingsclinic.com,"Hospital & Health Care",,,,Billings,MT,"59101"
2/12/2022,"Outside Sales Representative","KB Commercial Products",,,"From $45,000 a year",,"Southside area",Billings,MT,"59101"
2/13/2022,"General Retail Clerk","Albertsons Safeway Companies",,,"From $13.20 an hour",,"North Park area",Billings,MT,"59101"
2/12/2022,"Experienced Workover Rig Crews","Key Energy Services",keyenergy.com,"Oil & Energy","$22 - $33 an hour",,,Billings,MT,""
2/12/2022,Optician,"Beartooth Vision Center",,,"$15 - $22 an hour",,,Billings,MT,"59102"
2/12/2022,"Sales and Training Manager - Membership","Wal-mart Sam's Club",,,,,,Billings,MT,""
2/12/2022,"Healthcare Call Center Representative - Work From Home","APS Medical Billing",apsmedbill.com,"Hospital & Health Care","$15 an hour",Remote,,"Remote in Billings",MT,""
2/12/2022,"Sales Associate","Billings K Company",,,"From $600 a week",,"Central-Terry area",Billings,MT,"59101"
2/12/2022,"Concierge/Front Desk - ONLY serious candidates need to apply","MorningStar Senior Living - Billings",,,"$13 - $15 an hour",,,Billings,MT,"59106"
2/13/2022,"Team Member","Firehouse Subs - M and R Family Restaurants",,,"$12 an hour",,,Billings,MT,"59102"
2/13/2022,"Housing Coordinator","Volunteers of America Northern Rockies",voanr.org,"Nonprofit Organization Management",,,,Billings,MT,"59101"
