DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
3/2/2022,"Business Technology Analyst - REMOTE",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Omaha",NE,""
3/3/2022,"In-Store Merchandiser",Tillys,,,,,,Omaha,NE,"68114"
3/3/2022,"Data Scientist","OTC Direct Inc",,,,Remote,,"Remote in Omaha",NE,""
3/3/2022,"Production Associate","Aramark Uniform Services",,,,,,Omaha,NE,"68124"
3/3/2022,"Service Desk Technician","Enova Group",enova-group.biz,"Electrical/Electronic Manufacturing",,,,Omaha,NE,"68138"
3/3/2022,"Assistant Service Officer","Douglas County, NE",,,"$26.01 an hour",,,Omaha,NE,"68105"
3/3/2022,"Assistant Manager",Tillys,,,,,,Omaha,NE,"68114"
3/3/2022,"Speech Language Pathologist (Substitute) for Millard Public...","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
3/3/2022,"NICU RN","CHI Health Lakeside",,,,,,Omaha,NE,"68130"
3/2/2022,"Nursing Assistant","Nebraska Methodist Health System",bestcare.org,"Hospital & Health Care",,,,Omaha,NE,"68114"
3/3/2022,Barista,"Omaha Marriott CapitolDistrict",,,,,,Omaha,NE,"68102"
3/3/2022,"Geek Squad Consultation Agent","Geek Squad",geeksquad.com,"Information Technology & Services",,,,Omaha,NE,"68114"
3/3/2022,"Family Office Philanthropy Analyst","Tenaska, Inc.",,,,,,Omaha,NE,"68154"
3/3/2022,"Road Breakdown Agent","Werner Enterprises",werner.com,Transportation/Trucking/Railroad,,,,Omaha,NE,""
3/3/2022,"Clinic RN","CHI Health Clinic",,,,,,Omaha,NE,"68130"
3/1/2022,"Assistant Band Director at Millard South High School","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
3/3/2022,Veterinarian,"Banfield Pet Hospital",banfield.com,Veterinary,,,,Omaha,NE,""
3/1/2022,"Real Estate Associate","Kutak Rock LLP",kutakrock.com,"Law Practice",,,,Omaha,NE,""
3/1/2022,"IT Help Desk Technician (Tier 1)","Midwest Laboratories",midwestlabs.com,"Environmental Services",,,,Omaha,NE,"68144"
3/1/2022,"Office Manager","Salus Workers Compensation LLC",,,,,,Omaha,NE,"68154"
3/1/2022,"Grade 5 teacher at Neihardt Elementary School","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
3/2/2022,"Fleet Clerk","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,,Omaha,NE,"68127"
3/3/2022,"Clinic OB Nurse","CHI Health Clinic",,,,,,Omaha,NE,"68124"
3/3/2022,Teller,"American National Bank",american.bank,Banking,,,,Omaha,NE,"68106"
3/3/2022,"Student Nurse Technician","CHI Health Creighton University Medical Center -...",,,,,,Omaha,NE,"68124"
