DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
24-02-2022,"Registered Nurse-Emergency Department","US Veterans Health Administration",va.gov,"Government Administration","$53,067 - $114,140 a year",,,Omaha,NE,""
23-02-2022,"Food Inspector - Up to 5K Recruitment Incentive","USDA Food Safety and Inspection Service",,,"$36,345 - $58,523 a year",,,Omaha,NE,""
23-02-2022,"Test Administrator","U.S. Military Entrance Processing Command",,,"$15.91 - $20.23 an hour",Remote,,"Temporarily Remote in Omaha",NE,""
24-02-2022,"Supervisory Transportation Security Officer","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$57,365 - $88,877 a year",,,Omaha,NE,"68110"
24-02-2022,"Medical Support Assistant-Patient Care","US Veterans Health Administration",va.gov,"Government Administration","$28,939 - $47,248 a year",,,Omaha,NE,"68105"
23-02-2022,"Secretary (10 month) at Millard West","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
23-02-2022,"Operations Assistant","Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate",,,,Omaha,NE,"68102"
24-02-2022,"Registered Nurse- Residential Rehabilitation Treatment Progr...","US Veterans Health Administration",va.gov,"Government Administration","$53,067 - $114,140 a year",,,Omaha,NE,""
23-02-2022,"Summer School Summer Literacy and Math (SLAM) Program 2022","Millard Public Schools",mpsomaha.org,"Hospital & Health Care","$34 an hour",,,Omaha,NE,""
22-02-2022,"Office Associate I","University of Nebraska Medical Center",unmc.edu,"Higher Education","$16.59 - $24.90 an hour",,,Omaha,NE,""
24-02-2022,"Health Technician - Prosthetics","US Veterans Health Administration",va.gov,"Government Administration","$45,022 - $58,523 a year",Remote,,"Temporarily Remote in Omaha",NE,""
24-02-2022,"Regional Franchise Operations Coach","Signal 88, LLC",,,,,,Omaha,NE,"68144"
24-02-2022,"Office Services Coordinator","Jackson Lewis",,,,,,Omaha,NE,"68114"
24-02-2022,"Duet, Retail Coach",Duet,duetlaguna.com,"Apparel & Fashion",,,,Omaha,NE,""
22-02-2022,"Human Resource Coordinator","NMC CAT",nmccat.com,Machinery,,,,Omaha,NE,"68138"
23-02-2022,"Development - Delivery Manager","TEAM Software by WORKWAVE",,,,Remote,,"Remote in Omaha",NE,""
22-02-2022,"Summer School - Substitute Teacher 2022","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
23-02-2022,"Summer School - Middle School at Beadle Middle School 2022","Millard Public Schools",mpsomaha.org,"Hospital & Health Care","$23.57 - $34.00 an hour",,,Omaha,NE,"68135"
22-02-2022,"Human Resource Coordinator","Enova Group",enova-group.biz,"Electrical/Electronic Manufacturing",,,,Omaha,NE,"68138"
24-02-2022,"Drug Technician (Male Only)","State of Nebraska",nebraska.gov,"Government Administration","$2,281 a month",,,Omaha,NE,""
22-02-2022,"Account Executive","Angels Care Home Health",angelscarehealth.com,"Hospital & Health Care",,,,Omaha,NE,"68154"
23-02-2022,"Summer School - High School at Millard West High School 2022","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,"68137"
22-02-2022,"Grade 4 Teacher at Aldrich Elementary","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
24-02-2022,"Merchandiser Assistant II","The Scoular Company",scoular.com,"Logistics & Supply Chain",,,,Omaha,NE,"68102"
23-02-2022,"Family & Consumer Science Teacher","Westside Community Schools",westside66.org,"Primary/Secondary Education",,,,Omaha,NE,"68114"
22-02-2022,"Grade 2 Teacher at Cottonwood Elementary","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
24-02-2022,"Job Coach",Duet,duetlaguna.com,"Apparel & Fashion",,,,Omaha,NE,""
23-02-2022,"Sixth Grade Teacher - Westbrook Elementary","Westside Community Schools",westside66.org,"Primary/Secondary Education",,,,Omaha,NE,"68114"
23-02-2022,"Latino School Enrollment Assistant","Archdiocese of Omaha",archomaha.org,"Religious Institutions",,,,Omaha,NE,"68107"
24-02-2022,"Operations Field Specialist","Signal 88, LLC",,,,,,Omaha,NE,"68144"
23-02-2022,"Social Media Coordinator","First Bank",firstbankdm.com,Banking,,,,Omaha,NE,"68164"
24-02-2022,"Social Worker- Healthcare for Homeless Veterans","US Veterans Health Administration",va.gov,"Government Administration","$55,071 - $86,615 a year",,,Omaha,NE,"68105"
22-02-2022,"Land Acquisitioner-Omaha","D.R. Horton",drhorton.com,Construction,,,,Omaha,NE,""
24-02-2022,"Technology Support Assistant",Duet,duetlaguna.com,"Apparel & Fashion",,,,Omaha,NE,""
24-02-2022,"Health Care Facility Cleaners Wanted","FBG Service Corporation",fbgservices.com,"Facilities Services","$15 - $16 an hour",,,Omaha,NE,""
24-02-2022,"8th grade English Language Arts Teacher at Central Middle Sc...","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
24-02-2022,"Entry Level Associate - Tax Credits","Kutak Rock LLP",kutakrock.com,"Law Practice",,Remote,,"Remote in Omaha",NE,""
23-02-2022,"Equipment Operator","AGC Nebraska",,,,,,Omaha,NE,"68138"
22-02-2022,"Human Resources Assistant II","Nebraska Methodist Health System",bestcare.org,"Hospital & Health Care",,,,Omaha,NE,"68118"
23-02-2022,"English teacher at Millard North High School 2022-2023","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
24-02-2022,"Medical Instrument Technician (Polysomnography)","US Veterans Health Administration",va.gov,"Government Administration","$49,860 - $64,814 a year",,,Omaha,NE,"68105"
22-02-2022,"Warehouse Assistant","NMC CAT",nmccat.com,Machinery,,,,Omaha,NE,"68138"
24-02-2022,"Data Entry Clerk","Werner Enterprises",werner.com,Transportation/Trucking/Railroad,,,,Omaha,NE,""
22-02-2022,"Operating Room Assistant","Nebraska Methodist Health System",bestcare.org,"Hospital & Health Care",,,,Omaha,NE,"68114"
24-02-2022,"Patient Billing Rep I","Nebraska Methodist Health System",bestcare.org,"Hospital & Health Care",,,,Omaha,NE,"68118"
24-02-2022,"Staff RN- Resident / Operating Room","Children's Hospital & Medical Center",childrensomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
23-02-2022,"Sales Coordinator","Marriott International, Inc",,,,,,Omaha,NE,"68114"
24-02-2022,"Middle School Technology Specialist","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
23-02-2022,Planner,"Lincoln County",lincoln.or.us,"Government Administration","$23.89 - $26.39 an hour",,,Omaha,NE,""
24-02-2022,"Sales & Design Consultant (Outside Sales)","Custom Blinds & Design",,,,,,Omaha,NE,"68130"
23-02-2022,"Construction Supervisor","AGC Nebraska",,,,,,Omaha,NE,"68138"
24-02-2022,"Full Time 12-Month HRIS Administrative Assistant","Westside Community Schools",westside66.org,"Primary/Secondary Education",,,,Omaha,NE,"68114"
22-02-2022,"Recruiter - Aureus Nursing","Aureus Nursing, LLC",,,,,,Omaha,NE,"68130"
22-02-2022,"Associate Master Data Analyst","Conagra Brands",conagrabrands.com,"Food & Beverages",,Remote,,"Hybrid remote in Omaha",NE,""
24-02-2022,"Assistant Probation Officer (Juvenile Transportation)","State of Nebraska",nebraska.gov,"Government Administration","$3,209 a month",,,Omaha,NE,""
24-02-2022,"Union Payroll Specialist - Kiewit Business Services","Kiewit Corporation",kwmjv.com,,,,,Omaha,NE,"68137"
23-02-2022,"English Teacher at Millard South High School 2022-2023","Millard Public Schools",mpsomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
22-02-2022,"Restaurant Guest Service Team Member","Noodles Omaha 132nd & Dodge",,,,,,Omaha,NE,"68154"
24-02-2022,"Sales Representative $80K+","Orkin LLC",,,"From $80,000 a year",,,Omaha,NE,"68137"
24-02-2022,"Patient Recruitment Representative (patient service & schedu...","Meridian Clinical Research",mcrmed.com,Pharmaceuticals,,,,Omaha,NE,"68134"
24-02-2022,"AP Processing Specialist - Kiewit Business Services","Kiewit Corporation",kwmjv.com,,,,,Omaha,NE,"68137"
24-02-2022,Orthotist-Prosthetist,"US Veterans Health Administration",va.gov,"Government Administration","$36,345 - $86,615 a year",,,Omaha,NE,"68105"
24-02-2022,"Research Nurse Coordinator","University of Nebraska Medical Center",unmc.edu,"Higher Education","$63,700 - $95,600 a year",,,Omaha,NE,""
22-02-2022,"Front Desk Receptionist","NEI Global Relocation",neirelo.com,"Management Consulting",,,,Omaha,NE,""
24-02-2022,"Client Coordinator Supervisor","Milan Laser Hair Removal",milanlaser.com,"Health, Wellness & Fitness","$20 an hour",,,Omaha,NE,"68134"
24-02-2022,"Account Manager, No Weekends",CarHop,carhop.com,Automotive,"$16.50 an hour",,,Omaha,NE,"68104"
22-02-2022,"Client Service Analyst","Fiserv, Inc.",banklink.com,,,,,Omaha,NE,"68154"
24-02-2022,"Customer Service Representative - Training Provided!",DialAmerica,dialamerica.com,Outsourcing/Offshoring,,,,Omaha,NE,"68127"
23-02-2022,"Supplier Support Services Specialist - Kiewit Supply Network","Kiewit Corporation",kwmjv.com,,,,,Omaha,NE,"68131"
23-02-2022,"Paraprofessional, Health Aide","Omaha Public Schools",ops.org,"Education Management",,,,Omaha,NE,"68110"
24-02-2022,"Warehouse Assistant",Ceres,ceres.tech,"Renewables & Environment",,,,Omaha,NE,"68110"
24-02-2022,"Underwriting Support Assistant (Client Interview Team)","Mutual of Omaha",mutualofomaha.com,"Financial Services","From $18 an hour",,,Omaha,NE,"68131"
24-02-2022,"Day-Time Nursery Customer Service","Grass Pad, Inc.",,,,,,Omaha,NE,"68127"
24-02-2022,"Production Shuttle Driver",Cintas,cintas.com,"Facilities Services",,,,Omaha,NE,"68110"
23-02-2022,"Science Teacher","Westside Community Schools",westside66.org,"Primary/Secondary Education",,,,Omaha,NE,"68114"
22-02-2022,"Restaurant Guest Service Team Member","Noodles Omaha 72nd and Dodge",,,,,,Omaha,NE,"68114"
24-02-2022,"Billing Clerk 2-Dedicated","Werner Enterprises",werner.com,Transportation/Trucking/Railroad,,,,Omaha,NE,""
24-02-2022,"Appointment Scheduler","CHI Health Clinic",,,,,,Omaha,NE,"68130"
22-02-2022,"Academic Advisor","Clarkson College",clarksoncollege.edu,"Higher Education",,,,Omaha,NE,"68131"
23-02-2022,"Transportation Coordinator","Werner Enterprises",werner.com,Transportation/Trucking/Railroad,,,,Omaha,NE,""
24-02-2022,"Lead Barista","Omaha Marriott CapitolDistrict",,,,,,Omaha,NE,"68102"
24-02-2022,"Assistant Online Shopping Manager","Hy-Vee, Inc.",,,,,,Omaha,NE,"68154"
24-02-2022,"Sales Consultant","Johnson Brothers Liquor Co",johnsonbrothers.com,"Wine & Spirits",,,,Omaha,NE,"68127"
22-02-2022,"Sales Area Manager-Omaha","D.R. Horton",drhorton.com,Construction,,,,Omaha,NE,""
22-02-2022,"Security Officer Patrol",Securitas,securitasantias.com,"Security & Investigations",,,,Omaha,NE,"68154"
24-02-2022,"Secretary I - GRANT FUNDED","Douglas County, NE",,,"$17.59 an hour",,,Omaha,NE,"68105"
23-02-2022,"Registered Nurse Operating Room RN","Advanced Surgery Center of Omaha",,,,,,Omaha,NE,"68102"
24-02-2022,"Campus Security Officer","University of Nebraska Medical Center",unmc.edu,"Higher Education","$18 an hour",,,Omaha,NE,""
23-02-2022,"Retail Sales Representative","Aksarben Heating, Air Conditioning, Plumbing",aksarbenars.com,"Consumer Services","Up to $25 an hour",,,Omaha,NE,"68102"
24-02-2022,"Carrier Sales Representative","Werner Enterprises",werner.com,Transportation/Trucking/Railroad,,,,Omaha,NE,""
24-02-2022,"Construction Materials Testing Technician I","Terracon Consultants, Inc.",,,,,,Omaha,NE,"68144"
22-02-2022,"Assistant Director Security",Hilton,hiltonmyersadv.com,"Advertising & Marketing, Business Services, Human Resources & Staffing, Â ... Lodging & Resorts, Hos",,,,Omaha,NE,"68102"
23-02-2022,"Patient Access Specialist - CP Admin","Children's Hospital & Medical Center",childrensomaha.org,"Hospital & Health Care",,,,Omaha,NE,""
23-02-2022,"PARTS DELIVERY DRIVER / WAREHOUSE ASSOCIATE","ONYX AUTOMOTIVE",onyxautomotive.com,,,,,Omaha,NE,"68154"
24-02-2022,"Dental Receptionist Lead","Summit Dental Health",summitdentalhealth.net,"Hospital & Health Care",,,,Omaha,NE,"68106"
23-02-2022,"System Chief Pilot","Jet Linx Aviation",jetlinx.com,Airlines/Aviation,,,,Omaha,NE,"68144"
22-02-2022,"PARTS DELIVERY DRIVER","H&H Chevrolet",hhchevy.com,,,,,Omaha,NE,"68127"
22-02-2022,"TEACHER working with at risk youth","Rite of Passage, Inc.",,,,,,Omaha,NE,"68112"
22-02-2022,"Assistant Teacher","University of Nebraska Medical Center",unmc.edu,"Higher Education","$15 an hour",,,Omaha,NE,""
24-02-2022,"Secondary ELL Teacher - Westside Middle School","Westside Community Schools",westside66.org,"Primary/Secondary Education",,,,Omaha,NE,"68114"
24-02-2022,"Call Center Representative - Essential and Hiring!",DialAmerica,dialamerica.com,Outsourcing/Offshoring,,,,Omaha,NE,"68127"
23-02-2022,"General Warehouse (Full Time)","Factory Motor Parts",factorymotorparts.com,Automotive,,,,Omaha,NE,"68164"
23-02-2022,"Histotechnologist (Trainee)","Nebraska Medicine",nebraskamed.com,"Hospital & Health Care",,,,Omaha,NE,""
22-02-2022,"Client Service Advisor","Fiserv, Inc.",banklink.com,,,,,Omaha,NE,"68154"
24-02-2022,"Room Attendant - Housekeeping","RHW Hotels",rhwhotels.com,Hospitality,,,,Omaha,NE,"68106"
23-02-2022,"Construction Laborer","AGC Nebraska",,,,,,Omaha,NE,"68138"
23-02-2022,"Instrument Tech","Advanced Surgery Center",advancedsurgeryomaha.com,"Medical Practice",,,,Omaha,NE,"68102"
22-02-2022,"Team Member","Casey's General Stores",caseys.com,"Food & Beverages",,,,Omaha,NE,"68134"
22-02-2022,"Social Worker - Part time/ Geriatric","Nebraska Medicine",nebraskamed.com,"Hospital & Health Care",,,,Omaha,NE,""
23-02-2022,"Conductores de Camiones","AGC Nebraska",,,,,,Omaha,NE,"68138"
23-02-2022,"Accounting Coordinator","Hy-Vee, Inc.",,,,,,Omaha,NE,"68138"
22-02-2022,"Onboarding Specialist","Medical Solutions, LLC",medicalsolutions.com,"Staffing & Recruiting",,,,Omaha,NE,"68164"
23-02-2022,"Student Nurse Technician","CHI Health Immanuel",,,,,,Omaha,NE,"68122"
24-02-2022,"Sterile Processing Tech I","CHI Health Creighton University Medical Center -...",,,,,,Omaha,NE,"68124"
22-02-2022,"Patient Access Rep / Medical Receptionist - Oakview Clinic",OrthoNebraska,orthonebraska.com,"Hospital & Health Care",,,,Omaha,NE,"68144"
24-02-2022,"Full Time Art Instructor","Resources For Human Development, Inc.",,,,,,Omaha,NE,"68131"
23-02-2022,"Service Advisor","Baxter Auto",baxterauto.com,Automotive,"Up to $1,000 a week",,"Elkhorn area",Omaha,NE,"68118"
22-02-2022,"Cardiac Monitor Specialist","Nebraska Methodist Health System",bestcare.org,"Hospital & Health Care",,,,Omaha,NE,"68114"
22-02-2022,"QUALITY CONTROL TECHNICIAN","H&H KIA",hhkia.com,Retail,,,,Omaha,NE,"68127"
23-02-2022,"Mec?nico de Equipos","AGC Nebraska",,,,,,Omaha,NE,""
22-02-2022,"LUXURY AUTOMOTIVE SALES","Onyx Automotive",onyxautomotive.com,,"$65,000 a year",,,Omaha,NE,"68154"
23-02-2022,"Operations Merchandise Center Manager","Oriental Trading Company",orientaltrading.com,Retail,,,,Omaha,NE,"68137"
22-02-2022,"Vice President - Financial Services","NEI Global Relocation",neirelo.com,"Management Consulting",,,,Omaha,NE,""
22-02-2022,"Counter Sales Associate","Lennox International",lennoxinternational.com,"Consumer Goods",,,,Omaha,NE,"68137"
24-02-2022,"Front Desk Agent","RHW Hotels",rhwhotels.com,Hospitality,"From $14 an hour",,,Omaha,NE,"68106"
24-02-2022,"Field Sales Representative - Omaha, NE","Springs Window Fashions",springswindowfashions.com,"Consumer Goods",,,,Omaha,NE,""
23-02-2022,"General Manager in Training","LESLIES POOLMART INC",,,,,,Omaha,NE,"68132"
23-02-2022,"Supervisores de Construccion","AGC Nebraska",,,,,,Omaha,NE,"68138"
23-02-2022,"Carpinteros de Construcci?n,AGC Nebraska",,,,,,Omaha,NE,"68138",
23-02-2022,"Assistant Manager",Leslies,,,,,,Omaha,NE,"68144"
23-02-2022,"Trabajadores de concreto","AGC Nebraska",,,,,,Omaha,NE,""
23-02-2022,"Obrero de la Construcci?n,AGC Nebraska",,,,,,Omaha,NE,"68138",
24-02-2022,"Bilingual Teller (24th & Oak) - $18/hr + 10% differential","First National Bank of Omaha",fnbo.com,Banking,"$18 an hour",,,Omaha,NE,""
24-02-2022,"Fraud & Disputes Specialist","Fiserv, Inc.",banklink.com,,,Remote,,"Hybrid remote in Omaha",NE,""
22-02-2022,"AUTOMOTIVE SALES CONSULTANT - CHEVY","H&H Chevy",,,"$56,000 a year",,,Omaha,NE,"68127"
23-02-2022,"Capas de Tuberia","AGC Nebraska",,,,,,Omaha,NE,"68138"
23-02-2022,"Pipe Layer","AGC Nebraska",,,,,,Omaha,NE,"68138"
22-02-2022,"Team Member","Casey's General Stores",caseys.com,"Food & Beverages",,,,Omaha,NE,"68116"
22-02-2022,"Team Member","Casey's General Stores",caseys.com,"Food & Beverages",,,,Omaha,NE,"68118"
22-02-2022,"Team Member","Casey's General Stores",caseys.com,"Food & Beverages",,,,Omaha,NE,"68130"
24-02-2022,"Litho Finisher (Press Support) 1st Shift","Epsen Hillmer Graphics Co",ehg.net,Printing,,,,Omaha,NE,"68144"
23-02-2022,"Cashier-Food Service Worker",Sodexo,sodexo.com,"Facilities Services",,,,Omaha,NE,"68178"
23-02-2022,"Full-Time Manager-in-Training (Assistant Manager)","Tradehome Shoe Stores, Inc.",tradehome.com,Retail,"$915 a week",,,Omaha,NE,"68118"
23-02-2022,"Pharmaceutical Sales Specialist - Primary Care - Omaha W NE",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Omaha,NE,"68198"
23-02-2022,"Security Analyst","Omaha Public Power District",oppd.com,Utilities,,,,Omaha,NE,""
22-02-2022,"PARTS DELIVERY DRIVER - KIA","H&H KIA",hhkia.com,Retail,,,,Omaha,NE,"68127"
