DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
23-02-2022,"Coord, Residence Hall","Clarkson College",clarksoncollege.edu,"Higher Education",,,,Omaha,NE,"68131"
23-02-2022,"Assistant Property Manager (Apartment Community)","Monarch Investment and Management Group",mimginvestment.com,"Commercial Real Estate","$16 - $18 an hour",,,Omaha,NE,"68134"
24-02-2022,Instructor,"University of Nebraska Medical Center",unmc.edu,"Higher Education",,,,Omaha,NE,""
24-02-2022,"Sales Representative",Ceres,ceres.tech,"Renewables & Environment",,Remote,,"Remote in Omaha",NE,""
22-02-2022,"Treasury Services Customer Support Specialist","American National Bank",american.bank,Banking,,,,Omaha,NE,"68114"
22-02-2022,"Administrative Assistant","Nebraska Methodist Health System",bestcare.org,"Hospital & Health Care",,,,Omaha,NE,"68114"
24-02-2022,"Office Associate II","University of Nebraska Medical Center",unmc.edu,"Higher Education","$18.22 - $27.36 an hour",,,Omaha,NE,""
24-02-2022,"Risk Analyst","Green Plains Inc.",,,,,,Omaha,NE,"68106"
23-02-2022,"Accounts Payable","MILLARD LUMBER Inc",millardlumber.com,"Building Materials",,,,Omaha,NE,"68137"
23-02-2022,"Financial Administrator I","University of Nebraska Medical Center",unmc.edu,"Higher Education","$53,000 - $79,500 a year",,,Omaha,NE,""
24-02-2022,"Operations Account Manager","Signal 88, LLC",,,,,,Omaha,NE,"68144"
24-02-2022,"Visual Display Assistant Manager","Nebraska Furniture Mart",nfm.com,Retail,"$46,046 - $57,122 a year",,,Omaha,NE,"68114"
24-02-2022,"Risk Analyst","Green Plains",gpreinc.com,"Renewables & Environment",,,,Omaha,NE,"68106"
24-02-2022,"Supervisor, Environmental Health","Douglas County, NE",,,"$33.39 an hour",,,Omaha,NE,"68105"
24-02-2022,"HR Coordinator",Metro,metroshipping.co.uk,"Logistics & Supply Chain","From $52,000 a year",,,Omaha,NE,"68102"
22-02-2022,"Operations Manager","Nebraska Methodist Health System",bestcare.org,"Hospital & Health Care",,,,Omaha,NE,"68118"
23-02-2022,"Warehouse Supervisor","Taylor Corporation",taylorcorporation.com,,,,,Omaha,NE,"68116"
23-02-2022,"Research Projects Manager","University of Nebraska Medical Center",unmc.edu,"Higher Education","$53,800 - $80,700 a year",,,Omaha,NE,""
