DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-26,"Inclusion Program Associate","University of Nebraska Medical Center",unmc.edu,"Higher Education","$20.19 - $30.29 an hour",,,Omaha,NE,""
2022-03-26,Researcher,"University of Nebraska Medical Center",unmc.edu,"Higher Education","$46,700 - $70,100 a year",,,Omaha,NE,""
2022-03-26,"HPTS Data Associate","University of Nebraska Medical Center",unmc.edu,"Higher Education","$16.59 - $24.90 an hour",,,Omaha,NE,""
2022-03-26,"Behavioral Health Technician Supervisor",CenterPointe,centerpointe.org,"Mental Health Care","$32.4K ? $41K a year",,,Omaha,NE,""
2022-03-27,"Employee Relations Consultant REMOTE","Banner Health",bannerhealth.com,"Hospital & Health Care",,Remote,,"Remote in Omaha",NE,""
2022-03-26,Researcher,"University of Nebraska Medical Center",unmc.edu,"Higher Education","$47,100 - $70,700 a year",,,Omaha,NE,""
2022-03-26,"Research Program Associate","University of Nebraska Medical Center",unmc.edu,"Higher Education","$18.22 - $27.36 an hour",,,Omaha,NE,""
2022-03-26,"Project Coordinator","University of Nebraska Medical Center",unmc.edu,"Higher Education","$55,800 - $83,700 a year",,,Omaha,NE,""
2022-03-26,"Comparative Medicine Training Coordinator","University of Nebraska Medical Center",unmc.edu,"Higher Education","$47,100 - $70,700 a year",,,Omaha,NE,""
2022-03-26,"Market Trainer","Aflac, Incorporated",,,"$68.7K ? $87.1K a year",,,Omaha,NE,"68114"
2022-03-26,"KIA SALES ASSOCIATE ( Pay Range $60,000 - $200,000)","H&H KIA",hhkia.com,Retail,"$60,000 - $200,000 a year",,,Omaha,NE,"68127"
2022-03-26,"Medical Front Office (Clerical & Reception)","Hanger Inc.",hanger.com,"Medical Practice","$27.5K ? $34.9K a year",,,Omaha,NE,"68114"
2022-03-26,"Behavioral Technician II","University of Nebraska Medical Center",unmc.edu,"Higher Education","$14.76 - $22.16 an hour",,,Omaha,NE,""
2022-03-25,"Business Systems Analyst (Advisor Recruiting)","Mutual of Omaha",mutualofomaha.com,"Financial Services","$49,400 - $64,220 a year",Remote,,"Remote in Omaha",NE,"68131"
2022-03-27,"Operations Manager","Waste Connections",wasteconnections.com,"Environmental Services",,,,Omaha,NE,""
2022-03-26,"Workstation Specialist I","University of Nebraska Medical Center",unmc.edu,"Higher Education","$20.58 - $30.86 an hour",,,Omaha,NE,""
2022-03-26,"BMW / MINI TECHNICIAN (Pay Range $45,000 - $140,000)","ONYX Automotive",onyxautomotive.com,,"$45,000 - $140,000 a year",,,Omaha,NE,"68154"
2022-03-26,"Husbandry Supervisor","University of Nebraska Medical Center",unmc.edu,"Higher Education","$47,100 - $70,700 a year",,,Omaha,NE,""
2022-03-26,"Research Manager","University of Nebraska Medical Center",unmc.edu,"Higher Education","$62,000 - $93,000 a year",,,Omaha,NE,""
2022-03-26,"Administrative Manager, Omaha Advancement","University of Nebraska Foundation",nufoundation.org,Fund-Raising,"$45.7K ? $57.9K a year",,,Omaha,NE,"68106"
2022-03-26,"Launch Program Manager",Spreetail,wearespreetail.com,Retail,"$62K ? $78.6K a year",Remote,,"Hybrid remote in Omaha",NE,""
2022-03-26,"Grants Administration Coordinator","University of Nebraska Medical Center",unmc.edu,"Higher Education","$47,000 - $70,500 a year",,,Omaha,NE,""
2022-03-26,"SERVICE TECHNICIAN (Pay Range $55,000 - $150, 000)","H&H Chevrolet",hhchevy.com,,"$46.7K ? $59.1K a year",,,Omaha,NE,"68127"
2022-03-26,"Operations Supervisor - Omaha, Nebraska","Convergint Technologies",,,"$57.3K ? $72.5K a year",,,Omaha,NE,"68137"
2022-03-26,"Grants Finance Associate","University of Nebraska Medical Center",unmc.edu,"Higher Education","$20.19 - $30.29 an hour",,,Omaha,NE,""
2022-03-26,"Customer Experience Manager","Five Below",fivebelow.com,Retail,,,,Omaha,NE,"68137"
2022-03-26,"Remote Analyst Member Experience Insights - Omaha Nebraska","PenFed Credit Union",penfed.org,"Financial Services",,Remote,,"Remote in Omaha",NE,"68164"
2022-03-26,"Analyst ll, Credit Risk","First National Bank of Omaha",fnbo.com,Banking,"$47.8K ? $60.6K a year",,,Omaha,NE,""
2022-03-26,"Assistant Office Manager","Aspen Dental",aspendent.com,"Health, Wellness & Fitness",,,,Omaha,NE,"68132"
2022-03-26,"Leasing Manager","Willowick Residential",willowick.com,"Real Estate","$28.9K ? $36.5K a year",,,Omaha,NE,""
2022-03-26,"Automotive Technology Instructor (Chrysler Program)","Metropolitan Community College",mccneb.edu,"Higher Education","$78,445 - $98,065 a year",,,Omaha,NE,"68110"
2022-03-26,"Application Development Leader","Orion Advisor Solutions",orion.com,"Financial Services","$87.1K ? $110K a year",,,Omaha,NE,""
2022-03-27,"Store Manager Unassigned",WALGREENS,walgreens.com,Retail,,,,Omaha,NE,"68106"
2022-03-26,"Store Manager - 4005","Five Below",fivebelow.com,Retail,,,,Omaha,NE,"68137"
2022-03-26,"Lead CDI Specialist","Conifer Health Solutions",coniferhealth.com,"Hospital & Health Care",,,,Omaha,NE,""
2022-03-26,"BIM Specialist - Electrical",Microdesk,microdesk.com,"Computer Software","$66.4K ? $84K a year",,,Omaha,NE,""
2022-03-25,"Business Analyst, Decision Management - Omaha Nebraska","PenFed Credit Union",penfed.org,"Financial Services",,,,Omaha,NE,"68164"
2022-03-27,"Client Support Representative","Fiserv, Inc.",banklink.com,,,,,Omaha,NE,"68154"
2022-03-26,"Assistant Branch Manager",ACCESSbank,accessbank.com,Banking,"$18.03 - $27.02 an hour",,,Omaha,NE,"68105"
2022-03-25,"Crisis Manager Business Resiliency - Omaha Nebraska","PenFed Credit Union",penfed.org,"Financial Services",,,,Omaha,NE,"68164"
2022-03-26,"Salesforce Technical Architect - Remote","Eagle Creek Software Services",eaglecrk.com,"Information Technology & Services","$128K ? $162K a year",Remote,,"Remote in Omaha",NE,""
2022-03-26,"Medication Access Coordinator (Experienced Pharmacy Tech)","Nebraska Medicine",nebraskamed.com,"Hospital & Health Care","$32.1K ? $40.7K a year",,,Omaha,NE,""
2022-03-26,"Internal Wholesaler Manager","Pacific Life",ichnossciences.com,Biotechnology,,,,Omaha,NE,"68106"
2022-03-26,"Instructional Technology Specialist","University of Nebraska Medical Center",unmc.edu,"Higher Education","$52,200 - $78,300 a year",,,Omaha,NE,""
2022-03-26,"Internal Audit Administrator/Internal Audit Manager","National Indemnity Company",nationalindemnity.com,Insurance,"$80.8K ? $102K a year",,,Omaha,NE,""
2022-03-28,"Account Executive","Reynolds and Reynolds",reyrey.com,"Computer Software","$80,000 a year",,,Omaha,NE,"68101"
2022-03-26,"Data and Analytics Consultant - Remote/WFH Option","KiZAN Technologies",kizan.com,"Information Technology & Services","$79.9K ? $101K a year",Remote,,"Remote in Omaha",NE,""
2022-03-25,"Development Manager (Fundraising)","JDRF International",jdrf.org,Fund-Raising,"$61.9K ? $78.3K a year",,,Omaha,NE,""
2022-03-27,"Workday Report Developer REMOTE","Banner Health",bannerhealth.com,"Hospital & Health Care",,Remote,,"Remote in Omaha",NE,""
2022-03-26,"Marketing Coordinator (Hybrid/Remote - Omaha Metro)","First National Bank of Omaha",fnbo.com,Banking,"$45.2K ? $57.2K a year",Remote,,"Remote in Omaha",NE,""
2022-03-26,"Shipping and Receiving Supervisor","James Skinner Baking Company",skinnerbaking.com,"Food Production","$52.7K ? $66.7K a year",,,Omaha,NE,"68117"
2022-03-26,"Special Events Producer","LovelySkin and Skin Specialists",lovelyskin.com,Cosmetics,"$47.8K ? $60.6K a year",,,Omaha,NE,"68144"
2022-03-26,"Member/Customer Services Advocate STARTING PAY $20 per hour!...","AAA Life Insurance Company",aaalife.com,Insurance,,,,Omaha,NE,""
2022-03-26,"Store Leader","LovelySkin and Skin Specialists",lovelyskin.com,Cosmetics,"$41.7K ? $52.7K a year",,,Omaha,NE,"68144"
2022-03-26,"Machine Operator","Liberty Diversified International",libertydiversified.com,"Packaging & Containers","$18 an hour",,,Omaha,NE,""
2022-03-26,"Transportation Team Leader","JEO Consulting Group",jeo.com,"Civil Engineering","$81.3K ? $103K a year",,,Omaha,NE,"68154"
2022-03-26,"Dunkin' Multi Unit Leader (MUL)","Berliner Group LLC (DBA: Dunkin Donuts)",,,"From $60,000 a year",,,Omaha,NE,""
2022-03-26,"Workforce Systems Analyst","AAA Life Insurance Company",aaalife.com,Insurance,,,,Omaha,NE,""
2022-03-26,"Learning and Development Specialist ? 1st Shift","Airlite Plastics",airliteplastics.com,Plastics,"$49.1K ? $62.1K a year",,,Omaha,NE,"68110"
2022-03-26,"Inside Insurance Sales Representative STARTING PAY $20 pr/hr...","AAA Life Insurance Company",aaalife.com,Insurance,,,,Omaha,NE,""
2022-03-26,"Supervisor/Delivery Driver","Piccolo's Florist",,,"$28K ? $35.4K a year",,,Omaha,NE,"68134"
2022-03-26,"Production Supervisor","James Skinner Baking Company",skinnerbaking.com,"Food Production","$49.4K ? $62.6K a year",,,Omaha,NE,"68117"
2022-03-26,"Compliance Specialist III","AAA Life Insurance Company",aaalife.com,Insurance,,Remote,,"Hybrid remote in Omaha",NE,""
2022-03-27,"Store Manager","Tip Top Tux LLC",tttux.com,"Apparel & Fashion","$43.7K ? $55.3K a year",,,Omaha,NE,"68118"
2022-03-25,"Therapy Program Manager","Encore Rehabilitation Services",,,,,,Omaha,NE,"68114"
2022-03-25,"Territory Sales Manager","Thrasher, Inc",thrasherbasement.com,,"$80,000 - $150,000 a year",,,Omaha,NE,""
2022-03-28,Handyman,"Handyman Connection of West Omaha, NE",,,"Up to $1,500 a week",,,Omaha,NE,"68124"
2022-03-26,"Corporate Attorney","Fraser Stryker PC LLO",,,"From $105,000 a year",,,Omaha,NE,"68102"
2022-03-26,"Quality Child Care Partnership Specialist - Spanish Bilingua...","Nebraska Early Childhood Collaborative",nebraskaearly.org,"Nonprofit Organization Management","$38.6K ? $48.8K a year",,,Omaha,NE,"68102"
2022-03-28,"Associate Project Manager - IT","Lakeshore-Denver CO",,,"$95,000 a year",,,Omaha,NE,""
2022-03-26,"Automotive Service Advisor","Brakes Plus",brakesplus.com,Automotive,"$39.1K ? $49.5K a year",,,Omaha,NE,""
2022-03-26,"Water / Wastewater Practice Manager","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$86K ? $109K a year",,,Omaha,NE,""
2022-03-26,"RN Admissions Home Health Full Time","Kindred At Home",kindredhealthcare.com,"Hospital & Health Care",,,,Omaha,NE,""
2022-03-26,"Transportation Project Manager","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$78.5K ? $99.5K a year",,,Omaha,NE,""
2022-03-26,"Maintenance Tech","Liberty Diversified International",libertydiversified.com,"Packaging & Containers","$52.6K ? $66.6K a year",,,Omaha,NE,""
2022-03-26,"Electrical Designer","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$70.2K ? $89K a year",,,Omaha,NE,""
2022-03-26,"Business Technology Consultant (Omaha Outside B2B Technology...","ACP (All Copy Products) & Verticomm (A division of...",,,"$60,000 - $100,000 a year",,,Omaha,NE,""
2022-03-26,"Territory Manager ?Trailers ? North Central",Brandt,brandtbrasil.com,Agriculture,,,,Omaha,NE,"68101"
2022-03-26,"Paralegal - Estates and Trusts","Baird Holm LLP",bairdholm.com,"Law Practice","$50.9K ? $64.5K a year",,,Omaha,NE,"68102"
2022-03-26,"Commercial Lines Account Executive in Omaha and Lincoln","SilverStone Group, LLC-Omaha",,,"$68.2K ? $86.4K a year",,,Omaha,NE,"68154"
2022-03-26,"Construction Foreman",Numotion,numotion.com,"Medical Devices","$48.7K ? $61.7K a year",,,Omaha,NE,"68127"
2022-03-28,"Home Improvement Contractor","Handyman Connection of West Omaha, NE",,,"Up to $1,500 a week",,,Omaha,NE,"68124"
2022-03-26,"Home Health Clinical Liaison (RN/LPN)","Kindred At Home",kindredhealthcare.com,"Hospital & Health Care",,,,Omaha,NE,""
2022-03-26,"Area Manager","STAKE CENTER LOCATING LLC",stakecenter.com,Utilities,"$47.7K ? $60.5K a year",,,Omaha,NE,"68102"
2022-03-26,"LPN, Home Health Full Time","Kindred At Home",kindredhealthcare.com,"Hospital & Health Care",,,,Omaha,NE,""
2022-03-26,"Survey Field Crew Chief","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$42K ? $53.2K a year",,,Omaha,NE,""
2022-03-26,"Grant Accountant","Lutheran Family Services of NE, Inc.",,,"$52.8K ? $66.8K a year",Remote,,"Hybrid remote in Omaha",NE,"68131"
2022-03-26,"Quality Assurance Supervisor","James Skinner Baking Company",skinnerbaking.com,"Food Production","$50.7K ? $64.3K a year",,,Omaha,NE,"68117"
2022-03-26,"Survey CADD Technician","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$51.5K ? $65.3K a year",,,Omaha,NE,""
2022-03-26,"Marketing Copywriter",Proxibid,proxibid.com,"Information Technology & Services","$49.4K ? $62.6K a year",,,Omaha,NE,"68127"
2022-03-26,"Commercial Refrigeration Technician","Tech Masters",tech-masters.com,Chemicals,"$25 - $35 an hour",,,Omaha,NE,""
2022-03-26,"Property Manager","Raintree Apartments",glenwoodapt.com,"Real Estate","$35.9K ? $45.5K a year",,,Omaha,NE,"68154"
2022-03-26,"Maintenance Supervisor","Burlington Capital Properties",burlingtoncapitalproperties.com,"Real Estate","$43.1K ? $54.5K a year",,,Omaha,NE,"68106"
2022-03-26,"Production Control Manager","Graphic Packaging International",graphicpkg.com,"Packaging & Containers",,,,Omaha,NE,""
2022-03-26,"Mechanical Piping Designer","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$53.2K ? $67.4K a year",,,Omaha,NE,""
2022-03-26,"Field Service Technician","MPW Industrial Services",mpwservices.com,"Facilities Services","$61.2K ? $77.6K a year",,,Omaha,NE,""
2022-03-25,"Solutions Architect - Manufacturing","IMAGINiT Technologies",imaginit.com,"Computer Software","$60.4K ? $76.4K a year",,,Omaha,NE,""
2022-03-26,"Die Cutting Operator","Graphic Packaging International",graphicpkg.com,"Packaging & Containers",,,,Omaha,NE,""
2022-03-26,"Operations Manager","James Skinner Baking Company",skinnerbaking.com,"Food Production","$72K ? $91.2K a year",,,Omaha,NE,"68117"
2022-03-26,"Purchasing Manager","LovelySkin and Skin Specialists",lovelyskin.com,Cosmetics,"$61.2K ? $77.4K a year",,,Omaha,NE,"68144"
2022-03-26,"Purchasing Manager","LovelySkin and Skin Specialists",lovelyskin.com,Cosmetics,"$61.2K ? $77.4K a year",,,Omaha,NE,"68144"
2022-03-28,"Clinical Care Leader - FT Days","Good Samaritan Society",good-sam.com,"Hospital & Health Care","$32 - $48 an hour",,,Omaha,NE,"68137"
2022-03-26,"OSP Construction Inspector","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$46K ? $58.2K a year",,,Omaha,NE,""
2022-03-25,"Diesel Technician (All locations)","Woodhouse Auto Family",,,"$52.7K ? $66.7K a year",,,Omaha,NE,""
2022-03-26,"ROW and Clearing Inspector","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$31.7K ? $40.1K a year",,,Omaha,NE,""
2022-03-26,"OSP Construction Inspector Supervisor","Wilson & Company, Inc., Engineers & Architects",wilsonco.com,"Civil Engineering","$55.3K ? $70.1K a year",,,Omaha,NE,""
2022-03-25,"Certified Technician (All Locations)","Woodhouse Auto Family",,,"$43.5K ? $55.1K a year",,,Omaha,NE,""
2022-03-26,"Automotive Technology Instructor (Chrysler Program)","Metropolitan Community College",mccneb.edu,"Higher Education","$78,445 - $98,065 a year",,,Omaha,NE,"68110"
2022-03-26,"PROMOTIONS DIRECTOR - KOLN/KSNB","Gray Television",gray.tv,"Broadcast Media",,,"Hartley area",Lincoln,NE,"68503"
2022-03-26,"Library Administrative Aide II","City of Lincoln/Lancaster County",,,,,,Lincoln,NE,"68501"
2022-03-26,"Instructor, Computer Information Technology","Southeast Community College",southeast.edu,"Higher Education","$50,100 a year",,"South 48th Street area",Lincoln,NE,"68510"
2022-03-26,"Assistive Technology Specialist (Program Specialist II)","State of Nebraska",nebraska.gov,"Government Administration","$22.17 - $25.86 an hour",Remote,,"Hybrid remote in Lincoln",NE,""
2022-03-26,"State Network Coordinator","State of Nebraska",nebraska.gov,"Government Administration","$32.09 an hour",,"Downtown area",Lincoln,NE,"68508"
2022-03-26,"RN NICU","CHI Health Saint Elizabeth",,,,,"South 48th Street area",Lincoln,NE,"68510"
2022-03-26,"Foster Care Supervisor - Lincoln","Christian Heritage",christianheritage.org.uk,"Religious Institutions","$42.3K ? $53.5K a year",,,Lincoln,NE,""
2022-03-26,"Trust Operations Specialist","Union Bank and Trust Company",ubt.com,"Financial Services","$34.6K ? $43.8K a year",,,Lincoln,NE,"68512"
2022-03-28,"Production Superintendent","Continental AG",continental.com,Automotive,,,"University Place area",Lincoln,NE,"68504"
2022-03-26,"Launch Program Manager",Spreetail,wearespreetail.com,Retail,"$62K ? $78.6K a year",Remote,,"Hybrid remote in Lincoln",NE,"68508"
2022-03-25,"Consultant, Security Practice - Opportunity for Working Remo...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Lincoln",NE,""
2022-03-26,"Irrigation Technician","University of Nebraska",nebraska.edu,"Higher Education","$34.3K ? $43.5K a year",,,Lincoln,NE,""
2022-03-28,"Account Executive","Reynolds and Reynolds",reyrey.com,"Computer Software","$80,000 a year",,,Lincoln,NE,"68501"
2022-03-26,"Data and Analytics Consultant - Remote/WFH Option","KiZAN Technologies",kizan.com,"Information Technology & Services","$79.9K ? $101K a year",Remote,,"Remote in Lincoln",NE,""
2022-03-27,"Supervisor - Product & Process Industrialization Engineering","Continental AG",continental.com,Automotive,,,"University Place area",Lincoln,NE,"68504"
2022-03-26,"RN LDRP & Nursery","CHI Health Saint Elizabeth",,,,,"South 48th Street area",Lincoln,NE,"68510"
2022-03-26,"Art Director","Signature Championship Rings",signaturechampions.com,Retail,"From $68,000 a year",,"South 48th Street area",Lincoln,NE,"68506"
2022-03-26,"Early Childhood Education Assistant Site Coordinator","Community Action Partnership Lancaster and...",caplanc.org,"Nonprofit Organization Management","$20.51 an hour",Remote,,"Remote in Lincoln",NE,""
2022-03-26,"Applications Analyst (100% Remote - Nebraska Residents Only)","Golden 1 Credit Union",golden1.com,Banking,,Remote,,"Remote in Lincoln",NE,""
2022-03-28,"District Manager","Bling Inc.",blingglamour.com,"Apparel & Fashion","From $45,000 a year",,,Lincoln,NE,""
2022-03-26,"Chapter Advancement Administrator (Hybrid - Remote/Onsite)","Youth For Christ USA",,,"$64.2K ? $81.4K a year",Remote,,"Hybrid remote in Lincoln",NE,"68516"
2022-03-26,"Sale Manager - Lincoln","Underground Printing",undergroundshirts.com,"Apparel & Fashion","$45,000 - $60,000 a year",,"Downtown area",Lincoln,NE,"68508"
2022-03-26,"Construction Site Superintendent","K2 Construction LLC",k2gc.com,Construction,"$71.8K ? $91K a year",,,Lincoln,NE,"68507"
2022-03-26,"Department Manager General Merchandise I - U of Nebraska Lin...","Follett Corporation",follett.com,Retail,,,"Everett area",Lincoln,NE,"68502"
2022-03-28,"Graphic Designer","BVH Architecture",bvh.com,"Architecture & Planning","$55,000 - $65,000 a year",,,Lincoln,NE,""
2022-03-26,"Business Solutions Consultant (Lincoln Outside Sales - B2B)","ACP (All Copy Products) & Verticomm (A division of...",,,"$60,000 - $100,000 a year",,,Lincoln,NE,""
