DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-11-29,"Supervisor Flight Attendants","Southwest Airlines",southwest.com,Airlines/Aviation,,,"McCarran International Airport area)","Las Vegas",NV,"89119"
2022-11-29,"Workers Compensation Claims Specialist","Liberty Mutual Insurance",libertymutualgroup.com,Insurance,"$57,500 - $63,901 a year",,"Westgate area)","Las Vegas",NV,"89044"
2022-11-30,"Process Assistant","Amazon.com Services LLC",amazon.com,Internet,,,,"Las Vegas",NV,""
2022-11-29,"PAYMENT OPERATIONS ASSOCIATE",DraftKings,draftkings.com,Internet,"estimated $54.9k - $69.5k a year",,"Enterprise area)","Las Vegas",NV,"89119"
2022-11-29,"Administrative Officer","U.S. Fish and Wildlife Service",fws.gov,"Government Administration","$55,692 - $72,401 a year",Remote,,"Temporarily Remote in Las Vegas",NV,""
2022-11-29,"Overnight Security Supervisor","Four Seasons",fourseasons.com,Hospitality,"estimated $47.5k - $60.2k a year",,"Spring Valley area)","Las Vegas",NV,"89147"
2022-12-01,"First Officer-Military Pathway Program","Allegiant Airlines",,,,,,"Las Vegas",NV,""
2022-12-01,"911 Professional I (Formerly Communications Specialist Trainee)","Las Vegas Metropolitan Police Department",lvmpd.com,"Law Enforcement","$49,768 - $73,669 a year",,,"Las Vegas",NV,""
2022-12-01,"Police Recruit","Las Vegas Metropolitan Police Department",lvmpd.com,"Law Enforcement","$58,947 - $83,907 a year",,"Lone Mountain area)","Las Vegas",NV,"89129"
2022-11-29,"Nightclub Surveillance Specialist","Wynn Las Vegas",wynndevelopment.com,,"estimated $40k - $50.7k a year",,,"Las Vegas",NV,""
2022-11-30,"Security Officer - Wildfire on Fremont","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"Security Officer - Red Rock","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"Lucky VIP Attendant - Red Rock","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-11-29,"Bartender - Wildfire on Fremont","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"Unmanned Aerial Systems Specialist (Drone Pilot)","Las Vegas Metropolitan Police Department",lvmpd.com,"Law Enforcement","$60,621 - $89,733 a year",,,"Las Vegas",NV,""
2022-12-01,"Inventory Control Clerk - Red Rock","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-11-29,"Technical Claims Spec II- Workers Compensation","Liberty Mutual Insurance",libertymutualgroup.com,Insurance,"$85,500 - $107,800 a year",,"Westgate area)","Las Vegas",NV,"89044"
2022-11-29,"Purchase Order Clerk/Data Entry","The Siegel Group",siegelcompanies.com,"Real Estate","estimated $28.2k - $35.7k a year",,,"Las Vegas",NV,"89169"
2022-11-29,"Assistant Editor - Desert Companion","Las Vegas, NV 89146 (Buffalo area)",,,,,,,,""
2022-11-29,"Manager - Executive Meetings","Wynn Las Vegas",wynndevelopment.com,,"estimated $71.8k - $90.9k a year",,,"Las Vegas",NV,""
2022-12-01,"Manager - Payroll & Scheduling - Catering & Banquets","Wynn Las Vegas",wynndevelopment.com,,"estimated $55.6k - $70.4k a year",,,"Las Vegas",NV,""
2022-12-01,"Culinary Trainee","Wynn Las Vegas",wynndevelopment.com,,"estimated $37.3k - $47.3k a year",,,"Las Vegas",NV,""
2022-11-30,"Administrative Assistant","Haynie & Company",hayniecpas.com,Accounting,"from $37,500 a year",,,"Las Vegas",NV,""
2022-12-01,"Inventory Control Coordinator - Caesars Palace","Encore Global",encoreglobal.com,"Events Services",,,,"Las Vegas",NV,""
2022-12-01,"Executive Casino Host - Palace Station","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-11-29,"Master Control Tech, KTNV","The E.W. Scripps Company",scripps.com,"Media Production","estimated $39.1k - $49.5k a year",,,"Las Vegas",NV,""
2022-11-30,"Steakhouse Hostperson/Cashier - Boulder","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"Seasonal Warehouse Associate",Sephora,sephora.ch,,"estimated $32.1k - $40.7k a year",,,"Las Vegas",NV,"89115"
2022-11-30,"2022-2023 Counselor-HAYES, KEITH KAREN ES","Clark County School District",clarkcountyschools161.org,,"estimated $55.2k - $69.9k a year",,"Spring Valley area)","Las Vegas",NV,"89147"
2022-11-30,"Employment Recruiter","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-11-30,"Overnight Front Desk Receptionist","Four Seasons",fourseasons.com,Hospitality,"estimated $34.1k - $43.2k a year",,"Spring Valley area)","Las Vegas",NV,"89147"
2022-12-01,"Rigger - Mandalay Bay","Encore Global",encoreglobal.com,"Events Services",,,,"Las Vegas",NV,""
2022-11-30,"Law Clerk - Consumer Rights Project","Legal Aid Center of Southern Nevada(LACSN)",lacsn.org,"Legal Services","estimated $38.3k - $48.5k a year",,"Downtown area)","Las Vegas",NV,""
2022-11-30,"Supervisor - Workforce Management - Mandalay Bay","MGM Resorts International",mgmresorts.com,Hospitality,"estimated $63k - $79.8k a year",,,"Las Vegas",NV,"89119"
2022-11-30,"Inventory Control Administrator","Arroweye Solutions Inc",,,"$18 - $20 an hour",,"Paradise area)","Las Vegas",NV,"89119"
2022-11-30,"Purchasing Technician","Regional Transportation Commission of Southern...",rtcsnv.com,Transportation/Trucking/Railroad,"$53,643 a year",,"Downtown area)","Las Vegas",NV,"89106"
2022-12-01,"Loan Servicing Team Lead","Axos Bank",meqf.com,"Financial Services",,,"Spring Valley area)","Las Vegas",NV,"89148"
2022-11-29,"R & S Writer - Wildfire on Fremont","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-11-29,"Lead Program Support Assistant","US Veterans Health Administration",va.gov,"Government Administration","$45,530 - $59,184 a year",,,"Las Vegas",NV,""
2022-11-30,"Ground Support Equipment Technician - Las Vegas",JSX,jsx.com,Airlines/Aviation,"$25 - $29 an hour",,"McCarran International Airport area)","Las Vegas",NV,"89119"
2022-12-01,"Store Loss Prevention Investigator",Sephora,sephora.ch,,"estimated $35.9k - $45.4k a year",,"The Strip area)","Las Vegas",NV,"89109"
2022-11-29,"PRESS Assistant Manager","Four Seasons",fourseasons.com,Hospitality,"estimated $45.4k - $57.4k a year",,"Spring Valley area)","Las Vegas",NV,"89147"
2022-11-29,"Wedding Chapel Coordinator - Aria","MGM Resorts International",mgmresorts.com,Hospitality,"estimated $41.6k - $52.6k a year",,"The Strip area)","Las Vegas",NV,"89158"
2022-11-30,"TDR Attendant - Team Dining Room -Boulder","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"HERO Emerging Store Manager (Military & Veterans)",WALGREENS,walgreens.com,Retail,,,"The Strip area)","Las Vegas",NV,"89109"
2022-11-30,"Starbucks Barista - GVR","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"Newborn Hearing Screen Technician",Mednax,mednax.com,"Hospital & Health Care",,,"Angel Park Lindell area)","Las Vegas",NV,"89145"
2022-11-30,"Casino Cage Cashier Level II - Santa Fe","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"Police Dispatcher Professional (Formerly Communications Specialist II)","Las Vegas Metropolitan Police Department",lvmpd.com,"Law Enforcement","$57,723 - $85,445 a year",,,"Las Vegas",NV,""
2022-12-01,"Registrar Analyst, University Registrar","University of Nevada, Las Vegas",unlv.edu,"Higher Education","estimated $44.3k - $56.1k a year",,"Paradise area)","Las Vegas",NV,"89154"
2022-12-01,"Head Golf Professional","Arcis Golf",arcisgolf.com,Hospitality,"estimated $41.1k - $52k a year",,,"Las Vegas",NV,""
2022-11-30,"Ramp Customer Service (Las Vegas)",JSX,jsx.com,Airlines/Aviation,"$18.25 an hour",,"McCarran International Airport area)","Las Vegas",NV,"89119"
2022-11-30,"Experienced Associate - Financial Consulting Gaming & Hospitality","RSM US LLP",rsmus.com,Accounting,"estimated $72.8k - $92.1k a year",,,"Las Vegas",NV,"89135"
2022-11-30,"Glo Las Vegas Community Manager","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,"Las Vegas",NV,""
2022-11-29,"Claims Representative (IAP) - Workers Compensation Training Program",Sedgwick,sedgwick.com,Insurance,,,,"Las Vegas",NV,""
2022-11-30,"Valet Attendant - Palace","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"Shop Support (N. Las Vegas, NV)","RoadSafe Traffic Systems, Inc.",roadsafetraffic.com,Construction,"estimated $35.4k - $44.8k a year",,,"Las Vegas",NV,"89139"
2022-11-29,"Customer Support Specialist",Order,,,"estimated $36.7k - $46.4k a year",,,"Las Vegas",NV,""
2022-11-30,"Vehicle Acquisition Specialist","AutoNation Nissan Las Vegas",autonationnissanlasvegas.com,"Individual & Family Services","estimated $41.6k - $52.6k a year",,"Buffalo area)","Las Vegas",NV,"89146"
2022-12-01,"Corrections Recruit","Las Vegas Metropolitan Police Department",lvmpd.com,"Law Enforcement","$58,947 - $83,907 a year",,,"Las Vegas",NV,"89115"
2022-12-01,"Internal Auditor (Day Close Auditor)","Green Valley Grocery",gvgrocery.com,Retail,"estimated $30.9k - $39.1k a year",,"Buffalo area)","Las Vegas",NV,"89146"
2022-11-30,"Analyst Tel Business Operations","Hilton Grand Vacations",hiltongrandvacations.com,Hospitality,"estimated $46.1k - $58.4k a year",,,"Las Vegas",NV,""
2022-12-01,"Lead Rigger - The Cosmopolitan","Encore Global",encoreglobal.com,"Events Services",,,,"Las Vegas",NV,""
2022-11-29,"Geek Squad Advanced Repair Agent","Geek Squad",geeksquad.com,"Information Technology & Services",,,"Paradise area)","Las Vegas",NV,"89119"
2022-11-30,"Runner Materials - Mandalay Bay","MGM Resorts International",mgmresorts.com,Hospitality,"estimated $35.6k - $45k a year",,,"Las Vegas",NV,"89119"
2022-12-01,"Center Based QRIS Coach (Quality Rating and Improvement System)","The Children's Cabinet",childrenscabinet.org,"Nonprofit Organization Management","$21 an hour",,"Spring Valley area)","Las Vegas",NV,"89118"
2022-11-29,"Accounting Group Coordinator - Red Rock","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-11-29,"2022-2022 - GRADE 2 TEACHER - ROGERS ES","Clark County School District",clarkcountyschools161.org,,"estimated $49.5k - $62.7k a year",,"Spring Valley area)","Las Vegas",NV,"89148"
2022-12-01,"Territory Sales Representative","Cox Communications Inc",coxenterprises.com,Telecommunications,"$81,701 a year",,,"Las Vegas",NV,""
2022-11-30,"Law Clerk - Guardianship Advocacy Project","Legal Aid Center of Southern Nevada(LACSN)",lacsn.org,"Legal Services","estimated $37k - $46.9k a year",,"Downtown area)","Las Vegas",NV,""
2022-11-30,"Sephora Manager- 5#1794 Las Vegas",JCPenney,cjpenney.com,,,,"Rancho Charleston area)","Las Vegas",NV,"89107"
2022-12-01,"Customer Service Representative - Las Vegas","TELUS International",telusinternational.com,"Information Technology & Services","$15 - $18 an hour",,"Buffalo area)","Las Vegas",NV,"89102"
2022-12-01,"Customer Service Representative II","Global Payments",globalpayments.com,"Financial Services","estimated $27.1k - $34.3k a year",,"Summerlin North area)","Las Vegas",NV,"89128"
2022-12-01,"Business Systems Analyst",Deloitte,deloitte.com,"Management Consulting","estimated $77.3k - $97.8k a year",,"Paradise area)","Las Vegas",NV,"89169"
2022-12-01,"Shipping Specialist V - Lead","Light & Wonder",,,"estimated $35.5k - $44.9k a year",,"Enterprise area)","Las Vegas",NV,"89119"
2022-12-01,"Warehouse Associate - Las Vegas","Encore Global",encoreglobal.com,"Events Services",,,,"Las Vegas",NV,""
2022-12-01,"Customer Support Admin","Caesars Entertainment",caesars.com,Hospitality,"estimated $32.3k - $40.9k a year",,,"Las Vegas",NV,""
2022-12-01,"Armed Driver Guard","Loomis Armored US, LLC",loomis.com,Transportation/Trucking/Railroad,"$17.50 an hour",,,"Las Vegas",NV,""
2022-12-01,"Cafe Hostperson/Cashier - Red Rock","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2022-12-01,"Slot Technician - Crawford Coin","Green Valley Grocery",gvgrocery.com,Retail,"estimated $29.1k - $36.8k a year",,"Buffalo area)","Las Vegas",NV,"89146"
2022-12-01,"Slot Technician - Crawford Coin","Green Valley Grocery",gvgrocery.com,Retail,"estimated $29.1k - $36.8k a year",,"Buffalo area)","Las Vegas",NV,"89146"
