DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-02-19,"Social Media Investigator","DigiStream Investigations, Inc.",,,"$17 - $20 an hour",,,"Las Vegas",NV,""
2022-02-19,"OFFICE SPECIALIST II - SOUTHEAST CAREER TECH ACADEMY","Clark County School District",clarkcountyschools161.org,,,,,"Las Vegas",NV,"89120"
2022-02-19,"CUSTODIAN - SOUTHEAST CAREER TECH ACADEMY","Clark County School District",clarkcountyschools161.org,,,,,"Las Vegas",NV,"89120"
2022-02-20,"Social Worker (PACT)","US Veterans Health Administration",va.gov,"Government Administration","$55,692 - $87,593 a year",,,"Las Vegas",NV,""
2022-02-19,"Mornings Shifts","First Cup LLC",,,"$24.4K – $31K a year",,,"Las Vegas",NV,"89103"
2022-02-21,"Order Selector (Part-time)","Nicholas and Company",nicholasandco.com,"Food & Beverages","$18 an hour",,,"Las Vegas",NV,"89115"
2022-02-19,"Gaming Application Specialist","SAHARA Las Vegas",saharalasvegas.com,Hospitality,"$34K – $43K a year",,,"Las Vegas",NV,""
2022-02-20,"Live Proctor (On Site)","PSI Services LLC",psionline.com,"Information Technology & Services","$27.9K – $35.3K a year",,,"Las Vegas",NV,"89121"
2022-02-19,"Director of Admissions (Full Time)","The Heights of Summerlin - BQJV",,,,,"Summerlin North area","Las Vegas",NV,"89144"
2022-02-19,"2022-2023 - ENGLISH TEACHER - WEST CAREER TECH ACADEMY","Clark County School District",clarkcountyschools161.org,,,,"Summerlin South area","Las Vegas",NV,"89135"
2022-02-19,"Data Enrichment Agent - (100 % Remote / Work From Home)","Bold Business",boldbusiness.com,"Information Technology & Services","$36.3K – $45.9K a year",Remote,,"Remote in Las Vegas",NV,""
2022-02-21,"Associate Administrator (Developing CEO Program)","Encompass Health",encompasshealth.com,"Hospital & Health Care",,,,"Las Vegas",NV,"89102"
2022-02-18,"Morning Shifts","First Cup LLC",,,"$24.4K – $31K a year",,"Centennial Hills area","Las Vegas",NV,"89149"
2022-02-19,"Admissions Liaison","Encompass Health",encompasshealth.com,"Hospital & Health Care",,,,"Las Vegas",NV,"89148"
2022-02-19,"Project Manager","US Bureau of Land Management",blm.gov,"Government Administration","$67,382 - $87,593 a year",Remote,,"Temporarily Remote in Las Vegas",NV,""
2022-02-19,"Construction Project Coordinator I - Construction Services","College of Southern Nevada",,,"$40.9K – $51.7K a year",,"Buffalo area","Las Vegas",NV,"89146"
2022-02-19,"Specialist: Full-Time, Part-Time, and Part-Time Temporary",Apple,apple.com,"Consumer Electronics",,,,"Las Vegas",NV,""
2022-02-19,"Associate Partner, Human Resources","Amazon.com Services LLC",amazon.com,Internet,,,,"Las Vegas",NV,""
2022-02-20,"General Manager - Village Square 18",Regal,regmovies.com,Entertainment,"$33.3K – $42.1K a year",,"The Lakes area","Las Vegas",NV,"89117"
2022-02-19,"Field Service Associate Technician","UBEO, LLC",,,"$39.4K – $50K a year",,,"Las Vegas",NV,""
2022-02-19,Driver,"First Cup LLC",,,"$29.5K – $37.3K a year",,"Paradise area","Las Vegas",NV,"89169"
2022-02-19,Photographer,"Nationwide Studios Inc.",teddybearportraits.com,Photography,"$125 a day",,,"Las Vegas",NV,"89115"
2022-02-18,"Assistant Store Leader of Visual Merchandising","Altar'd State",altardstate.com,Retail,,,"The Strip area","Las Vegas",NV,"89109"
2022-02-19,"Casino Host","San Manuel Gaming Hospitality Board Nevada",,,"$36K – $45.6K a year",,,"Las Vegas",NV,""
2022-02-19,Photographer,"Nationwide Studios Inc.",teddybearportraits.com,Photography,"$125 a day",,,"Las Vegas",NV,"89110"
2022-02-19,Photographer,"Nationwide Studios Inc.",teddybearportraits.com,Photography,"$125 a day",,"Michael Way area","Las Vegas",NV,"89108"
2022-02-19,"Warehouse Picker Order Selector","Keurig Dr Pepper",drpeppersnapplegroup.com,"Food & Beverages","$19.08 an hour",,,"Las Vegas",NV,""
2022-02-19,"FT-Merchandising Service Associate-Day",Lowe's,lowes.com,Retail,,,"Paradise area","Las Vegas",NV,"89119"
2022-02-19,"Security Analyst","ReliaQuest, LLC.",reliaquest.com,"Computer & Network Security","$58.5K – $74.1K a year",,,"Las Vegas",NV,""
2022-02-19,"Customer Service & Admin Assistant",SunBuggy,sunbuggy.com,"Leisure, Travel & Tourism","$14 - $19 an hour",,,"Las Vegas",NV,"89115"
2022-02-19,"Duty Manager, Stations (Las Vegas)",JSX,jsx.com,Airlines/Aviation,"$50.6K – $64K a year",,,"Las Vegas",NV,""
2022-02-18,"Area Manager (Student Veterans Encouraged to Apply)","Amazon.com Services LLC",amazon.com,Internet,"$60,000 a year",,,"Las Vegas",NV,""
2022-02-21,"barista - Store# 10394, FT. APACHE & PATRICK",Starbucks,starbucks.com,Retail,,,,"Las Vegas",NV,"89148"
2022-02-19,"HUMAN RESOURCES COORDINATOR","Arizona Charlie’s Boulder (Las Vegas, NV)",,,"$30.2K – $38.2K a year",,,"Las Vegas",NV,""
2022-02-18,"Client Success Specialist","Ultius, Inc.",ultius.com,Internet,"$10 - $14 an hour",,,"Las Vegas",NV,""
2022-02-18,"Dispatcher (N. Las Vegas, NV)","RoadSafe Traffic Systems, Inc.",roadsafetraffic.com,Construction,"$28.2K – $35.6K a year",,,"Las Vegas",NV,"89139"
2022-02-18,"TRANSPORTER/PATIENT TRANSPORT (FT VARIES) Summerlin Hospital","Summerlin Hospital Medical Center",summerlinhospital.com,"Hospital & Health Care",,,"Summerlin North area","Las Vegas",NV,"89144"
2022-02-18,"Medical Lab Technician","MountainView Hospital",mountainview-hospital.com,"Hospital & Health Care","$23.92 - $35.88 an hour",,,"Las Vegas",NV,"89128"
2022-02-21,"SCREENER REP-COVID PT SCREENING","Summerlin Hospital Medical Center",summerlinhospital.com,"Hospital & Health Care",,,"Summerlin North area","Las Vegas",NV,"89144"
2022-02-18,"REVENUE AUDIT CLERK (FULL TIME)","Treasure Island Las Vegas",treasureisland.com,Hospitality,"$31.6K – $40K a year",,"The Strip area","Las Vegas",NV,"89109"
2022-02-19,"Marketing Liaison","Encompass Health",encompasshealth.com,"Hospital & Health Care",,,,"Las Vegas",NV,"89148"
2022-02-18,"IT Support Associate II","Amazon.com Services LLC",amazon.com,Internet,,,,"Las Vegas",NV,""
2022-02-20,"Baker II","San Manuel Gaming Hospitality Board Nevada",,,"$26.2K – $33.2K a year",,,"Las Vegas",NV,""
2022-02-19,"COMPENSATION ANALYST","Boyd Gaming Corporate",boydgaming.com,"Gambling & Casinos","$54.2K – $68.6K a year",,"Spring Valley area","Las Vegas",NV,"89118"
2022-02-20,"Full Time Brand Ambassador Children's","Ralph Lauren",ralphlauren.com,"Apparel & Fashion",,,,"Las Vegas",NV,""
2022-02-21,"Donor Relations Specialist - Part Time",Vitalant,vitalant.org,"Hospital & Health Care","$33.5K – $42.5K a year",,,"Las Vegas",NV,"89117"
2022-02-18,"Leasing Specialist","Signature Management LLC",,,"$29.2K – $37K a year",,"Paradise area","Las Vegas",NV,"89102"
2022-02-21,"Sales and Service Coordinator",Sephora,sephora.ch,,,,"The Strip area","Las Vegas",NV,"89109"
