DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/12/2022,"Supervisory Transportation Security Officer","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$52,738 - $81,710 a year",,,"Las Vegas",NV,""
2/13/2022,"Warehouse Worker - Delivery Department","RC Willey",rcwilley.com,Retail,"$17 an hour",,"Sunrise Manor area","Las Vegas",NV,"89115"
2/12/2022,"Supervisory General Engineer/Physical Scientist (Deputy Assi...","US National Nuclear Security Administration",,,"$113,488 - $181,549 a year",,,"Las Vegas",NV,""
2/12/2022,"Social Media Investigator","DigiStream Investigations, Inc.",,,"$17 - $20 an hour",,,"Las Vegas",NV,""
2/12/2022,"FT-Head Cashier-Flexible",Lowe's,lowes.com,Retail,,,"Rancho Charleston area","Las Vegas",NV,""
2/12/2022,Recruiter,"Tharaldson Hospitality Management",,,"$41.2K ? $52.2K a year",,,"Las Vegas",NV,"89118"
2/12/2022,"Customer Care Sales Representative - Full Time","Allegiant Airlines",,,,,,"Las Vegas",NV,""
2/12/2022,"Security Officer","LAS VEGAS CONVENTION AND VISITORS AUTHORITY",lvcva.com,"Government Relations","$34.2K ? $43.4K a year",,,"Las Vegas",NV,""
2/12/2022,"FT Warehouse Recycler","ABM Industries",marriott.com,"Computer Software",,,"Enterprise area","Las Vegas",NV,"89139"
2/12/2022,"2022-2023 - THEME COORDINATOR 6-12 - UNK TECHNICAL TRAINING...","Clark County School District",clarkcountyschools161.org,,"$34.3K ? $43.5K a year",,"Huntridge area","Las Vegas",NV,"89104"
2/12/2022,"Digital Contact Center Consultant",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2/12/2022,"Coordinator, Business Operations I","Wyndham Destinations",wyndhamdestinations.com,Hospitality,,,"Paradise area","Las Vegas",NV,"89169"
2/12/2022,"Shift Coordinator I","Station Casinos",sclv.com,"Gambling & Casinos",,,,"Las Vegas",NV,""
2/12/2022,"FT-Merchandising Service Associate-Overnight",Lowe's,lowes.com,Retail,,,,"Las Vegas",NV,""
2/13/2022,Merchandiser,"Keurig Dr Pepper",drpeppersnapplegroup.com,"Food & Beverages","From $15.44 an hour",,,"Las Vegas",NV,""
2/14/2022,"Security Guard / Vehicle Patrol Officer / Other Security Per...","Empyreal Corporation",empyreallogistics.com,"Financial Services","$22 an hour",,,"Las Vegas",NV,""
2/12/2022,"Utility Porter Laundry (Bally's)","Caesars Entertainment",caesars.com,Hospitality,"$35.2K ? $44.6K a year",,,"Las Vegas",NV,""
2/12/2022,"Atm Driver Messenger","Sectran Security",sectransecurity.com,"Security & Investigations","$26.1K ? $33.1K a year",,"Downtown East area","Las Vegas",NV,"89101"
2/11/2022,"INSURANCE REP (FT Days) Summerlin Hospital","Summerlin Hospital Medical Center",summerlinhospital.com,"Hospital & Health Care",,,"Summerlin North area","Las Vegas",NV,"89144"
2/12/2022,"Unit Secretary FT Fri-Sun Days","Kindred Healthcare",,,,,"Paradise area","Las Vegas",NV,"89119"
2/14/2022,"Teller (30-40 hours) - North Vegas Valley District","Wells Fargo",climaticsolar.com,"Environmental Services","$27.5K ? $34.9K a year",,"Sunrise Manor area","Las Vegas",NV,"89142"
