DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-08,"Administrative Assistant","Brookfield Properties",brookfieldproperties.com,"Real Estate",,,"The Strip area","Las Vegas",NV,"89109"
2022-03-10,"Executive Assistant","Wynn Las Vegas",wynndevelopment.com,,"$47.2K – $59.8K a year",,,"Las Vegas",NV,""
2022-03-08,"GUCCI Team Coordinator - Las Vegas Crystal's",Gucci,gucci.it,,"$24.5K – $31.1K a year",,,"Las Vegas",NV,""
2022-03-09,"Administrative Services Supervisor",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-08,"Credentialing Data Support Specialist","University Medical Center of Southern Nevada",,,"$22.10 - $34.26 an hour",,"Rancho Charleston area","Las Vegas",NV,"89102"
2022-03-08,"Family and Community Engagement Services (FACES) - Family Le...","Clark County School District",clarkcountyschools161.org,,,,"Paradise area","Las Vegas",NV,"89121"
2022-03-10,"Field Support Specialist","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,"Las Vegas",NV,""
2022-03-09,"Legal Corporate Specialist - Paralegal",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-09,"Medical Education Coordinator (FT-Days) Valley","Valley Hospital Medical Center",valleyhospital.net,"Medical Practice",,,,"Las Vegas",NV,""
2022-03-07,Animator,"Light & Wonder",,,,,,"Las Vegas",NV,""
2022-03-09,Technician,"Fox Corporation",foxcorporation.com,"Broadcast Media",,,,"Las Vegas",NV,""
2022-03-07,"Associate Animator","Light & Wonder",,,,,,"Las Vegas",NV,""
2022-03-10,"SPEC MARKETING INTERACTIVE I","Caesars Entertainment",caesars.com,Hospitality,,,,"Las Vegas",NV,""
2022-03-10,"Business Development Representative","Consensus Cloud Solutions",,,,,,"Las Vegas",NV,"89119"
2022-03-08,"Assistant Gallery Leader","Restoration Hardware",restorationhardware.com,"Medical Devices",,,"Angel Park Lindell area","Las Vegas",NV,"89145"
2022-03-08,"STUDENT SUCCESS ADVOCATE - SOUTHWEST CAREER TECH ACADEMY","Clark County School District",clarkcountyschools161.org,,,,"Enterprise area","Las Vegas",NV,"89113"
2022-03-09,"Aerie - Store Team Leader (Store Manager) - US","American Eagle Outfitters",ae-inc.net,,,,,"Las Vegas",NV,""
2022-03-09,"Assistant News Director, KTNV","The E.W. Scripps Company",scripps.com,"Media Production",,,,"Las Vegas",NV,""
2022-03-08,"Food Buyer - Purchasing","Wynn Las Vegas",wynndevelopment.com,,"$44.4K – $56.2K a year",,,"Las Vegas",NV,""
2022-03-10,"PATIENT ACCOUNTS SPECIALIST - Medicare","Western CBO",,,,,"Desert Shores area","Las Vegas",NV,""
2022-03-10,"Compensation Analyst","NV Energy",nvenergy.com,Utilities,"$72,500 a year",,"Buffalo area","Las Vegas",NV,"89146"
2022-03-09,"Project Manager",Ledcor,ledcor.com,Construction,"$75.1K – $95.1K a year",,,"Las Vegas",NV,""
2022-03-09,"Clerk - Corporate Accounts Payable","Las Vegas Sands Corp.",sands.com,Hospitality,"$35.7K – $45.1K a year",,,"Las Vegas",NV,""
2022-03-09,"Front Office Supervisor","Kidney Specialists Of Southern Nevada",ksosn.com,"Hospital & Health Care","$41.2K – $52.2K a year",,"Rancho Charleston area","Las Vegas",NV,"89106"
2022-03-08,"Case Coordinator I",SAFY,,,"$36.5K – $46.3K a year",,"North Cheyenne area","Las Vegas",NV,"89130"
2022-03-09,"Specialist, Talent Culture & Change Management",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-09,"Assistant Store Manager","Levi Strauss & Co.",levistrauss.com,"Apparel & Fashion",,,,"Las Vegas",NV,""
2022-03-08,"Supervisor Clerical Services - Las Vegas, NV","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,,"Summerlin North area","Las Vegas",NV,"89128"
2022-03-08,BIM-CAD,"Bombard Electric, LLC",bombardelectric.com,Construction,"$49.7K – $62.9K a year",,,"Las Vegas",NV,""
2022-03-09,"Marine Corps Validator - Remote, Secret clearance",Deloitte,deloitte.com,"Management Consulting",,Remote,,"Remote in Las Vegas",NV,"89169"
2022-03-10,"Recruiter - Talent Acquisition","MGM Resorts International",mgmresorts.com,Hospitality,,,,"Las Vegas",NV,"89119"
2022-03-09,"CHILD LIFE SPECIALIST-PEDS ICU (FT VARIED) Summerlin Hospita...","Summerlin Hospital Medical Center",summerlinhospital.com,"Hospital & Health Care",,,"Summerlin North area","Las Vegas",NV,"89144"
2022-03-08,"SYSTEM MGR - LABORATORY (FT Days) Valley Health System","Valley Health System Consolidated Services",valleyhealthsystemlv.com,"Hospital & Health Care",,,,"Las Vegas",NV,""
2022-03-09,"Manager, Climate Services",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-08,"Lead Gardner - Floral (FT) (Corporate)","MGM Resorts International",mgmresorts.com,Hospitality,,,,"Las Vegas",NV,"89109"
2022-03-09,"Desktop Support Technician","Intermountain Healthcare",intermountainhealthcare.com,"Hospital & Health Care",,,,"Las Vegas",NV,""
2022-03-10,"Assistant Property Manager, Multifamily","Cushman & Wakefield",cushwake-ni.com,"Commercial Real Estate",,,"Rancho Charleston area","Las Vegas",NV,"89102"
2022-03-08,"HR Service Center Specialist","Light & Wonder",,,"$34.3K – $43.5K a year",,,"Las Vegas",NV,""
2022-03-09,"Lead Immigration Specialist, Programs & Strategy",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-09,"Manager - Corporate Communications","Las Vegas Sands Corp.",sands.com,Hospitality,"$68.7K – $87.1K a year",,,"Las Vegas",NV,""
2022-03-10,"DIGITAL MARKETING SPECIALIST","Boyd Gaming Corporate",boydgaming.com,"Gambling & Casinos","$45.3K – $57.3K a year",,"Spring Valley area","Las Vegas",NV,"89118"
2022-03-10,"Employee Relations Consultant - Remote","Banner Health",bannerhealth.com,"Hospital & Health Care",,Remote,,"Remote in Las Vegas",NV,""
2022-03-10,"Assistant Chef - Fine Dining","Wynn Las Vegas",wynndevelopment.com,,"$37.5K – $47.5K a year",,,"Las Vegas",NV,""
2022-03-09,"Operations Supervisor - Landfill","Republic Services",republicservices.com,"Environmental Services","$66,976 - $100,464 a year",,,"Las Vegas",NV,"89165"
2022-03-10,"Assistant Manager Banquet Set Up - Bellagio","MGM Resorts International",mgmresorts.com,Hospitality,,,,"Las Vegas",NV,"89177"
2022-03-10,"Supervisor Arena Operations","MGM Resorts International",mgmresorts.com,Hospitality,,,,"Las Vegas",NV,"89119"
2022-03-09,"Scaled Customer Operations Lead",Numerator,numerator.com,"Market Research","$123K – $156K a year",Remote,,"Remote in Las Vegas",NV,"89101"
2022-03-09,"Mathematician - Class II","Konami Gaming",konami.com,Entertainment,"$53K – $67.2K a year",,,"Las Vegas",NV,"89119"
2022-03-08,"OFFICER CORPORATE PROTECTION","Boyd Gaming Corporate",boydgaming.com,"Gambling & Casinos","$31.7K – $40.1K a year",,"Spring Valley area","Las Vegas",NV,"89118"
2022-03-10,"Marketing Supervisor","Hakkasan Group",hakkasangroup.com,Hospitality,"$43.9K – $55.5K a year",,"Spring Valley area","Las Vegas",NV,"89118"
2022-03-10,"Content Marketing Specialist","Allegiant Airlines",,,"$44.8K – $56.8K a year",,,"Las Vegas",NV,""
2022-03-08,"Mac Production Artist","Wilen Group",wilengroup.com,"Marketing & Advertising","$47.1K – $59.7K a year",,,"Las Vegas",NV,""
2022-03-10,"Intervention Specialist",SAFY,,,"$34.9K – $44.3K a year",,"North Cheyenne area","Las Vegas",NV,"89130"
