DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-30,"Director, Cash and Banking Operations","Wyndham Destinations",wyndhamdestinations.com,Hospitality,,,"Paradise area","Las Vegas",NV,"89169"
2022-03-31,"Superintendent - Las Vegas",Shawmut,shawmut.com,Construction,,,"Paradise area","Las Vegas",NV,"89120"
2022-03-31,"DIRECTOR SLOT OPERATIONS",Suncoast,suncoastnews.com,,,,"Summerlin North area","Las Vegas",NV,"89145"
2022-03-30,"Strategic Customer Success Manager",HYPERPROOF,hyperproof.io,"Computer Software","$93.5K ? $118K a year",Remote,,"Remote in Las Vegas",NV,""
2022-03-31,"DIRECTOR SLOT OPERATIONS",Suncoast,suncoastnews.com,,,,"Summerlin North area","Las Vegas",NV,"89145"
2022-04-01,"Director, Business Banking","Western Alliance Bank",westernalliancebancorporation.com,Banking,"$115K ? $146K a year",,,"Las Vegas",NV,""
2022-03-31,"Women?s Health Clinical Account Specialist",Organon,,,,,,"Las Vegas",NV,""
2022-04-01,"Director of Product Management",Benelynk,benelynk.com,"Hospital & Health Care",,Remote,,"Remote in Las Vegas",NV,"89103"
2022-04-01,"Opearations Manager I&D",GES,ges.com,"Events Services",,Remote,,"Remote in Las Vegas",NV,"89118"
2022-03-30,"Associate Creative Director of Art","Caesars Entertainment",caesars.com,Hospitality,,,,"Las Vegas",NV,""
2022-03-31,"System Integration Designer","Solotech Inc",solotech.com,"Media Production","$75.7K ? $95.9K a year",,,"Las Vegas",NV,""
2022-04-01,"Air Conditioning Technologies- Fall 2022","College of Southern Nevada",,,"$46,691 - $58,364 a year",,"Buffalo area","Las Vegas",NV,"89146"
2022-03-31,"Litigation Client Service Specialist (Legal Administrative A...","Fox Rothschild LLP",frof.com,,"$37.9K ? $48.1K a year",,"Paradise area","Las Vegas",NV,"89169"
2022-03-31,"Mgr, IT & Infrastructure","ODS Chauffeured Transportation",odslimo.com,Transportation/Trucking/Railroad,"$82.3K ? $104K a year",,,"Las Vegas",NV,"89103"
2022-03-31,"Manager - Temporary Talent Workforce, Learning and Developme...",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-30,"Director - Marketing Analytics (Corporate_Las Vegas)","Caesars Entertainment",caesars.com,Hospitality,,,,"Las Vegas",NV,""
2022-03-31,"Manager, Engagement - DAS Project Omnia",Deloitte,deloitte.com,"Management Consulting",,,"Paradise area","Las Vegas",NV,"89169"
2022-03-31,"Mgr, IT & Infrastructure","Kaptyn Nevada LLC",,,"$82.3K ? $104K a year",,,"Las Vegas",NV,"89103"
2022-03-30,"Deputy Superintendent Target Ops",Amentum,amentum.com,"Defense & Space",,,"Paradise area","Las Vegas",NV,"89119"
2022-03-30,"Labor Relations Director","MV Transportation, Inc.",mvtransit.com,Transportation/Trucking/Railroad,"$101K ? $128K a year",,,"Las Vegas",NV,""
2022-03-30,"Marketing Director","Company ~ PEPPER",,,"$40,000 - $75,000 a year",,,"Las Vegas",NV,"89109"
1970-01-01,"Full Stack Developer",Microgigs,,,"$60,950 - $145,408 a year",,,"Las Vegas",NV,""
2022-04-01,"Functional Analyst/Trainer",NYTP,nytp.com,"Staffing & Recruiting","$75K ? $95K a year",,,"Las Vegas",NV,""
2022-03-30,"Director of Preconstruction","Martin Harris Construction",martinharris.com,Construction,"$69.1K ? $87.5K a year",,"Paradise area","Las Vegas",NV,"89109"
2022-04-01,"Executive-Level Digital Marketing Director","Textbroker International",textbroker.com,Internet,"$90,000 - $100,000 a year",,"Buffalo area","Las Vegas",NV,"89117"
1970-01-01,"Full Stack Developer",Microgigs,,,"$60,950 - $145,408 a year",,,"Las Vegas",NV,""
2022-04-01,"Functional Analyst/Trainer",NYTP,nytp.com,"Staffing & Recruiting","$75K ? $95K a year",,,"Las Vegas",NV,""
2022-03-30,"Purchasing Director - Manufacturing","Hamilton Company",hamiltoncompany.com,Biotechnology,"$70.9K ? $89.7K a year",,"East Reno area",Reno,NV,"89502"
2022-04-01,"Director of Operations (Manufacturing)","Interior Logic Group",interiorlogicgroup.com,Design,"$77.8K ? $98.4K a year",,,Reno,NV,""
2022-03-30,"Pre-Melt Superintendent","Precision Castparts Corp.",precast.com,"Aviation & Aerospace",,,,Henderson,NV,""
2022-04-01,"Client Services Director","RDI Corporation",footswitch.com,,"$40.5K ? $51.3K a year",,,Henderson,NV,""
